* Measurement data measured by REW V5.31.1
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Apr 15, 2026 9:43:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L EPZ 550 PINK 2072
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 84.701 -148.9924
20.600000 84.732 -149.5738
20.900000 84.757 -150.0835
21.200001 84.782 -150.5921
21.400000 84.798 -150.9383
21.799999 84.830 -151.6452
22.000000 84.845 -152.0010
22.400000 84.873 -152.6994
22.700001 84.894 -153.2006
23.000000 84.916 -153.6825
23.299999 84.939 -154.1551
23.600000 84.960 -154.6256
24.000000 84.984 -155.2499
24.299999 84.997 -155.7054
24.700001 85.010 -156.2814
25.000000 85.020 -156.6942
25.400000 85.039 -157.2473
25.799999 85.062 -157.8409
26.200001 85.083 -158.4692
26.500000 85.096 -158.9247
26.900000 85.112 -159.4543
27.200001 85.126 -159.7800
27.600000 85.155 -160.1612
28.000000 85.188 -160.5820
28.500000 85.206 -161.2494
29.000000 85.170 -161.9402
29.500000 85.102 -162.4119
30.000000 85.067 -162.6484
30.400000 85.091 -162.8806
30.700001 85.136 -163.1982
31.100000 85.203 -163.8395
31.500000 85.252 -164.6102
32.000000 85.273 -165.4638
32.500000 85.271 -166.0088
33.000000 85.273 -166.3505
33.500000 85.281 -166.7076
34.000000 85.283 -167.1703
34.500000 85.276 -167.6819
35.000000 85.270 -168.1873
35.500000 85.270 -168.6801
36.000000 85.270 -169.1516
36.500000 85.267 -169.5721
37.000000 85.262 -169.9324
37.500000 85.262 -170.2573
38.200001 85.279 -170.7029
38.700001 85.306 -171.0489
39.500000 85.353 -171.7458
40.000000 85.359 -172.2338
40.599998 85.338 -172.7328
41.200001 85.311 -173.1041
41.799999 85.298 -173.4940
42.500000 85.288 -174.0779
43.099998 85.274 -174.5725
43.700001 85.265 -174.9948
44.400002 85.260 -175.4666
45.000000 85.249 -175.8683
45.500000 85.236 -176.1671
46.200001 85.220 -176.5456
46.799999 85.209 -176.8824
47.500000 85.194 -177.2883
48.200001 85.179 -177.6729
48.700001 85.171 -177.9314
49.400002 85.164 -178.2816
50.000000 85.159 -178.5962
50.799999 85.147 -179.0673
51.500000 85.130 -179.4948
52.200001 85.113 -179.9042
53.000000 85.097 179.6519
53.799999 85.078 179.2632
54.500000 85.061 178.9431
55.200001 85.042 178.5858
56.000000 85.012 178.1752
57.000000 84.981 177.7231
58.000000 84.954 177.2349
59.000000 84.916 176.7721
60.000000 84.885 176.4009
60.799999 84.864 176.1042
61.500000 84.838 175.8420
62.200001 84.809 175.5959
63.000000 84.782 175.3085
64.000000 84.753 174.9313
65.000000 84.723 174.5762
66.000000 84.687 174.1949
67.000000 84.650 173.8623
68.000000 84.624 173.5828
69.000000 84.589 173.3287
70.000000 84.552 173.1108
71.000000 84.528 172.7736
72.000000 84.487 172.4107
73.000000 84.438 172.2549
74.000000 84.410 172.0654
75.000000 84.373 171.7195
76.199997 84.333 171.4908
77.500000 84.280 171.1235
78.800003 84.220 170.9333
80.000000 84.179 170.6840
81.199997 84.160 170.5867
82.500000 84.106 170.2025
83.800003 84.054 170.1144
85.000000 84.014 169.8456
86.199997 83.971 169.7204
87.500000 83.928 169.5386
88.500000 83.901 169.3672
90.000000 83.840 169.2018
91.199997 83.811 169.0851
92.500000 83.760 168.9426
93.800003 83.720 168.8098
95.000000 83.677 168.6330
96.199997 83.622 168.5123
97.500000 83.582 168.4645
98.800003 83.543 168.2809
100.000000 83.499 168.2025
101.500000 83.456 168.1379
103.000000 83.404 168.0511
104.400002 83.364 167.9726
106.000000 83.311 167.9618
107.500000 83.263 167.8481
109.000000 83.227 167.8823
110.599998 83.176 167.7726
112.000000 83.132 167.7438
113.800003 83.088 167.7174
115.000000 83.045 167.6591
117.199997 82.990 167.7459
118.000000 82.966 167.7047
120.599998 82.908 167.6527
122.000000 82.863 167.7036
124.099998 82.805 167.7651
125.000000 82.780 167.8325
126.500000 82.739 167.7898
128.000000 82.713 167.9069
131.500000 82.618 167.9099
132.000000 82.605 167.9276
134.000000 82.566 168.0109
136.000000 82.523 168.0783
138.000000 82.477 168.2766
140.000000 82.414 168.1405
143.000000 82.366 168.4121
145.000000 82.331 168.5461
147.500000 82.289 168.7429
150.000000 82.218 168.8013
152.500000 82.176 169.0742
155.000000 82.124 169.1259
157.500000 82.084 169.3381
160.000000 82.012 169.6009
162.500000 81.970 169.7334
165.000000 81.900 170.0405
167.500000 81.869 170.3122
170.000000 81.808 170.7543
172.500000 81.749 171.1051
175.000000 81.686 171.8307
177.500000 81.590 172.5453
180.000000 81.619 173.5539
182.500000 81.649 174.4295
185.000000 81.790 175.8887
187.500000 82.011 174.7965
190.000000 82.177 175.4884
192.500000 82.256 174.6006
195.000000 82.257 173.8665
197.500000 82.238 173.5034
200.000000 82.222 173.0817
203.000000 82.152 172.8877
206.000000 82.115 172.9063
209.000000 82.080 172.8339
212.000000 82.049 172.7775
214.000000 82.034 172.8524
218.000000 81.983 172.9511
220.000000 81.945 173.0237
224.000000 81.929 173.1673
227.000000 81.881 173.2354
230.000000 81.867 173.3416
233.000000 81.868 173.3209
236.000000 81.866 173.5696
240.000000 81.853 173.6881
243.000000 81.857 174.1437
247.000000 81.791 173.8705
250.000000 81.786 173.8303
254.000000 81.770 174.0498
258.000000 81.762 174.3321
262.000000 81.758 174.4671
265.000000 81.754 174.5366
269.000000 81.729 174.5441
272.000000 81.726 174.6290
276.000000 81.697 174.7758
280.000000 81.690 174.8612
285.000000 81.685 174.9722
290.000000 81.663 175.2354
295.000000 81.653 175.3441
300.000000 81.628 175.3587
304.000000 81.630 175.4767
307.000000 81.624 175.5837
311.000000 81.610 175.6690
315.000000 81.606 175.8395
320.000000 81.584 175.9011
325.000000 81.564 175.9857
330.000000 81.559 176.1746
335.000000 81.542 176.1614
340.000000 81.521 176.4292
345.000000 81.506 176.5360
350.000000 81.493 176.6793
355.000000 81.484 176.7447
360.000000 81.461 176.9012
365.000000 81.451 176.9669
370.000000 81.442 177.1285
375.000000 81.390 177.3458
382.000000 81.393 177.5207
387.000000 81.360 177.8194
395.000000 81.356 178.2541
400.000000 81.355 178.6544
406.000000 81.390 178.9315
412.000000 81.438 179.0158
418.000000 81.476 178.9534
425.000000 81.462 178.8525
431.000000 81.460 178.7745
437.000000 81.448 178.7347
444.000000 81.420 178.7664
450.000000 81.411 178.7344
455.000000 81.372 178.8309
462.000000 81.345 178.9200
468.000000 81.326 178.9427
475.000000 81.313 179.0682
482.000000 81.282 179.3046
487.000000 81.261 179.3436
494.000000 81.237 179.5576
500.000000 81.220 179.7491
508.000000 81.172 179.7733
515.000000 81.164 179.9979
522.000000 81.145 -179.8415
530.000000 81.126 -179.7137
538.000000 81.093 -179.4591
545.000000 81.076 -179.2613
552.000000 81.044 -179.0516
560.000000 81.023 -178.8711
570.000000 81.006 -178.5535
580.000000 80.980 -178.2877
590.000000 80.951 -177.9698
600.000000 80.915 -177.6459
608.000000 80.881 -177.3879
615.000000 80.889 -177.1973
622.000000 80.855 -176.9323
630.000000 80.841 -176.7604
640.000000 80.803 -176.3227
650.000000 80.800 -175.8933
660.000000 80.757 -175.6268
670.000000 80.733 -175.1360
680.000000 80.716 -174.8058
690.000000 80.700 -174.3256
700.000000 80.686 -173.8221
710.000000 80.674 -173.5117
720.000000 80.648 -173.0644
730.000000 80.632 -172.5092
740.000000 80.602 -172.1239
750.000000 80.611 -171.6008
762.000000 80.603 -171.1093
775.000000 80.605 -170.4525
788.000000 80.600 -169.7958
800.000000 80.599 -169.2104
812.000000 80.615 -168.7139
825.000000 80.625 -167.9246
838.000000 80.647 -167.3120
850.000000 80.681 -166.6799
862.000000 80.701 -166.1104
875.000000 80.742 -165.4755
885.000000 80.768 -165.0301
900.000000 80.804 -164.2709
912.000000 80.853 -163.7806
925.000000 80.920 -163.1482
938.000000 80.985 -162.5739
950.000000 81.016 -162.0410
962.000000 81.094 -161.5413
975.000000 81.154 -161.1920
988.000000 81.228 -160.6587
1000.000000 81.368 -159.9271
1015.000000 81.385 -159.9308
1030.000000 81.474 -159.5212
1044.000000 81.548 -159.2793
1060.000000 81.637 -158.9013
1075.000000 81.740 -158.5726
1090.000000 81.803 -158.4643
1106.000000 81.917 -158.2396
1120.000000 81.979 -158.0612
1138.000000 82.057 -157.9747
1150.000000 82.116 -157.8161
1172.000000 82.223 -157.7911
1180.000000 82.258 -157.6734
1206.000000 82.363 -157.7105
1220.000000 82.419 -157.6646
1241.000000 82.477 -157.5683
1250.000000 82.516 -157.5793
1265.000000 82.569 -157.6008
1280.000000 82.593 -157.5463
1315.000000 82.696 -157.5054
1320.000000 82.718 -157.4696
1340.000000 82.759 -157.5005
1360.000000 82.802 -157.3447
1380.000000 82.841 -157.2835
1400.000000 82.874 -157.1542
1430.000000 82.935 -156.9331
1450.000000 82.965 -156.9591
1475.000000 83.020 -156.6433
1500.000000 83.067 -156.4272
1525.000000 83.123 -156.0901
1550.000000 83.177 -155.9332
1575.000000 83.236 -155.6968
1600.000000 83.295 -155.3545
1625.000000 83.345 -155.0254
1650.000000 83.420 -154.8023
1675.000000 83.499 -154.4099
1700.000000 83.559 -154.0764
1725.000000 83.638 -153.8354
1750.000000 83.710 -153.4513
1775.000000 83.790 -153.1378
1800.000000 83.884 -152.8761
1825.000000 83.979 -152.5122
1850.000000 84.083 -152.2580
1875.000000 84.179 -151.9874
1900.000000 84.275 -151.7698
1925.000000 84.404 -151.4841
1950.000000 84.525 -151.4347
1975.000000 84.628 -151.0954
2000.000000 84.815 -151.4439
2030.000000 84.902 -150.7543
2060.000000 85.062 -150.7648
2090.000000 85.235 -150.6636
2120.000000 85.406 -150.6837
2140.000000 85.518 -150.6558
2180.000000 85.765 -150.8625
2200.000000 85.879 -150.9856
2240.000000 86.129 -151.3750
2270.000000 86.320 -151.6907
2300.000000 86.508 -152.1246
2330.000000 86.698 -152.5830
2360.000000 86.888 -153.2292
2400.000000 87.138 -154.1876
2430.000000 87.324 -155.1273
2470.000000 87.548 -156.3870
2500.000000 87.719 -157.4086
2540.000000 87.931 -159.0437
2580.000000 88.118 -160.8103
2620.000000 88.285 -162.6841
2650.000000 88.392 -164.2520
2690.000000 88.498 -166.2889
2720.000000 88.557 -167.8950
2760.000000 88.609 -170.1182
2800.000000 88.636 -172.3270
2850.000000 88.605 -175.0385
2900.000000 88.528 -177.6768
2950.000000 88.399 179.8459
3000.000000 88.206 177.2416
3040.000000 88.085 175.9752
3070.000000 87.958 174.9272
3110.000000 87.793 173.5392
3150.000000 87.612 172.4745
3200.000000 87.388 171.1670
3250.000000 87.165 170.2015
3300.000000 86.936 169.3470
3350.000000 86.714 168.6146
3400.000000 86.479 167.9529
3450.000000 86.245 167.6653
3500.000000 86.007 167.4948
3550.000000 85.811 167.6530
3600.000000 85.623 167.8845
3650.000000 85.440 168.1462
3700.000000 85.287 168.5184
3750.000000 85.150 169.1467
3820.000000 84.959 170.2025
3870.000000 84.881 171.0411
3950.000000 84.796 172.5573
4000.000000 84.776 173.9493
4060.000000 84.845 174.7480
4120.000000 84.988 175.5724
4180.000000 85.153 176.1429
4250.000000 85.374 175.9814
4310.000000 85.533 175.5303
4370.000000 85.651 174.7949
4440.000000 85.751 173.8910
4500.000000 85.806 172.9866
4550.000000 85.860 172.3455
4620.000000 85.909 171.2345
4680.000000 85.942 170.2331
4750.000000 85.951 169.0114
4820.000000 85.960 167.5739
4870.000000 85.929 166.7170
4940.000000 85.872 165.1293
5000.000000 85.756 163.5755
5080.000000 85.623 162.0132
5150.000000 85.427 160.3555
5220.000000 85.198 159.0614
5300.000000 84.911 157.5244
5380.000000 84.538 156.4188
5450.000000 84.197 155.5870
5520.000000 83.784 154.8798
5600.000000 83.154 154.9363
5700.000000 82.477 156.8107
5800.000000 82.063 161.4628
5900.000000 81.776 163.3121
6000.000000 81.587 166.6815
