* Measurement data measured by REW V5.30
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.760. Timing signal peak level -1.2 dBFS, measurement signal peak level -1.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 29, 2023 11:32:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0252 ms (-8.6 mm, -0.34 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset
* Measurement: R EPZ 620 Dec 29
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 149.757 -144.1519
20.600000 149.778 -144.7658
20.900000 149.790 -145.3080
21.200001 149.801 -145.8405
21.400000 149.810 -146.1961
21.799999 149.830 -146.9118
22.000000 149.841 -147.2708
22.400000 149.864 -147.9796
22.700001 149.878 -148.4908
23.000000 149.891 -148.9755
23.299999 149.902 -149.4348
23.600000 149.912 -149.8758
24.000000 149.924 -150.4507
24.299999 149.932 -150.8827
24.700001 149.941 -151.4647
25.000000 149.947 -151.9024
25.400000 149.953 -152.4782
25.799999 149.959 -153.0362
26.200001 149.966 -153.5726
26.500000 149.972 -153.9618
26.900000 149.979 -154.4653
27.200001 149.984 -154.8331
27.600000 149.989 -155.3128
28.000000 149.993 -155.7833
28.500000 149.996 -156.3626
29.000000 149.997 -156.9327
29.500000 149.998 -157.4899
30.000000 149.999 -158.0302
30.400000 150.001 -158.4502
30.700001 150.002 -158.7585
31.100000 150.004 -159.1609
31.500000 150.005 -159.5533
32.000000 150.005 -160.0308
32.500000 150.004 -160.4981
33.000000 150.003 -160.9590
33.500000 150.000 -161.4113
34.000000 149.999 -161.8495
34.500000 149.999 -162.2730
35.000000 149.999 -162.6887
35.500000 149.998 -163.1024
36.000000 149.994 -163.5090
36.500000 149.986 -163.8981
37.000000 149.980 -164.2690
37.500000 149.976 -164.6346
38.200001 149.976 -165.1600
38.700001 149.975 -165.5373
39.500000 149.971 -166.1050
40.000000 149.968 -166.4391
40.599998 149.964 -166.8362
41.200001 149.957 -167.2305
41.799999 149.951 -167.6096
42.500000 149.945 -168.0346
43.099998 149.942 -168.3991
43.700001 149.938 -168.7635
44.400002 149.931 -169.1749
45.000000 149.925 -169.5155
45.500000 149.920 -169.7968
46.200001 149.914 -170.1847
46.799999 149.907 -170.5021
47.500000 149.900 -170.8559
48.200001 149.894 -171.2103
48.700001 149.889 -171.4676
49.400002 149.882 -171.8236
50.000000 149.876 -172.1200
50.799999 149.869 -172.5124
51.500000 149.861 -172.8508
52.200001 149.852 -173.1704
53.000000 149.844 -173.5214
53.799999 149.838 -173.8759
54.500000 149.831 -174.1811
55.200001 149.823 -174.4774
56.000000 149.813 -174.8135
57.000000 149.802 -175.2218
58.000000 149.792 -175.6126
59.000000 149.781 -175.9926
60.000000 149.769 -176.3656
60.799999 149.762 -176.6769
61.500000 149.754 -176.9460
62.200001 149.747 -177.1958
63.000000 149.739 -177.4688
64.000000 149.726 -177.8048
65.000000 149.712 -178.1231
66.000000 149.703 -178.4594
67.000000 149.694 -178.8077
68.000000 149.684 -179.1337
69.000000 149.672 -179.4464
70.000000 149.657 -179.7512
71.000000 149.646 179.9365
72.000000 149.636 179.6368
73.000000 149.628 179.3673
74.000000 149.617 179.0931
75.000000 149.603 178.8060
76.199997 149.587 178.4526
77.500000 149.572 178.0911
78.800003 149.558 177.7563
80.000000 149.544 177.4597
81.199997 149.531 177.1627
82.500000 149.517 176.8259
83.800003 149.503 176.4976
85.000000 149.489 176.2070
86.199997 149.474 175.9596
87.500000 149.459 175.6672
88.500000 149.445 175.4308
90.000000 149.430 175.0782
91.199997 149.416 174.7998
92.500000 149.401 174.5111
93.800003 149.385 174.2477
95.000000 149.371 174.0104
96.199997 149.356 173.7585
97.500000 149.341 173.4927
98.800003 149.326 173.2246
100.000000 149.313 172.9881
101.500000 149.297 172.6991
103.000000 149.278 172.4170
104.400002 149.259 172.1551
106.000000 149.241 171.8651
107.500000 149.223 171.5926
109.000000 149.206 171.3210
110.599998 149.188 171.0510
112.000000 149.172 170.7997
113.800003 149.148 170.4927
115.000000 149.132 170.2879
117.199997 149.109 169.9198
118.000000 149.101 169.7946
120.599998 149.069 169.4055
122.000000 149.052 169.1844
124.099998 149.026 168.8533
125.000000 149.016 168.7076
126.500000 148.995 168.4844
128.000000 148.979 168.2693
131.500000 148.938 167.7906
132.000000 148.932 167.7195
134.000000 148.905 167.4381
136.000000 148.881 167.1451
138.000000 148.857 166.8750
140.000000 148.834 166.6118
143.000000 148.797 166.2617
145.000000 148.771 166.0102
147.500000 148.741 165.6788
150.000000 148.711 165.3697
152.500000 148.681 165.0692
155.000000 148.649 164.8119
157.500000 148.617 164.5355
160.000000 148.587 164.2432
162.500000 148.558 163.9655
165.000000 148.529 163.6973
167.500000 148.498 163.4478
170.000000 148.466 163.1913
172.500000 148.433 162.9509
175.000000 148.404 162.6962
177.500000 148.374 162.4452
180.000000 148.345 162.2133
182.500000 148.313 161.9887
185.000000 148.281 161.7734
187.500000 148.248 161.5488
190.000000 148.216 161.3281
192.500000 148.185 161.1158
195.000000 148.157 160.9111
197.500000 148.126 160.7114
200.000000 148.096 160.5134
203.000000 148.056 160.2860
206.000000 148.017 160.0560
209.000000 147.981 159.8274
212.000000 147.947 159.6173
214.000000 147.924 159.4813
218.000000 147.874 159.1995
220.000000 147.850 159.0602
224.000000 147.799 158.8066
227.000000 147.760 158.6166
230.000000 147.726 158.4281
233.000000 147.693 158.2471
236.000000 147.656 158.0841
240.000000 147.607 157.8407
243.000000 147.569 157.6700
247.000000 147.519 157.4521
250.000000 147.485 157.2923
254.000000 147.438 157.1049
258.000000 147.392 156.9229
262.000000 147.345 156.7327
265.000000 147.309 156.5891
269.000000 147.260 156.4074
272.000000 147.225 156.2829
276.000000 147.178 156.1198
280.000000 147.135 155.9668
285.000000 147.078 155.7889
290.000000 147.019 155.6071
295.000000 146.961 155.4223
300.000000 146.904 155.2609
304.000000 146.861 155.1692
307.000000 146.828 155.0838
311.000000 146.783 154.9812
315.000000 146.739 154.8740
320.000000 146.682 154.7229
325.000000 146.627 154.6010
330.000000 146.574 154.5074
335.000000 146.521 154.4122
340.000000 146.469 154.3311
345.000000 146.416 154.2415
350.000000 146.364 154.1480
355.000000 146.311 154.0778
360.000000 146.261 154.0192
365.000000 146.212 153.9713
370.000000 146.163 153.9247
375.000000 146.112 153.8876
382.000000 146.045 153.8251
387.000000 145.997 153.7834
395.000000 145.923 153.7463
400.000000 145.876 153.7352
406.000000 145.824 153.7454
412.000000 145.768 153.7343
418.000000 145.716 153.7303
425.000000 145.653 153.7436
431.000000 145.601 153.7692
437.000000 145.550 153.7982
444.000000 145.490 153.8621
450.000000 145.439 153.8939
455.000000 145.397 153.9262
462.000000 145.343 153.9800
468.000000 145.292 154.0461
475.000000 145.238 154.1343
482.000000 145.184 154.2348
487.000000 145.147 154.3134
494.000000 145.096 154.4296
500.000000 145.053 154.5057
508.000000 145.000 154.6309
515.000000 144.954 154.7611
522.000000 144.910 154.8932
530.000000 144.857 155.0820
538.000000 144.808 155.2494
545.000000 144.769 155.3912
552.000000 144.728 155.5568
560.000000 144.681 155.7446
570.000000 144.628 156.0160
580.000000 144.573 156.2915
590.000000 144.523 156.5817
600.000000 144.476 156.8644
608.000000 144.442 157.1004
615.000000 144.413 157.3127
622.000000 144.384 157.5440
630.000000 144.350 157.8168
640.000000 144.314 158.1593
650.000000 144.282 158.5060
660.000000 144.254 158.8440
670.000000 144.228 159.2026
680.000000 144.203 159.5883
690.000000 144.182 159.9907
700.000000 144.161 160.3814
710.000000 144.148 160.7865
720.000000 144.138 161.1714
730.000000 144.131 161.5705
740.000000 144.126 161.9973
750.000000 144.123 162.4427
762.000000 144.123 162.9393
775.000000 144.132 163.4938
788.000000 144.148 164.0542
800.000000 144.170 164.5552
812.000000 144.197 165.0804
825.000000 144.228 165.6414
838.000000 144.266 166.2108
850.000000 144.308 166.6985
862.000000 144.357 167.1792
875.000000 144.416 167.6802
885.000000 144.466 168.0748
900.000000 144.542 168.6320
912.000000 144.610 169.0599
925.000000 144.691 169.5018
938.000000 144.780 169.9041
950.000000 144.864 170.2460
962.000000 144.951 170.5562
975.000000 145.051 170.8950
988.000000 145.151 171.1830
1000.000000 145.250 171.4515
1015.000000 145.372 171.6720
1030.000000 145.505 171.8869
1044.000000 145.628 172.0135
1060.000000 145.773 172.1455
1075.000000 145.911 172.2083
1090.000000 146.047 172.2402
1106.000000 146.195 172.2199
1120.000000 146.328 172.1544
1138.000000 146.498 172.0215
1150.000000 146.610 171.9102
1172.000000 146.820 171.6339
1180.000000 146.894 171.5258
1206.000000 147.137 171.0741
1220.000000 147.269 170.7995
1241.000000 147.469 170.3170
1250.000000 147.555 170.1027
1265.000000 147.697 169.7167
1280.000000 147.839 169.2967
1315.000000 148.169 168.1976
1320.000000 148.217 168.0201
1340.000000 148.408 167.2972
1360.000000 148.600 166.4919
1380.000000 148.791 165.6179
1400.000000 148.981 164.6824
1430.000000 149.262 163.1100
1450.000000 149.447 161.9606
1475.000000 149.672 160.3914
1500.000000 149.890 158.6855
1525.000000 150.095 156.8628
1550.000000 150.290 154.9274
1575.000000 150.474 152.8730
1600.000000 150.652 150.6578
1625.000000 150.816 148.2354
1650.000000 150.955 145.5917
1675.000000 151.061 142.7849
1700.000000 151.129 139.8713
1725.000000 151.157 136.8851
1750.000000 151.148 133.9087
1775.000000 151.099 130.9781
1800.000000 151.017 128.1428
1825.000000 150.901 125.4915
1850.000000 150.756 123.0574
1875.000000 150.591 120.8719
1900.000000 150.411 118.9377
1925.000000 150.224 117.3070
1950.000000 150.040 115.9439
1975.000000 149.864 114.8398
2000.000000 149.700 113.9616
2030.000000 149.533 113.2184
2060.000000 149.401 112.6577
2090.000000 149.308 112.2122
2120.000000 149.253 111.7757
2140.000000 149.238 111.4561
2180.000000 149.236 110.6313
2200.000000 149.246 110.1200
2240.000000 149.265 108.8659
2270.000000 149.271 107.7454
2300.000000 149.263 106.5213
2330.000000 149.241 105.2553
2360.000000 149.203 103.9986
2400.000000 149.132 102.3839
2430.000000 149.064 101.2408
2470.000000 148.969 99.8266
2500.000000 148.891 98.8649
2540.000000 148.798 97.7261
2580.000000 148.714 96.7254
2620.000000 148.644 95.8242
2650.000000 148.598 95.2020
2690.000000 148.554 94.4753
2720.000000 148.530 93.9381
2760.000000 148.516 93.2781
2800.000000 148.525 92.6191
2850.000000 148.562 91.8062
2900.000000 148.634 90.9421
2950.000000 148.736 90.0219
3000.000000 148.875 88.9774
3040.000000 149.007 88.0580
3070.000000 149.120 87.2778
3110.000000 149.286 86.1341
3150.000000 149.468 84.8348
3200.000000 149.706 82.9409
3250.000000 149.955 80.7357
3300.000000 150.202 78.1194
3350.000000 150.437 75.0980
3400.000000 150.645 71.6499
3450.000000 150.808 67.7787
3500.000000 150.908 63.5327
3550.000000 150.926 58.9948
3600.000000 150.851 54.3131
3650.000000 150.675 49.6599
3700.000000 150.396 45.2296
3750.000000 150.020 41.2469
3820.000000 149.359 36.7498
3870.000000 148.826 34.5084
3950.000000 147.942 32.8039
4000.000000 147.423 32.9456
4060.000000 146.904 34.2077
4120.000000 146.549 36.3771
4180.000000 146.403 38.8910
4250.000000 146.479 41.3203
4310.000000 146.675 42.2981
4370.000000 146.872 42.0586
4440.000000 146.986 40.6843
4500.000000 146.930 39.2265
4550.000000 146.796 38.3491
4620.000000 146.546 38.0707
4680.000000 146.357 38.6426
4750.000000 146.213 39.9635
4820.000000 146.197 41.5781
4870.000000 146.259 42.7877
4940.000000 146.441 44.4069
5000.000000 146.668 45.6845
5080.000000 147.066 46.9373
5150.000000 147.485 47.6307
5220.000000 147.955 47.7994
5300.000000 148.542 47.2830
5380.000000 149.150 45.8593
5450.000000 149.684 43.8206
5520.000000 150.183 40.9795
5600.000000 150.678 36.7874
5700.000000 151.114 30.3315
5800.000000 151.283 23.1698
5900.000000 151.145 16.1431
6000.000000 150.744 10.1387
