* Measurement data measured by REW V5.30
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Apr 3, 2024 3:37:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Q1 PRO 300 Apr 3
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 142.541 -151.8363
20.600000 142.554 -152.6537
20.900000 142.558 -153.3936
21.200001 142.560 -154.1240
21.400000 142.563 -154.6054
21.799999 142.572 -155.5535
22.000000 142.579 -156.0191
22.400000 142.594 -156.9300
22.700001 142.605 -157.5923
23.000000 142.615 -158.2333
23.299999 142.621 -158.8519
23.600000 142.626 -159.4504
24.000000 142.628 -160.2264
24.299999 142.629 -160.8016
24.700001 142.627 -161.5681
25.000000 142.625 -162.1408
25.400000 142.622 -162.8902
25.799999 142.620 -163.6142
26.200001 142.621 -164.3249
26.500000 142.622 -164.8677
26.900000 142.619 -165.6199
27.200001 142.609 -166.1945
27.600000 142.579 -166.9275
28.000000 142.538 -167.5515
28.500000 142.496 -168.1427
29.000000 142.490 -168.6649
29.500000 142.516 -169.3373
30.000000 142.538 -170.2189
30.400000 142.533 -170.9558
30.700001 142.515 -171.4467
31.100000 142.484 -171.9692
31.500000 142.456 -172.3755
32.000000 142.431 -172.8618
32.500000 142.408 -173.4465
33.000000 142.376 -174.1118
33.500000 142.338 -174.7678
34.000000 142.308 -175.3717
34.500000 142.288 -175.9417
35.000000 142.271 -176.4902
35.500000 142.248 -177.0070
36.000000 142.219 -177.4958
36.500000 142.187 -177.9870
37.000000 142.158 -178.5115
37.500000 142.133 -179.0764
38.200001 142.097 -179.8981
38.700001 142.062 179.5637
39.500000 141.986 178.9721
40.000000 141.950 178.7426
40.599998 141.933 178.4171
41.200001 141.926 177.9099
41.799999 141.907 177.3278
42.500000 141.863 176.7575
43.099998 141.816 176.3515
43.700001 141.763 175.9240
44.400002 141.704 175.3664
45.000000 141.664 174.8641
45.500000 141.638 174.4648
46.200001 141.599 174.0187
46.799999 141.561 173.7657
47.500000 141.512 173.4924
48.200001 141.461 173.1162
48.700001 141.427 172.8016
49.400002 141.388 172.3638
50.000000 141.359 172.0175
50.799999 141.309 171.6396
51.500000 141.259 171.3640
52.200001 141.213 171.0097
53.000000 141.158 170.5134
53.799999 141.104 170.1531
54.500000 141.074 169.9338
55.200001 141.044 169.6469
56.000000 140.989 169.2781
57.000000 140.920 168.8940
58.000000 140.851 168.5172
59.000000 140.773 168.2675
60.000000 140.716 167.9548
60.799999 140.670 167.5889
61.500000 140.630 167.3203
62.200001 140.594 167.1182
63.000000 140.553 166.8978
64.000000 140.491 166.6255
65.000000 140.433 166.3689
66.000000 140.372 166.0914
67.000000 140.303 165.8881
68.000000 140.245 165.6214
69.000000 140.177 165.3340
70.000000 140.131 165.2286
71.000000 140.096 164.9705
72.000000 140.025 164.8018
73.000000 139.974 164.6890
74.000000 139.922 164.3987
75.000000 139.868 164.2146
76.199997 139.804 164.0569
77.500000 139.733 163.9083
78.800003 139.663 163.6765
80.000000 139.603 163.6420
81.199997 139.547 163.4839
82.500000 139.483 163.2493
83.800003 139.415 163.1482
85.000000 139.356 163.0527
86.199997 139.297 162.8669
87.500000 139.242 162.7780
88.500000 139.198 162.7169
90.000000 139.123 162.6505
91.199997 139.082 162.5670
92.500000 139.018 162.4645
93.800003 138.967 162.4483
95.000000 138.910 162.3465
96.199997 138.860 162.3652
97.500000 138.809 162.2917
98.800003 138.753 162.3003
100.000000 138.708 162.2490
101.500000 138.645 162.1873
103.000000 138.588 162.1796
104.400002 138.543 162.1661
106.000000 138.474 162.1496
107.500000 138.419 162.1835
109.000000 138.352 162.1551
110.599998 138.303 162.1734
112.000000 138.255 162.1544
113.800003 138.200 162.2208
115.000000 138.149 162.2869
117.199997 138.083 162.2491
118.000000 138.065 162.3036
120.599998 137.955 162.5108
122.000000 137.918 162.3692
124.099998 137.868 162.4586
125.000000 137.823 162.4675
126.500000 137.794 162.4996
128.000000 137.764 162.6063
131.500000 137.642 162.7806
132.000000 137.633 162.7875
134.000000 137.578 162.9142
136.000000 137.531 162.9490
138.000000 137.476 163.0784
140.000000 137.427 163.1631
143.000000 137.349 163.3356
145.000000 137.312 163.4386
147.500000 137.246 163.6022
150.000000 137.180 163.7784
152.500000 137.131 163.8963
155.000000 137.077 164.0175
157.500000 137.027 164.2151
160.000000 136.972 164.3870
162.500000 136.922 164.5287
165.000000 136.876 164.7071
167.500000 136.828 164.9031
170.000000 136.784 165.0770
172.500000 136.737 165.2625
175.000000 136.689 165.4210
177.500000 136.652 165.6234
180.000000 136.609 165.7769
182.500000 136.568 165.9371
185.000000 136.537 166.1613
187.500000 136.484 166.3554
190.000000 136.450 166.4963
192.500000 136.421 166.7033
195.000000 136.384 166.9241
197.500000 136.341 167.0942
200.000000 136.322 167.2380
203.000000 136.263 167.4758
206.000000 136.250 167.7293
209.000000 136.190 167.9731
212.000000 136.168 168.1124
214.000000 136.122 168.3321
218.000000 136.094 168.6468
220.000000 136.077 168.7527
224.000000 136.018 169.0419
227.000000 135.980 169.3270
230.000000 135.964 169.5961
233.000000 135.947 169.7096
236.000000 135.907 169.8885
240.000000 135.860 170.2139
243.000000 135.843 170.5228
247.000000 135.797 170.7297
250.000000 135.763 170.9823
254.000000 135.745 171.2796
258.000000 135.711 171.5014
262.000000 135.684 171.8121
265.000000 135.659 172.0878
269.000000 135.641 172.4035
272.000000 135.614 172.6059
276.000000 135.586 172.8161
280.000000 135.561 173.1361
285.000000 135.526 173.4810
290.000000 135.495 173.8421
295.000000 135.461 174.2052
300.000000 135.436 174.5688
304.000000 135.415 174.7712
307.000000 135.400 175.0878
311.000000 135.376 175.3577
315.000000 135.359 175.5469
320.000000 135.337 175.9003
325.000000 135.320 176.2609
330.000000 135.289 176.6341
335.000000 135.271 176.9163
340.000000 135.252 177.2328
345.000000 135.231 177.5555
350.000000 135.211 177.8947
355.000000 135.194 178.2206
360.000000 135.173 178.5017
365.000000 135.159 178.7958
370.000000 135.139 179.1885
375.000000 135.138 179.5152
382.000000 135.110 179.9261
387.000000 135.091 -179.7395
395.000000 135.071 -179.2793
400.000000 135.062 -178.9204
406.000000 135.048 -178.5450
412.000000 135.023 -178.1986
418.000000 135.028 -177.8370
425.000000 135.001 -177.4225
431.000000 134.984 -177.0340
437.000000 134.980 -176.6340
444.000000 134.970 -176.2473
450.000000 134.963 -175.9116
455.000000 134.943 -175.6275
462.000000 134.943 -175.2163
468.000000 134.926 -174.8457
475.000000 134.922 -174.4263
482.000000 134.907 -174.0762
487.000000 134.915 -173.7534
494.000000 134.902 -173.3289
500.000000 134.894 -172.8694
508.000000 134.910 -172.5498
515.000000 134.885 -172.1266
522.000000 134.870 -171.6628
530.000000 134.867 -171.2732
538.000000 134.871 -170.8090
545.000000 134.867 -170.3696
552.000000 134.855 -169.8933
560.000000 134.862 -169.4754
570.000000 134.851 -168.9409
580.000000 134.856 -168.2786
590.000000 134.859 -167.6463
600.000000 134.869 -167.1707
608.000000 134.860 -166.6505
615.000000 134.866 -166.2702
622.000000 134.867 -165.8456
630.000000 134.883 -165.3605
640.000000 134.889 -164.8626
650.000000 134.896 -164.1856
660.000000 134.905 -163.6994
670.000000 134.932 -162.9699
680.000000 134.936 -162.4024
690.000000 134.947 -161.8614
700.000000 134.966 -161.2429
710.000000 134.980 -160.6086
720.000000 135.023 -160.1054
730.000000 135.029 -159.3173
740.000000 135.055 -158.8182
750.000000 135.096 -158.1625
762.000000 135.127 -157.4440
775.000000 135.159 -156.6403
788.000000 135.221 -155.9121
800.000000 135.258 -155.1710
812.000000 135.313 -154.5096
825.000000 135.364 -153.6882
838.000000 135.421 -152.9687
850.000000 135.499 -152.2514
862.000000 135.559 -151.5880
875.000000 135.632 -150.8579
885.000000 135.704 -150.3116
900.000000 135.793 -149.5924
912.000000 135.879 -148.9023
925.000000 135.971 -148.3377
938.000000 136.055 -147.7032
950.000000 136.147 -147.1960
962.000000 136.241 -146.6709
975.000000 136.339 -146.2166
988.000000 136.446 -145.6935
1000.000000 136.544 -145.3739
1015.000000 136.664 -144.8062
1030.000000 136.795 -144.3489
1044.000000 136.902 -143.9741
1060.000000 137.043 -143.5928
1075.000000 137.161 -143.2760
1090.000000 137.281 -143.0094
1106.000000 137.411 -142.7722
1120.000000 137.524 -142.5907
1138.000000 137.664 -142.3978
1150.000000 137.759 -142.3078
1172.000000 137.913 -142.1720
1180.000000 137.978 -142.1062
1206.000000 138.164 -141.9752
1220.000000 138.254 -142.0137
1241.000000 138.399 -142.0200
1250.000000 138.455 -142.0571
1265.000000 138.556 -142.0788
1280.000000 138.652 -142.2007
1315.000000 138.848 -142.6666
1320.000000 138.878 -142.7696
1340.000000 138.958 -143.1690
1360.000000 138.995 -143.5800
1380.000000 138.985 -143.8075
1400.000000 138.959 -143.5925
1430.000000 138.998 -142.6938
1450.000000 139.083 -142.1000
1475.000000 139.227 -141.5876
1500.000000 139.376 -141.2742
1525.000000 139.519 -141.1234
1550.000000 139.654 -141.0148
1575.000000 139.785 -140.9396
1600.000000 139.913 -140.9022
1625.000000 140.036 -140.9095
1650.000000 140.157 -140.8548
1675.000000 140.276 -140.8856
1700.000000 140.401 -140.9357
1725.000000 140.519 -141.0037
1750.000000 140.633 -141.0568
1775.000000 140.757 -141.1309
1800.000000 140.873 -141.2430
1825.000000 140.992 -141.3747
1850.000000 141.111 -141.5190
1875.000000 141.223 -141.6692
1900.000000 141.338 -141.8815
1925.000000 141.449 -142.0835
1950.000000 141.564 -142.3180
1975.000000 141.674 -142.5759
2000.000000 141.787 -142.8232
2030.000000 141.916 -143.1984
2060.000000 142.044 -143.5990
2090.000000 142.171 -144.0571
2120.000000 142.289 -144.5070
2140.000000 142.373 -144.8162
2180.000000 142.526 -145.5048
2200.000000 142.596 -145.9061
2240.000000 142.743 -146.6287
2270.000000 142.846 -147.2334
2300.000000 142.944 -147.8494
2330.000000 143.038 -148.4563
2360.000000 143.122 -149.1539
2400.000000 143.239 -150.0846
2430.000000 143.316 -150.7508
2470.000000 143.405 -151.7230
2500.000000 143.472 -152.4222
2540.000000 143.550 -153.3995
2580.000000 143.614 -154.3813
2620.000000 143.675 -155.3419
2650.000000 143.715 -156.0988
2690.000000 143.761 -157.0291
2720.000000 143.790 -157.7220
2760.000000 143.817 -158.6531
2800.000000 143.841 -159.5496
2850.000000 143.868 -160.6675
2900.000000 143.880 -161.7449
2950.000000 143.891 -162.7307
3000.000000 143.886 -163.7543
3040.000000 143.888 -164.4882
3070.000000 143.882 -165.0319
3110.000000 143.877 -165.7694
3150.000000 143.867 -166.4340
3200.000000 143.855 -167.2646
3250.000000 143.844 -168.0705
3300.000000 143.828 -168.8513
3350.000000 143.810 -169.5607
3400.000000 143.800 -170.2546
3450.000000 143.787 -170.9474
3500.000000 143.776 -171.6377
3550.000000 143.763 -172.2865
3600.000000 143.754 -172.9472
3650.000000 143.744 -173.6157
3700.000000 143.737 -174.2410
3750.000000 143.734 -174.9641
3820.000000 143.729 -175.8719
3870.000000 143.726 -176.5638
3950.000000 143.720 -177.7511
4000.000000 143.716 -178.5221
4060.000000 143.701 -179.4323
4120.000000 143.688 179.5519
4180.000000 143.663 178.5366
4250.000000 143.628 177.3055
4310.000000 143.590 176.1805
4370.000000 143.536 175.0397
4440.000000 143.465 173.6745
4500.000000 143.382 172.4711
4550.000000 143.308 171.4870
4620.000000 143.181 170.1305
4680.000000 143.054 168.9544
4750.000000 142.881 167.7061
4820.000000 142.698 166.4668
4870.000000 142.552 165.5856
4940.000000 142.322 164.5754
5000.000000 142.125 163.6859
5080.000000 141.818 162.8477
5150.000000 141.555 162.1882
5220.000000 141.270 161.7158
5300.000000 140.949 161.3730
5380.000000 140.615 161.2123
5450.000000 140.318 161.2784
5520.000000 140.022 161.4264
5600.000000 139.690 161.8957
5700.000000 139.283 162.6238
5800.000000 138.900 163.6573
5900.000000 138.527 164.8904
