* Measurement data measured by REW V5.30
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 22, 2024 4:52:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L EPZ STAR ONE OLNA FILTER Jan 22
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 149.219 -146.7622
20.600000 149.254 -147.5372
20.900000 149.276 -148.2274
21.200001 149.294 -148.8786
21.400000 149.309 -149.2960
21.799999 149.351 -150.1260
22.000000 149.379 -150.5591
22.400000 149.439 -151.5001
22.700001 149.482 -152.2713
23.000000 149.513 -153.0697
23.299999 149.532 -153.8489
23.600000 149.540 -154.5729
24.000000 149.542 -155.4217
24.299999 149.544 -155.9823
24.700001 149.557 -156.6801
25.000000 149.573 -157.2084
25.400000 149.600 -157.9523
25.799999 149.625 -158.7335
26.200001 149.645 -159.5144
26.500000 149.656 -160.0778
26.900000 149.667 -160.7886
27.200001 149.674 -161.2955
27.600000 149.682 -161.9490
28.000000 149.687 -162.5880
28.500000 149.689 -163.3688
29.000000 149.689 -164.1265
29.500000 149.688 -164.8702
30.000000 149.688 -165.6180
30.400000 149.685 -166.2220
30.700001 149.681 -166.6734
31.100000 149.675 -167.2629
31.500000 149.671 -167.8344
32.000000 149.672 -168.5345
32.500000 149.679 -169.2449
33.000000 149.686 -169.9765
33.500000 149.686 -170.7051
34.000000 149.677 -171.3876
34.500000 149.663 -172.0032
35.000000 149.649 -172.5702
35.500000 149.639 -173.1273
36.000000 149.628 -173.6940
36.500000 149.613 -174.2566
37.000000 149.593 -174.7891
37.500000 149.571 -175.2892
38.200001 149.542 -175.9927
38.700001 149.523 -176.5367
39.500000 149.495 -177.4424
40.000000 149.479 -177.9703
40.599998 149.463 -178.5391
41.200001 149.446 -179.0715
41.799999 149.420 -179.6136
42.500000 149.376 179.7165
43.099998 149.337 179.1199
43.700001 149.302 178.5305
44.400002 149.269 177.8948
45.000000 149.245 177.4070
45.500000 149.225 177.0157
46.200001 149.198 176.4335
46.799999 149.177 175.8847
47.500000 149.157 175.2449
48.200001 149.140 174.6973
48.700001 149.124 174.3903
49.400002 149.088 174.0526
50.000000 149.041 173.7732
50.799999 148.966 173.2712
51.500000 148.906 172.6664
52.200001 148.867 171.9969
53.000000 148.849 171.3291
53.799999 148.833 170.8827
54.500000 148.799 170.6343
55.200001 148.743 170.3701
56.000000 148.675 169.8947
57.000000 148.621 169.1278
58.000000 148.592 168.5210
59.000000 148.545 168.1389
60.000000 148.476 167.6831
60.799999 148.428 167.2149
61.500000 148.395 166.8486
62.200001 148.364 166.5666
63.000000 148.317 166.2682
64.000000 148.248 165.8098
65.000000 148.192 165.3161
66.000000 148.147 164.9048
67.000000 148.088 164.5236
68.000000 148.023 164.1055
69.000000 147.974 163.6889
70.000000 147.927 163.3262
71.000000 147.868 163.0143
72.000000 147.805 162.6857
73.000000 147.749 162.3210
74.000000 147.697 161.9742
75.000000 147.647 161.6788
76.199997 147.581 161.3405
77.500000 147.505 160.9382
78.800003 147.436 160.5405
80.000000 147.374 160.2311
81.199997 147.308 159.9450
82.500000 147.242 159.5764
83.800003 147.169 159.2802
85.000000 147.108 159.0200
86.199997 147.046 158.7316
87.500000 146.981 158.4588
88.500000 146.926 158.2556
90.000000 146.846 157.9676
91.199997 146.790 157.7345
92.500000 146.726 157.5071
93.800003 146.661 157.2791
95.000000 146.600 157.0622
96.199997 146.540 156.8839
97.500000 146.479 156.6948
98.800003 146.416 156.4994
100.000000 146.358 156.3398
101.500000 146.290 156.1254
103.000000 146.221 155.9306
104.400002 146.153 155.7854
106.000000 146.080 155.5805
107.500000 146.014 155.4173
109.000000 145.942 155.2809
110.599998 145.875 155.1175
112.000000 145.812 154.9814
113.800003 145.735 154.8621
115.000000 145.679 154.7818
117.199997 145.592 154.5803
118.000000 145.558 154.5548
120.599998 145.444 154.3978
122.000000 145.391 154.3073
124.099998 145.304 154.1753
125.000000 145.266 154.1434
126.500000 145.210 154.0750
128.000000 145.148 154.0078
131.500000 145.016 153.9286
132.000000 144.998 153.8829
134.000000 144.920 153.8577
136.000000 144.844 153.7517
138.000000 144.779 153.7684
140.000000 144.696 153.7020
143.000000 144.600 153.6804
145.000000 144.526 153.6541
147.500000 144.443 153.6703
150.000000 144.361 153.6630
152.500000 144.274 153.6555
155.000000 144.194 153.7043
157.500000 144.117 153.7230
160.000000 144.041 153.7617
162.500000 143.963 153.8118
165.000000 143.884 153.8851
167.500000 143.814 153.9353
170.000000 143.744 153.9856
172.500000 143.670 154.0743
175.000000 143.602 154.1623
177.500000 143.531 154.2538
180.000000 143.465 154.3154
182.500000 143.402 154.4171
185.000000 143.336 154.5347
187.500000 143.268 154.6503
190.000000 143.207 154.7301
192.500000 143.145 154.8473
195.000000 143.083 154.9598
197.500000 143.027 155.0921
200.000000 142.969 155.2213
203.000000 142.901 155.3482
206.000000 142.834 155.4978
209.000000 142.765 155.6921
212.000000 142.704 155.8512
214.000000 142.657 155.9624
218.000000 142.580 156.1726
220.000000 142.539 156.2976
224.000000 142.460 156.5586
227.000000 142.401 156.7050
230.000000 142.344 156.8923
233.000000 142.290 157.1113
236.000000 142.232 157.2751
240.000000 142.162 157.5328
243.000000 142.111 157.7178
247.000000 142.041 157.9915
250.000000 141.991 158.1815
254.000000 141.929 158.4287
258.000000 141.866 158.7095
262.000000 141.801 159.0279
265.000000 141.755 159.1778
269.000000 141.703 159.4442
272.000000 141.660 159.7531
276.000000 141.604 159.8327
280.000000 141.524 160.3383
285.000000 141.470 160.6920
290.000000 141.408 160.9503
295.000000 141.354 161.2481
300.000000 141.294 161.6488
304.000000 141.245 161.9068
307.000000 141.209 162.1582
311.000000 141.164 162.4487
315.000000 141.122 162.7208
320.000000 141.067 163.0631
325.000000 141.016 163.4457
330.000000 140.968 163.7750
335.000000 140.917 164.1391
340.000000 140.871 164.4892
345.000000 140.824 164.8315
350.000000 140.779 165.2107
355.000000 140.736 165.5833
360.000000 140.695 165.9473
365.000000 140.655 166.3188
370.000000 140.615 166.6492
375.000000 140.570 167.0096
382.000000 140.524 167.5057
387.000000 140.488 167.8620
395.000000 140.430 168.4318
400.000000 140.396 168.7825
406.000000 140.366 169.2084
412.000000 140.323 169.6176
418.000000 140.290 170.0456
425.000000 140.247 170.5187
431.000000 140.215 170.9411
437.000000 140.181 171.3657
444.000000 140.144 171.8238
450.000000 140.119 172.2518
455.000000 140.096 172.5948
462.000000 140.060 173.1129
468.000000 140.039 173.4937
475.000000 140.006 174.0102
482.000000 139.983 174.4474
487.000000 139.958 174.8256
494.000000 139.935 175.3320
500.000000 139.902 175.7333
508.000000 139.892 176.2326
515.000000 139.869 176.6975
522.000000 139.840 177.2026
530.000000 139.822 177.7234
538.000000 139.794 178.2714
545.000000 139.785 178.6963
552.000000 139.764 179.2207
560.000000 139.745 179.7926
570.000000 139.722 -179.6052
580.000000 139.710 -178.9246
590.000000 139.693 -178.2716
600.000000 139.684 -177.5556
608.000000 139.677 -177.0550
615.000000 139.660 -176.5766
622.000000 139.661 -176.0682
630.000000 139.649 -175.5657
640.000000 139.646 -174.8825
650.000000 139.650 -174.1864
660.000000 139.647 -173.5522
670.000000 139.648 -172.8639
680.000000 139.648 -172.1849
690.000000 139.659 -171.5326
700.000000 139.667 -170.9009
710.000000 139.678 -170.2129
720.000000 139.687 -169.5593
730.000000 139.707 -168.8837
740.000000 139.722 -168.2273
750.000000 139.746 -167.5373
762.000000 139.772 -166.7425
775.000000 139.809 -165.9069
788.000000 139.847 -165.0619
800.000000 139.885 -164.3034
812.000000 139.933 -163.5134
825.000000 139.983 -162.6835
838.000000 140.041 -161.9039
850.000000 140.098 -161.1836
862.000000 140.157 -160.4527
875.000000 140.230 -159.6659
885.000000 140.286 -159.1183
900.000000 140.375 -158.2993
912.000000 140.454 -157.6863
925.000000 140.542 -157.0056
938.000000 140.631 -156.3909
950.000000 140.716 -155.8063
962.000000 140.805 -155.3280
975.000000 140.900 -154.7816
988.000000 141.001 -154.2623
1000.000000 141.092 -153.8654
1015.000000 141.212 -153.3238
1030.000000 141.331 -152.8788
1044.000000 141.438 -152.4780
1060.000000 141.564 -152.0891
1075.000000 141.682 -151.7516
1090.000000 141.803 -151.4059
1106.000000 141.928 -151.1362
1120.000000 142.028 -150.9068
1138.000000 142.169 -150.7038
1150.000000 142.260 -150.5617
1172.000000 142.415 -150.3990
1180.000000 142.476 -150.3410
1206.000000 142.653 -150.1967
1220.000000 142.744 -150.1655
1241.000000 142.875 -150.1597
1250.000000 142.931 -150.1515
1265.000000 143.014 -150.1601
1280.000000 143.096 -150.1679
1315.000000 143.289 -150.2209
1320.000000 143.314 -150.2176
1340.000000 143.418 -150.2848
1360.000000 143.515 -150.3126
1380.000000 143.606 -150.3477
1400.000000 143.699 -150.3930
1430.000000 143.834 -150.4622
1450.000000 143.917 -150.4995
1475.000000 144.024 -150.5562
1500.000000 144.125 -150.6107
1525.000000 144.231 -150.6694
1550.000000 144.329 -150.7072
1575.000000 144.432 -150.7911
1600.000000 144.533 -150.8517
1625.000000 144.634 -150.9073
1650.000000 144.734 -151.0050
1675.000000 144.839 -151.0667
1700.000000 144.938 -151.1446
1725.000000 145.042 -151.2567
1750.000000 145.145 -151.3839
1775.000000 145.249 -151.4884
1800.000000 145.350 -151.6524
1825.000000 145.456 -151.8265
1850.000000 145.560 -151.9854
1875.000000 145.665 -152.1995
1900.000000 145.770 -152.4136
1925.000000 145.871 -152.6326
1950.000000 145.975 -152.9032
1975.000000 146.083 -153.1631
2000.000000 146.183 -153.4280
2030.000000 146.305 -153.8471
2060.000000 146.426 -154.2436
2090.000000 146.547 -154.6615
2120.000000 146.667 -155.1464
2140.000000 146.745 -155.4615
2180.000000 146.900 -156.1571
2200.000000 146.977 -156.5271
2240.000000 147.129 -157.3053
2270.000000 147.241 -157.9361
2300.000000 147.348 -158.5799
2330.000000 147.453 -159.2635
2360.000000 147.557 -159.9905
2400.000000 147.688 -160.9758
2430.000000 147.781 -161.7713
2470.000000 147.898 -162.8562
2500.000000 147.983 -163.7172
2540.000000 148.087 -164.8721
2580.000000 148.184 -166.0925
2620.000000 148.269 -167.3189
2650.000000 148.331 -168.2838
2690.000000 148.400 -169.5476
2720.000000 148.448 -170.5435
2760.000000 148.502 -171.8632
2800.000000 148.546 -173.1962
2850.000000 148.591 -174.8506
2900.000000 148.620 -176.5376
2950.000000 148.636 -178.2225
3000.000000 148.636 -179.8959
3040.000000 148.628 178.7871
3070.000000 148.620 177.8031
3110.000000 148.598 176.5128
3150.000000 148.573 175.2205
3200.000000 148.531 173.6682
3250.000000 148.474 172.1053
3300.000000 148.407 170.6071
3350.000000 148.339 169.1363
3400.000000 148.257 167.6942
3450.000000 148.170 166.3142
3500.000000 148.076 164.9626
3550.000000 147.972 163.6317
3600.000000 147.864 162.3479
3650.000000 147.747 161.1353
3700.000000 147.628 159.8998
3750.000000 147.505 158.7408
3820.000000 147.320 157.2073
3870.000000 147.178 156.1223
3950.000000 146.951 154.5253
4000.000000 146.804 153.5298
4060.000000 146.613 152.4579
4120.000000 146.421 151.3983
4180.000000 146.224 150.4223
4250.000000 145.980 149.3824
4310.000000 145.767 148.5236
4370.000000 145.553 147.8009
4440.000000 145.289 146.9739
4500.000000 145.058 146.3825
4550.000000 144.866 145.9532
4620.000000 144.593 145.4232
4680.000000 144.351 145.0778
4750.000000 144.074 144.8398
4820.000000 143.787 144.6753
4870.000000 143.591 144.6090
4940.000000 143.314 144.6944
5000.000000 143.086 144.7877
5080.000000 142.762 145.0291
5150.000000 142.506 145.3568
5220.000000 142.241 145.7936
5300.000000 141.946 146.4091
5380.000000 141.658 147.2137
5450.000000 141.420 147.9210
5520.000000 141.180 148.7697
5600.000000 140.923 149.8032
5700.000000 140.619 151.2632
5800.000000 140.336 152.8426
5900.000000 140.074 154.5005
6000.000000 139.826 156.3036
6080.000000 139.658 157.8715
