* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jul 23, 2024 1:23:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L ESTRELLA FINAL CLEAR
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 84.642 31.5350
20.600000 84.661 30.6785
20.900000 84.673 29.9012
21.200001 84.685 29.1250
21.400000 84.693 28.6059
21.799999 84.711 27.5677
22.000000 84.721 27.0525
22.400000 84.738 26.0412
22.700001 84.749 25.3072
23.000000 84.759 24.5966
23.299999 84.767 23.9047
23.600000 84.775 23.2245
24.000000 84.782 22.3238
24.299999 84.787 21.6476
24.700001 84.790 20.7469
25.000000 84.792 20.0790
25.400000 84.793 19.2096
25.799999 84.795 18.3720
26.200001 84.797 17.5645
26.500000 84.798 16.9736
26.900000 84.798 16.1993
27.200001 84.796 15.6275
27.600000 84.789 14.8783
28.000000 84.781 14.1465
28.500000 84.770 13.2517
29.000000 84.760 12.3657
29.500000 84.750 11.4825
30.000000 84.737 10.6137
30.400000 84.724 9.9386
30.700001 84.714 9.4439
31.100000 84.701 8.7925
31.500000 84.689 8.1431
32.000000 84.672 7.3340
32.500000 84.653 6.5455
33.000000 84.633 5.7966
33.500000 84.614 5.0854
34.000000 84.594 4.3947
34.500000 84.572 3.7131
35.000000 84.546 3.0389
35.500000 84.519 2.3693
36.000000 84.492 1.6986
36.500000 84.466 1.0296
37.000000 84.441 0.3777
37.500000 84.416 -0.2462
38.200001 84.381 -1.0848
38.700001 84.354 -1.6750
39.500000 84.303 -2.6028
40.000000 84.271 -3.1665
40.599998 84.235 -3.8366
41.200001 84.203 -4.5100
41.799999 84.171 -5.1769
42.500000 84.128 -5.9226
43.099998 84.086 -6.5232
43.700001 84.044 -7.0968
44.400002 83.997 -7.7610
45.000000 83.960 -8.3443
45.500000 83.930 -8.8311
46.200001 83.887 -9.4879
46.799999 83.850 -10.0262
47.500000 83.804 -10.6473
48.200001 83.752 -11.2522
48.700001 83.713 -11.6555
49.400002 83.663 -12.1874
50.000000 83.627 -12.6569
50.799999 83.576 -13.3257
51.500000 83.524 -13.8778
52.200001 83.473 -14.3699
53.000000 83.420 -14.9590
53.799999 83.359 -15.5817
54.500000 83.303 -16.0589
55.200001 83.257 -16.5060
56.000000 83.206 -17.0579
57.000000 83.129 -17.7003
58.000000 83.056 -18.2939
59.000000 82.985 -18.8802
60.000000 82.916 -19.4456
60.799999 82.857 -19.9093
61.500000 82.807 -20.2901
62.200001 82.764 -20.6961
63.000000 82.706 -21.1834
64.000000 82.622 -21.6228
65.000000 82.555 -22.0588
66.000000 82.480 -22.5882
67.000000 82.410 -23.0211
68.000000 82.343 -23.4794
69.000000 82.268 -23.8876
70.000000 82.204 -24.3099
71.000000 82.131 -24.7112
72.000000 82.059 -25.0161
73.000000 81.986 -25.4200
74.000000 81.906 -25.8189
75.000000 81.838 -26.1919
76.199997 81.753 -26.6257
77.500000 81.665 -27.0403
78.800003 81.579 -27.4412
80.000000 81.501 -27.7971
81.199997 81.411 -28.1159
82.500000 81.319 -28.4640
83.800003 81.231 -28.8174
85.000000 81.155 -29.1208
86.199997 81.073 -29.3851
87.500000 80.985 -29.6608
88.500000 80.918 -29.8839
90.000000 80.823 -30.1645
91.199997 80.739 -30.4036
92.500000 80.651 -30.6501
93.800003 80.568 -30.9222
95.000000 80.494 -31.0450
96.199997 80.422 -31.2457
97.500000 80.338 -31.4373
98.800003 80.260 -31.5931
100.000000 80.185 -31.7359
101.500000 80.093 -31.9282
103.000000 80.004 -32.0675
104.400002 79.917 -32.2244
106.000000 79.828 -32.3840
107.500000 79.741 -32.4759
109.000000 79.650 -32.6082
110.599998 79.566 -32.6800
112.000000 79.479 -32.7958
113.800003 79.379 -32.8832
115.000000 79.316 -32.9282
117.199997 79.193 -33.0061
118.000000 79.150 -33.0392
120.599998 79.011 -33.1118
122.000000 78.939 -33.1233
124.099998 78.831 -33.1431
125.000000 78.784 -33.1253
126.500000 78.712 -33.1111
128.000000 78.634 -33.1205
131.500000 78.468 -33.1137
132.000000 78.444 -33.1032
134.000000 78.350 -33.0305
136.000000 78.262 -32.9716
138.000000 78.160 -32.9457
140.000000 78.079 -32.8473
143.000000 77.941 -32.6289
145.000000 77.846 -32.6034
147.500000 77.740 -32.5080
150.000000 77.630 -32.2999
152.500000 77.530 -32.1288
155.000000 77.414 -31.9847
157.500000 77.307 -31.6995
160.000000 77.213 -31.5824
162.500000 77.119 -31.3137
165.000000 77.019 -31.0322
167.500000 76.917 -30.7186
170.000000 76.822 -30.4058
172.500000 76.720 -30.0355
175.000000 76.629 -29.6027
177.500000 76.532 -29.1220
180.000000 76.445 -28.5540
182.500000 76.385 -27.8980
185.000000 76.315 -27.2853
187.500000 76.290 -26.4859
190.000000 76.314 -25.8252
192.500000 76.308 -25.3023
195.000000 76.344 -25.0085
197.500000 76.369 -24.9149
200.000000 76.378 -24.8954
203.000000 76.368 -25.0658
206.000000 76.337 -25.1271
209.000000 76.287 -25.1582
212.000000 76.228 -25.1992
214.000000 76.186 -25.1674
218.000000 76.102 -25.0535
220.000000 76.053 -24.9591
224.000000 75.969 -24.7535
227.000000 75.905 -24.5530
230.000000 75.847 -24.4125
233.000000 75.783 -24.1145
236.000000 75.727 -23.8772
240.000000 75.651 -23.5575
243.000000 75.598 -23.3009
247.000000 75.530 -22.9551
250.000000 75.482 -22.6759
254.000000 75.422 -22.3402
258.000000 75.361 -21.9554
262.000000 75.306 -21.5976
265.000000 75.265 -21.3240
269.000000 75.214 -20.9894
272.000000 75.174 -20.7218
276.000000 75.119 -20.3770
280.000000 75.069 -20.0340
285.000000 75.010 -19.5993
290.000000 74.954 -19.1902
295.000000 74.895 -18.7628
300.000000 74.836 -18.3163
304.000000 74.788 -17.9777
307.000000 74.751 -17.7345
311.000000 74.704 -17.3574
315.000000 74.660 -16.9987
320.000000 74.601 -16.4883
325.000000 74.543 -16.0192
330.000000 74.485 -15.4613
335.000000 74.429 -14.8752
340.000000 74.379 -14.2011
345.000000 74.342 -13.4179
350.000000 74.336 -12.5829
355.000000 74.366 -11.8012
360.000000 74.424 -11.3145
365.000000 74.470 -11.0861
370.000000 74.488 -11.0001
375.000000 74.485 -10.9342
382.000000 74.451 -10.7469
387.000000 74.421 -10.5834
395.000000 74.371 -10.1891
400.000000 74.335 -9.9135
406.000000 74.303 -9.5879
412.000000 74.268 -9.2020
418.000000 74.238 -8.8307
425.000000 74.201 -8.3601
431.000000 74.172 -7.9791
437.000000 74.147 -7.6070
444.000000 74.117 -7.1429
450.000000 74.091 -6.7685
455.000000 74.072 -6.4182
462.000000 74.041 -5.9398
468.000000 74.021 -5.5790
475.000000 73.999 -5.0982
482.000000 73.981 -4.6724
487.000000 73.963 -4.3361
494.000000 73.940 -3.8936
500.000000 73.925 -3.5188
508.000000 73.898 -3.0172
515.000000 73.885 -2.5637
522.000000 73.869 -2.1533
530.000000 73.848 -1.7010
538.000000 73.824 -1.2042
545.000000 73.792 -0.7610
552.000000 73.776 -0.2561
560.000000 73.762 0.2674
570.000000 73.744 0.9660
580.000000 73.723 1.6419
590.000000 73.707 2.3106
600.000000 73.689 2.9693
608.000000 73.679 3.5718
615.000000 73.677 4.0564
622.000000 73.673 4.5448
630.000000 73.672 5.1164
640.000000 73.674 5.7918
650.000000 73.680 6.4650
660.000000 73.689 7.1329
670.000000 73.697 7.7587
680.000000 73.706 8.3765
690.000000 73.722 9.0226
700.000000 73.732 9.6410
710.000000 73.744 10.2742
720.000000 73.757 10.8943
730.000000 73.774 11.5197
740.000000 73.787 12.1173
750.000000 73.806 12.7871
762.000000 73.834 13.5212
775.000000 73.864 14.3300
788.000000 73.900 15.1477
800.000000 73.936 15.8829
812.000000 73.971 16.6301
825.000000 74.015 17.4343
838.000000 74.064 18.1871
850.000000 74.118 18.9217
862.000000 74.170 19.6082
875.000000 74.234 20.3791
885.000000 74.283 20.9428
900.000000 74.363 21.7537
912.000000 74.430 22.3643
925.000000 74.509 23.0330
938.000000 74.589 23.7057
950.000000 74.667 24.2448
962.000000 74.744 24.8210
975.000000 74.831 25.3799
988.000000 74.922 25.9383
1000.000000 74.999 26.3230
1015.000000 75.115 26.9264
1030.000000 75.229 27.4124
1044.000000 75.327 27.8734
1060.000000 75.447 28.3130
1075.000000 75.561 28.6963
1090.000000 75.671 29.0387
1106.000000 75.787 29.3764
1120.000000 75.881 29.6151
1138.000000 76.012 29.9089
1150.000000 76.089 30.0790
1172.000000 76.240 30.3355
1180.000000 76.293 30.4318
1206.000000 76.457 30.6718
1220.000000 76.546 30.7365
1241.000000 76.665 30.8749
1250.000000 76.714 30.9168
1265.000000 76.803 30.9970
1280.000000 76.878 31.0531
1315.000000 77.060 31.1624
1320.000000 77.084 31.2034
1340.000000 77.180 31.2111
1360.000000 77.279 31.2713
1380.000000 77.366 31.2979
1400.000000 77.456 31.3081
1430.000000 77.587 31.3797
1450.000000 77.676 31.3957
1475.000000 77.779 31.4197
1500.000000 77.881 31.4478
1525.000000 77.986 31.4344
1550.000000 78.087 31.4615
1575.000000 78.187 31.4464
1600.000000 78.283 31.4407
1625.000000 78.383 31.4159
1650.000000 78.483 31.3843
1675.000000 78.580 31.3250
1700.000000 78.680 31.2667
1725.000000 78.777 31.1819
1750.000000 78.875 31.0972
1775.000000 78.970 30.9764
1800.000000 79.067 30.8589
1825.000000 79.160 30.6792
1850.000000 79.257 30.5064
1875.000000 79.351 30.3320
1900.000000 79.439 30.1056
1925.000000 79.530 29.8700
1950.000000 79.615 29.6275
1975.000000 79.700 29.3262
2000.000000 79.778 29.1045
2030.000000 79.883 28.6743
2060.000000 79.974 28.2722
2090.000000 80.063 27.8618
2120.000000 80.151 27.4167
2140.000000 80.203 27.1186
2180.000000 80.305 26.5041
2200.000000 80.356 26.1768
2240.000000 80.446 25.5288
2270.000000 80.507 25.0232
2300.000000 80.567 24.5105
2330.000000 80.622 24.0210
2360.000000 80.673 23.5216
2400.000000 80.735 22.8747
2430.000000 80.782 22.3855
2470.000000 80.838 21.7591
2500.000000 80.880 21.2786
2540.000000 80.938 20.6305
2580.000000 81.001 19.9683
2620.000000 81.056 19.2662
2650.000000 81.099 18.6821
2690.000000 81.151 17.8360
2720.000000 81.183 17.1506
2760.000000 81.207 16.1907
2800.000000 81.209 15.1874
2850.000000 81.176 14.0169
2900.000000 81.107 13.0304
2950.000000 81.025 12.3196
3000.000000 80.950 11.8948
3040.000000 80.891 11.5858
3070.000000 80.858 11.4720
3110.000000 80.822 11.3712
3150.000000 80.801 11.3288
3200.000000 80.789 11.2837
3250.000000 80.794 11.2898
3300.000000 80.823 11.2171
3350.000000 80.860 11.1684
3400.000000 80.916 11.0106
3450.000000 80.979 10.7674
3500.000000 81.049 10.4397
3550.000000 81.122 9.9325
3600.000000 81.189 9.3608
3650.000000 81.242 8.6714
3700.000000 81.279 7.8755
3750.000000 81.295 7.0850
3820.000000 81.290 6.1114
3870.000000 81.275 5.5436
3950.000000 81.256 4.8234
4000.000000 81.241 4.4666
4060.000000 81.238 4.7210
4120.000000 81.572 4.6792
4180.000000 81.681 2.4918
4250.000000 81.670 0.6363
4310.000000 81.660 -0.7243
4370.000000 81.643 -2.1476
4440.000000 81.597 -3.9062
4500.000000 81.518 -5.4545
4550.000000 81.433 -6.7554
4620.000000 81.267 -8.4560
4680.000000 81.093 -9.7869
4750.000000 80.852 -11.1179
4820.000000 80.583 -12.1915
4870.000000 80.379 -12.7785
4940.000000 80.081 -13.2986
5000.000000 79.830 -13.4875
5080.000000 79.486 -13.4503
5150.000000 79.208 -13.1154
5220.000000 78.943 -12.5215
5300.000000 78.661 -11.5717
5380.000000 78.422 -10.4565
5450.000000 78.231 -9.2613
5520.000000 78.074 -7.9872
5600.000000 77.935 -6.4938
5700.000000 77.812 -4.4713
5800.000000 77.757 -2.5088
