* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jul 23, 2024 1:55:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L e clear 77
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 147.341 29.8413
20.600000 147.360 29.2288
20.900000 147.373 28.6796
21.200001 147.386 28.1292
21.400000 147.395 27.7579
21.799999 147.415 27.0093
22.000000 147.425 26.6364
22.400000 147.445 25.9075
22.700001 147.460 25.3849
23.000000 147.473 24.8861
23.299999 147.486 24.4065
23.600000 147.498 23.9397
24.000000 147.513 23.3265
24.299999 147.523 22.8683
24.700001 147.534 22.2593
25.000000 147.541 21.8067
25.400000 147.550 21.2136
25.799999 147.559 20.6369
26.200001 147.568 20.0796
26.500000 147.574 19.6746
26.900000 147.581 19.1511
27.200001 147.586 18.7687
27.600000 147.591 18.2684
28.000000 147.596 17.7745
28.500000 147.600 17.1626
29.000000 147.602 16.5594
29.500000 147.603 15.9707
30.000000 147.604 15.3999
30.400000 147.605 14.9556
30.700001 147.605 14.6288
31.100000 147.605 14.2011
31.500000 147.605 13.7821
32.000000 147.603 13.2696
32.500000 147.601 12.7681
33.000000 147.598 12.2763
33.500000 147.595 11.7949
34.000000 147.590 11.3250
34.500000 147.586 10.8665
35.000000 147.582 10.4172
35.500000 147.577 9.9748
36.000000 147.571 9.5391
36.500000 147.565 9.1129
37.000000 147.556 8.6992
37.500000 147.548 8.2980
38.200001 147.537 7.7497
38.700001 147.529 7.3633
39.500000 147.517 6.7558
40.000000 147.508 6.3864
40.599998 147.497 5.9545
41.200001 147.484 5.5350
41.799999 147.472 5.1254
42.500000 147.458 4.6535
43.099998 147.445 4.2550
43.700001 147.432 3.8708
44.400002 147.417 3.4412
45.000000 147.404 3.0770
45.500000 147.393 2.7727
46.200001 147.378 2.3526
46.799999 147.364 2.0013
47.500000 147.349 1.5989
48.200001 147.334 1.2092
48.700001 147.323 0.9403
49.400002 147.306 0.5719
50.000000 147.290 0.2583
50.799999 147.267 -0.1667
51.500000 147.247 -0.5409
52.200001 147.227 -0.8894
53.000000 147.210 -1.2643
53.799999 147.189 -1.6482
54.500000 147.166 -1.9617
55.200001 147.148 -2.2835
56.000000 147.127 -2.7015
57.000000 147.099 -3.0267
58.000000 147.108 -3.3200
59.000000 147.074 -3.9194
60.000000 147.008 -4.2952
60.799999 146.988 -4.5877
61.500000 146.970 -4.9067
62.200001 146.949 -5.1617
63.000000 146.931 -5.4375
64.000000 146.897 -5.8227
65.000000 146.864 -6.1572
66.000000 146.835 -6.5195
67.000000 146.805 -6.8359
68.000000 146.777 -7.1463
69.000000 146.745 -7.4622
70.000000 146.714 -7.7969
71.000000 146.683 -8.1105
72.000000 146.650 -8.3863
73.000000 146.613 -8.6320
74.000000 146.586 -8.9091
75.000000 146.560 -9.2735
76.199997 146.523 -9.5561
77.500000 146.484 -9.8725
78.800003 146.433 -10.2141
80.000000 146.408 -10.5643
81.199997 146.371 -10.8128
82.500000 146.332 -11.0690
83.800003 146.286 -11.3622
85.000000 146.251 -11.6281
86.199997 146.214 -11.8704
87.500000 146.176 -12.2168
88.500000 146.139 -12.3530
90.000000 146.097 -12.6088
91.199997 146.056 -12.8191
92.500000 146.023 -13.0724
93.800003 145.978 -13.2817
95.000000 145.944 -13.4944
96.199997 145.906 -13.6991
97.500000 145.858 -13.8865
98.800003 145.823 -14.1008
100.000000 145.793 -14.3075
101.500000 145.744 -14.5029
103.000000 145.698 -14.7076
104.400002 145.656 -14.8755
106.000000 145.601 -15.0612
107.500000 145.559 -15.2840
109.000000 145.513 -15.4727
110.599998 145.448 -15.6035
112.000000 145.430 -15.8314
113.800003 145.374 -15.9317
115.000000 145.333 -16.0364
117.199997 145.260 -16.2225
118.000000 145.248 -16.3372
120.599998 145.194 -16.5777
122.000000 145.139 -16.6622
124.099998 145.089 -16.9014
125.000000 145.059 -16.9916
126.500000 145.014 -17.0428
128.000000 144.977 -17.2259
131.500000 144.873 -17.4401
132.000000 144.856 -17.4568
134.000000 144.806 -17.6415
136.000000 144.750 -17.6982
138.000000 144.698 -17.7869
140.000000 144.618 -17.8318
143.000000 144.546 -18.0336
145.000000 144.489 -18.0360
147.500000 144.435 -18.1321
150.000000 144.363 -18.2751
152.500000 144.293 -18.2739
155.000000 144.229 -18.3125
157.500000 144.157 -18.2635
160.000000 144.104 -18.4595
162.500000 144.024 -18.2917
165.000000 143.970 -18.2957
167.500000 143.907 -18.3040
170.000000 143.836 -18.3329
172.500000 143.771 -18.2670
175.000000 143.694 -18.0954
177.500000 143.621 -18.0162
180.000000 143.544 -17.7579
182.500000 143.481 -17.4499
185.000000 143.434 -17.0080
187.500000 143.400 -16.5311
190.000000 143.406 -16.0514
192.500000 143.436 -15.8069
195.000000 143.464 -15.7660
197.500000 143.485 -15.8009
200.000000 143.481 -16.0740
203.000000 143.462 -16.3750
206.000000 143.419 -16.5786
209.000000 143.360 -16.7026
212.000000 143.321 -17.0637
214.000000 143.274 -16.8615
218.000000 143.185 -16.8490
220.000000 143.154 -16.9114
224.000000 143.076 -16.7739
227.000000 143.023 -16.7086
230.000000 142.974 -16.6454
233.000000 142.917 -16.4983
236.000000 142.882 -16.3955
240.000000 142.833 -16.2516
243.000000 142.794 -16.1226
247.000000 142.742 -16.0349
250.000000 142.705 -15.9412
254.000000 142.655 -15.8453
258.000000 142.601 -15.7597
262.000000 142.556 -15.5670
265.000000 142.509 -15.5639
269.000000 142.457 -15.4255
272.000000 142.417 -15.3001
276.000000 142.364 -15.1644
280.000000 142.313 -15.0091
285.000000 142.246 -14.8087
290.000000 142.177 -14.6142
295.000000 142.115 -14.3459
300.000000 142.051 -14.0939
304.000000 142.005 -13.8612
307.000000 141.964 -13.6634
311.000000 141.922 -13.4071
315.000000 141.876 -13.1546
320.000000 141.833 -12.8090
325.000000 141.798 -12.4910
330.000000 141.759 -12.1672
335.000000 141.725 -11.9046
340.000000 141.688 -11.6585
345.000000 141.652 -11.4001
350.000000 141.613 -11.1688
355.000000 141.572 -10.8789
360.000000 141.533 -10.6082
365.000000 141.494 -10.3093
370.000000 141.461 -10.0404
375.000000 141.431 -9.7055
382.000000 141.386 -9.2998
387.000000 141.364 -9.0315
395.000000 141.331 -8.6132
400.000000 141.307 -8.3787
406.000000 141.273 -8.1125
412.000000 141.241 -7.8606
418.000000 141.207 -7.5811
425.000000 141.163 -7.2465
431.000000 141.131 -6.9431
437.000000 141.098 -6.6384
444.000000 141.057 -6.3064
450.000000 141.023 -5.9793
455.000000 140.994 -5.7229
462.000000 140.960 -5.3586
468.000000 140.932 -5.0252
475.000000 140.900 -4.6254
482.000000 140.864 -4.2573
487.000000 140.843 -3.9741
494.000000 140.812 -3.6046
500.000000 140.787 -3.2531
508.000000 140.756 -2.8058
515.000000 140.727 -2.4074
522.000000 140.704 -2.0601
530.000000 140.665 -1.6375
538.000000 140.630 -1.2455
545.000000 140.596 -0.7980
552.000000 140.564 -0.3146
560.000000 140.540 0.1757
570.000000 140.511 0.8061
580.000000 140.478 1.3666
590.000000 140.453 2.0278
600.000000 140.421 2.7009
608.000000 140.406 3.2524
615.000000 140.393 3.7430
622.000000 140.388 4.2169
630.000000 140.378 4.7569
640.000000 140.369 5.4257
650.000000 140.368 6.0475
660.000000 140.369 6.6783
670.000000 140.372 7.3011
680.000000 140.365 7.8678
690.000000 140.376 8.5136
700.000000 140.377 9.1008
710.000000 140.381 9.7461
720.000000 140.384 10.3624
730.000000 140.392 10.9548
740.000000 140.402 11.5698
750.000000 140.415 12.1881
762.000000 140.436 12.9496
775.000000 140.458 13.7382
788.000000 140.481 14.5175
800.000000 140.508 15.2805
812.000000 140.537 16.0095
825.000000 140.580 16.7751
838.000000 140.619 17.5665
850.000000 140.663 18.2494
862.000000 140.714 18.9788
875.000000 140.767 19.7275
885.000000 140.812 20.2785
900.000000 140.885 21.1115
912.000000 140.949 21.7447
925.000000 141.020 22.4356
938.000000 141.090 23.0691
950.000000 141.162 23.6665
962.000000 141.237 24.1757
975.000000 141.325 24.7675
988.000000 141.410 25.3106
1000.000000 141.484 25.8944
1015.000000 141.588 26.3633
1030.000000 141.698 26.8603
1044.000000 141.789 27.2907
1060.000000 141.906 27.7765
1075.000000 142.011 28.1372
1090.000000 142.118 28.5215
1106.000000 142.227 28.8409
1120.000000 142.324 29.1552
1138.000000 142.446 29.4456
1150.000000 142.525 29.6565
1172.000000 142.669 29.9239
1180.000000 142.717 30.0105
1206.000000 142.878 30.2870
1220.000000 142.962 30.4008
1241.000000 143.079 30.5530
1250.000000 143.130 30.6128
1265.000000 143.215 30.7043
1280.000000 143.294 30.7655
1315.000000 143.474 30.9198
1320.000000 143.495 30.9509
1340.000000 143.593 31.0208
1360.000000 143.686 31.0801
1380.000000 143.776 31.1543
1400.000000 143.866 31.1836
1430.000000 143.994 31.2518
1450.000000 144.079 31.3165
1475.000000 144.181 31.3566
1500.000000 144.290 31.3706
1525.000000 144.387 31.4406
1550.000000 144.491 31.4447
1575.000000 144.589 31.4740
1600.000000 144.696 31.4474
1625.000000 144.791 31.4330
1650.000000 144.892 31.4176
1675.000000 144.992 31.3792
1700.000000 145.091 31.3057
1725.000000 145.186 31.2300
1750.000000 145.287 31.1439
1775.000000 145.382 31.0478
1800.000000 145.480 30.9198
1825.000000 145.574 30.7699
1850.000000 145.666 30.6010
1875.000000 145.761 30.3826
1900.000000 145.854 30.2104
1925.000000 145.942 29.9855
1950.000000 146.028 29.7126
1975.000000 146.115 29.4786
2000.000000 146.201 29.0843
2030.000000 146.297 28.7865
2060.000000 146.390 28.4160
2090.000000 146.480 28.0147
2120.000000 146.567 27.5763
2140.000000 146.618 27.2723
2180.000000 146.723 26.6558
2200.000000 146.771 26.3475
2240.000000 146.864 25.7015
2270.000000 146.925 25.2081
2300.000000 146.981 24.7265
2330.000000 147.039 24.2220
2360.000000 147.088 23.7499
2400.000000 147.152 23.1137
2430.000000 147.198 22.6343
2470.000000 147.255 22.0369
2500.000000 147.300 21.5544
2540.000000 147.361 20.9530
2580.000000 147.420 20.3145
2620.000000 147.487 19.6253
2650.000000 147.533 19.0675
2690.000000 147.594 18.2286
2720.000000 147.635 17.5198
2760.000000 147.667 16.5087
2800.000000 147.674 15.4273
2850.000000 147.632 14.1618
2900.000000 147.553 13.1587
2950.000000 147.464 12.4478
3000.000000 147.379 12.0503
3040.000000 147.324 11.7745
3070.000000 147.288 11.6936
3110.000000 147.252 11.5849
3150.000000 147.232 11.5603
3200.000000 147.222 11.5318
3250.000000 147.230 11.5018
3300.000000 147.254 11.4749
3350.000000 147.300 11.3852
3400.000000 147.352 11.2180
3450.000000 147.414 10.9775
3500.000000 147.480 10.6030
3550.000000 147.549 10.1367
3600.000000 147.606 9.5511
3650.000000 147.656 8.8978
3700.000000 147.682 8.1759
3750.000000 147.702 7.4808
3820.000000 147.706 6.6289
3870.000000 147.703 6.0821
3950.000000 147.695 5.3682
4000.000000 147.681 5.0885
4060.000000 147.686 5.3103
4120.000000 148.035 5.2087
4180.000000 148.141 3.0204
4250.000000 148.135 1.1709
4310.000000 148.126 -0.2033
4370.000000 148.113 -1.6223
4440.000000 148.069 -3.4164
4500.000000 147.998 -4.9590
4550.000000 147.903 -6.2220
4620.000000 147.747 -7.9433
4680.000000 147.578 -9.2637
4750.000000 147.341 -10.6205
4820.000000 147.074 -11.6877
4870.000000 146.878 -12.2611
4940.000000 146.584 -12.7844
5000.000000 146.324 -13.0011
5080.000000 145.998 -12.9174
5150.000000 145.726 -12.6369
5220.000000 145.464 -12.0458
5300.000000 145.194 -11.1368
5380.000000 144.959 -10.0268
5450.000000 144.777 -8.8742
5520.000000 144.627 -7.6141
5600.000000 144.492 -6.1649
5700.000000 144.381 -4.2362
5800.000000 144.320 -2.3138
5900.000000 144.326 -0.5388
6000.000000 144.368 1.0901
