* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jul 23, 2024 1:58:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L e sancai 81
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 145.499 49.3460
20.600000 145.542 48.5481
20.900000 145.575 47.8382
21.200001 145.605 47.1440
21.400000 145.626 46.6861
21.799999 145.672 45.7783
22.000000 145.697 45.3273
22.400000 145.751 44.4327
22.700001 145.793 43.7724
23.000000 145.834 43.1262
23.299999 145.873 42.4968
23.600000 145.911 41.8849
24.000000 145.956 41.0933
24.299999 145.988 40.5130
24.700001 146.027 39.7501
25.000000 146.054 39.1828
25.400000 146.089 38.4333
25.799999 146.121 37.6975
26.200001 146.152 36.9827
26.500000 146.174 36.4619
26.900000 146.204 35.7851
27.200001 146.225 35.2865
27.600000 146.253 34.6291
28.000000 146.277 33.9793
28.500000 146.305 33.1843
29.000000 146.331 32.4147
29.500000 146.357 31.6675
30.000000 146.382 30.9363
30.400000 146.401 30.3644
30.700001 146.413 29.9462
31.100000 146.429 29.4046
31.500000 146.444 28.8776
32.000000 146.463 28.2257
32.500000 146.481 27.5701
33.000000 146.497 26.9185
33.500000 146.509 26.2900
34.000000 146.521 25.6956
34.500000 146.534 25.1255
35.000000 146.547 24.5629
35.500000 146.559 23.9987
36.000000 146.568 23.4364
36.500000 146.575 22.8831
37.000000 146.582 22.3418
37.500000 146.588 21.8126
38.200001 146.595 21.0968
38.700001 146.599 20.6063
39.500000 146.606 19.8438
40.000000 146.609 19.3704
40.599998 146.613 18.8076
41.200001 146.615 18.2623
41.799999 146.616 17.7344
42.500000 146.618 17.1269
43.099998 146.616 16.6158
43.700001 146.614 16.1250
44.400002 146.614 15.5690
45.000000 146.613 15.0889
45.500000 146.610 14.6893
46.200001 146.604 14.1512
46.799999 146.599 13.7135
47.500000 146.597 13.2117
48.200001 146.594 12.7152
48.700001 146.591 12.3707
49.400002 146.584 11.9025
50.000000 146.577 11.5029
50.799999 146.567 10.9712
51.500000 146.559 10.5237
52.200001 146.552 10.0883
53.000000 146.542 9.5862
53.799999 146.527 9.0934
54.500000 146.517 8.6743
55.200001 146.508 8.2656
56.000000 146.497 7.8428
57.000000 146.481 7.3224
58.000000 146.458 6.7406
59.000000 146.443 6.2197
60.000000 146.430 5.7645
60.799999 146.411 5.4635
61.500000 146.396 5.1159
62.200001 146.368 4.6548
63.000000 146.328 4.2582
64.000000 146.332 3.9732
65.000000 146.342 3.4958
66.000000 146.310 3.0778
67.000000 146.291 2.6345
68.000000 146.264 2.1019
69.000000 146.244 1.7734
70.000000 146.232 1.4076
71.000000 146.194 1.0463
72.000000 146.185 0.6977
73.000000 146.171 0.1474
74.000000 146.134 -0.1630
75.000000 146.117 -0.4121
76.199997 146.080 -0.8350
77.500000 146.052 -1.2525
78.800003 146.015 -1.6480
80.000000 145.993 -1.9929
81.199997 145.961 -2.3837
82.500000 145.925 -2.7608
83.800003 145.895 -3.1540
85.000000 145.864 -3.4662
86.199997 145.833 -3.7690
87.500000 145.795 -4.1211
88.500000 145.773 -4.3788
90.000000 145.728 -4.7568
91.199997 145.698 -4.9938
92.500000 145.666 -5.3541
93.800003 145.632 -5.6286
95.000000 145.602 -5.8943
96.199997 145.569 -6.1609
97.500000 145.535 -6.4256
98.800003 145.499 -6.6845
100.000000 145.467 -6.9244
101.500000 145.421 -7.2217
103.000000 145.384 -7.4872
104.400002 145.345 -7.7456
106.000000 145.296 -8.0178
107.500000 145.259 -8.2694
109.000000 145.211 -8.5171
110.599998 145.163 -8.7572
112.000000 145.130 -8.9832
113.800003 145.075 -9.2244
115.000000 145.039 -9.3915
117.199997 144.973 -9.6872
118.000000 144.947 -9.7882
120.599998 144.868 -10.0977
122.000000 144.825 -10.2281
124.099998 144.759 -10.4264
125.000000 144.728 -10.4890
126.500000 144.685 -10.5721
128.000000 144.634 -10.7107
131.500000 144.524 -10.8802
132.000000 144.509 -10.9128
134.000000 144.450 -10.9590
136.000000 144.392 -11.0212
138.000000 144.329 -11.0528
140.000000 144.261 -11.1823
143.000000 144.171 -11.0836
145.000000 144.149 -11.2571
147.500000 144.013 -11.0791
150.000000 143.919 -10.9136
152.500000 143.811 -10.4867
155.000000 143.724 -9.7409
157.500000 143.672 -8.7488
160.000000 143.758 -7.6327
162.500000 143.889 -6.7837
165.000000 144.075 -6.8398
167.500000 144.222 -7.5088
170.000000 144.279 -8.4141
172.500000 144.279 -9.2381
175.000000 144.248 -9.9361
177.500000 144.202 -10.5465
180.000000 144.137 -10.9120
182.500000 144.080 -11.3287
185.000000 144.016 -11.5845
187.500000 143.960 -11.8297
190.000000 143.901 -11.8084
192.500000 143.835 -12.1057
195.000000 143.789 -12.1746
197.500000 143.732 -12.2815
200.000000 143.679 -12.3165
203.000000 143.620 -12.3591
206.000000 143.564 -12.3789
209.000000 143.510 -12.3766
212.000000 143.462 -12.3716
214.000000 143.429 -12.3595
218.000000 143.373 -12.3663
220.000000 143.344 -12.3581
224.000000 143.285 -12.3710
227.000000 143.243 -12.4026
230.000000 143.204 -12.4116
233.000000 143.156 -12.3946
236.000000 143.114 -12.4055
240.000000 143.056 -12.3969
243.000000 143.008 -12.3924
247.000000 142.950 -12.3384
250.000000 142.908 -12.3253
254.000000 142.848 -12.2566
258.000000 142.788 -12.1786
262.000000 142.729 -12.1072
265.000000 142.689 -12.0355
269.000000 142.634 -11.9410
272.000000 142.591 -11.8529
276.000000 142.537 -11.7069
280.000000 142.480 -11.6069
285.000000 142.410 -11.4228
290.000000 142.339 -11.2095
295.000000 142.271 -10.9725
300.000000 142.199 -10.6921
304.000000 142.138 -10.3885
307.000000 142.099 -10.1309
311.000000 142.048 -9.7329
315.000000 142.012 -9.2380
320.000000 142.002 -8.5830
325.000000 142.034 -8.1190
330.000000 142.077 -7.9858
335.000000 142.085 -8.0625
340.000000 142.065 -8.1480
345.000000 142.031 -8.1859
350.000000 141.988 -8.1549
355.000000 141.942 -8.0689
360.000000 141.895 -7.9561
365.000000 141.854 -7.8052
370.000000 141.809 -7.6200
375.000000 141.768 -7.4443
382.000000 141.709 -7.1967
387.000000 141.675 -6.9727
395.000000 141.614 -6.6306
400.000000 141.585 -6.4125
406.000000 141.544 -6.1543
412.000000 141.503 -5.8652
418.000000 141.469 -5.5762
425.000000 141.422 -5.2486
431.000000 141.392 -4.9859
437.000000 141.353 -4.6858
444.000000 141.321 -4.3359
450.000000 141.287 -4.0336
455.000000 141.264 -3.7806
462.000000 141.229 -3.4433
468.000000 141.201 -3.1542
475.000000 141.166 -2.7711
482.000000 141.133 -2.4331
487.000000 141.112 -2.1766
494.000000 141.086 -1.8481
500.000000 141.064 -1.5387
508.000000 141.031 -1.1540
515.000000 141.003 -0.7786
522.000000 140.978 -0.4754
530.000000 140.947 -0.1114
538.000000 140.906 0.2878
545.000000 140.868 0.6985
552.000000 140.848 1.1398
560.000000 140.821 1.6544
570.000000 140.793 2.2060
580.000000 140.765 2.7470
590.000000 140.736 3.3496
600.000000 140.710 3.9778
608.000000 140.693 4.5037
615.000000 140.681 4.9709
622.000000 140.674 5.4125
630.000000 140.666 5.9452
640.000000 140.662 6.5561
650.000000 140.659 7.1511
660.000000 140.659 7.7247
670.000000 140.659 8.3034
680.000000 140.665 8.9032
690.000000 140.662 9.4500
700.000000 140.668 10.0287
710.000000 140.672 10.5943
720.000000 140.678 11.1546
730.000000 140.682 11.7359
740.000000 140.690 12.3293
750.000000 140.704 12.9379
762.000000 140.725 13.6570
775.000000 140.739 14.4080
788.000000 140.766 15.1855
800.000000 140.791 15.8936
812.000000 140.823 16.5920
825.000000 140.864 17.3769
838.000000 140.905 18.1390
850.000000 140.947 18.8030
862.000000 140.996 19.4793
875.000000 141.049 20.1903
885.000000 141.093 20.7702
900.000000 141.168 21.5661
912.000000 141.230 22.1754
925.000000 141.301 22.8214
938.000000 141.371 23.4838
950.000000 141.448 24.0314
962.000000 141.530 24.5891
975.000000 141.606 25.1422
988.000000 141.690 25.6656
1000.000000 141.759 26.0595
1015.000000 141.880 26.6654
1030.000000 141.987 27.1628
1044.000000 142.087 27.5877
1060.000000 142.204 28.0607
1075.000000 142.313 28.4248
1090.000000 142.425 28.7673
1106.000000 142.536 29.0545
1120.000000 142.637 29.3365
1138.000000 142.761 29.6123
1150.000000 142.843 29.7692
1172.000000 142.992 30.0191
1180.000000 143.043 30.0814
1206.000000 143.210 30.2713
1220.000000 143.296 30.3769
1241.000000 143.419 30.4853
1250.000000 143.470 30.5231
1265.000000 143.554 30.5436
1280.000000 143.638 30.5857
1315.000000 143.823 30.6500
1320.000000 143.844 30.6688
1340.000000 143.944 30.6751
1360.000000 144.039 30.6697
1380.000000 144.132 30.6544
1400.000000 144.223 30.6453
1430.000000 144.353 30.6488
1450.000000 144.439 30.6311
1475.000000 144.542 30.5820
1500.000000 144.645 30.5630
1525.000000 144.751 30.5146
1550.000000 144.848 30.4812
1575.000000 144.949 30.4394
1600.000000 145.048 30.3460
1625.000000 145.145 30.2655
1650.000000 145.241 30.1830
1675.000000 145.341 30.0868
1700.000000 145.436 29.9787
1725.000000 145.531 29.8406
1750.000000 145.623 29.7185
1775.000000 145.719 29.5523
1800.000000 145.815 29.3607
1825.000000 145.904 29.1777
1850.000000 145.998 28.9257
1875.000000 146.081 28.7237
1900.000000 146.170 28.4690
1925.000000 146.258 28.1840
1950.000000 146.352 27.8592
1975.000000 146.429 27.5795
2000.000000 146.503 27.3028
2030.000000 146.601 26.8487
2060.000000 146.693 26.4033
2090.000000 146.780 25.9247
2120.000000 146.869 25.4436
2140.000000 146.920 25.1109
2180.000000 147.021 24.4227
2200.000000 147.065 24.0679
2240.000000 147.153 23.3512
2270.000000 147.210 22.8133
2300.000000 147.273 22.2599
2330.000000 147.327 21.7274
2360.000000 147.380 21.1376
2400.000000 147.442 20.4237
2430.000000 147.488 19.8997
2470.000000 147.546 19.1327
2500.000000 147.588 18.6004
2540.000000 147.646 17.8384
2580.000000 147.706 17.0263
2620.000000 147.762 16.1742
2650.000000 147.800 15.4745
2690.000000 147.842 14.4597
2720.000000 147.859 13.6414
2760.000000 147.861 12.5090
2800.000000 147.834 11.3955
2850.000000 147.770 10.1624
2900.000000 147.684 9.1550
2950.000000 147.583 8.3951
3000.000000 147.485 7.9029
3040.000000 147.415 7.5688
3070.000000 147.370 7.3915
3110.000000 147.321 7.2386
3150.000000 147.285 7.1597
3200.000000 147.250 7.0895
3250.000000 147.240 7.0270
3300.000000 147.241 6.9742
3350.000000 147.265 6.8785
3400.000000 147.300 6.7384
3450.000000 147.348 6.4933
3500.000000 147.401 6.1614
3550.000000 147.453 5.7269
3600.000000 147.511 5.1883
3650.000000 147.560 4.5174
3700.000000 147.596 3.7658
3750.000000 147.612 2.9749
3820.000000 147.615 1.8958
3870.000000 147.595 1.1829
3950.000000 147.551 0.2419
4000.000000 147.521 -0.2021
4060.000000 147.485 0.0505
4120.000000 147.800 -0.3159
4180.000000 147.858 -2.4826
4250.000000 147.813 -4.2424
4310.000000 147.780 -5.5909
4370.000000 147.748 -7.0162
4440.000000 147.670 -8.7591
4500.000000 147.579 -10.3160
4550.000000 147.471 -11.5697
4620.000000 147.280 -13.2334
4680.000000 147.082 -14.5598
4750.000000 146.825 -15.8845
4820.000000 146.533 -16.9344
4870.000000 146.317 -17.5455
4940.000000 145.996 -18.1031
5000.000000 145.719 -18.3249
5080.000000 145.345 -18.4030
5150.000000 145.023 -18.0934
5220.000000 144.717 -17.5637
5300.000000 144.392 -16.6920
5380.000000 144.082 -15.5311
5450.000000 143.840 -14.3634
5520.000000 143.627 -13.0296
5600.000000 143.411 -11.4414
5700.000000 143.184 -9.2311
5800.000000 143.013 -6.9216
5900.000000 142.915 -4.5731
6000.000000 142.856 -2.2629
6080.000000 142.851 -0.4731
6150.000000 142.863 0.9133
