* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jul 23, 2024 2:01:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R e sancai wide 87
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 146.370 44.0990
20.600000 146.407 42.7804
20.900000 146.358 41.7146
21.200001 146.272 41.1393
21.400000 146.234 41.0705
21.799999 146.262 41.2997
22.000000 146.339 41.3198
22.400000 146.567 40.5354
22.700001 146.704 39.1276
23.000000 146.728 37.3678
23.299999 146.624 35.8954
23.600000 146.448 35.2423
24.000000 146.272 35.9463
24.299999 146.322 37.0336
24.700001 146.645 37.6459
25.000000 146.939 36.7133
25.400000 147.165 33.8624
25.799999 147.060 30.7070
26.200001 146.693 29.1128
26.500000 146.422 29.5429
26.900000 146.315 31.6219
27.200001 146.485 32.9662
27.600000 146.881 32.9809
28.000000 147.178 31.0363
28.500000 147.203 27.9028
29.000000 146.993 26.1753
29.500000 146.844 25.9522
30.000000 146.834 25.7220
30.400000 146.810 25.1837
30.700001 146.746 24.9133
31.100000 146.662 25.1831
31.500000 146.688 25.9835
32.000000 146.929 26.4194
32.500000 147.212 25.1953
33.000000 147.312 23.0010
33.500000 147.221 21.2137
34.000000 147.094 20.4213
34.500000 147.040 20.0386
35.000000 147.016 19.4560
35.500000 146.950 18.8244
36.000000 146.862 18.5770
36.500000 146.821 18.6744
37.000000 146.845 18.6987
37.500000 146.889 18.4605
38.200001 146.936 17.9641
38.700001 146.968 17.6249
39.500000 147.025 16.9486
40.000000 147.048 16.4434
40.599998 147.066 15.8147
41.200001 147.079 15.1484
41.799999 147.081 14.4773
42.500000 147.075 13.8004
43.099998 147.075 13.2917
43.700001 147.074 12.7734
44.400002 147.063 12.1762
45.000000 147.051 11.7080
45.500000 147.046 11.3274
46.200001 147.045 10.7806
46.799999 147.042 10.3287
47.500000 147.039 9.8635
48.200001 147.038 9.4327
48.700001 147.035 9.1214
49.400002 147.020 8.7040
50.000000 146.999 8.3993
50.799999 146.969 8.0410
51.500000 146.941 7.7190
52.200001 146.910 7.3755
53.000000 146.880 6.9076
53.799999 146.851 6.3230
54.500000 146.828 5.7904
55.200001 146.815 5.3169
56.000000 146.807 4.8862
57.000000 146.798 4.4304
58.000000 146.785 3.8384
59.000000 146.781 3.2861
60.000000 146.784 3.0420
60.799999 146.749 2.9008
61.500000 146.692 2.6091
62.200001 146.653 2.0646
63.000000 146.661 1.3559
64.000000 146.714 0.9801
65.000000 146.701 1.0537
66.000000 146.613 0.7671
67.000000 146.578 0.0041
68.000000 146.604 -0.4932
69.000000 146.589 -0.5966
70.000000 146.525 -1.0315
71.000000 146.493 -1.6705
72.000000 146.510 -1.9231
73.000000 146.486 -2.0482
74.000000 146.423 -2.3869
75.000000 146.400 -2.8482
76.199997 146.378 -3.2396
77.500000 146.337 -3.7186
78.800003 146.347 -4.1029
80.000000 146.307 -4.0890
81.199997 146.179 -4.4937
82.500000 146.182 -5.5956
83.800003 146.286 -5.3472
85.000000 146.136 -4.9755
86.199997 146.005 -6.0532
87.500000 146.118 -6.9127
88.500000 146.101 -6.1480
90.000000 145.937 -7.3490
91.199997 146.050 -7.5417
92.500000 145.978 -6.2095
93.800003 145.600 -7.7194
95.000000 145.911 -9.4301
96.199997 146.047 -8.0677
97.500000 145.748 -7.4366
98.800003 145.649 -9.3088
100.000000 145.717 -9.0439
101.500000 145.682 -9.5989
103.000000 145.727 -9.0608
104.400002 145.528 -8.2244
106.000000 145.465 -10.3701
107.500000 145.529 -9.4083
109.000000 145.358 -9.9179
110.599998 145.370 -8.9597
112.000000 145.413 -8.6703
113.800003 145.404 -9.0675
115.000000 145.523 -8.7490
117.199997 145.454 -9.8632
118.000000 145.494 -9.8735
120.599998 145.484 -10.6866
122.000000 145.458 -11.2121
124.099998 145.419 -11.5314
125.000000 145.391 -11.6257
126.500000 145.333 -12.0619
128.000000 145.283 -12.3460
131.500000 145.222 -12.7935
132.000000 145.201 -12.8892
134.000000 145.156 -13.0545
136.000000 145.106 -13.2704
138.000000 145.074 -13.5440
140.000000 144.998 -13.5391
143.000000 144.926 -13.9443
145.000000 144.847 -14.0515
147.500000 144.838 -14.3002
150.000000 144.769 -14.7340
152.500000 144.713 -14.8996
155.000000 144.654 -15.1291
157.500000 144.600 -15.2877
160.000000 144.539 -15.4928
162.500000 144.477 -15.5295
165.000000 144.423 -15.6725
167.500000 144.369 -15.8089
170.000000 144.320 -15.8738
172.500000 144.262 -16.0363
175.000000 144.214 -16.0940
177.500000 144.164 -16.1499
180.000000 144.108 -16.2373
182.500000 144.058 -16.3062
185.000000 144.009 -16.3948
187.500000 143.960 -16.4531
190.000000 143.910 -16.5069
192.500000 143.855 -16.5061
195.000000 143.808 -16.5762
197.500000 143.753 -16.6293
200.000000 143.711 -16.6512
203.000000 143.655 -16.6504
206.000000 143.591 -16.7162
209.000000 143.540 -16.6465
212.000000 143.490 -16.6999
214.000000 143.450 -16.6806
218.000000 143.380 -16.6684
220.000000 143.342 -16.6623
224.000000 143.273 -16.6395
227.000000 143.216 -16.6025
230.000000 143.165 -16.5645
233.000000 143.117 -16.5177
236.000000 143.066 -16.5005
240.000000 142.995 -16.4268
243.000000 142.949 -16.3528
247.000000 142.885 -16.2452
250.000000 142.835 -16.1965
254.000000 142.771 -16.0693
258.000000 142.710 -15.9430
262.000000 142.646 -15.7886
265.000000 142.600 -15.6240
269.000000 142.544 -15.4312
272.000000 142.501 -15.2824
276.000000 142.453 -15.0566
280.000000 142.407 -14.8016
285.000000 142.355 -14.5058
290.000000 142.317 -14.2718
295.000000 142.286 -14.0701
300.000000 142.247 -13.9383
304.000000 142.215 -13.8599
307.000000 142.184 -13.8150
311.000000 142.142 -13.7172
315.000000 142.103 -13.6165
320.000000 142.049 -13.4872
325.000000 141.998 -13.3357
330.000000 141.942 -13.1649
335.000000 141.889 -12.9842
340.000000 141.838 -12.7967
345.000000 141.783 -12.5828
350.000000 141.735 -12.3361
355.000000 141.690 -12.1346
360.000000 141.635 -11.9611
365.000000 141.591 -11.6470
370.000000 141.555 -11.4307
375.000000 141.514 -11.2845
382.000000 141.460 -10.9487
387.000000 141.412 -10.7239
395.000000 141.338 -10.1678
400.000000 141.303 -9.8901
406.000000 141.269 -9.7057
412.000000 141.212 -9.3245
418.000000 141.177 -9.0178
425.000000 141.135 -8.6522
431.000000 141.088 -8.3213
437.000000 141.054 -7.9964
444.000000 140.984 -7.5554
450.000000 140.978 -7.1450
455.000000 140.938 -6.9657
462.000000 140.896 -6.6011
468.000000 140.880 -6.2629
475.000000 140.834 -5.8555
482.000000 140.804 -5.3707
487.000000 140.764 -5.1380
494.000000 140.747 -4.7119
500.000000 140.714 -4.3343
508.000000 140.679 -3.8343
515.000000 140.664 -3.3690
522.000000 140.633 -2.9996
530.000000 140.620 -2.5315
538.000000 140.618 -2.1130
545.000000 140.601 -1.8700
552.000000 140.578 -1.6191
560.000000 140.547 -1.2728
570.000000 140.489 -0.8265
580.000000 140.430 -0.2837
590.000000 140.373 0.3431
600.000000 140.332 1.1047
608.000000 140.304 1.7287
615.000000 140.293 2.3067
622.000000 140.284 2.8052
630.000000 140.285 3.3315
640.000000 140.278 4.0169
650.000000 140.273 4.6645
660.000000 140.271 5.2536
670.000000 140.265 5.8706
680.000000 140.264 6.4322
690.000000 140.269 7.0559
700.000000 140.273 7.6477
710.000000 140.284 8.3045
720.000000 140.283 8.9109
730.000000 140.288 9.4716
740.000000 140.293 10.0999
750.000000 140.304 10.7285
762.000000 140.319 11.4465
775.000000 140.341 12.2629
788.000000 140.366 13.0461
800.000000 140.390 13.7807
812.000000 140.410 14.4445
825.000000 140.452 15.2433
838.000000 140.494 15.9945
850.000000 140.532 16.6394
862.000000 140.582 17.3616
875.000000 140.635 18.1334
885.000000 140.677 18.7366
900.000000 140.738 19.4887
912.000000 140.804 20.1327
925.000000 140.872 20.7976
938.000000 140.942 21.5154
950.000000 141.018 22.0340
962.000000 141.093 22.5639
975.000000 141.171 23.1624
988.000000 141.252 23.7583
1000.000000 141.330 24.3396
1015.000000 141.444 24.7737
1030.000000 141.550 25.2957
1044.000000 141.647 25.7680
1060.000000 141.755 26.2319
1075.000000 141.864 26.6077
1090.000000 141.975 26.9516
1106.000000 142.090 27.2631
1120.000000 142.180 27.5420
1138.000000 142.302 27.8325
1150.000000 142.389 28.0088
1172.000000 142.532 28.2735
1180.000000 142.585 28.3535
1206.000000 142.744 28.6218
1220.000000 142.833 28.7124
1241.000000 142.958 28.8431
1250.000000 143.005 28.8581
1265.000000 143.090 28.9298
1280.000000 143.171 29.0108
1315.000000 143.353 29.0792
1320.000000 143.372 29.0965
1340.000000 143.470 29.1758
1360.000000 143.569 29.1708
1380.000000 143.664 29.1476
1400.000000 143.753 29.1988
1430.000000 143.878 29.2416
1450.000000 143.967 29.2140
1475.000000 144.073 29.1858
1500.000000 144.179 29.2256
1525.000000 144.276 29.1945
1550.000000 144.378 29.1674
1575.000000 144.480 29.1373
1600.000000 144.582 29.0727
1625.000000 144.677 29.0182
1650.000000 144.775 28.9824
1675.000000 144.869 28.8660
1700.000000 144.972 28.7719
1725.000000 145.069 28.6654
1750.000000 145.163 28.5454
1775.000000 145.262 28.4261
1800.000000 145.356 28.2319
1825.000000 145.448 28.0227
1850.000000 145.542 27.8299
1875.000000 145.633 27.6022
1900.000000 145.724 27.3822
1925.000000 145.809 27.0809
1950.000000 145.904 26.7833
1975.000000 145.992 26.5154
2000.000000 146.068 26.1046
2030.000000 146.166 25.7710
2060.000000 146.260 25.3226
2090.000000 146.348 24.8691
2120.000000 146.443 24.4022
2140.000000 146.490 24.0508
2180.000000 146.607 23.4094
2200.000000 146.644 22.9939
2240.000000 146.738 22.2817
2270.000000 146.804 21.7366
2300.000000 146.867 21.1980
2330.000000 146.927 20.6714
2360.000000 146.981 20.0625
2400.000000 147.052 19.3039
2430.000000 147.096 18.7332
2470.000000 147.156 17.9695
2500.000000 147.205 17.4382
2540.000000 147.269 16.6429
2580.000000 147.330 15.8301
2620.000000 147.389 14.9563
2650.000000 147.435 14.2535
2690.000000 147.489 13.1558
2720.000000 147.517 12.3128
2760.000000 147.529 11.0618
2800.000000 147.507 9.8817
2850.000000 147.438 8.4613
2900.000000 147.338 7.3218
2950.000000 147.228 6.5038
3000.000000 147.122 5.9134
3040.000000 147.043 5.5771
3070.000000 146.991 5.4138
3110.000000 146.939 5.2663
3150.000000 146.900 5.0807
3200.000000 146.863 4.9584
3250.000000 146.841 4.8283
3300.000000 146.835 4.6877
3350.000000 146.839 4.5095
3400.000000 146.864 4.3298
3450.000000 146.890 4.0453
3500.000000 146.925 3.7296
3550.000000 146.961 3.3248
3600.000000 146.997 2.8468
3650.000000 147.030 2.3141
3700.000000 147.057 1.7231
3750.000000 147.079 1.1164
3820.000000 147.104 0.2349
3870.000000 147.113 -0.3890
3950.000000 147.126 -1.4372
4000.000000 147.129 -2.0483
4060.000000 147.150 -2.8434
4120.000000 147.163 -3.5783
4180.000000 147.256 -4.3468
4250.000000 147.288 -6.2227
4310.000000 147.259 -7.6897
4370.000000 147.212 -9.1298
4440.000000 147.128 -10.8677
4500.000000 147.024 -12.3720
4550.000000 146.917 -13.5541
4620.000000 146.727 -15.2003
4680.000000 146.532 -16.4861
4750.000000 146.278 -17.8201
4820.000000 145.983 -18.8777
4870.000000 145.766 -19.4081
4940.000000 145.443 -20.0213
5000.000000 145.144 -20.2820
5080.000000 144.771 -20.2822
5150.000000 144.435 -19.9494
5220.000000 144.119 -19.3702
5300.000000 143.777 -18.3793
5380.000000 143.464 -17.0770
5450.000000 143.224 -15.6731
5520.000000 143.004 -14.2523
5600.000000 142.802 -12.3961
5700.000000 142.604 -9.9521
5800.000000 142.464 -7.4366
5900.000000 142.390 -4.8037
6000.000000 142.373 -2.2341
6080.000000 142.409 -0.3920
