* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Dec 2, 2024 4:11:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L ET142 BLUE S 418
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 120.175 -140.6749
20.600000 120.184 -141.8493
20.900000 120.192 -142.8310
21.200001 120.215 -143.7293
21.400000 120.242 -144.3102
21.799999 120.314 -145.4655
22.000000 120.354 -146.0441
22.400000 120.423 -147.1662
22.700001 120.459 -147.9166
23.000000 120.485 -148.5493
23.299999 120.507 -149.0905
23.600000 120.530 -149.6038
24.000000 120.562 -150.3529
24.299999 120.578 -150.9983
24.700001 120.579 -151.8972
25.000000 120.568 -152.4905
25.400000 120.556 -153.0636
25.799999 120.576 -153.4433
26.200001 120.631 -153.8781
26.500000 120.677 -154.3907
26.900000 120.707 -155.3644
27.200001 120.689 -156.2157
27.600000 120.615 -157.3015
28.000000 120.532 -158.1552
28.500000 120.501 -158.9974
29.000000 120.585 -160.0656
29.500000 120.709 -161.5821
30.000000 120.775 -163.1555
30.400000 120.766 -164.0509
30.700001 120.737 -164.4076
31.100000 120.698 -164.5571
31.500000 120.674 -164.5815
32.000000 120.661 -164.8340
32.500000 120.644 -165.5210
33.000000 120.617 -166.5615
33.500000 120.587 -167.7971
34.000000 120.557 -169.0415
34.500000 120.522 -170.0498
35.000000 120.495 -170.6442
35.500000 120.503 -170.9093
36.000000 120.545 -171.1626
36.500000 120.587 -171.6208
37.000000 120.601 -172.2308
37.500000 120.590 -172.8549
38.200001 120.562 -173.7634
38.700001 120.523 -174.4598
39.500000 120.436 -175.3018
40.000000 120.416 -175.7347
40.599998 120.414 -176.5795
41.200001 120.349 -177.6009
41.799999 120.230 -178.0559
42.500000 120.171 -177.9629
43.099998 120.172 -178.3527
43.700001 120.111 -179.0680
44.400002 120.055 -179.5401
45.000000 120.128 179.8049
45.500000 120.174 178.6897
46.200001 120.064 177.4839
46.799999 119.946 177.7834
47.500000 119.976 178.1795
48.200001 119.986 177.4098
48.700001 119.934 176.8732
49.400002 119.955 176.3405
50.000000 120.008 175.0162
50.799999 119.782 173.0956
51.500000 119.503 173.7910
52.200001 119.573 175.1516
53.000000 119.773 174.3933
53.799999 119.726 173.0680
54.500000 119.681 172.5291
55.200001 119.690 171.5052
56.000000 119.578 169.9939
57.000000 119.354 169.8555
58.000000 119.389 170.1107
59.000000 119.365 168.5845
60.000000 119.162 168.2333
60.799999 119.187 168.7272
61.500000 119.259 168.3162
62.200001 119.225 167.4760
63.000000 119.102 166.8972
64.000000 118.966 166.7401
65.000000 118.913 166.6964
66.000000 118.947 166.0185
67.000000 118.947 164.8124
68.000000 118.837 164.1152
69.000000 118.686 164.4120
70.000000 118.674 164.6480
71.000000 118.714 163.6648
72.000000 118.643 163.0313
73.000000 118.571 163.2396
74.000000 118.476 163.0901
75.000000 118.400 162.8153
76.199997 118.395 162.3152
77.500000 118.278 161.6051
78.800003 118.127 160.7567
80.000000 118.100 160.7094
81.199997 118.085 161.2637
82.500000 118.037 161.4738
83.800003 117.964 161.0056
85.000000 117.821 159.7462
86.199997 117.683 158.5948
87.500000 117.710 158.7603
88.500000 117.609 159.4923
90.000000 117.385 159.2972
91.199997 117.452 158.0696
92.500000 117.572 159.0691
93.800003 117.331 159.6371
95.000000 117.172 157.9300
96.199997 117.335 157.2043
97.500000 117.196 158.7338
98.800003 116.950 157.9653
100.000000 117.102 156.1021
101.500000 117.075 157.7412
103.000000 116.818 156.6500
104.400002 116.871 156.6854
106.000000 116.742 156.3632
107.500000 116.719 155.4221
109.000000 116.715 155.9631
110.599998 116.477 155.3668
112.000000 116.461 155.1847
113.800003 116.376 155.6567
115.000000 116.318 155.5235
117.199997 116.272 155.5143
118.000000 116.229 155.3763
120.599998 116.063 155.2898
122.000000 116.045 155.2266
124.099998 116.009 155.0536
125.000000 116.027 154.8924
126.500000 115.882 155.1609
128.000000 115.778 155.2234
131.500000 115.655 154.8462
132.000000 115.665 154.8329
134.000000 115.585 155.5674
136.000000 115.522 154.9974
138.000000 115.367 155.0918
140.000000 115.335 154.3019
143.000000 115.268 155.0970
145.000000 115.155 155.7090
147.500000 114.775 154.5128
150.000000 114.869 155.3422
152.500000 114.776 154.8441
155.000000 114.749 154.5421
157.500000 114.662 154.1927
160.000000 114.633 155.1939
162.500000 114.517 155.4061
165.000000 114.420 155.3145
167.500000 114.394 155.5560
170.000000 114.266 156.1261
172.500000 114.199 155.7144
175.000000 114.177 155.9058
177.500000 113.996 156.1766
180.000000 114.010 156.2177
182.500000 113.903 156.2793
185.000000 113.889 156.2088
187.500000 113.822 156.3502
190.000000 113.785 156.6485
192.500000 113.665 156.9030
195.000000 113.593 157.3734
197.500000 113.505 157.0386
200.000000 113.466 157.6806
203.000000 113.384 157.8052
206.000000 113.332 158.2668
209.000000 113.289 158.2748
212.000000 113.232 158.2323
214.000000 113.154 158.7241
218.000000 113.113 159.0240
220.000000 113.054 159.1209
224.000000 112.950 159.1270
227.000000 112.943 159.5839
230.000000 112.883 159.9696
233.000000 112.799 160.1357
236.000000 112.736 160.2859
240.000000 112.666 160.6234
243.000000 112.610 160.9491
247.000000 112.577 161.5084
250.000000 112.500 161.6739
254.000000 112.469 162.0646
258.000000 112.439 162.4566
262.000000 112.378 162.4658
265.000000 112.344 162.7099
269.000000 112.289 163.0871
272.000000 112.289 163.3807
276.000000 112.170 163.6953
280.000000 112.124 163.8784
285.000000 111.980 165.0593
290.000000 112.013 165.2776
295.000000 111.927 164.7977
300.000000 111.890 165.0309
304.000000 111.871 165.1691
307.000000 111.820 165.6293
311.000000 111.778 166.4330
315.000000 111.686 167.0024
320.000000 111.648 167.2747
325.000000 111.545 167.5314
330.000000 111.573 168.2049
335.000000 111.538 168.5110
340.000000 111.464 168.8852
345.000000 111.386 169.2267
350.000000 111.383 169.5702
355.000000 111.333 170.0426
360.000000 111.305 170.4646
365.000000 111.240 171.0850
370.000000 111.189 171.4984
375.000000 111.182 172.0709
382.000000 111.124 172.7036
387.000000 111.080 173.1038
395.000000 111.060 173.4266
400.000000 111.014 174.1770
406.000000 110.968 174.7516
412.000000 110.966 175.3184
418.000000 110.873 175.5381
425.000000 110.895 175.4281
431.000000 110.809 176.0106
437.000000 110.892 177.9322
444.000000 110.758 177.2262
450.000000 110.808 178.8480
455.000000 110.645 178.7306
462.000000 110.704 179.6938
468.000000 110.685 179.7679
475.000000 110.680 179.9085
482.000000 110.676 -178.9712
487.000000 110.631 -178.8590
494.000000 110.644 -177.9529
500.000000 110.596 -177.6918
508.000000 110.581 -177.2617
515.000000 110.575 -176.4623
522.000000 110.535 -175.5179
530.000000 110.598 -175.0837
538.000000 110.557 -174.5855
545.000000 110.552 -174.0378
552.000000 110.570 -173.2922
560.000000 110.470 -172.8127
570.000000 110.436 -172.5885
580.000000 110.462 -171.5104
590.000000 110.510 -170.7194
600.000000 110.523 -169.7130
608.000000 110.527 -169.4615
615.000000 110.509 -168.6780
622.000000 110.486 -168.0769
630.000000 110.487 -167.4986
640.000000 110.517 -166.7306
650.000000 110.514 -166.0568
660.000000 110.508 -165.1021
670.000000 110.531 -164.4248
680.000000 110.555 -163.7782
690.000000 110.600 -162.9314
700.000000 110.538 -162.2498
710.000000 110.568 -161.1667
720.000000 110.591 -160.2390
730.000000 110.684 -160.1147
740.000000 110.708 -158.9414
750.000000 110.743 -158.3946
762.000000 110.788 -157.5076
775.000000 110.843 -156.9972
788.000000 110.873 -155.6439
800.000000 110.909 -154.7039
812.000000 110.948 -153.9011
825.000000 111.054 -152.9949
838.000000 111.116 -152.0904
850.000000 111.146 -151.6557
862.000000 111.276 -150.8401
875.000000 111.309 -149.9554
885.000000 111.385 -149.3588
900.000000 111.471 -148.1487
912.000000 111.551 -147.6014
925.000000 111.692 -146.6637
938.000000 111.773 -145.7691
950.000000 111.853 -145.2367
962.000000 111.894 -144.8769
975.000000 112.045 -144.0466
988.000000 112.147 -143.5058
1000.000000 112.122 -142.4547
1015.000000 112.368 -142.1160
1030.000000 112.486 -141.3636
1044.000000 112.600 -141.0267
1060.000000 112.758 -140.2621
1075.000000 112.847 -139.6836
1090.000000 112.964 -139.3207
1106.000000 113.124 -139.0022
1120.000000 113.220 -138.3037
1138.000000 113.385 -138.0307
1150.000000 113.459 -137.4000
1172.000000 113.631 -137.0723
1180.000000 113.702 -136.5886
1206.000000 113.938 -136.0757
1220.000000 114.019 -135.8732
1241.000000 114.182 -135.6904
1250.000000 114.253 -135.3409
1265.000000 114.339 -135.0332
1280.000000 114.477 -134.7346
1315.000000 114.731 -134.2628
1320.000000 114.769 -134.1862
1340.000000 114.895 -133.6720
1360.000000 115.074 -133.4800
1380.000000 115.258 -133.1577
1400.000000 115.366 -132.6577
1430.000000 115.607 -132.3838
1450.000000 115.779 -132.0400
1475.000000 115.962 -131.8467
1500.000000 116.159 -131.5350
1525.000000 116.387 -131.4586
1550.000000 116.561 -131.0401
1575.000000 116.795 -130.9160
1600.000000 117.026 -130.5976
1625.000000 117.250 -130.5171
1650.000000 117.465 -130.5304
1675.000000 117.695 -130.5931
1700.000000 117.950 -130.5970
1725.000000 118.163 -130.6866
1750.000000 118.405 -131.0009
1775.000000 118.662 -131.1252
1800.000000 118.920 -131.7281
1825.000000 119.164 -132.1033
1850.000000 119.395 -132.6911
1875.000000 119.673 -133.2555
1900.000000 119.896 -134.1261
1925.000000 120.155 -134.8456
1950.000000 120.393 -135.8213
1975.000000 120.611 -137.0451
2000.000000 120.829 -138.3250
2030.000000 121.110 -139.7060
2060.000000 121.351 -141.3573
2090.000000 121.582 -143.3887
2120.000000 121.783 -145.3717
2140.000000 121.868 -146.7417
2180.000000 122.035 -149.7548
2200.000000 122.120 -151.2041
2240.000000 122.181 -154.0792
2270.000000 122.199 -156.3165
2300.000000 122.217 -158.2954
2330.000000 122.176 -160.1881
2360.000000 122.121 -162.1245
2400.000000 122.056 -164.3739
2430.000000 122.001 -165.8029
2470.000000 121.907 -167.7866
2500.000000 121.845 -169.1474
2540.000000 121.764 -170.8934
2580.000000 121.663 -172.6938
2620.000000 121.579 -174.5154
2650.000000 121.486 -176.0466
2690.000000 121.302 -178.0153
2720.000000 121.123 -179.3573
2760.000000 120.868 179.1288
2800.000000 120.609 178.1569
2850.000000 120.240 177.3725
2900.000000 119.938 176.8377
2950.000000 119.677 176.7534
3000.000000 119.439 176.6849
3040.000000 119.299 176.8970
3070.000000 119.190 177.0172
3110.000000 119.064 177.3434
3150.000000 118.957 177.5097
3200.000000 118.900 177.5888
3250.000000 118.780 177.7412
3300.000000 118.739 177.6292
3350.000000 118.634 177.6975
3400.000000 118.562 177.4172
3450.000000 118.464 177.0206
3500.000000 118.382 176.9566
3550.000000 118.278 177.0964
3600.000000 118.126 177.0594
3650.000000 118.040 177.4041
3700.000000 117.948 177.4062
3750.000000 117.839 177.7408
3820.000000 117.794 178.2065
3870.000000 117.745 178.7438
3950.000000 117.702 179.4761
4000.000000 117.645 179.5840
4060.000000 117.667 -179.4951
4120.000000 117.726 -179.3820
4180.000000 117.746 -179.0652
4250.000000 117.830 -179.3201
4310.000000 117.856 -178.9173
4370.000000 117.951 -178.7434
4440.000000 118.001 -179.1053
4500.000000 118.090 -179.4315
4550.000000 118.138 -179.7239
4620.000000 118.261 179.5677
4680.000000 118.286 178.9847
4750.000000 118.351 177.9743
4820.000000 118.408 176.8879
4870.000000 118.361 176.0921
4940.000000 118.393 174.4619
5000.000000 118.352 173.4313
5080.000000 118.209 171.4215
5150.000000 118.040 169.5326
5220.000000 117.838 168.1984
5300.000000 117.509 166.8744
5380.000000 117.173 166.1532
5450.000000 116.898 165.8361
5520.000000 116.559 165.4801
5600.000000 116.250 165.4126
5700.000000 115.770 165.5210
5800.000000 115.173 165.9612
5900.000000 114.656 167.6805
6000.000000 114.044 170.0356
