* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Dec 2, 2024 4:09:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R ET142 BLUE SW 415
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 119.582 -141.7281
20.600000 119.622 -142.6018
20.900000 119.651 -143.4019
21.200001 119.673 -144.2119
21.400000 119.684 -144.7558
21.799999 119.703 -145.8416
22.000000 119.712 -146.3776
22.400000 119.736 -147.4267
22.700001 119.760 -148.1940
23.000000 119.787 -148.9487
23.299999 119.815 -149.6911
23.600000 119.841 -150.4158
24.000000 119.868 -151.3414
24.299999 119.882 -151.9984
24.700001 119.896 -152.8333
25.000000 119.907 -153.4500
25.400000 119.923 -154.2922
25.799999 119.939 -155.1723
26.200001 119.953 -156.0634
26.500000 119.960 -156.7065
26.900000 119.966 -157.5002
27.200001 119.970 -158.0470
27.600000 119.972 -158.7376
28.000000 119.969 -159.4252
28.500000 119.953 -160.3082
29.000000 119.931 -161.2017
29.500000 119.921 -162.1081
30.000000 119.929 -163.0696
30.400000 119.937 -163.8687
30.700001 119.938 -164.4444
31.100000 119.928 -165.1073
31.500000 119.914 -165.6264
32.000000 119.909 -166.1862
32.500000 119.915 -166.8846
33.000000 119.908 -167.7984
33.500000 119.875 -168.7032
34.000000 119.845 -169.3465
34.500000 119.853 -169.8256
35.000000 119.880 -170.4719
35.500000 119.860 -171.3879
36.000000 119.757 -172.2342
36.500000 119.625 -172.6399
37.000000 119.564 -172.7210
37.500000 119.607 -173.0165
38.200001 119.703 -174.2346
38.700001 119.707 -175.2026
39.500000 119.662 -176.0105
40.000000 119.657 -176.3819
40.599998 119.646 -177.1014
41.200001 119.594 -177.8614
41.799999 119.549 -178.3759
42.500000 119.544 -178.9864
43.099998 119.523 -179.7323
43.700001 119.463 179.6241
44.400002 119.410 179.0961
45.000000 119.388 178.4942
45.500000 119.343 177.9052
46.200001 119.241 177.4149
46.799999 119.200 177.3087
47.500000 119.230 176.8383
48.200001 119.249 175.9043
48.700001 119.233 175.3234
49.400002 119.204 174.8360
50.000000 119.177 174.4682
50.799999 119.102 173.8848
51.500000 119.030 173.4312
52.200001 119.001 172.9212
53.000000 118.977 172.1879
53.799999 118.901 171.7548
54.500000 118.831 171.7751
55.200001 118.805 171.6836
56.000000 118.786 170.9523
57.000000 118.702 169.7967
58.000000 118.634 169.2499
59.000000 118.591 168.8399
60.000000 118.515 168.5176
60.799999 118.463 168.1590
61.500000 118.415 167.6992
62.200001 118.372 167.3115
63.000000 118.352 166.9188
64.000000 118.316 166.4275
65.000000 118.274 166.0735
66.000000 118.212 165.4260
67.000000 118.131 165.1482
68.000000 118.105 164.7047
69.000000 117.980 164.1787
70.000000 117.916 164.0607
71.000000 117.889 163.4988
72.000000 117.845 163.2714
73.000000 117.805 162.9269
74.000000 117.735 162.8273
75.000000 117.729 162.5558
76.199997 117.611 161.8873
77.500000 117.512 161.3251
78.800003 117.417 160.7385
80.000000 117.386 160.6734
81.199997 117.330 160.1818
82.500000 117.203 160.0849
83.800003 117.118 159.5771
85.000000 117.078 159.4692
86.199997 117.028 159.0403
87.500000 116.901 159.0473
88.500000 116.864 158.4888
90.000000 116.844 158.6995
91.199997 116.765 157.6556
92.500000 116.607 157.3478
93.800003 116.644 157.5779
95.000000 116.544 157.7119
96.199997 116.439 157.5523
97.500000 116.411 156.8275
98.800003 116.319 157.1226
100.000000 116.248 156.7897
101.500000 116.193 156.7930
103.000000 115.985 156.7866
104.400002 116.177 156.4480
106.000000 115.841 156.1216
107.500000 115.690 156.5954
109.000000 115.843 156.3116
110.599998 115.750 156.4479
112.000000 115.810 156.1512
113.800003 115.624 156.2244
115.000000 115.653 155.9144
117.199997 115.581 154.8233
118.000000 115.404 154.6868
120.599998 115.234 154.7014
122.000000 115.196 156.4455
124.099998 115.222 156.1512
125.000000 115.279 156.1566
126.500000 115.043 155.4083
128.000000 115.047 155.4745
131.500000 114.883 154.5835
132.000000 114.826 154.6966
134.000000 114.672 154.3279
136.000000 114.523 155.9275
138.000000 114.650 155.9000
140.000000 114.665 153.5574
143.000000 114.441 154.5330
145.000000 114.402 155.0662
147.500000 114.075 157.5712
150.000000 114.094 154.4441
152.500000 113.905 156.9166
155.000000 113.969 155.3524
157.500000 113.927 157.3063
160.000000 113.768 154.7253
162.500000 113.839 155.9324
165.000000 113.705 155.5685
167.500000 113.808 156.3542
170.000000 113.412 156.8176
172.500000 113.571 155.0310
175.000000 113.445 156.8638
177.500000 113.316 156.0526
180.000000 113.327 156.3890
182.500000 113.196 156.6760
185.000000 113.121 156.9864
187.500000 113.047 156.8534
190.000000 112.989 157.1997
192.500000 112.925 157.2031
195.000000 112.874 157.2761
197.500000 112.831 157.6303
200.000000 112.756 157.6224
203.000000 112.658 158.0312
206.000000 112.602 158.1487
209.000000 112.561 158.4112
212.000000 112.472 158.5930
214.000000 112.437 158.8820
218.000000 112.370 159.0861
220.000000 112.304 159.6128
224.000000 112.190 159.8629
227.000000 112.141 159.7849
230.000000 112.104 160.0117
233.000000 112.062 160.1676
236.000000 111.986 160.7604
240.000000 111.929 161.2004
243.000000 111.837 161.4287
247.000000 111.773 161.6790
250.000000 111.805 161.8854
254.000000 111.642 162.5614
258.000000 111.615 162.3187
262.000000 111.595 163.2171
265.000000 111.595 163.4692
269.000000 111.512 163.9844
272.000000 111.445 163.7792
276.000000 111.409 164.5038
280.000000 111.431 164.9041
285.000000 111.354 165.3665
290.000000 111.309 165.5839
295.000000 111.298 166.2482
300.000000 111.186 166.8273
304.000000 111.119 166.7306
307.000000 111.033 166.3011
311.000000 110.979 166.9909
315.000000 110.944 167.6395
320.000000 110.853 168.0357
325.000000 110.857 168.0042
330.000000 110.743 168.9805
335.000000 110.777 169.4073
340.000000 110.650 169.0664
345.000000 110.656 170.1906
350.000000 110.614 170.8319
355.000000 110.634 171.2686
360.000000 110.602 171.7781
365.000000 110.534 171.9702
370.000000 110.509 172.2384
375.000000 110.425 172.4922
382.000000 110.434 173.3650
387.000000 110.303 173.8104
395.000000 110.340 174.7181
400.000000 110.340 175.0536
406.000000 110.284 175.5714
412.000000 110.153 175.6628
418.000000 110.117 176.7582
425.000000 110.229 176.8741
431.000000 110.169 177.7704
437.000000 110.051 177.9169
444.000000 110.084 178.4643
450.000000 110.002 179.1851
455.000000 109.975 179.3019
462.000000 109.968 -179.4466
468.000000 110.011 -179.9114
475.000000 109.973 -178.6017
482.000000 109.935 -178.4210
487.000000 109.880 -177.9802
494.000000 109.871 -176.8802
500.000000 109.686 -175.8680
508.000000 109.908 -175.2946
515.000000 109.913 -175.8161
522.000000 109.896 -174.7176
530.000000 109.798 -173.6835
538.000000 109.829 -173.4081
545.000000 109.840 -172.7354
552.000000 109.822 -172.1452
560.000000 109.830 -171.7150
570.000000 109.819 -170.7882
580.000000 109.805 -170.2296
590.000000 109.850 -169.0712
600.000000 109.831 -168.4845
608.000000 109.820 -168.0144
615.000000 109.813 -167.2632
622.000000 109.794 -166.4855
630.000000 109.808 -166.3237
640.000000 109.804 -165.4615
650.000000 109.880 -164.7796
660.000000 109.816 -163.7274
670.000000 109.900 -163.2019
680.000000 109.843 -162.5845
690.000000 109.929 -161.1507
700.000000 109.942 -160.9814
710.000000 109.967 -160.2089
720.000000 109.996 -159.1129
730.000000 109.961 -158.4859
740.000000 110.078 -157.6314
750.000000 110.051 -157.3074
762.000000 110.118 -155.8791
775.000000 110.157 -155.1741
788.000000 110.236 -153.9799
800.000000 110.287 -153.2516
812.000000 110.277 -152.6758
825.000000 110.368 -151.4604
838.000000 110.469 -150.7469
850.000000 110.551 -149.6196
862.000000 110.627 -149.1531
875.000000 110.694 -148.2849
885.000000 110.775 -147.4999
900.000000 110.851 -146.3810
912.000000 110.945 -145.7798
925.000000 111.052 -145.1334
938.000000 111.138 -143.9814
950.000000 111.213 -143.4221
962.000000 111.307 -143.0201
975.000000 111.428 -142.1122
988.000000 111.485 -141.6971
1000.000000 111.602 -142.0598
1015.000000 111.750 -140.3954
1030.000000 111.894 -139.5608
1044.000000 111.973 -138.8789
1060.000000 112.150 -138.4156
1075.000000 112.260 -137.8454
1090.000000 112.375 -137.1843
1106.000000 112.509 -136.7866
1120.000000 112.623 -136.4986
1138.000000 112.791 -135.8867
1150.000000 112.895 -135.4641
1172.000000 113.017 -134.7878
1180.000000 113.087 -134.7133
1206.000000 113.356 -134.2160
1220.000000 113.454 -133.8283
1241.000000 113.599 -133.3203
1250.000000 113.679 -133.0276
1265.000000 113.850 -132.7683
1280.000000 113.919 -132.2911
1315.000000 114.191 -131.8992
1320.000000 114.234 -131.4752
1340.000000 114.401 -131.2681
1360.000000 114.529 -130.7846
1380.000000 114.768 -130.3888
1400.000000 114.851 -130.1834
1430.000000 115.127 -129.7725
1450.000000 115.309 -129.4116
1475.000000 115.510 -129.0155
1500.000000 115.716 -128.7499
1525.000000 115.951 -128.6868
1550.000000 116.141 -128.3627
1575.000000 116.357 -128.0822
1600.000000 116.607 -127.7922
1625.000000 116.842 -127.7681
1650.000000 117.079 -127.6847
1675.000000 117.317 -127.6051
1700.000000 117.573 -127.7872
1725.000000 117.797 -127.7181
1750.000000 118.075 -127.9035
1775.000000 118.319 -128.2215
1800.000000 118.593 -128.6019
1825.000000 118.856 -128.9171
1850.000000 119.126 -129.3234
1875.000000 119.384 -130.1718
1900.000000 119.634 -130.7521
1925.000000 119.909 -131.5592
1950.000000 120.177 -132.3333
1975.000000 120.424 -133.4428
2000.000000 120.737 -134.2647
2030.000000 120.997 -135.9857
2060.000000 121.278 -137.7152
2090.000000 121.544 -139.6874
2120.000000 121.791 -141.4488
2140.000000 121.925 -143.0525
2180.000000 122.202 -145.9749
2200.000000 122.303 -147.6848
2240.000000 122.501 -150.7969
2270.000000 122.578 -153.4294
2300.000000 122.655 -156.0032
2330.000000 122.667 -158.4732
2360.000000 122.665 -160.9924
2400.000000 122.582 -164.2467
2430.000000 122.480 -166.4058
2470.000000 122.321 -169.1167
2500.000000 122.181 -170.7942
2540.000000 122.003 -173.0975
2580.000000 121.809 -175.0426
2620.000000 121.619 -176.7954
2650.000000 121.469 -178.1471
2690.000000 121.248 -179.6409
2720.000000 121.060 179.3280
2760.000000 120.818 178.3072
2800.000000 120.611 177.1155
2850.000000 120.329 176.2836
2900.000000 120.090 175.6793
2950.000000 119.816 175.0870
3000.000000 119.593 174.6848
3040.000000 119.456 174.3818
3070.000000 119.347 174.2799
3110.000000 119.211 174.1371
3150.000000 119.090 173.9521
3200.000000 118.964 173.5916
3250.000000 118.859 173.4194
3300.000000 118.752 172.9178
3350.000000 118.620 172.4160
3400.000000 118.485 171.5824
3450.000000 118.283 170.6667
3500.000000 118.024 169.8201
3550.000000 117.687 169.6953
3600.000000 117.327 170.2975
3650.000000 117.077 171.4885
3700.000000 116.904 172.9200
3750.000000 116.766 173.9758
3820.000000 116.707 175.4172
3870.000000 116.578 176.5571
3950.000000 116.503 178.7326
4000.000000 116.472 179.4459
4060.000000 116.635 -178.5781
4120.000000 116.764 -177.5151
4180.000000 116.908 -176.7715
4250.000000 117.112 -176.2712
4310.000000 117.231 -176.2715
4370.000000 117.442 -176.3830
4440.000000 117.634 -176.7920
4500.000000 117.781 -177.2517
4550.000000 117.857 -178.0304
4620.000000 118.045 -178.8994
4680.000000 118.060 179.6595
4750.000000 118.138 178.5660
4820.000000 118.154 177.1945
4870.000000 118.128 176.0922
4940.000000 118.097 175.0463
5000.000000 118.038 173.2025
5080.000000 117.949 171.5330
5150.000000 117.716 170.1331
5220.000000 117.512 168.8157
5300.000000 117.293 167.7829
5380.000000 116.943 166.7099
5450.000000 116.558 166.1381
5520.000000 116.204 165.9788
5600.000000 115.738 166.8633
5700.000000 115.335 168.6152
5800.000000 114.905 170.5410
5900.000000 114.689 173.2808
6000.000000 114.539 175.3093
