* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Dec 31, 2024 10:21:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L ET142 NEW BLCK SWid 491
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 123.013 -141.9999
20.600000 123.032 -142.8139
20.900000 123.040 -143.4044
21.200001 123.060 -143.9303
21.400000 123.082 -144.3152
21.799999 123.137 -145.2400
22.000000 123.163 -145.7886
22.400000 123.199 -146.9857
22.700001 123.211 -147.8566
23.000000 123.219 -148.6166
23.299999 123.235 -149.2687
23.600000 123.264 -149.8696
24.000000 123.315 -150.7049
24.299999 123.349 -151.4106
24.700001 123.370 -152.4264
25.000000 123.365 -153.1710
25.400000 123.343 -154.0583
25.799999 123.328 -154.8358
26.200001 123.337 -155.6163
26.500000 123.355 -156.2657
26.900000 123.380 -157.2138
27.200001 123.390 -157.9243
27.600000 123.391 -158.7673
28.000000 123.388 -159.4375
28.500000 123.396 -160.1410
29.000000 123.413 -160.9391
29.500000 123.417 -161.9264
30.000000 123.398 -162.9617
30.400000 123.381 -163.7007
30.700001 123.376 -164.1849
31.100000 123.384 -164.7793
31.500000 123.403 -165.3743
32.000000 123.421 -166.1614
32.500000 123.412 -166.9543
33.000000 123.380 -167.6948
33.500000 123.343 -168.3999
34.000000 123.316 -169.1291
34.500000 123.302 -169.8871
35.000000 123.296 -170.6183
35.500000 123.297 -171.2867
36.000000 123.296 -171.9258
36.500000 123.281 -172.5778
37.000000 123.246 -173.2285
37.500000 123.202 -173.8381
38.200001 123.159 -174.6556
38.700001 123.150 -175.2842
39.500000 123.137 -176.3008
40.000000 123.121 -176.8386
40.599998 123.099 -177.4183
41.200001 123.071 -178.0570
41.799999 123.027 -178.7400
42.500000 122.973 -179.4303
43.099998 122.948 -179.9233
43.700001 122.937 179.5610
44.400002 122.913 178.8835
45.000000 122.871 178.2877
45.500000 122.829 177.8215
46.200001 122.776 177.2426
46.799999 122.749 176.7776
47.500000 122.723 176.1928
48.200001 122.678 175.6385
48.700001 122.642 175.3190
49.400002 122.609 174.8596
50.000000 122.590 174.3219
50.799999 122.548 173.5695
51.500000 122.508 173.0675
52.200001 122.468 172.5836
53.000000 122.407 171.9851
53.799999 122.361 171.4038
54.500000 122.343 170.8084
55.200001 122.308 170.2429
56.000000 122.247 169.8643
57.000000 122.174 169.4216
58.000000 122.091 168.8101
59.000000 122.030 168.2371
60.000000 121.959 167.7168
60.799999 121.905 167.3758
61.500000 121.873 166.9692
62.200001 121.833 166.4888
63.000000 121.768 166.0264
64.000000 121.674 165.5007
65.000000 121.602 165.0386
66.000000 121.580 164.7505
67.000000 121.520 164.6050
68.000000 121.415 164.3718
69.000000 121.329 163.8863
70.000000 121.279 163.7141
71.000000 121.219 163.7101
72.000000 121.145 163.1737
73.000000 121.171 162.0567
74.000000 121.206 160.9427
75.000000 121.031 161.1971
76.199997 120.958 162.1254
77.500000 120.894 160.0859
78.800003 120.836 160.3941
80.000000 120.795 160.1646
81.199997 120.716 160.2691
82.500000 120.643 159.1247
83.800003 120.516 158.5561
85.000000 120.451 158.0836
86.199997 120.439 158.4999
87.500000 120.399 158.5900
88.500000 120.312 157.9970
90.000000 120.178 157.8668
91.199997 120.151 157.3232
92.500000 119.998 156.8842
93.800003 119.945 156.6439
95.000000 119.921 156.2301
96.199997 119.890 156.0971
97.500000 119.838 156.2897
98.800003 119.686 156.1698
100.000000 119.577 156.1029
101.500000 119.575 156.1592
103.000000 119.446 155.7668
104.400002 119.351 155.4954
106.000000 119.304 155.4511
107.500000 119.200 155.0530
109.000000 119.121 154.7949
110.599998 119.094 155.1179
112.000000 118.978 154.9390
113.800003 118.929 154.7831
115.000000 118.820 154.4334
117.199997 118.703 154.6868
118.000000 118.596 155.9688
120.599998 117.893 150.0186
122.000000 118.696 154.2633
124.099998 118.341 154.5992
125.000000 118.296 153.7438
126.500000 118.218 154.8425
128.000000 118.009 155.0500
131.500000 117.949 155.9975
132.000000 117.971 156.5796
134.000000 117.927 156.7045
136.000000 117.946 156.3171
138.000000 117.955 156.5057
140.000000 117.968 156.8166
143.000000 117.982 156.2736
145.000000 117.860 155.9311
147.500000 117.862 154.8025
150.000000 117.774 154.9316
152.500000 117.683 155.0950
155.000000 117.514 155.2317
157.500000 117.474 154.8067
160.000000 117.364 154.5174
162.500000 117.274 154.5287
165.000000 117.231 154.9171
167.500000 117.125 154.7415
170.000000 116.992 155.3923
172.500000 116.939 155.0405
175.000000 116.787 155.1433
177.500000 116.760 155.1796
180.000000 116.678 155.0404
182.500000 116.645 155.5214
185.000000 116.569 156.3860
187.500000 116.442 155.8369
190.000000 116.365 155.9078
192.500000 116.279 156.1836
195.000000 116.222 156.3965
197.500000 116.147 156.7984
200.000000 116.042 157.3061
203.000000 116.050 157.8469
206.000000 116.041 158.0305
209.000000 116.039 158.2770
212.000000 115.982 158.6982
214.000000 115.994 158.3987
218.000000 115.892 158.5664
220.000000 115.898 158.4136
224.000000 115.794 158.5540
227.000000 115.711 158.7967
230.000000 115.659 158.8582
233.000000 115.613 158.9609
236.000000 115.557 159.0744
240.000000 115.466 159.3857
243.000000 115.405 159.5415
247.000000 115.355 159.8520
250.000000 115.293 159.9550
254.000000 115.219 160.4530
258.000000 115.117 160.5583
262.000000 115.072 161.2145
265.000000 115.045 161.3239
269.000000 114.960 161.3555
272.000000 114.924 161.7922
276.000000 114.849 162.1964
280.000000 114.818 162.5524
285.000000 114.782 162.6501
290.000000 114.671 162.6434
295.000000 114.572 163.3745
300.000000 114.529 163.4152
304.000000 114.510 164.8898
307.000000 114.494 164.6260
311.000000 114.398 164.9120
315.000000 114.365 165.4136
320.000000 114.306 165.7996
325.000000 114.255 165.9966
330.000000 114.193 166.2778
335.000000 114.162 166.9507
340.000000 114.103 167.3872
345.000000 114.085 167.9572
350.000000 114.013 168.2874
355.000000 114.026 168.5862
360.000000 113.947 169.0391
365.000000 113.943 169.3491
370.000000 113.904 169.9076
375.000000 113.821 170.3374
382.000000 113.792 171.0332
387.000000 113.805 171.5797
395.000000 113.724 172.1223
400.000000 113.700 172.3644
406.000000 113.686 172.9134
412.000000 113.616 173.3113
418.000000 113.578 173.9843
425.000000 113.514 174.2805
431.000000 113.491 174.7333
437.000000 113.449 174.8866
444.000000 113.528 175.4231
450.000000 113.551 177.1701
455.000000 113.536 176.1241
462.000000 113.437 176.0678
468.000000 113.284 177.5297
475.000000 113.374 178.6276
482.000000 113.372 179.2996
487.000000 113.405 179.5209
494.000000 113.359 -179.8459
500.000000 113.331 179.9410
508.000000 113.254 -179.3389
515.000000 113.322 -178.7292
522.000000 113.263 -178.0126
530.000000 113.251 -177.5074
538.000000 113.250 -177.0311
545.000000 113.279 -176.3083
552.000000 113.256 -175.9580
560.000000 113.218 -175.0383
570.000000 113.254 -174.6400
580.000000 113.251 -173.8454
590.000000 113.221 -173.4310
600.000000 113.227 -172.3959
608.000000 113.285 -171.7101
615.000000 113.260 -171.5415
622.000000 113.251 -170.7996
630.000000 113.309 -169.9558
640.000000 113.314 -169.6694
650.000000 113.276 -168.8342
660.000000 113.267 -168.2276
670.000000 113.286 -167.3035
680.000000 113.347 -166.2522
690.000000 113.378 -166.0374
700.000000 113.393 -165.1541
710.000000 113.431 -164.6969
720.000000 113.436 -163.6716
730.000000 113.487 -163.4113
740.000000 113.496 -162.4760
750.000000 113.528 -162.1460
762.000000 113.567 -161.2278
775.000000 113.626 -160.4833
788.000000 113.676 -159.5034
800.000000 113.745 -158.5025
812.000000 113.817 -158.0040
825.000000 113.882 -157.2326
838.000000 113.938 -156.2960
850.000000 114.018 -155.6529
862.000000 114.057 -154.9281
875.000000 114.173 -154.1408
885.000000 114.234 -153.4702
900.000000 114.371 -152.6068
912.000000 114.415 -152.2052
925.000000 114.491 -151.3704
938.000000 114.619 -150.7267
950.000000 114.701 -150.2707
962.000000 114.816 -149.6729
975.000000 114.970 -149.1873
988.000000 115.046 -148.8106
1000.000000 115.068 -148.9926
1015.000000 115.255 -147.7641
1030.000000 115.394 -147.2466
1044.000000 115.504 -146.7338
1060.000000 115.627 -146.2916
1075.000000 115.802 -145.9521
1090.000000 115.927 -145.4251
1106.000000 116.047 -145.1026
1120.000000 116.182 -144.8222
1138.000000 116.307 -144.5563
1150.000000 116.438 -144.4691
1172.000000 116.599 -144.1301
1180.000000 116.671 -143.7908
1206.000000 116.913 -143.5445
1220.000000 117.022 -143.5223
1241.000000 117.197 -143.1648
1250.000000 117.257 -143.2073
1265.000000 117.399 -143.0819
1280.000000 117.509 -142.9712
1315.000000 117.795 -142.7514
1320.000000 117.803 -142.7348
1340.000000 117.982 -142.7245
1360.000000 118.151 -142.8178
1380.000000 118.306 -142.6982
1400.000000 118.474 -142.9248
1430.000000 118.732 -142.8331
1450.000000 118.905 -142.8684
1475.000000 119.106 -143.1505
1500.000000 119.321 -143.4437
1525.000000 119.541 -143.7463
1550.000000 119.751 -144.1167
1575.000000 119.949 -144.4546
1600.000000 120.182 -144.8626
1625.000000 120.391 -145.5388
1650.000000 120.612 -146.3068
1675.000000 120.806 -146.8838
1700.000000 121.036 -147.8515
1725.000000 121.228 -148.6625
1750.000000 121.413 -149.6772
1775.000000 121.607 -150.8225
1800.000000 121.811 -152.0711
1825.000000 121.976 -153.2497
1850.000000 122.154 -154.7338
1875.000000 122.289 -156.2143
1900.000000 122.442 -157.7938
1925.000000 122.546 -159.4155
1950.000000 122.664 -161.2294
1975.000000 122.734 -162.9186
2000.000000 122.813 -164.5628
2030.000000 122.859 -166.9633
2060.000000 122.864 -169.3186
2090.000000 122.843 -171.4415
2120.000000 122.801 -173.6491
2140.000000 122.738 -175.0726
2180.000000 122.598 -177.7536
2200.000000 122.501 -179.0059
2240.000000 122.306 178.6683
2270.000000 122.128 177.1588
2300.000000 121.940 175.7456
2330.000000 121.747 174.5902
2360.000000 121.579 173.5202
2400.000000 121.316 172.3978
2430.000000 121.141 171.7430
2470.000000 120.902 170.8896
2500.000000 120.762 170.3362
2540.000000 120.557 169.4324
2580.000000 120.355 168.6948
2620.000000 120.161 167.6778
2650.000000 119.960 167.0707
2690.000000 119.653 166.2857
2720.000000 119.431 166.1345
2760.000000 119.112 166.0662
2800.000000 118.816 166.5103
2850.000000 118.520 167.1816
2900.000000 118.252 168.1735
2950.000000 118.045 169.2521
3000.000000 117.817 169.9456
3040.000000 117.788 170.6647
3070.000000 117.705 171.3279
3110.000000 117.600 172.0127
3150.000000 117.589 172.9692
3200.000000 117.485 173.4335
3250.000000 117.446 174.1561
3300.000000 117.398 174.7443
3350.000000 117.338 175.3284
3400.000000 117.265 175.4159
3450.000000 117.153 176.2938
3500.000000 117.098 176.7496
3550.000000 117.000 177.5909
3600.000000 116.957 178.5134
3650.000000 116.989 179.4373
3700.000000 116.984 -179.7749
3750.000000 116.980 -179.2304
3820.000000 117.061 -177.8132
3870.000000 117.121 -177.3411
3950.000000 117.197 -176.4519
4000.000000 117.359 -176.5115
4060.000000 117.333 -175.9672
4120.000000 117.434 -175.4360
4180.000000 117.523 -175.4159
4250.000000 117.652 -175.1052
4310.000000 117.686 -175.1230
4370.000000 117.772 -175.1049
4440.000000 117.839 -174.9956
4500.000000 117.916 -175.0723
4550.000000 118.003 -175.0600
4620.000000 118.108 -175.2679
4680.000000 118.242 -175.5423
4750.000000 118.367 -176.2008
4820.000000 118.444 -177.0225
4870.000000 118.511 -177.8010
4940.000000 118.552 -178.9998
5000.000000 118.605 179.5036
5080.000000 118.512 178.4817
5150.000000 118.339 177.2137
5220.000000 118.192 176.1425
5300.000000 118.013 175.6806
5380.000000 117.810 174.4542
5450.000000 117.672 174.3152
5520.000000 117.436 174.1364
5600.000000 117.174 173.5943
5700.000000 116.733 173.7685
5800.000000 116.341 174.4379
5900.000000 115.864 176.0268
6000.000000 115.369 179.1893
