* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Dec 11, 2024 2:26:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L ET142 SANCAI WIDE 300M 455
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 119.971 -140.6295
20.600000 120.008 -141.6113
20.900000 120.033 -142.4838
21.200001 120.053 -143.3156
21.400000 120.065 -143.8466
21.799999 120.090 -144.8659
22.000000 120.104 -145.3653
22.400000 120.136 -146.3728
22.700001 120.162 -147.1536
23.000000 120.187 -147.9581
23.299999 120.208 -148.7682
23.600000 120.225 -149.5604
24.000000 120.244 -150.5561
24.299999 120.259 -151.2505
24.700001 120.280 -152.1314
25.000000 120.296 -152.7909
25.400000 120.312 -153.7014
25.799999 120.315 -154.6401
26.200001 120.306 -155.5544
26.500000 120.297 -156.1907
26.900000 120.291 -156.9651
27.200001 120.298 -157.5146
27.600000 120.322 -158.2570
28.000000 120.351 -159.0469
28.500000 120.375 -160.0631
29.000000 120.376 -160.9949
29.500000 120.369 -161.7997
30.000000 120.371 -162.5783
30.400000 120.376 -163.2648
30.700001 120.378 -163.8230
31.100000 120.372 -164.5792
31.500000 120.358 -165.2893
32.000000 120.340 -166.0669
32.500000 120.328 -166.7728
33.000000 120.322 -167.4989
33.500000 120.313 -168.2675
34.000000 120.298 -169.0300
34.500000 120.284 -169.7426
35.000000 120.276 -170.4109
35.500000 120.268 -171.0604
36.000000 120.253 -171.6971
36.500000 120.229 -172.3148
37.000000 120.202 -172.9258
37.500000 120.178 -173.5589
38.200001 120.152 -174.4973
38.700001 120.136 -175.1620
39.500000 120.114 -176.1235
40.000000 120.099 -176.6714
40.599998 120.073 -177.3077
41.200001 120.037 -177.9228
41.799999 119.998 -178.5173
42.500000 119.959 -179.2174
43.099998 119.929 -179.8247
43.700001 119.900 179.5979
44.400002 119.871 178.9557
45.000000 119.847 178.3852
45.500000 119.821 177.8933
46.200001 119.779 177.2185
46.799999 119.740 176.6642
47.500000 119.693 176.0451
48.200001 119.648 175.4916
48.700001 119.621 175.1324
49.400002 119.591 174.6135
50.000000 119.562 174.1235
50.799999 119.513 173.4583
51.500000 119.465 172.9128
52.200001 119.420 172.4178
53.000000 119.379 171.9157
53.799999 119.345 171.4038
54.500000 119.305 170.9038
55.200001 119.252 170.4237
56.000000 119.195 169.9398
57.000000 119.138 169.3027
58.000000 119.067 168.7388
59.000000 119.008 168.2436
60.000000 118.950 167.5987
60.799999 118.898 167.1769
61.500000 118.864 166.8617
62.200001 118.828 166.5045
63.000000 118.776 166.1031
64.000000 118.717 165.6169
65.000000 118.650 165.1183
66.000000 118.575 164.7108
67.000000 118.510 164.2437
68.000000 118.446 163.7955
69.000000 118.392 163.4833
70.000000 118.320 163.0577
71.000000 118.226 162.7780
72.000000 118.197 162.5178
73.000000 118.145 161.9287
74.000000 118.057 161.5776
75.000000 118.004 161.1802
76.199997 117.922 160.8443
77.500000 117.847 160.6648
78.800003 117.735 160.1854
80.000000 117.661 159.9250
81.199997 117.575 159.4537
82.500000 117.485 159.5772
83.800003 117.511 158.6707
85.000000 117.395 159.1288
86.199997 117.396 159.0745
87.500000 117.290 158.1780
88.500000 117.315 158.2184
90.000000 117.210 158.3858
91.199997 117.130 158.3720
92.500000 117.125 157.1256
93.800003 116.927 157.4825
95.000000 116.806 155.8906
96.199997 116.604 156.1188
97.500000 116.835 156.4853
98.800003 116.716 155.5366
100.000000 116.621 155.8906
101.500000 116.615 155.2867
103.000000 116.462 155.9823
104.400002 116.385 154.2994
106.000000 116.328 154.6451
107.500000 116.165 152.0483
109.000000 115.624 156.5977
110.599998 115.787 155.3139
112.000000 115.596 154.4951
113.800003 115.790 154.5519
115.000000 115.669 153.3936
117.199997 115.870 154.1743
118.000000 115.964 155.8344
120.599998 115.579 153.8727
122.000000 115.327 153.6817
124.099998 115.448 153.9438
125.000000 115.474 154.1370
126.500000 115.375 154.9836
128.000000 115.117 154.0972
131.500000 115.257 154.3105
132.000000 115.194 153.1953
134.000000 114.984 153.7409
136.000000 115.039 154.8997
138.000000 114.811 154.6300
140.000000 114.990 155.5003
143.000000 114.852 154.2974
145.000000 114.747 154.8602
147.500000 114.663 154.3077
150.000000 114.573 154.4435
152.500000 114.468 154.3464
155.000000 114.405 154.7053
157.500000 114.271 154.5555
160.000000 114.245 154.7672
162.500000 114.164 154.8201
165.000000 114.110 154.8557
167.500000 114.061 154.8396
170.000000 113.971 154.7554
172.500000 113.901 154.6304
175.000000 113.858 154.8896
177.500000 113.793 154.8630
180.000000 113.695 154.7651
182.500000 113.587 155.0589
185.000000 113.557 155.2165
187.500000 113.459 155.5334
190.000000 113.487 155.2886
192.500000 113.468 155.5987
195.000000 113.255 155.5085
197.500000 113.366 155.1399
200.000000 113.200 155.7468
203.000000 113.253 155.3913
206.000000 113.153 156.5243
209.000000 112.902 157.6596
212.000000 112.738 156.2649
214.000000 112.962 156.4513
218.000000 112.702 157.4030
220.000000 112.776 157.3353
224.000000 112.688 157.8106
227.000000 112.651 157.9684
230.000000 112.626 157.9030
233.000000 112.562 158.2329
236.000000 112.458 158.5195
240.000000 112.400 158.7896
243.000000 112.310 158.6810
247.000000 112.287 159.5139
250.000000 112.260 159.5072
254.000000 112.216 160.2161
258.000000 112.169 159.7592
262.000000 112.076 160.3119
265.000000 112.007 160.5223
269.000000 111.995 160.4368
272.000000 111.933 160.7195
276.000000 111.890 160.8856
280.000000 111.833 161.6532
285.000000 111.789 161.5462
290.000000 111.647 162.4532
295.000000 111.628 162.3996
300.000000 111.612 162.8226
304.000000 111.503 163.0549
307.000000 111.475 163.4190
311.000000 111.438 163.3638
315.000000 111.418 163.9796
320.000000 111.324 164.2152
325.000000 111.296 164.8036
330.000000 111.212 165.1088
335.000000 111.215 165.2985
340.000000 111.161 165.9185
345.000000 111.119 166.1360
350.000000 111.066 166.5469
355.000000 111.032 167.1408
360.000000 110.978 167.2780
365.000000 110.937 167.4764
370.000000 110.900 168.1463
375.000000 110.859 168.4550
382.000000 110.769 169.0412
387.000000 110.781 169.7792
395.000000 110.725 169.9749
400.000000 110.741 170.5365
406.000000 110.652 170.6730
412.000000 110.674 171.1116
418.000000 110.615 171.7236
425.000000 110.563 172.1903
431.000000 110.562 172.6380
437.000000 110.522 173.1769
444.000000 110.518 173.3975
450.000000 110.515 173.8682
455.000000 110.440 174.3833
462.000000 110.464 175.0860
468.000000 110.399 175.7794
475.000000 110.414 175.8539
482.000000 110.451 176.2061
487.000000 110.421 176.7173
494.000000 110.385 177.0874
500.000000 110.316 177.6029
508.000000 110.331 178.0258
515.000000 110.327 178.6241
522.000000 110.300 179.1548
530.000000 110.281 179.6469
538.000000 110.322 179.8615
545.000000 110.280 -179.3500
552.000000 110.244 -178.9423
560.000000 110.216 -178.4573
570.000000 110.215 -177.9022
580.000000 110.284 -176.9528
590.000000 110.234 -176.3574
600.000000 110.317 -175.8203
608.000000 110.255 -175.4727
615.000000 110.248 -174.8548
622.000000 110.236 -174.6164
630.000000 110.297 -174.1861
640.000000 110.203 -173.1729
650.000000 110.269 -172.8231
660.000000 110.285 -172.1996
670.000000 110.287 -171.5612
680.000000 110.290 -170.6046
690.000000 110.345 -170.4040
700.000000 110.348 -169.7202
710.000000 110.380 -169.0655
720.000000 110.411 -168.7694
730.000000 110.407 -168.1578
740.000000 110.450 -167.4148
750.000000 110.486 -166.6813
762.000000 110.548 -166.1428
775.000000 110.542 -165.5677
788.000000 110.620 -164.6132
800.000000 110.694 -164.2570
812.000000 110.714 -163.1242
825.000000 110.831 -162.6268
838.000000 110.881 -162.0818
850.000000 110.887 -161.6228
862.000000 110.957 -160.7593
875.000000 111.090 -160.3144
885.000000 111.062 -159.7341
900.000000 111.183 -159.1020
912.000000 111.280 -158.4517
925.000000 111.356 -157.9664
938.000000 111.458 -157.6674
950.000000 111.538 -156.9799
962.000000 111.639 -156.6401
975.000000 111.722 -156.1922
988.000000 111.801 -156.0032
1000.000000 111.896 -156.0959
1015.000000 111.960 -155.0913
1030.000000 112.057 -154.2918
1044.000000 112.183 -154.6419
1060.000000 112.306 -154.0656
1075.000000 112.402 -153.8430
1090.000000 112.546 -153.5991
1106.000000 112.641 -153.2230
1120.000000 112.762 -153.3875
1138.000000 112.883 -153.1090
1150.000000 112.999 -152.9320
1172.000000 113.128 -152.7535
1180.000000 113.205 -152.7560
1206.000000 113.386 -152.9333
1220.000000 113.445 -153.0554
1241.000000 113.609 -152.9536
1250.000000 113.702 -152.7672
1265.000000 113.729 -152.7289
1280.000000 113.873 -152.7950
1315.000000 114.089 -152.9709
1320.000000 114.115 -153.0677
1340.000000 114.231 -153.2127
1360.000000 114.363 -153.4035
1380.000000 114.459 -153.6570
1400.000000 114.532 -153.6461
1430.000000 114.719 -154.1290
1450.000000 114.844 -154.5279
1475.000000 114.968 -154.7793
1500.000000 115.079 -155.0447
1525.000000 115.194 -155.6032
1550.000000 115.356 -156.1068
1575.000000 115.421 -156.5707
1600.000000 115.548 -157.1345
1625.000000 115.705 -157.8712
1650.000000 115.776 -158.6154
1675.000000 115.904 -159.1348
1700.000000 115.977 -159.8620
1725.000000 116.083 -160.5634
1750.000000 116.115 -161.3021
1775.000000 116.191 -162.0825
1800.000000 116.282 -163.0164
1825.000000 116.363 -163.8710
1850.000000 116.370 -164.6358
1875.000000 116.434 -165.5220
1900.000000 116.483 -166.5183
1925.000000 116.489 -167.2956
1950.000000 116.528 -168.2893
1975.000000 116.540 -169.1668
2000.000000 116.578 -170.0567
2030.000000 116.516 -171.3315
2060.000000 116.513 -172.4458
2090.000000 116.445 -173.6352
2120.000000 116.425 -174.7810
2140.000000 116.343 -175.4342
2180.000000 116.211 -176.5216
2200.000000 116.152 -177.3922
2240.000000 116.014 -178.4845
2270.000000 115.880 -179.0967
2300.000000 115.727 -179.7092
2330.000000 115.621 179.7401
2360.000000 115.497 179.6010
2400.000000 115.305 179.2655
2430.000000 115.218 179.2412
2470.000000 115.087 179.1536
2500.000000 115.024 179.1627
2540.000000 114.904 179.3303
2580.000000 114.803 178.5740
2620.000000 114.743 178.2858
2650.000000 114.571 177.9835
2690.000000 114.444 177.5891
2720.000000 114.250 177.4680
2760.000000 114.020 177.6318
2800.000000 113.933 178.3794
2850.000000 113.714 179.2288
2900.000000 113.601 -179.6539
2950.000000 113.545 -178.4037
3000.000000 113.408 -177.6685
3040.000000 113.440 -176.7597
3070.000000 113.423 -176.7558
3110.000000 113.425 -175.3717
3150.000000 113.454 -175.3380
3200.000000 113.548 -174.6391
3250.000000 113.528 -174.3709
3300.000000 113.562 -173.9099
3350.000000 113.540 -173.9454
3400.000000 113.502 -173.9760
3450.000000 113.526 -173.2967
3500.000000 113.481 -173.1487
3550.000000 113.533 -172.7227
3600.000000 113.433 -171.8991
3650.000000 113.463 -171.2576
3700.000000 113.468 -170.6925
3750.000000 113.494 -170.3504
3820.000000 113.605 -169.4827
3870.000000 113.726 -169.0478
3950.000000 113.749 -168.4686
4000.000000 113.859 -168.5307
4060.000000 114.000 -168.1672
4120.000000 114.057 -167.9870
4180.000000 114.187 -167.8328
4250.000000 114.256 -167.7784
4310.000000 114.319 -167.7666
4370.000000 114.461 -167.8002
4440.000000 114.630 -167.7347
4500.000000 114.718 -168.0780
4550.000000 114.788 -168.3514
4620.000000 114.903 -168.7755
4680.000000 115.004 -169.1678
4750.000000 115.106 -170.1090
4820.000000 115.150 -171.2430
4870.000000 115.140 -171.3525
4940.000000 115.208 -172.6892
5000.000000 115.175 -173.4238
5080.000000 115.082 -174.6281
5150.000000 115.031 -175.3394
5220.000000 114.928 -176.0327
5300.000000 114.751 -176.4757
5380.000000 114.603 -177.0176
5450.000000 114.484 -176.9888
5520.000000 114.326 -176.9875
5600.000000 114.173 -177.4525
5700.000000 113.854 -176.9629
5800.000000 113.596 -176.0434
5900.000000 113.174 -174.7284
