* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Dec 11, 2024 2:28:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R ET142 SANCAI WIDE 300M 457
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 119.830 -141.9220
20.600000 119.863 -142.8267
20.900000 119.890 -143.6647
21.200001 119.914 -144.5196
21.400000 119.929 -145.0959
21.799999 119.956 -146.2433
22.000000 119.968 -146.8024
22.400000 119.993 -147.8675
22.700001 120.012 -148.6163
23.000000 120.032 -149.3324
23.299999 120.052 -150.0333
23.600000 120.071 -150.7305
24.000000 120.090 -151.6614
24.299999 120.100 -152.3549
24.700001 120.113 -153.2631
25.000000 120.124 -153.9316
25.400000 120.147 -154.8181
25.799999 120.177 -155.7165
26.200001 120.208 -156.6269
26.500000 120.226 -157.3019
26.900000 120.241 -158.1631
27.200001 120.243 -158.7621
27.600000 120.235 -159.4884
28.000000 120.220 -160.1441
28.500000 120.199 -160.9176
29.000000 120.187 -161.7297
29.500000 120.183 -162.6562
30.000000 120.179 -163.6920
30.400000 120.170 -164.5240
30.700001 120.160 -165.0983
31.100000 120.146 -165.7543
31.500000 120.140 -166.2957
32.000000 120.145 -166.9110
32.500000 120.152 -167.5799
33.000000 120.143 -168.3193
33.500000 120.116 -169.0486
34.000000 120.088 -169.7202
34.500000 120.073 -170.3886
35.000000 120.069 -171.1180
35.500000 120.059 -171.8784
36.000000 120.038 -172.5703
36.500000 120.014 -173.1474
37.000000 119.996 -173.6699
37.500000 119.980 -174.2232
38.200001 119.949 -175.0571
38.700001 119.925 -175.6223
39.500000 119.909 -176.4846
40.000000 119.908 -177.0889
40.599998 119.891 -177.8687
41.200001 119.848 -178.5629
41.799999 119.799 -179.1134
42.500000 119.755 -179.7168
43.099998 119.722 179.6989
43.700001 119.688 179.1087
44.400002 119.653 178.4630
45.000000 119.626 177.8934
45.500000 119.598 177.3984
46.200001 119.546 176.7509
46.799999 119.505 176.2664
47.500000 119.469 175.7220
48.200001 119.437 175.2016
48.700001 119.418 174.8658
49.400002 119.397 174.3794
50.000000 119.373 173.8826
50.799999 119.314 173.2555
51.500000 119.264 172.8866
52.200001 119.236 172.5037
53.000000 119.194 171.8875
53.799999 119.133 171.3407
54.500000 119.105 170.8812
55.200001 119.076 170.2527
56.000000 119.000 169.6621
57.000000 118.933 169.3170
58.000000 118.889 168.6106
59.000000 118.818 168.0379
60.000000 118.790 167.5532
60.799999 118.737 167.1010
61.500000 118.678 166.8419
62.200001 118.631 166.4910
63.000000 118.560 165.9258
64.000000 118.479 165.4333
65.000000 118.442 164.9355
66.000000 118.368 164.5271
67.000000 118.292 164.1078
68.000000 118.205 163.5860
69.000000 118.156 163.2564
70.000000 118.044 163.0135
71.000000 117.936 163.3321
72.000000 117.926 162.8002
73.000000 117.849 162.4603
74.000000 117.864 163.0941
75.000000 117.891 163.2197
76.199997 117.871 162.3797
77.500000 117.813 161.2742
78.800003 117.737 160.0097
80.000000 117.348 160.3848
81.199997 117.375 160.9199
82.500000 117.425 159.3843
83.800003 117.428 159.0116
85.000000 117.319 158.9149
86.199997 117.234 158.3535
87.500000 117.175 158.1202
88.500000 117.161 157.7148
90.000000 116.887 156.9293
91.199997 116.855 156.8608
92.500000 116.831 156.8997
93.800003 116.776 156.8785
95.000000 116.657 156.7744
96.199997 116.603 156.7606
97.500000 116.533 156.5674
98.800003 116.475 156.4980
100.000000 116.510 156.5397
101.500000 116.421 156.2451
103.000000 116.362 155.8963
104.400002 116.324 155.7041
106.000000 116.220 155.0516
107.500000 116.174 155.1417
109.000000 116.090 154.5974
110.599998 116.017 154.7254
112.000000 115.913 154.9574
113.800003 115.874 154.1648
115.000000 115.740 154.4173
117.199997 115.754 154.5250
118.000000 115.732 154.0321
120.599998 115.531 154.6855
122.000000 115.487 154.3052
124.099998 115.358 153.9409
125.000000 115.275 154.0305
126.500000 115.017 154.2432
128.000000 115.169 153.8521
131.500000 114.972 153.6010
132.000000 114.993 153.9381
134.000000 114.950 154.4516
136.000000 114.887 153.6921
138.000000 114.846 153.7342
140.000000 114.673 155.3412
143.000000 114.613 154.3425
145.000000 114.515 154.2156
147.500000 114.467 154.3153
150.000000 114.426 154.5380
152.500000 114.341 154.2500
155.000000 114.263 154.4476
157.500000 114.135 154.1290
160.000000 114.064 154.3882
162.500000 114.027 154.2069
165.000000 113.932 154.0757
167.500000 113.852 154.2448
170.000000 113.793 154.3204
172.500000 113.704 154.4108
175.000000 113.644 154.5386
177.500000 113.572 154.6677
180.000000 113.503 154.6615
182.500000 113.406 154.9368
185.000000 113.304 154.8482
187.500000 113.259 155.1341
190.000000 113.205 155.2374
192.500000 113.131 155.3856
195.000000 113.048 155.6411
197.500000 112.994 155.8226
200.000000 112.928 155.6405
203.000000 112.823 156.1682
206.000000 112.780 156.2978
209.000000 112.654 156.2217
212.000000 112.601 156.6425
214.000000 112.597 156.4809
218.000000 112.571 157.3529
220.000000 112.403 156.9190
224.000000 112.435 157.1484
227.000000 112.205 157.6949
230.000000 112.174 158.3548
233.000000 112.054 158.2533
236.000000 111.946 159.4484
240.000000 111.928 160.0324
243.000000 111.823 160.3676
247.000000 111.901 160.4863
250.000000 112.004 160.7766
254.000000 112.037 160.6446
258.000000 111.937 161.1009
262.000000 111.925 161.1572
265.000000 111.831 161.4745
269.000000 111.806 161.6522
272.000000 111.701 161.9418
276.000000 111.663 162.0787
280.000000 111.654 162.4179
285.000000 111.554 162.7561
290.000000 111.528 163.0957
295.000000 111.440 163.4079
300.000000 111.335 163.9891
304.000000 111.361 163.8124
307.000000 111.317 164.1931
311.000000 111.202 164.6555
315.000000 111.234 165.0590
320.000000 111.143 165.2197
325.000000 111.072 165.5459
330.000000 111.057 166.0070
335.000000 111.026 166.7509
340.000000 110.953 167.0777
345.000000 110.992 167.3862
350.000000 110.909 167.4506
355.000000 110.842 168.2877
360.000000 110.851 168.3132
365.000000 110.826 168.7083
370.000000 110.809 168.8920
375.000000 110.706 169.5050
382.000000 110.669 169.9936
387.000000 110.626 170.3852
395.000000 110.606 170.8233
400.000000 110.571 171.5326
406.000000 110.478 171.8654
412.000000 110.537 172.5225
418.000000 110.482 172.5843
425.000000 110.440 173.3577
431.000000 110.409 173.6962
437.000000 110.422 174.0171
444.000000 110.362 174.9493
450.000000 110.345 175.0901
455.000000 110.330 175.3066
462.000000 110.283 176.2325
468.000000 110.264 176.2266
475.000000 110.251 177.0536
482.000000 110.229 177.5510
487.000000 110.253 178.3499
494.000000 110.221 178.3091
500.000000 110.219 178.5982
508.000000 110.156 179.2769
515.000000 110.176 179.8900
522.000000 110.144 -179.5150
530.000000 110.161 -179.2292
538.000000 110.164 -178.3610
545.000000 110.121 -177.9548
552.000000 110.118 -177.5733
560.000000 110.090 -176.9815
570.000000 110.108 -176.4909
580.000000 110.098 -175.5292
590.000000 110.130 -175.0487
600.000000 110.065 -174.4552
608.000000 110.142 -173.8400
615.000000 110.139 -173.3807
622.000000 110.145 -172.9016
630.000000 110.116 -172.3744
640.000000 110.188 -171.7124
650.000000 110.116 -171.1324
660.000000 110.199 -170.6348
670.000000 110.233 -169.7735
680.000000 110.175 -169.2688
690.000000 110.219 -168.7861
700.000000 110.274 -168.1890
710.000000 110.262 -167.3104
720.000000 110.311 -166.5111
730.000000 110.337 -165.8091
740.000000 110.414 -165.4500
750.000000 110.441 -164.7662
762.000000 110.496 -164.2157
775.000000 110.501 -163.6097
788.000000 110.491 -162.8841
800.000000 110.608 -161.8490
812.000000 110.679 -161.2871
825.000000 110.724 -160.5953
838.000000 110.788 -160.0769
850.000000 110.849 -159.4430
862.000000 110.952 -158.8279
875.000000 110.957 -157.9896
885.000000 111.090 -157.5259
900.000000 111.196 -156.9388
912.000000 111.232 -156.4220
925.000000 111.296 -155.8586
938.000000 111.414 -155.4017
950.000000 111.456 -154.7956
962.000000 111.583 -154.4642
975.000000 111.698 -153.9525
988.000000 111.793 -153.4752
1000.000000 111.861 -153.4505
1015.000000 111.994 -152.5546
1030.000000 112.115 -152.6976
1044.000000 112.187 -152.2244
1060.000000 112.358 -151.7760
1075.000000 112.489 -151.2855
1090.000000 112.586 -151.3194
1106.000000 112.728 -151.1834
1120.000000 112.807 -150.6672
1138.000000 112.924 -150.5725
1150.000000 113.024 -150.4010
1172.000000 113.213 -150.3972
1180.000000 113.280 -150.2672
1206.000000 113.451 -150.2528
1220.000000 113.545 -150.3406
1241.000000 113.694 -150.2640
1250.000000 113.770 -150.4343
1265.000000 113.835 -150.3902
1280.000000 113.972 -150.3410
1315.000000 114.185 -150.5561
1320.000000 114.210 -150.8092
1340.000000 114.316 -150.9865
1360.000000 114.445 -150.8833
1380.000000 114.571 -151.2464
1400.000000 114.703 -151.3485
1430.000000 114.868 -151.4541
1450.000000 115.033 -152.1633
1475.000000 115.138 -152.3620
1500.000000 115.262 -152.8190
1525.000000 115.406 -153.5184
1550.000000 115.498 -154.0541
1575.000000 115.656 -154.6217
1600.000000 115.746 -155.1276
1625.000000 115.840 -155.7393
1650.000000 115.932 -156.3885
1675.000000 116.039 -157.2932
1700.000000 116.128 -157.6940
1725.000000 116.205 -158.6876
1750.000000 116.231 -159.4666
1775.000000 116.327 -160.0843
1800.000000 116.407 -161.0318
1825.000000 116.459 -161.7605
1850.000000 116.501 -162.5300
1875.000000 116.496 -163.1802
1900.000000 116.531 -164.2113
1925.000000 116.575 -164.8005
1950.000000 116.522 -165.6996
1975.000000 116.568 -166.4581
2000.000000 116.552 -166.7940
2030.000000 116.526 -168.0102
2060.000000 116.503 -168.8560
2090.000000 116.472 -169.5788
2120.000000 116.469 -170.2693
2140.000000 116.408 -170.6817
2180.000000 116.375 -171.6014
2200.000000 116.329 -171.9701
2240.000000 116.226 -173.1102
2270.000000 116.205 -173.3438
2300.000000 116.142 -173.8282
2330.000000 116.077 -174.4824
2360.000000 116.030 -174.7334
2400.000000 115.887 -175.2955
2430.000000 115.831 -175.2243
2470.000000 115.720 -175.7252
2500.000000 115.671 -176.0111
2540.000000 115.591 -175.8346
2580.000000 115.596 -176.3685
2620.000000 115.522 -176.4626
2650.000000 115.488 -176.4715
2690.000000 115.417 -176.6299
2720.000000 115.368 -176.7777
2760.000000 115.314 -176.6257
2800.000000 115.250 -177.0061
2850.000000 115.185 -176.9317
2900.000000 115.172 -176.9603
2950.000000 115.156 -176.5176
3000.000000 115.060 -177.3291
3040.000000 115.103 -177.1049
3070.000000 115.117 -177.1489
3110.000000 115.161 -177.2847
3150.000000 115.105 -177.7254
3200.000000 115.110 -178.4239
3250.000000 115.140 -178.9700
3300.000000 115.043 -179.6781
3350.000000 114.946 179.1140
3400.000000 114.785 178.3145
3450.000000 114.486 177.7511
3500.000000 114.208 177.9394
3550.000000 113.937 178.8039
3600.000000 113.824 -179.8002
3650.000000 113.725 -178.9129
3700.000000 113.675 -177.2582
3750.000000 113.683 -176.3986
3820.000000 113.682 -175.2275
3870.000000 113.587 -174.3200
3950.000000 113.714 -172.5018
4000.000000 113.848 -171.1712
4060.000000 113.937 -170.3625
4120.000000 114.090 -169.8825
4180.000000 114.363 -169.1772
4250.000000 114.541 -169.2573
4310.000000 114.691 -169.5445
4370.000000 114.839 -169.5709
4440.000000 114.976 -170.3118
4500.000000 115.086 -170.6861
4550.000000 115.175 -171.8152
4620.000000 115.268 -172.4601
4680.000000 115.295 -173.5046
4750.000000 115.323 -174.5480
4820.000000 115.367 -175.2714
4870.000000 115.321 -176.2134
4940.000000 115.361 -176.7200
5000.000000 115.246 -177.9334
5080.000000 115.231 -178.7236
5150.000000 115.091 -179.6505
5220.000000 114.945 179.5216
5300.000000 114.719 178.8033
5380.000000 114.452 178.4297
5450.000000 114.199 178.7911
5520.000000 113.979 179.0314
5600.000000 113.736 -179.9211
5700.000000 113.418 -178.1496
5800.000000 113.240 -176.2858
