* Measurement data measured by REW V5.31.1
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Aug 15, 2024 11:06:11 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L HBB RED 158
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 86.482 -153.0533
20.600000 86.493 -153.7087
20.900000 86.499 -154.2960
21.200001 86.506 -154.8755
21.400000 86.513 -155.2609
21.799999 86.530 -156.0303
22.000000 86.540 -156.4132
22.400000 86.560 -157.1690
22.700001 86.573 -157.7202
23.000000 86.584 -158.2549
23.299999 86.593 -158.7779
23.600000 86.601 -159.2968
24.000000 86.609 -159.9939
24.299999 86.614 -160.5206
24.700001 86.616 -161.2109
25.000000 86.617 -161.6990
25.400000 86.619 -162.2894
25.799999 86.625 -162.8183
26.200001 86.636 -163.3309
26.500000 86.645 -163.7378
26.900000 86.648 -164.3300
27.200001 86.642 -164.8000
27.600000 86.621 -165.4202
28.000000 86.594 -165.9829
28.500000 86.573 -166.5856
29.000000 86.579 -167.1467
29.500000 86.604 -167.7487
30.000000 86.628 -168.3932
30.400000 86.635 -168.8926
30.700001 86.634 -169.2370
31.100000 86.628 -169.6565
31.500000 86.620 -170.0573
32.000000 86.612 -170.5865
32.500000 86.603 -171.1727
33.000000 86.587 -171.7766
33.500000 86.568 -172.3329
34.000000 86.552 -172.8129
34.500000 86.545 -173.2552
35.000000 86.542 -173.7179
35.500000 86.535 -174.2149
36.000000 86.521 -174.7018
36.500000 86.503 -175.1410
37.000000 86.490 -175.5511
37.500000 86.479 -175.9770
38.200001 86.457 -176.5959
38.700001 86.435 -177.0012
39.500000 86.410 -177.6076
40.000000 86.399 -178.0295
40.599998 86.378 -178.5592
41.200001 86.351 -179.0185
41.799999 86.332 -179.4066
42.500000 86.320 -179.8895
43.099998 86.304 179.6375
43.700001 86.277 179.1791
44.400002 86.241 178.7188
45.000000 86.217 178.3603
45.500000 86.201 178.0509
46.200001 86.178 177.5918
46.799999 86.156 177.2051
47.500000 86.133 176.7791
48.200001 86.111 176.3455
48.700001 86.091 176.0397
49.400002 86.061 175.6674
50.000000 86.040 175.3756
50.799999 86.012 174.9225
51.500000 85.979 174.5055
52.200001 85.947 174.1354
53.000000 85.918 173.7063
53.799999 85.881 173.2941
54.500000 85.849 172.9987
55.200001 85.828 172.6541
56.000000 85.795 172.1806
57.000000 85.745 171.7785
58.000000 85.715 171.4353
59.000000 85.663 170.9407
60.000000 85.608 170.5466
60.799999 85.588 170.2219
61.500000 85.565 169.9060
62.200001 85.530 169.6512
63.000000 85.493 169.4153
64.000000 85.457 169.0040
65.000000 85.406 168.5698
66.000000 85.358 168.2953
67.000000 85.325 167.9372
68.000000 85.275 167.5457
69.000000 85.230 167.2689
70.000000 85.185 166.9462
71.000000 85.135 166.6609
72.000000 85.102 166.3790
73.000000 85.061 166.0824
74.000000 85.011 165.8526
75.000000 84.968 165.6099
76.199997 84.922 165.2190
77.500000 84.854 164.8782
78.800003 84.798 164.5941
80.000000 84.753 164.3033
81.199997 84.706 164.0753
82.500000 84.661 163.7842
83.800003 84.598 163.5268
85.000000 84.558 163.3403
86.199997 84.493 163.1014
87.500000 84.440 162.8484
88.500000 84.386 162.6946
90.000000 84.324 162.2720
91.199997 84.272 162.1186
92.500000 84.225 161.8773
93.800003 84.168 161.7488
95.000000 84.119 161.5165
96.199997 84.069 161.4066
97.500000 84.021 161.3246
98.800003 83.951 161.0559
100.000000 83.937 160.9671
101.500000 83.840 160.6630
103.000000 83.841 160.4282
104.400002 83.743 160.7224
106.000000 83.675 160.0327
107.500000 83.678 160.0844
109.000000 83.577 160.2380
110.599998 83.488 159.5699
112.000000 83.503 159.9871
113.800003 83.359 159.5062
115.000000 83.366 159.6981
117.199997 83.246 159.3845
118.000000 83.235 159.5014
120.599998 83.172 159.2198
122.000000 83.068 159.1461
124.099998 83.041 158.8138
125.000000 82.992 158.8736
126.500000 82.951 158.9058
128.000000 82.933 158.9441
131.500000 82.777 158.8730
132.000000 82.771 159.0793
134.000000 82.655 158.3888
136.000000 82.695 158.5851
138.000000 82.583 158.7920
140.000000 82.480 158.5316
143.000000 82.398 158.7609
145.000000 82.380 158.3444
147.500000 82.268 158.5202
150.000000 82.241 158.6948
152.500000 82.137 158.4517
155.000000 82.076 158.6065
157.500000 82.004 158.7083
160.000000 81.938 158.5861
162.500000 81.875 158.6551
165.000000 81.804 158.8019
167.500000 81.734 158.7729
170.000000 81.678 159.0201
172.500000 81.607 159.0519
175.000000 81.562 158.9863
177.500000 81.472 159.1175
180.000000 81.434 159.3549
182.500000 81.363 159.3459
185.000000 81.325 159.4443
187.500000 81.246 159.5414
190.000000 81.186 159.6324
192.500000 81.174 159.7404
195.000000 81.086 159.6703
197.500000 81.033 159.9555
200.000000 80.974 159.8717
203.000000 80.900 160.1654
206.000000 80.881 160.2736
209.000000 80.833 160.4526
212.000000 80.758 160.7739
214.000000 80.713 160.9250
218.000000 80.680 161.0423
220.000000 80.617 161.2901
224.000000 80.500 161.4485
227.000000 80.468 161.4349
230.000000 80.426 161.6849
233.000000 80.386 161.9849
236.000000 80.317 162.0281
240.000000 80.296 162.2556
243.000000 80.255 162.5020
247.000000 80.150 162.6806
250.000000 80.151 162.8279
254.000000 80.055 163.1797
258.000000 80.039 163.6544
262.000000 79.969 163.6047
265.000000 79.928 164.0799
269.000000 79.824 164.1459
272.000000 79.776 164.5122
276.000000 79.769 164.8573
280.000000 79.771 165.0097
285.000000 79.645 165.3668
290.000000 79.619 165.5228
295.000000 79.530 166.2844
300.000000 79.475 166.4248
304.000000 79.452 166.8772
307.000000 79.400 166.8471
311.000000 79.395 167.2179
315.000000 79.311 167.5472
320.000000 79.291 167.7162
325.000000 79.246 168.1893
330.000000 79.211 168.5829
335.000000 79.199 168.9666
340.000000 79.143 169.3614
345.000000 79.086 169.5599
350.000000 79.060 170.0381
355.000000 79.031 170.4105
360.000000 78.987 170.7073
365.000000 78.937 171.1559
370.000000 78.896 171.4782
375.000000 78.867 171.8769
382.000000 78.823 172.3078
387.000000 78.797 172.4919
395.000000 78.743 173.2201
400.000000 78.721 173.5534
406.000000 78.698 173.9623
412.000000 78.655 174.2968
418.000000 78.627 174.7117
425.000000 78.597 175.2945
431.000000 78.570 175.7103
437.000000 78.554 176.1153
444.000000 78.515 176.5397
450.000000 78.482 176.9306
455.000000 78.476 177.3786
462.000000 78.431 177.7998
468.000000 78.430 178.2031
475.000000 78.384 178.7017
482.000000 78.359 179.1071
487.000000 78.363 179.4422
494.000000 78.317 179.9689
500.000000 78.303 -179.5473
508.000000 78.276 -179.0735
515.000000 78.278 -178.6396
522.000000 78.244 -178.0790
530.000000 78.236 -177.6427
538.000000 78.198 -177.0673
545.000000 78.215 -176.6087
552.000000 78.186 -176.0624
560.000000 78.165 -175.4634
570.000000 78.148 -174.7901
580.000000 78.137 -174.1216
590.000000 78.137 -173.3872
600.000000 78.127 -172.7583
608.000000 78.117 -172.2223
615.000000 78.108 -171.7837
622.000000 78.112 -171.2504
630.000000 78.114 -170.7877
640.000000 78.109 -170.0661
650.000000 78.097 -169.4068
660.000000 78.097 -168.6570
670.000000 78.107 -168.0506
680.000000 78.121 -167.4155
690.000000 78.129 -166.6171
700.000000 78.120 -166.0372
710.000000 78.145 -165.3459
720.000000 78.151 -164.5920
730.000000 78.184 -163.9796
740.000000 78.169 -163.2238
750.000000 78.202 -162.6495
762.000000 78.239 -161.7200
775.000000 78.276 -161.0190
788.000000 78.333 -159.8787
800.000000 78.360 -159.3670
812.000000 78.393 -158.5961
825.000000 78.454 -157.6950
838.000000 78.494 -156.7978
850.000000 78.574 -155.9580
862.000000 78.610 -155.3256
875.000000 78.683 -154.4173
885.000000 78.729 -153.7063
900.000000 78.838 -152.7571
912.000000 78.905 -152.1873
925.000000 78.983 -151.4371
938.000000 79.098 -150.8648
950.000000 79.169 -150.1065
962.000000 79.257 -149.4568
975.000000 79.377 -148.8683
988.000000 79.466 -148.3310
1000.000000 79.558 -148.1264
1015.000000 79.676 -147.1920
1030.000000 79.817 -146.4805
1044.000000 79.924 -146.1440
1060.000000 80.078 -145.6250
1075.000000 80.182 -145.0889
1090.000000 80.308 -144.7211
1106.000000 80.448 -144.3721
1120.000000 80.562 -143.9274
1138.000000 80.700 -143.6604
1150.000000 80.815 -143.4529
1172.000000 80.980 -143.2819
1180.000000 81.040 -143.1635
1206.000000 81.241 -142.7240
1220.000000 81.318 -142.7160
1241.000000 81.490 -142.4617
1250.000000 81.566 -142.4431
1265.000000 81.642 -142.2546
1280.000000 81.745 -142.1956
1315.000000 81.978 -142.0311
1320.000000 81.999 -142.0590
1340.000000 82.135 -142.0058
1360.000000 82.241 -141.8840
1380.000000 82.351 -141.8745
1400.000000 82.488 -141.8795
1430.000000 82.658 -141.7876
1450.000000 82.774 -141.6979
1475.000000 82.921 -141.6659
1500.000000 83.062 -141.6982
1525.000000 83.191 -141.6950
1550.000000 83.329 -141.7501
1575.000000 83.470 -141.8339
1600.000000 83.588 -141.8952
1625.000000 83.734 -141.9325
1650.000000 83.878 -142.0017
1675.000000 84.013 -142.0651
1700.000000 84.147 -142.2382
1725.000000 84.294 -142.4372
1750.000000 84.419 -142.6264
1775.000000 84.567 -142.8430
1800.000000 84.711 -143.0198
1825.000000 84.833 -143.4007
1850.000000 84.980 -143.7262
1875.000000 85.104 -144.0412
1900.000000 85.249 -144.3628
1925.000000 85.376 -144.8465
1950.000000 85.503 -145.2996
1975.000000 85.625 -145.7607
2000.000000 85.737 -145.9385
2030.000000 85.893 -146.8916
2060.000000 86.040 -147.5753
2090.000000 86.175 -148.3730
2120.000000 86.295 -149.2096
2140.000000 86.389 -149.7010
2180.000000 86.535 -150.8801
2200.000000 86.598 -151.4190
2240.000000 86.740 -152.7112
2270.000000 86.829 -153.6858
2300.000000 86.913 -154.6505
2330.000000 86.987 -155.6416
2360.000000 87.042 -156.5905
2400.000000 87.123 -158.0087
2430.000000 87.168 -159.0017
2470.000000 87.227 -160.3879
2500.000000 87.238 -161.3848
2540.000000 87.260 -162.6858
2580.000000 87.269 -163.9248
2620.000000 87.270 -165.1934
2650.000000 87.253 -166.0796
2690.000000 87.241 -167.2071
2720.000000 87.227 -168.0457
2760.000000 87.190 -169.1078
2800.000000 87.148 -170.1029
2850.000000 87.091 -171.3277
2900.000000 87.031 -172.3897
2950.000000 86.964 -173.3913
3000.000000 86.905 -174.3813
3040.000000 86.853 -175.0447
3070.000000 86.810 -175.4252
3110.000000 86.752 -176.1099
3150.000000 86.701 -176.6824
3200.000000 86.654 -177.2914
3250.000000 86.590 -177.9922
3300.000000 86.537 -178.5927
3350.000000 86.488 -179.1485
3400.000000 86.456 -179.6916
3450.000000 86.401 179.7886
3500.000000 86.355 179.2335
3550.000000 86.322 178.7342
3600.000000 86.297 178.2178
3650.000000 86.278 177.6149
3700.000000 86.250 177.1872
3750.000000 86.237 176.5190
3820.000000 86.202 175.6470
3870.000000 86.178 175.0347
3950.000000 86.152 174.0210
4000.000000 86.113 173.2920
4060.000000 86.087 172.4556
4120.000000 86.051 171.3763
4180.000000 85.990 170.4487
4250.000000 85.925 169.2420
4310.000000 85.867 168.2123
4370.000000 85.772 167.2861
4440.000000 85.661 166.0151
4500.000000 85.543 165.0135
4550.000000 85.438 164.2116
4620.000000 85.258 163.2223
4680.000000 85.114 162.3015
4750.000000 84.909 161.4553
4820.000000 84.722 160.5047
4870.000000 84.572 159.9915
4940.000000 84.350 159.2965
5000.000000 84.168 158.7147
5080.000000 83.893 158.4079
5150.000000 83.644 158.0553
5220.000000 83.380 157.8002
5300.000000 83.092 157.6712
5380.000000 82.797 157.5868
5450.000000 82.514 157.9615
5520.000000 82.256 158.3439
5600.000000 81.968 158.9402
5700.000000 81.626 159.8806
5800.000000 81.311 160.8678
5900.000000 81.032 162.1947
6000.000000 80.741 163.4597
