* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Aug 10, 2024 3:51:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L EW300 PINK 140
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 124.286 -154.8765
20.600000 124.301 -155.5436
20.900000 124.314 -156.1510
21.200001 124.326 -156.7793
21.400000 124.334 -157.2116
21.799999 124.345 -158.0900
22.000000 124.349 -158.5233
22.400000 124.353 -159.3499
22.700001 124.356 -159.9255
23.000000 124.362 -160.4701
23.299999 124.371 -161.0019
23.600000 124.381 -161.5341
24.000000 124.392 -162.2528
24.299999 124.397 -162.7905
24.700001 124.398 -163.4839
25.000000 124.396 -163.9745
25.400000 124.394 -164.5901
25.799999 124.396 -165.1829
26.200001 124.402 -165.7810
26.500000 124.406 -166.2427
26.900000 124.410 -166.8742
27.200001 124.409 -167.3500
27.600000 124.402 -167.9698
28.000000 124.391 -168.5561
28.500000 124.377 -169.2362
29.000000 124.368 -169.8890
29.500000 124.363 -170.5611
30.000000 124.357 -171.2649
30.400000 124.347 -171.8185
30.700001 124.338 -172.2056
31.100000 124.327 -172.6731
31.500000 124.323 -173.1069
32.000000 124.324 -173.6708
32.500000 124.323 -174.3058
33.000000 124.306 -174.9625
33.500000 124.276 -175.5460
34.000000 124.250 -176.0268
34.500000 124.239 -176.4759
35.000000 124.235 -176.9648
35.500000 124.226 -177.4862
36.000000 124.210 -177.9855
36.500000 124.192 -178.4521
37.000000 124.176 -178.9336
37.500000 124.157 -179.4589
38.200001 124.119 179.8132
38.700001 124.089 179.3762
39.500000 124.055 178.7970
40.000000 124.043 178.4311
40.599998 124.030 177.9403
41.200001 124.011 177.3980
41.799999 123.987 176.8388
42.500000 123.953 176.2236
43.099998 123.923 175.7515
43.700001 123.891 175.3239
44.400002 123.855 174.8734
45.000000 123.829 174.4978
45.500000 123.812 174.1507
46.200001 123.785 173.6115
46.799999 123.755 173.1660
47.500000 123.723 172.6855
48.200001 123.690 172.1816
48.700001 123.660 171.8304
49.400002 123.615 171.4338
50.000000 123.587 171.1375
50.799999 123.554 170.6592
51.500000 123.513 170.2346
52.200001 123.475 169.8924
53.000000 123.450 169.4539
53.799999 123.416 168.9119
54.500000 123.375 168.5138
55.200001 123.344 168.2026
56.000000 123.315 167.8060
57.000000 123.253 167.2879
58.000000 123.190 166.8662
59.000000 123.152 166.3398
60.000000 123.111 165.8242
60.799999 123.074 165.5193
61.500000 123.037 165.2686
62.200001 122.998 165.0018
63.000000 122.956 164.6646
64.000000 122.901 164.2144
65.000000 122.840 163.8148
66.000000 122.792 163.3918
67.000000 122.748 162.9558
68.000000 122.696 162.6547
69.000000 122.642 162.4226
70.000000 122.595 162.0580
71.000000 122.541 161.6087
72.000000 122.479 161.3663
73.000000 122.439 161.1461
74.000000 122.397 160.7180
75.000000 122.340 160.3566
76.199997 122.279 160.1574
77.500000 122.215 159.8218
78.800003 122.152 159.3295
80.000000 122.089 159.0421
81.199997 122.016 158.8860
82.500000 121.952 158.5349
83.800003 121.900 158.1511
85.000000 121.848 157.9929
86.199997 121.777 157.7560
87.500000 121.712 157.3744
88.500000 121.669 157.1880
90.000000 121.600 156.8702
91.199997 121.541 156.6813
92.500000 121.489 156.3666
93.800003 121.410 156.1950
95.000000 121.372 155.8953
96.199997 121.289 155.8636
97.500000 121.243 155.5537
98.800003 121.180 155.4323
100.000000 121.145 155.0549
101.500000 121.076 155.2277
103.000000 120.967 154.8237
104.400002 120.962 154.7633
106.000000 120.855 154.6079
107.500000 120.796 154.2195
109.000000 120.768 154.1251
110.599998 120.654 153.9717
112.000000 120.611 153.7759
113.800003 120.537 153.7113
115.000000 120.482 153.4324
117.199997 120.412 153.3705
118.000000 120.348 153.2004
120.599998 120.268 152.7861
122.000000 120.167 153.2637
124.099998 120.088 152.4534
125.000000 119.990 153.2934
126.500000 120.188 152.9355
128.000000 119.908 151.9633
131.500000 119.960 152.8885
132.000000 119.933 152.4977
134.000000 119.723 151.9933
136.000000 119.666 151.5997
138.000000 119.583 152.8406
140.000000 119.462 152.2662
143.000000 119.446 152.0676
145.000000 119.260 152.4933
147.500000 119.208 151.6139
150.000000 119.206 151.7542
152.500000 119.067 151.7561
155.000000 119.104 151.6183
157.500000 118.942 152.6758
160.000000 118.892 151.4515
162.500000 118.739 152.9684
165.000000 118.773 151.0041
167.500000 118.580 152.8522
170.000000 118.649 152.4761
172.500000 118.391 151.3278
175.000000 118.450 152.8187
177.500000 118.416 152.1982
180.000000 118.245 151.9576
182.500000 118.231 153.0349
185.000000 118.157 152.0914
187.500000 118.121 152.6181
190.000000 117.976 153.0669
192.500000 118.073 152.8906
195.000000 117.914 152.7449
197.500000 117.856 152.5760
200.000000 117.735 152.6038
203.000000 117.756 153.8266
206.000000 117.656 153.5883
209.000000 117.579 153.8483
212.000000 117.423 152.6503
214.000000 117.577 152.8902
218.000000 117.417 153.4514
220.000000 117.300 153.3929
224.000000 117.313 153.7397
227.000000 117.193 153.4435
230.000000 117.109 153.7346
233.000000 117.073 154.1537
236.000000 117.093 154.6286
240.000000 117.015 154.3666
243.000000 116.929 155.3013
247.000000 116.801 155.7984
250.000000 116.647 155.2165
254.000000 116.726 156.1859
258.000000 116.745 156.1638
262.000000 116.534 155.6710
265.000000 116.589 155.9769
269.000000 116.480 156.5060
272.000000 116.416 156.0975
276.000000 116.445 156.8024
280.000000 116.265 157.0870
285.000000 116.245 158.0773
290.000000 116.187 158.1902
295.000000 116.089 157.6727
300.000000 116.075 157.9816
304.000000 115.937 159.3058
307.000000 115.932 159.1180
311.000000 115.905 158.1842
315.000000 115.808 159.1246
320.000000 115.704 158.2588
325.000000 115.792 159.7059
330.000000 115.714 159.6856
335.000000 115.606 160.8565
340.000000 115.641 161.4753
345.000000 115.432 160.5862
350.000000 115.450 161.0706
355.000000 115.366 162.3214
360.000000 115.422 162.5920
365.000000 115.383 162.4521
370.000000 115.351 162.9269
375.000000 115.383 162.9438
382.000000 115.130 163.6807
387.000000 115.057 163.5370
395.000000 115.088 164.7552
400.000000 115.031 164.6373
406.000000 115.055 164.7162
412.000000 114.850 165.8863
418.000000 114.921 165.6494
425.000000 114.894 165.8154
431.000000 114.802 166.5479
437.000000 114.728 166.2443
444.000000 114.716 167.2291
450.000000 114.732 167.2001
455.000000 114.686 167.7679
462.000000 114.643 167.6298
468.000000 114.558 168.4753
475.000000 114.540 169.0997
482.000000 114.527 169.6003
487.000000 114.480 169.6559
494.000000 114.388 170.1151
500.000000 114.467 171.3886
508.000000 114.435 171.2917
515.000000 114.354 171.8424
522.000000 114.267 171.6978
530.000000 114.217 172.2677
538.000000 114.187 172.7416
545.000000 114.234 173.1997
552.000000 114.191 173.2890
560.000000 114.160 173.9999
570.000000 114.116 174.6039
580.000000 114.069 175.0657
590.000000 114.032 175.6755
600.000000 113.943 176.7623
608.000000 113.982 176.9849
615.000000 113.963 177.5454
622.000000 113.932 177.6512
630.000000 113.918 178.1726
640.000000 113.934 178.7472
650.000000 113.860 179.3160
660.000000 113.876 179.9927
670.000000 113.839 -179.7497
680.000000 113.825 -178.8320
690.000000 113.799 -178.3297
700.000000 113.822 -177.6211
710.000000 113.774 -176.8415
720.000000 113.771 -176.5271
730.000000 113.768 -175.4977
740.000000 113.791 -175.2692
750.000000 113.791 -174.3196
762.000000 113.768 -173.8472
775.000000 113.765 -172.8224
788.000000 113.798 -172.0259
800.000000 113.800 -171.3024
812.000000 113.831 -170.7276
825.000000 113.851 -169.7932
838.000000 113.885 -169.1772
850.000000 113.918 -168.2507
862.000000 113.940 -167.6974
875.000000 114.005 -166.8489
885.000000 114.022 -166.2000
900.000000 114.070 -165.5214
912.000000 114.124 -164.8320
925.000000 114.186 -164.1539
938.000000 114.263 -163.4178
950.000000 114.292 -163.0276
962.000000 114.362 -162.1739
975.000000 114.420 -161.8844
988.000000 114.487 -161.2178
1000.000000 114.614 -160.5793
1015.000000 114.640 -160.3838
1030.000000 114.734 -159.7841
1044.000000 114.823 -159.3981
1060.000000 114.887 -158.7907
1075.000000 114.965 -158.3639
1090.000000 115.048 -158.0826
1106.000000 115.141 -157.7389
1120.000000 115.244 -157.2102
1138.000000 115.339 -156.8673
1150.000000 115.396 -156.8347
1172.000000 115.520 -156.3466
1180.000000 115.572 -156.1972
1206.000000 115.703 -156.0939
1220.000000 115.769 -155.6352
1241.000000 115.837 -155.5957
1250.000000 115.912 -155.5436
1265.000000 115.968 -155.4307
1280.000000 116.054 -155.2116
1315.000000 116.185 -155.0510
1320.000000 116.229 -154.8832
1340.000000 116.308 -154.8747
1360.000000 116.334 -154.6048
1380.000000 116.427 -154.4292
1400.000000 116.500 -154.4916
1430.000000 116.588 -154.0811
1450.000000 116.665 -154.0758
1475.000000 116.747 -153.9110
1500.000000 116.825 -153.9949
1525.000000 116.923 -153.6123
1550.000000 116.952 -153.4586
1575.000000 117.027 -153.5927
1600.000000 117.085 -153.3415
1625.000000 117.157 -153.2639
1650.000000 117.261 -153.0314
1675.000000 117.317 -152.6670
1700.000000 117.371 -152.8305
1725.000000 117.460 -152.7449
1750.000000 117.536 -152.4662
1775.000000 117.579 -152.3974
1800.000000 117.681 -152.1331
1825.000000 117.753 -152.0230
1850.000000 117.831 -151.7972
1875.000000 117.884 -151.7510
1900.000000 117.975 -151.7274
1925.000000 118.038 -151.5204
1950.000000 118.170 -151.2615
1975.000000 118.224 -151.1710
2000.000000 118.373 -151.3185
2030.000000 118.409 -151.0365
2060.000000 118.531 -151.0453
2090.000000 118.630 -150.8974
2120.000000 118.748 -150.9179
2140.000000 118.838 -151.1191
2180.000000 118.983 -151.0910
2200.000000 119.073 -151.2515
2240.000000 119.241 -151.2959
2270.000000 119.340 -151.2381
2300.000000 119.456 -151.5399
2330.000000 119.573 -151.6335
2360.000000 119.711 -151.8527
2400.000000 119.891 -152.2859
2430.000000 119.974 -152.5355
2470.000000 120.194 -153.2215
2500.000000 120.292 -153.4866
2540.000000 120.462 -154.2370
2580.000000 120.624 -154.8631
2620.000000 120.760 -155.7637
2650.000000 120.875 -156.3286
2690.000000 121.020 -157.2399
2720.000000 121.115 -157.9530
2760.000000 121.253 -159.0324
2800.000000 121.351 -160.1730
2850.000000 121.500 -161.6810
2900.000000 121.621 -163.3131
2950.000000 121.683 -164.9202
3000.000000 121.701 -166.6508
3040.000000 121.798 -167.9093
3070.000000 121.797 -169.1213
3110.000000 121.819 -170.3111
3150.000000 121.796 -171.6926
3200.000000 121.756 -173.4353
3250.000000 121.711 -175.0370
3300.000000 121.634 -176.4560
3350.000000 121.562 -178.0298
3400.000000 121.457 -179.3498
3450.000000 121.336 179.2966
3500.000000 121.208 178.2415
3550.000000 121.076 177.2672
3600.000000 120.936 176.2915
3650.000000 120.778 175.4412
3700.000000 120.640 174.6645
3750.000000 120.490 173.9974
3820.000000 120.250 173.2776
3870.000000 120.104 172.8243
3950.000000 119.840 172.1764
4000.000000 119.736 172.3152
4060.000000 119.544 172.1912
4120.000000 119.406 172.0240
4180.000000 119.217 172.0870
4250.000000 119.049 172.4219
4310.000000 118.924 172.4807
4370.000000 118.774 173.0022
4440.000000 118.679 173.3049
4500.000000 118.600 173.8651
4550.000000 118.514 174.1180
4620.000000 118.454 174.9069
4680.000000 118.386 175.2439
4750.000000 118.370 176.1188
4820.000000 118.336 176.6197
4870.000000 118.372 176.9645
4940.000000 118.362 177.7714
5000.000000 118.423 178.3630
5080.000000 118.498 178.5039
5150.000000 118.602 178.6896
5220.000000 118.682 178.6232
5300.000000 118.799 177.8781
5380.000000 118.980 177.1860
5450.000000 119.068 176.0896
5520.000000 119.114 174.6183
5600.000000 119.061 172.4264
5700.000000 118.825 169.5817
5800.000000 118.437 167.3400
5900.000000 117.953 166.1838
6000.000000 117.284 165.7227
6080.000000 116.949 166.8112
6150.000000 116.539 167.5136
