* Measurement data measured by REW V5.30
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Feb 27, 2024 11:35:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L EVO Feb 27
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 144.996 -139.1970
20.600000 145.064 -139.9551
20.900000 145.125 -140.6392
21.200001 145.186 -141.3260
21.400000 145.226 -141.7905
21.799999 145.307 -142.7352
22.000000 145.347 -143.2123
22.400000 145.423 -144.1624
22.700001 145.478 -144.8593
23.000000 145.530 -145.5359
23.299999 145.581 -146.1943
23.600000 145.631 -146.8408
24.000000 145.695 -147.6950
24.299999 145.741 -148.3347
24.700001 145.799 -149.1842
25.000000 145.840 -149.8129
25.400000 145.892 -150.6337
25.799999 145.942 -151.4362
26.200001 145.992 -152.2305
26.500000 146.028 -152.8267
26.900000 146.073 -153.6232
27.200001 146.104 -154.2179
27.600000 146.143 -155.0000
28.000000 146.179 -155.7655
28.500000 146.224 -156.7049
29.000000 146.267 -157.6355
29.500000 146.306 -158.5562
30.000000 146.341 -159.4556
30.400000 146.367 -160.1578
30.700001 146.386 -160.6777
31.100000 146.411 -161.3683
31.500000 146.436 -162.0583
32.000000 146.464 -162.9160
32.500000 146.488 -163.7598
33.000000 146.510 -164.5870
33.500000 146.530 -165.4005
34.000000 146.546 -166.2021
34.500000 146.561 -166.9917
35.000000 146.576 -167.7706
35.500000 146.590 -168.5383
36.000000 146.602 -169.2901
36.500000 146.613 -170.0237
37.000000 146.623 -170.7482
37.500000 146.631 -171.4751
38.200001 146.636 -172.4890
38.700001 146.636 -173.1906
39.500000 146.638 -174.2733
40.000000 146.640 -174.9446
40.599998 146.639 -175.7437
41.200001 146.635 -176.5205
41.799999 146.629 -177.2797
42.500000 146.622 -178.1530
43.099998 146.614 -178.8808
43.700001 146.608 -179.5990
44.400002 146.598 179.5474
45.000000 146.585 178.8217
45.500000 146.571 178.2510
46.200001 146.555 177.4909
46.799999 146.544 176.8285
47.500000 146.525 176.0330
48.200001 146.501 175.2599
48.700001 146.485 174.7357
49.400002 146.468 174.0209
50.000000 146.453 173.3987
50.799999 146.420 172.5783
51.500000 146.387 171.9274
52.200001 146.369 171.2726
53.000000 146.349 170.4317
53.799999 146.308 169.7383
54.500000 146.282 169.3206
55.200001 146.272 168.7603
56.000000 146.235 167.8510
57.000000 146.162 166.8659
58.000000 146.129 166.0460
59.000000 146.088 165.2239
60.000000 146.037 164.4547
60.799999 145.996 163.8005
61.500000 145.959 163.2461
62.200001 145.924 162.7342
63.000000 145.885 162.1686
64.000000 145.838 161.4432
65.000000 145.788 160.7156
66.000000 145.737 160.0197
67.000000 145.683 159.3421
68.000000 145.629 158.6871
69.000000 145.576 158.0428
70.000000 145.524 157.4203
71.000000 145.473 156.7853
72.000000 145.417 156.1693
73.000000 145.361 155.5931
74.000000 145.308 155.0088
75.000000 145.254 154.4302
76.199997 145.188 153.7817
77.500000 145.115 153.0857
78.800003 145.042 152.4022
80.000000 144.979 151.7928
81.199997 144.910 151.1853
82.500000 144.837 150.5678
83.800003 144.767 149.9541
85.000000 144.698 149.3884
86.199997 144.631 148.8672
87.500000 144.561 148.3129
88.500000 144.506 147.8889
90.000000 144.428 147.2389
91.199997 144.360 146.7716
92.500000 144.292 146.2651
93.800003 144.220 145.7403
95.000000 144.157 145.3059
96.199997 144.093 144.8641
97.500000 144.024 144.3676
98.800003 143.955 143.9165
100.000000 143.892 143.4883
101.500000 143.809 143.0143
103.000000 143.733 142.5394
104.400002 143.661 142.0842
106.000000 143.575 141.5995
107.500000 143.500 141.1279
109.000000 143.419 140.7144
110.599998 143.336 140.2394
112.000000 143.270 139.8339
113.800003 143.178 139.3683
115.000000 143.116 139.0526
117.199997 143.011 138.4848
118.000000 142.974 138.3100
120.599998 142.827 137.6915
122.000000 142.774 137.3033
124.099998 142.674 136.8638
125.000000 142.629 136.6642
126.500000 142.558 136.3104
128.000000 142.486 136.0310
131.500000 142.324 135.3093
132.000000 142.301 135.2175
134.000000 142.210 134.8104
136.000000 142.122 134.4456
138.000000 142.033 134.1005
140.000000 141.944 133.7382
143.000000 141.813 133.2442
145.000000 141.729 132.9099
147.500000 141.622 132.5181
150.000000 141.518 132.1648
152.500000 141.414 131.7921
155.000000 141.312 131.4351
157.500000 141.210 131.1095
160.000000 141.115 130.7901
162.500000 141.013 130.4936
165.000000 140.921 130.2028
167.500000 140.825 129.8991
170.000000 140.736 129.6174
172.500000 140.643 129.3365
175.000000 140.552 129.0958
177.500000 140.466 128.8687
180.000000 140.375 128.5975
182.500000 140.289 128.3898
185.000000 140.203 128.1600
187.500000 140.115 127.9525
190.000000 140.036 127.7520
192.500000 139.953 127.5542
195.000000 139.873 127.3284
197.500000 139.796 127.1608
200.000000 139.715 126.9840
203.000000 139.623 126.7820
206.000000 139.531 126.5523
209.000000 139.439 126.3370
212.000000 139.350 126.1671
214.000000 139.294 126.0463
218.000000 139.178 125.8291
220.000000 139.121 125.7226
224.000000 139.008 125.5136
227.000000 138.928 125.3468
230.000000 138.844 125.1960
233.000000 138.768 125.0533
236.000000 138.689 124.9571
240.000000 138.583 124.7523
243.000000 138.518 124.6534
247.000000 138.419 124.5154
250.000000 138.340 124.3905
254.000000 138.257 124.2795
258.000000 138.156 124.1411
262.000000 138.066 124.0532
265.000000 138.001 123.9700
269.000000 137.919 123.8688
272.000000 137.855 123.7922
276.000000 137.773 123.7177
280.000000 137.695 123.6754
285.000000 137.600 123.5845
290.000000 137.502 123.5312
295.000000 137.408 123.3720
300.000000 137.311 123.2757
304.000000 137.237 123.1973
307.000000 137.177 123.1945
311.000000 137.109 123.2126
315.000000 137.038 123.1603
320.000000 136.957 123.1599
325.000000 136.884 123.1732
330.000000 136.809 123.2261
335.000000 136.744 123.2467
340.000000 136.673 123.3297
345.000000 136.627 123.3975
350.000000 136.572 123.4552
355.000000 136.521 123.5327
360.000000 136.489 123.6364
365.000000 136.468 123.6496
370.000000 136.451 123.6308
375.000000 136.428 123.4482
382.000000 136.392 123.3734
387.000000 136.406 123.3360
395.000000 136.493 122.2351
400.000000 136.338 120.6725
406.000000 136.079 121.2931
412.000000 136.052 121.6309
418.000000 136.003 121.7993
425.000000 136.023 121.9628
431.000000 136.056 121.8600
437.000000 136.104 121.6219
444.000000 136.167 121.0928
450.000000 136.158 120.0740
455.000000 136.062 118.8602
462.000000 135.822 117.4398
468.000000 135.637 116.9569
475.000000 135.442 117.2448
482.000000 135.256 117.5761
487.000000 135.166 117.8389
494.000000 135.058 118.2841
500.000000 134.975 118.5514
508.000000 134.897 118.8680
515.000000 134.825 119.1755
522.000000 134.763 119.4520
530.000000 134.701 119.7417
538.000000 134.643 120.0657
545.000000 134.605 120.3143
552.000000 134.556 120.4639
560.000000 134.513 120.7142
570.000000 134.455 121.0428
580.000000 134.416 121.3359
590.000000 134.383 121.6245
600.000000 134.347 121.9100
608.000000 134.316 122.0968
615.000000 134.291 122.2859
622.000000 134.278 122.5462
630.000000 134.266 122.7275
640.000000 134.240 123.0170
650.000000 134.219 123.3582
660.000000 134.208 123.5789
670.000000 134.196 123.9528
680.000000 134.187 124.2527
690.000000 134.179 124.6891
700.000000 134.201 125.0988
710.000000 134.202 125.4682
720.000000 134.231 125.9841
730.000000 134.274 126.6740
740.000000 134.445 127.4691
750.000000 134.635 126.1855
762.000000 134.481 125.5391
775.000000 134.409 126.1959
788.000000 134.432 126.7637
800.000000 134.480 127.2571
812.000000 134.505 127.5670
825.000000 134.555 128.0293
838.000000 134.597 128.4139
850.000000 134.662 128.9283
862.000000 134.718 129.3312
875.000000 134.798 129.7743
885.000000 134.864 130.1010
900.000000 134.960 130.5981
912.000000 135.053 131.0825
925.000000 135.167 131.5303
938.000000 135.286 131.9372
950.000000 135.411 132.2667
962.000000 135.545 132.5305
975.000000 135.668 132.8112
988.000000 135.812 133.0479
1000.000000 135.940 133.3195
1015.000000 136.108 133.3247
1030.000000 136.283 133.4818
1044.000000 136.445 133.5523
1060.000000 136.622 133.5939
1075.000000 136.789 133.5848
1090.000000 136.956 133.5201
1106.000000 137.146 133.5972
1120.000000 137.305 133.4723
1138.000000 137.516 133.3443
1150.000000 137.649 133.2078
1172.000000 137.900 133.0125
1180.000000 137.980 132.9079
1206.000000 138.271 132.6488
1220.000000 138.428 132.4893
1241.000000 138.669 132.2475
1250.000000 138.768 132.0755
1265.000000 138.935 131.8756
1280.000000 139.109 131.6800
1315.000000 139.507 131.2123
1320.000000 139.568 131.1688
1340.000000 139.814 130.7987
1360.000000 140.074 130.4643
1380.000000 140.337 130.0831
1400.000000 140.600 129.5789
1430.000000 141.013 128.7309
1450.000000 141.279 128.0097
1475.000000 141.598 127.0635
1500.000000 141.921 126.0430
1525.000000 142.235 124.9524
1550.000000 142.538 123.8002
1575.000000 142.842 122.6461
1600.000000 143.139 121.4129
1625.000000 143.438 120.1281
1650.000000 143.726 118.7732
1675.000000 144.014 117.3629
1700.000000 144.293 115.9254
1725.000000 144.563 114.3552
1750.000000 144.827 112.7506
1775.000000 145.080 111.0744
1800.000000 145.319 109.3638
1825.000000 145.546 107.5542
1850.000000 145.762 105.7225
1875.000000 145.960 103.8647
1900.000000 146.150 101.9011
1925.000000 146.316 99.9709
1950.000000 146.472 97.9986
1975.000000 146.614 96.0462
2000.000000 146.739 94.1940
2030.000000 146.864 91.7401
2060.000000 146.967 89.4725
2090.000000 147.057 87.2189
2120.000000 147.132 85.0353
2140.000000 147.177 83.5937
2180.000000 147.233 80.8375
2200.000000 147.260 79.5054
2240.000000 147.291 76.9318
2270.000000 147.300 75.0610
2300.000000 147.310 73.2920
2330.000000 147.314 71.5967
2360.000000 147.313 69.9541
2400.000000 147.315 67.8830
2430.000000 147.309 66.3629
2470.000000 147.305 64.4104
2500.000000 147.303 63.0139
2540.000000 147.302 61.1679
2580.000000 147.302 59.3735
2620.000000 147.306 57.5934
2650.000000 147.303 56.2668
2690.000000 147.306 54.5626
2720.000000 147.308 53.2888
2760.000000 147.312 51.6210
2800.000000 147.313 49.9270
2850.000000 147.314 47.8454
2900.000000 147.311 45.8083
2950.000000 147.308 43.7618
3000.000000 147.310 41.7171
3040.000000 147.287 40.0988
3070.000000 147.273 38.9071
3110.000000 147.252 37.3022
3150.000000 147.221 35.7479
3200.000000 147.174 33.8150
3250.000000 147.117 31.9266
3300.000000 147.048 30.1363
3350.000000 146.970 28.3910
3400.000000 146.890 26.7596
3450.000000 146.798 25.2271
3500.000000 146.695 23.7812
3550.000000 146.591 22.4540
3600.000000 146.486 21.3065
3650.000000 146.380 20.2901
3700.000000 146.288 19.4218
3750.000000 146.214 18.6750
3820.000000 146.143 17.7852
3870.000000 146.116 17.2369
3950.000000 146.150 16.3000
4000.000000 146.184 15.6182
4060.000000 146.285 14.7053
4120.000000 146.405 13.4760
4180.000000 146.545 11.9855
4250.000000 146.704 9.8723
4310.000000 146.856 7.7144
4370.000000 147.022 5.1148
4440.000000 147.172 1.1775
4500.000000 147.227 -2.7496
4550.000000 147.220 -6.4492
4620.000000 147.070 -12.2022
4680.000000 146.770 -17.5768
4750.000000 146.191 -23.8173
4820.000000 145.349 -29.5353
4870.000000 144.609 -33.0312
4940.000000 143.333 -36.8265
5000.000000 142.044 -38.3717
5080.000000 140.132 -36.5978
5150.000000 138.537 -30.7017
5220.000000 137.405 -20.5858
5300.000000 137.059 -6.9376
5380.000000 137.694 4.2222
5450.000000 138.640 10.1005
5520.000000 139.584 12.5378
5600.000000 140.496 12.4410
5700.000000 141.248 9.9563
5800.000000 141.598 6.5065
5900.000000 141.606 3.3711
6000.000000 141.485 1.4298
6080.000000 141.340 0.2580
6150.000000 141.175 -0.6020
6220.000000 140.979 -1.0378
6300.000000 140.752 -1.1565
6400.000000 140.497 -0.8959
6500.000000 140.239 -0.1703
6600.000000 140.017 1.0837
6700.000000 139.866 2.4738
