* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 13, 2025 12:56:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L fiio hs20 clear 1059
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 133.275 35.5243
20.600000 133.203 34.2903
20.900000 133.112 33.2469
21.200001 133.038 32.2937
21.400000 133.007 31.6734
21.799999 132.995 30.4041
22.000000 133.008 29.7344
22.400000 133.056 28.3319
22.700001 133.093 27.2897
23.000000 133.117 26.3375
23.299999 133.125 25.5375
23.600000 133.119 24.9203
24.000000 133.101 24.3787
24.299999 133.091 24.1231
24.700001 133.095 23.8348
25.000000 133.112 23.5250
25.400000 133.143 22.8437
25.799999 133.156 21.8220
26.200001 133.125 20.6067
26.500000 133.071 19.7333
26.900000 132.975 18.8143
27.200001 132.909 18.3752
27.600000 132.861 18.0608
28.000000 132.874 17.8135
28.500000 132.949 17.1947
29.000000 133.013 16.0631
29.500000 133.010 14.6098
30.000000 132.936 13.1494
30.400000 132.853 12.0921
30.700001 132.792 11.3640
31.100000 132.724 10.4499
31.500000 132.675 9.5978
32.000000 132.635 8.7014
32.500000 132.610 8.1206
33.000000 132.595 7.8439
33.500000 132.572 7.6641
34.000000 132.509 7.3563
34.500000 132.393 6.8670
35.000000 132.259 6.2158
35.500000 132.170 5.2946
36.000000 132.148 3.9706
36.500000 132.161 2.4181
37.000000 132.183 1.1610
37.500000 132.233 0.5599
38.200001 132.387 0.3397
38.700001 132.490 -0.0035
39.500000 132.443 -0.6416
40.000000 132.324 -0.5389
40.599998 132.220 -0.1829
41.200001 132.171 -0.5533
41.799999 132.091 -1.8837
42.500000 131.944 -3.8587
43.099998 131.851 -5.3241
43.700001 131.813 -6.4204
44.400002 131.796 -7.1739
45.000000 131.774 -7.5088
45.500000 131.735 -7.7363
46.200001 131.667 -7.9426
46.799999 131.653 -7.9682
47.500000 131.694 -8.2472
48.200001 131.634 -8.8776
48.700001 131.492 -9.1076
49.400002 131.313 -8.9630
50.000000 131.313 -9.3375
50.799999 131.408 -11.2317
51.500000 131.419 -12.5807
52.200001 131.425 -12.6965
53.000000 131.435 -12.9470
53.799999 131.264 -14.1205
54.500000 131.078 -14.8791
55.200001 131.054 -15.4292
56.000000 131.091 -16.2121
57.000000 131.050 -16.2020
58.000000 131.030 -16.6035
59.000000 130.838 -17.3266
60.000000 130.831 -16.6515
60.799999 130.919 -16.9773
61.500000 130.893 -17.4998
62.200001 130.857 -17.9019
63.000000 130.800 -18.6896
64.000000 130.667 -19.2678
65.000000 130.634 -20.1970
66.000000 130.484 -21.5065
67.000000 130.437 -21.6803
68.000000 130.409 -22.7421
69.000000 130.279 -23.3192
70.000000 130.330 -23.9974
71.000000 130.318 -24.6138
72.000000 130.296 -24.3442
73.000000 130.265 -24.6520
74.000000 130.216 -25.0109
75.000000 130.160 -24.9788
76.199997 129.990 -24.5183
77.500000 129.722 -24.5263
78.800003 129.510 -24.7713
80.000000 129.419 -25.6572
81.199997 129.373 -27.1479
82.500000 129.300 -27.1306
83.800003 129.351 -26.2058
85.000000 129.329 -26.5432
86.199997 129.346 -27.4052
87.500000 129.395 -27.9895
88.500000 129.428 -28.1352
90.000000 129.301 -28.7597
91.199997 129.293 -29.5559
92.500000 129.321 -30.7315
93.800003 129.216 -31.5120
95.000000 129.106 -31.6940
96.199997 128.997 -32.0015
97.500000 128.927 -31.0727
98.800003 128.838 -30.9207
100.000000 128.690 -30.0589
101.500000 128.557 -29.7962
103.000000 128.501 -29.0731
104.400002 128.429 -28.6197
106.000000 128.308 -28.6518
107.500000 128.205 -29.2664
109.000000 128.134 -30.4463
110.599998 128.166 -31.3182
112.000000 128.103 -32.3850
113.800003 128.133 -33.9377
115.000000 128.225 -34.0548
117.199997 128.093 -33.6616
118.000000 128.042 -33.3900
120.599998 127.869 -32.5681
122.000000 127.830 -31.6775
124.099998 127.619 -31.1242
125.000000 127.489 -31.1903
126.500000 127.462 -30.8428
128.000000 127.368 -30.5599
131.500000 127.179 -31.4019
132.000000 127.160 -31.6371
134.000000 127.141 -32.2206
136.000000 127.095 -32.1587
138.000000 127.038 -32.6013
140.000000 127.096 -32.8057
143.000000 126.978 -32.1472
145.000000 126.938 -32.2181
147.500000 126.720 -31.2585
150.000000 126.615 -31.5548
152.500000 126.378 -30.6575
155.000000 126.296 -30.3894
157.500000 126.124 -30.2056
160.000000 126.169 -29.5157
162.500000 126.141 -29.9644
165.000000 126.033 -30.3058
167.500000 125.965 -30.2244
170.000000 125.864 -30.2789
172.500000 125.918 -30.1262
175.000000 125.954 -29.8746
177.500000 125.911 -29.8024
180.000000 125.861 -28.8372
182.500000 125.740 -28.2914
185.000000 125.630 -28.5418
187.500000 125.488 -28.7281
190.000000 125.370 -28.3701
192.500000 125.223 -27.9243
195.000000 125.201 -27.5201
197.500000 125.194 -26.9513
200.000000 125.115 -26.6516
203.000000 124.967 -26.1845
206.000000 124.783 -26.0085
209.000000 124.723 -26.0079
212.000000 124.731 -25.9189
214.000000 124.742 -25.6621
218.000000 124.643 -25.2040
220.000000 124.621 -25.0863
224.000000 124.605 -24.4505
227.000000 124.613 -23.8961
230.000000 124.512 -23.4212
233.000000 124.532 -23.5712
236.000000 124.650 -23.6106
240.000000 124.696 -23.2750
243.000000 124.622 -22.8508
247.000000 124.553 -22.7782
250.000000 124.602 -22.6791
254.000000 124.580 -21.9520
258.000000 124.487 -21.4596
262.000000 124.337 -20.8854
265.000000 124.229 -20.5380
269.000000 124.132 -20.1334
272.000000 124.041 -19.5803
276.000000 123.997 -18.8987
280.000000 123.963 -18.6157
285.000000 123.946 -17.9714
290.000000 123.976 -17.9518
295.000000 124.068 -18.2951
300.000000 124.127 -18.0646
304.000000 124.104 -17.7662
307.000000 124.064 -17.5352
311.000000 123.997 -17.1092
315.000000 123.870 -16.2155
320.000000 123.718 -15.4793
325.000000 123.579 -14.5674
330.000000 123.461 -14.0605
335.000000 123.411 -13.8747
340.000000 123.400 -13.7894
345.000000 123.425 -13.5138
350.000000 123.484 -13.0179
355.000000 123.558 -12.9054
360.000000 123.633 -12.5599
365.000000 123.639 -12.2781
370.000000 123.683 -12.0807
375.000000 123.690 -11.6749
382.000000 123.696 -10.9934
387.000000 123.654 -10.5940
395.000000 123.586 -9.7774
400.000000 123.555 -9.5218
406.000000 123.551 -9.0147
412.000000 123.521 -8.5970
418.000000 123.509 -8.3122
425.000000 123.503 -8.0982
431.000000 123.474 -7.7197
437.000000 123.405 -7.2200
444.000000 123.343 -6.6276
450.000000 123.262 -6.0131
455.000000 123.225 -5.4786
462.000000 123.197 -4.9545
468.000000 123.183 -4.8600
475.000000 123.191 -4.6972
482.000000 123.188 -4.3042
487.000000 123.185 -3.9101
494.000000 123.204 -3.3197
500.000000 123.186 -2.8647
508.000000 123.131 -2.3964
515.000000 123.105 -1.9691
522.000000 123.102 -1.5273
530.000000 123.100 -0.9302
538.000000 123.082 -0.3109
545.000000 123.123 -0.0602
552.000000 123.156 0.0664
560.000000 123.144 0.5269
570.000000 123.132 1.2965
580.000000 123.094 2.0040
590.000000 123.009 2.7776
600.000000 122.945 3.2895
608.000000 122.944 3.7736
615.000000 122.944 4.4638
622.000000 122.925 5.0825
630.000000 122.942 5.5214
640.000000 123.020 6.0733
650.000000 123.050 6.6738
660.000000 123.151 7.1106
670.000000 123.186 7.7990
680.000000 123.230 8.3193
690.000000 123.255 8.8748
700.000000 123.226 9.4904
710.000000 123.181 10.2102
720.000000 123.132 10.8194
730.000000 123.092 11.6334
740.000000 123.078 12.3296
750.000000 123.095 12.7841
762.000000 123.176 13.4971
775.000000 123.267 14.0383
788.000000 123.377 14.8223
800.000000 123.444 15.3743
812.000000 123.461 16.1586
825.000000 123.473 17.0135
838.000000 123.460 17.9316
850.000000 123.474 18.7015
862.000000 123.561 19.4087
875.000000 123.668 19.9551
885.000000 123.749 20.3317
900.000000 123.914 21.0751
912.000000 124.007 21.6503
925.000000 124.062 22.2544
938.000000 124.134 23.0568
950.000000 124.188 23.6207
962.000000 124.247 24.1111
975.000000 124.348 24.6835
988.000000 124.466 25.2476
1000.000000 124.585 25.7142
1015.000000 124.734 25.9728
1030.000000 124.903 26.4637
1044.000000 125.000 26.8692
1060.000000 125.092 27.2417
1075.000000 125.177 27.7856
1090.000000 125.277 28.1113
1106.000000 125.344 28.2355
1120.000000 125.425 28.5288
1138.000000 125.534 28.8834
1150.000000 125.581 28.9783
1172.000000 125.659 29.0584
1180.000000 125.718 29.3557
1206.000000 125.918 29.5200
1220.000000 126.035 29.3189
1241.000000 126.206 29.4474
1250.000000 126.274 29.7298
1265.000000 126.357 29.6994
1280.000000 126.417 29.3528
1315.000000 126.469 29.7678
1320.000000 126.485 29.8431
1340.000000 126.463 29.6304
1360.000000 126.542 29.6108
1380.000000 126.590 29.6192
1400.000000 126.630 29.6164
1430.000000 126.788 29.7818
1450.000000 126.939 29.4405
1475.000000 127.129 29.2364
1500.000000 127.233 29.3821
1525.000000 127.334 29.3187
1550.000000 127.398 29.0865
1575.000000 127.486 29.1344
1600.000000 127.555 29.0912
1625.000000 127.642 29.0851
1650.000000 127.777 28.8322
1675.000000 127.857 28.6192
1700.000000 127.998 28.7615
1725.000000 128.073 28.3904
1750.000000 128.193 28.2010
1775.000000 128.259 28.0901
1800.000000 128.257 27.8245
1825.000000 128.283 27.8824
1850.000000 128.281 27.4593
1875.000000 128.320 27.3477
1900.000000 128.329 27.1154
1925.000000 128.372 26.8675
1950.000000 128.466 26.6276
1975.000000 128.592 26.1878
2000.000000 128.741 25.9074
2030.000000 128.912 25.5562
2060.000000 129.111 24.9184
2090.000000 129.303 24.4796
2120.000000 129.410 24.0906
2140.000000 129.489 23.7370
2180.000000 129.607 23.1265
2200.000000 129.656 22.7245
2240.000000 129.726 22.0866
2270.000000 129.759 21.5373
2300.000000 129.788 20.9777
2330.000000 129.805 20.5319
2360.000000 129.820 19.8402
2400.000000 129.777 19.1986
2430.000000 129.726 18.8811
2470.000000 129.705 18.0011
2500.000000 129.720 17.4190
2540.000000 129.736 16.9232
2580.000000 129.786 15.7952
2620.000000 129.755 15.0429
2650.000000 129.704 14.6890
2690.000000 129.674 13.4404
2720.000000 129.697 12.6336
2760.000000 129.717 11.6881
2800.000000 129.727 10.2842
2850.000000 129.652 9.1812
2900.000000 129.503 8.2411
2950.000000 129.360 7.7769
3000.000000 129.328 7.4267
3040.000000 129.349 7.0621
3070.000000 129.326 7.1083
3110.000000 129.306 7.0550
3150.000000 129.291 7.0778
3200.000000 129.299 6.8719
3250.000000 129.284 6.7695
3300.000000 129.278 6.6971
3350.000000 129.353 6.5343
3400.000000 129.455 6.1330
3450.000000 129.526 6.0210
3500.000000 129.636 5.5300
3550.000000 129.747 4.8054
3600.000000 129.790 4.3284
3650.000000 129.793 3.6752
3700.000000 129.843 2.7060
3750.000000 129.817 1.6746
3820.000000 129.639 0.5845
3870.000000 129.569 -0.3017
3950.000000 129.636 -1.8836
4000.000000 129.639 -2.6694
4060.000000 129.601 -3.0530
4120.000000 129.810 -2.6975
4180.000000 130.058 -4.7682
4250.000000 129.959 -7.1204
4310.000000 129.852 -8.4527
4370.000000 129.787 -9.8151
4440.000000 129.631 -11.9081
4500.000000 129.298 -12.9103
4550.000000 129.017 -14.2332
4620.000000 128.818 -15.8750
4680.000000 128.738 -17.4171
4750.000000 128.573 -18.7301
4820.000000 128.274 -19.7356
4870.000000 127.967 -20.3153
4940.000000 127.448 -20.6891
5000.000000 126.983 -20.6958
5080.000000 126.449 -20.9294
5150.000000 125.971 -20.1608
5220.000000 125.622 -19.5008
5300.000000 125.488 -18.7476
5380.000000 125.432 -17.5287
5450.000000 125.293 -16.2663
5520.000000 125.110 -14.6396
5600.000000 124.969 -13.1051
5700.000000 124.681 -10.6750
5800.000000 124.343 -7.8556
