* Measurement data measured by REW V5.31.1
* Source: Microphone (5- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jun 25, 2025 11:39:38 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L FISSION GOLD MIDDLE 758
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 64.837 -68.7047
20.600000 64.942 -69.5989
20.900000 65.022 -70.2484
21.200001 65.112 -70.7986
21.400000 65.185 -71.1705
21.799999 65.362 -71.9942
22.000000 65.458 -72.4538
22.400000 65.649 -73.3979
22.700001 65.781 -74.0018
23.000000 65.902 -74.4020
23.299999 66.026 -74.5833
23.600000 66.162 -74.6317
24.000000 66.375 -74.7403
24.299999 66.546 -75.0710
24.700001 66.758 -75.9658
25.000000 66.882 -76.8618
25.400000 66.994 -77.9915
25.799999 67.089 -78.5910
26.200001 67.247 -78.5682
26.500000 67.432 -78.4441
26.900000 67.730 -78.6962
27.200001 67.920 -79.4497
27.600000 68.024 -81.0986
28.000000 67.900 -82.8079
28.500000 67.540 -83.6762
29.000000 67.338 -82.6234
29.500000 67.600 -81.3860
30.000000 68.158 -82.0234
30.400000 68.555 -83.6570
30.700001 68.750 -84.9410
31.100000 68.886 -86.0465
31.500000 68.959 -86.2628
32.000000 69.079 -85.8648
32.500000 69.233 -85.6689
33.000000 69.348 -85.8173
33.500000 69.428 -85.8520
34.000000 69.540 -85.8621
34.500000 69.682 -86.6046
35.000000 69.779 -88.4432
35.500000 69.823 -90.8436
36.000000 69.926 -92.8820
36.500000 70.195 -93.9866
37.000000 70.596 -94.0566
37.500000 70.987 -93.1841
38.200001 71.314 -91.0107
38.700001 71.358 -89.9430
39.500000 71.157 -91.9762
40.000000 70.994 -95.6638
40.599998 70.958 -100.3532
41.200001 71.122 -102.2436
41.799999 71.371 -100.1798
42.500000 71.697 -95.0493
43.099998 71.932 -92.1809
43.700001 72.006 -92.9136
44.400002 71.988 -97.1224
45.000000 72.122 -100.5958
45.500000 72.380 -101.9687
46.200001 72.759 -102.0445
46.799999 72.874 -101.6607
47.500000 72.742 -101.6990
48.200001 72.613 -102.5186
48.700001 72.677 -103.3864
49.400002 72.958 -104.4068
50.000000 73.198 -104.7609
50.799999 73.338 -104.6950
51.500000 73.361 -104.9502
52.200001 73.420 -106.2176
53.000000 73.512 -108.3916
53.799999 73.543 -109.7840
54.500000 73.570 -110.4040
55.200001 73.617 -111.6744
56.000000 73.644 -113.6544
57.000000 73.889 -114.5246
58.000000 74.374 -114.7999
59.000000 74.645 -113.9913
60.000000 74.943 -112.0578
60.799999 75.061 -111.4472
61.500000 75.018 -110.8768
62.200001 75.013 -110.1306
63.000000 75.070 -109.4839
64.000000 74.995 -108.5609
65.000000 74.537 -109.1473
66.000000 74.082 -113.1695
67.000000 74.639 -118.9741
68.000000 75.539 -120.9463
69.000000 75.827 -117.4654
70.000000 75.655 -113.9858
71.000000 75.385 -114.4336
72.000000 75.296 -117.4368
73.000000 75.219 -120.9736
74.000000 75.412 -122.2949
75.000000 76.159 -121.5072
76.199997 76.424 -120.0128
77.500000 75.835 -120.3421
78.800003 75.834 -123.3319
80.000000 76.243 -122.6586
81.199997 76.208 -122.6060
82.500000 76.268 -124.3691
83.800003 76.403 -124.8023
85.000000 76.409 -125.3791
86.199997 76.495 -127.7748
87.500000 76.598 -126.4737
88.500000 76.669 -126.3804
90.000000 76.680 -127.9030
91.199997 76.768 -128.3591
92.500000 76.838 -128.7835
93.800003 76.899 -129.6868
95.000000 76.981 -129.9953
96.199997 76.995 -130.6479
97.500000 77.096 -131.2302
98.800003 77.131 -131.5226
100.000000 77.206 -132.1678
101.500000 77.264 -133.0802
103.000000 77.297 -133.7162
104.400002 77.345 -134.2049
106.000000 77.415 -134.7540
107.500000 77.488 -135.4970
109.000000 77.509 -136.0000
110.599998 77.533 -136.7985
112.000000 77.523 -137.2163
113.800003 77.593 -138.2555
115.000000 77.629 -138.3252
117.199997 77.745 -139.4210
118.000000 77.786 -139.6446
120.599998 77.863 -140.2604
122.000000 77.810 -140.6945
124.099998 77.842 -141.8785
125.000000 77.828 -142.2202
126.500000 77.931 -142.6768
128.000000 78.007 -142.8213
131.500000 77.998 -144.0864
132.000000 78.015 -144.3708
134.000000 78.079 -145.0292
136.000000 78.072 -145.1510
138.000000 78.078 -146.2624
140.000000 78.148 -146.5836
143.000000 78.131 -147.1955
145.000000 78.193 -148.0387
147.500000 78.200 -148.5998
150.000000 78.216 -149.1849
152.500000 78.253 -149.7406
155.000000 78.254 -150.4598
157.500000 78.287 -150.9924
160.000000 78.281 -151.5493
162.500000 78.312 -152.1463
165.000000 78.296 -152.6953
167.500000 78.317 -153.1077
170.000000 78.301 -153.7300
172.500000 78.308 -154.2780
175.000000 78.305 -155.0183
177.500000 78.358 -155.3196
180.000000 78.362 -155.7339
182.500000 78.296 -155.9274
185.000000 78.326 -156.7213
187.500000 78.331 -157.0389
190.000000 78.328 -157.2104
192.500000 78.315 -158.1200
195.000000 78.328 -158.2722
197.500000 78.329 -158.4009
200.000000 78.309 -159.2749
203.000000 78.320 -159.0035
206.000000 78.234 -160.1992
209.000000 78.291 -160.2002
212.000000 78.256 -160.7315
214.000000 78.245 -160.8184
218.000000 78.243 -161.4462
220.000000 78.211 -161.5669
224.000000 78.201 -162.0911
227.000000 78.183 -162.3450
230.000000 78.170 -162.8334
233.000000 78.139 -162.8667
236.000000 78.116 -163.4122
240.000000 78.102 -163.7716
243.000000 78.055 -163.9950
247.000000 78.067 -164.1725
250.000000 78.029 -164.6617
254.000000 78.010 -164.8491
258.000000 77.973 -165.1015
262.000000 77.975 -165.4560
265.000000 77.935 -165.6068
269.000000 77.888 -165.8797
272.000000 77.874 -166.0434
276.000000 77.837 -166.3204
280.000000 77.795 -166.4045
285.000000 77.729 -166.6037
290.000000 77.705 -166.7224
295.000000 77.637 -166.6566
300.000000 77.604 -166.7330
304.000000 77.607 -166.6556
307.000000 77.588 -166.6109
311.000000 77.604 -166.5217
315.000000 77.613 -166.4819
320.000000 77.614 -166.6428
325.000000 77.623 -166.9946
330.000000 77.598 -167.2242
335.000000 77.583 -167.4618
340.000000 77.560 -167.6326
345.000000 77.533 -167.8233
350.000000 77.514 -167.9648
355.000000 77.462 -168.0349
360.000000 77.444 -168.0837
365.000000 77.390 -168.2797
370.000000 77.368 -168.3481
375.000000 77.373 -168.4867
382.000000 77.293 -168.3474
387.000000 77.284 -168.3369
395.000000 77.224 -168.3277
400.000000 77.222 -168.2510
406.000000 77.152 -168.4148
412.000000 77.160 -168.2411
418.000000 77.112 -168.2811
425.000000 77.077 -168.1178
431.000000 77.043 -168.0826
437.000000 77.014 -167.9843
444.000000 76.997 -168.0116
450.000000 76.943 -167.8269
455.000000 76.943 -167.7719
462.000000 76.879 -167.4526
468.000000 76.870 -167.4782
475.000000 76.856 -167.2892
482.000000 76.823 -166.9819
487.000000 76.775 -167.0658
494.000000 76.759 -166.6974
500.000000 76.727 -166.7008
508.000000 76.723 -166.4963
515.000000 76.664 -166.4505
522.000000 76.683 -166.1682
530.000000 76.674 -165.9736
538.000000 76.560 -165.3802
545.000000 76.566 -164.9877
552.000000 76.582 -164.8252
560.000000 76.520 -164.6704
570.000000 76.533 -164.3967
580.000000 76.514 -163.8962
590.000000 76.440 -163.6000
600.000000 76.431 -163.2666
608.000000 76.422 -162.6575
615.000000 76.402 -162.3898
622.000000 76.404 -162.2493
630.000000 76.392 -161.8629
640.000000 76.405 -161.4307
650.000000 76.364 -161.0395
660.000000 76.371 -160.5757
670.000000 76.352 -160.1480
680.000000 76.363 -159.4622
690.000000 76.346 -158.9913
700.000000 76.355 -158.5751
710.000000 76.386 -157.8158
720.000000 76.374 -157.5443
730.000000 76.336 -156.7926
740.000000 76.383 -156.4762
750.000000 76.356 -156.1153
762.000000 76.419 -155.2789
775.000000 76.441 -154.5929
788.000000 76.460 -153.7944
800.000000 76.461 -153.2068
812.000000 76.515 -152.5417
825.000000 76.569 -151.7410
838.000000 76.601 -151.1012
850.000000 76.636 -150.3900
862.000000 76.709 -149.5913
875.000000 76.754 -148.9992
885.000000 76.811 -148.5905
900.000000 76.874 -147.5619
912.000000 76.971 -146.7904
925.000000 77.023 -146.3607
938.000000 77.131 -145.6732
950.000000 77.215 -145.0073
962.000000 77.304 -144.3418
975.000000 77.379 -144.1938
988.000000 77.480 -143.4630
1000.000000 77.598 -143.6513
1015.000000 77.692 -142.6732
1030.000000 77.812 -142.0023
1044.000000 77.931 -141.7942
1060.000000 78.053 -141.1728
1075.000000 78.189 -140.9527
1090.000000 78.295 -140.5192
1106.000000 78.404 -140.2630
1120.000000 78.555 -140.0533
1138.000000 78.689 -139.9729
1150.000000 78.765 -139.7287
1172.000000 78.961 -139.5251
1180.000000 79.027 -139.5298
1206.000000 79.223 -139.1527
1220.000000 79.297 -139.1722
1241.000000 79.452 -139.2099
1250.000000 79.519 -139.1584
1265.000000 79.609 -139.0726
1280.000000 79.692 -139.1038
1315.000000 79.906 -139.0780
1320.000000 79.932 -139.2315
1340.000000 80.050 -139.1569
1360.000000 80.180 -139.2657
1380.000000 80.275 -139.2811
1400.000000 80.404 -139.2360
1430.000000 80.569 -139.3483
1450.000000 80.675 -139.3694
1475.000000 80.802 -139.4251
1500.000000 80.922 -139.4490
1525.000000 81.060 -139.5708
1550.000000 81.178 -139.6221
1575.000000 81.292 -139.8411
1600.000000 81.421 -139.8973
1625.000000 81.533 -140.0501
1650.000000 81.678 -139.9431
1675.000000 81.784 -140.2110
1700.000000 81.929 -140.4206
1725.000000 82.014 -140.6204
1750.000000 82.154 -140.8501
1775.000000 82.292 -140.9507
1800.000000 82.405 -141.2132
1825.000000 82.514 -141.4078
1850.000000 82.618 -141.5961
1875.000000 82.748 -141.7951
1900.000000 82.863 -142.1768
1925.000000 82.996 -142.4832
1950.000000 83.103 -142.6974
1975.000000 83.230 -143.0719
2000.000000 83.308 -143.0476
2030.000000 83.493 -143.8805
2060.000000 83.621 -144.2863
2090.000000 83.767 -144.8389
2120.000000 83.913 -145.3382
2140.000000 84.009 -145.5667
2180.000000 84.204 -146.4730
2200.000000 84.278 -146.8487
2240.000000 84.465 -147.6935
2270.000000 84.589 -148.3808
2300.000000 84.716 -149.2202
2330.000000 84.850 -149.9948
2360.000000 84.967 -150.8088
2400.000000 85.123 -151.9908
2430.000000 85.244 -152.9260
2470.000000 85.376 -154.1370
2500.000000 85.484 -155.1173
2540.000000 85.609 -156.5100
2580.000000 85.739 -157.9731
2620.000000 85.831 -159.4093
2650.000000 85.903 -160.5261
2690.000000 85.989 -162.0896
2720.000000 86.044 -163.3638
2760.000000 86.102 -164.8944
2800.000000 86.150 -166.5655
2850.000000 86.182 -168.6019
2900.000000 86.187 -170.6640
2950.000000 86.183 -172.6758
3000.000000 86.187 -174.5612
3040.000000 86.126 -176.1731
3070.000000 86.092 -177.3441
3110.000000 86.023 -178.8325
3150.000000 85.958 179.7646
3200.000000 85.853 177.9460
3250.000000 85.730 176.3810
3300.000000 85.595 174.8042
3350.000000 85.458 173.1738
3400.000000 85.312 171.9364
3450.000000 85.168 170.6498
3500.000000 84.995 169.4752
3550.000000 84.840 168.3531
3600.000000 84.655 167.4019
3650.000000 84.502 166.5065
3700.000000 84.350 165.5978
3750.000000 84.154 164.8533
3820.000000 83.930 163.9169
3870.000000 83.740 163.3886
3950.000000 83.491 162.4797
4000.000000 83.279 161.8934
4060.000000 83.127 161.4879
4120.000000 82.917 160.9240
4180.000000 82.706 160.7659
4250.000000 82.522 160.4614
4310.000000 82.276 160.1527
4370.000000 82.094 160.0855
4440.000000 81.877 159.9595
4500.000000 81.674 159.9350
4550.000000 81.529 160.3041
4620.000000 81.322 160.3308
4680.000000 81.138 160.5414
4750.000000 80.987 160.9373
4820.000000 80.810 161.4412
4870.000000 80.635 161.7550
4940.000000 80.498 162.3544
5000.000000 80.323 162.5234
5080.000000 80.196 163.2878
