* Measurement data measured by REW V5.31.1
* Source: Microphone (5- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jun 25, 2025 11:53:03 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R FISSION GOLD MIDDLE 763
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 65.852 -71.3539
20.600000 65.968 -72.1700
20.900000 66.079 -72.8803
21.200001 66.200 -73.4949
21.400000 66.292 -73.8439
21.799999 66.505 -74.4350
22.000000 66.623 -74.7069
22.400000 66.872 -75.2783
22.700001 67.051 -75.7658
23.000000 67.207 -76.3000
23.299999 67.334 -76.8422
23.600000 67.435 -77.3555
24.000000 67.541 -77.9561
24.299999 67.616 -78.3469
24.700001 67.725 -78.8320
25.000000 67.821 -79.2081
25.400000 67.972 -79.7606
25.799999 68.143 -80.3791
26.200001 68.324 -81.0541
26.500000 68.461 -81.5870
26.900000 68.636 -82.3109
27.200001 68.757 -82.8361
27.600000 68.903 -83.4685
28.000000 69.039 -83.9904
28.500000 69.207 -84.5126
29.000000 69.376 -84.9928
29.500000 69.535 -85.4957
30.000000 69.678 -86.0033
30.400000 69.786 -86.4033
30.700001 69.867 -86.7149
31.100000 69.980 -87.1718
31.500000 70.096 -87.6754
32.000000 70.248 -88.3323
32.500000 70.407 -89.0117
33.000000 70.555 -89.7604
33.500000 70.655 -90.4987
34.000000 70.700 -90.8962
34.500000 70.765 -90.7247
35.000000 70.949 -90.3715
35.500000 71.251 -90.7031
36.000000 71.542 -92.0395
36.500000 71.698 -93.7264
37.000000 71.727 -94.7108
37.500000 71.753 -94.6149
38.200001 71.961 -94.1246
38.700001 72.147 -94.6964
39.500000 72.237 -96.6515
40.000000 72.208 -97.4666
40.599998 72.238 -97.7975
41.200001 72.379 -98.0819
41.799999 72.545 -98.6240
42.500000 72.706 -99.3095
43.099998 72.842 -99.9525
43.700001 72.957 -100.8266
44.400002 73.020 -101.6886
45.000000 73.077 -101.7712
45.500000 73.196 -101.6748
46.200001 73.417 -102.2449
46.799999 73.518 -103.3300
47.500000 73.546 -104.1565
48.200001 73.641 -104.4642
48.700001 73.739 -104.8140
49.400002 73.822 -105.2583
50.000000 73.893 -105.2866
50.799999 74.052 -105.9503
51.500000 74.058 -107.4306
52.200001 73.966 -107.9768
53.000000 74.127 -107.6477
53.799999 74.435 -108.7547
54.500000 74.525 -109.8731
55.200001 74.585 -109.9146
56.000000 74.747 -109.9875
57.000000 74.840 -110.7154
58.000000 74.934 -111.2598
59.000000 75.052 -112.4333
60.000000 75.186 -113.0185
60.799999 75.360 -113.4629
61.500000 75.449 -114.0787
62.200001 75.468 -114.5367
63.000000 75.501 -114.8582
64.000000 75.620 -115.4629
65.000000 75.731 -116.2403
66.000000 75.817 -116.7548
67.000000 75.921 -117.5961
68.000000 75.978 -118.3583
69.000000 76.089 -118.6598
70.000000 76.180 -119.3074
71.000000 76.246 -119.8465
72.000000 76.341 -120.4715
73.000000 76.422 -120.9593
74.000000 76.492 -121.7117
75.000000 76.522 -122.3424
76.199997 76.650 -122.9972
77.500000 76.694 -123.5327
78.800003 76.844 -124.3156
80.000000 76.860 -125.1346
81.199997 77.001 -125.2894
82.500000 77.023 -126.4131
83.800003 77.088 -126.5595
85.000000 77.225 -127.4966
86.199997 77.262 -128.1797
87.500000 77.283 -128.7406
88.500000 77.359 -129.1050
90.000000 77.471 -129.9149
91.199997 77.504 -130.3912
92.500000 77.537 -131.0701
93.800003 77.618 -131.8185
95.000000 77.655 -132.0379
96.199997 77.754 -132.4991
97.500000 77.777 -133.4940
98.800003 77.784 -133.8308
100.000000 77.849 -134.2756
101.500000 77.928 -135.1807
103.000000 77.940 -135.6325
104.400002 78.014 -136.0461
106.000000 78.086 -136.7242
107.500000 78.110 -137.3623
109.000000 78.157 -138.1295
110.599998 78.200 -138.3353
112.000000 78.248 -139.0463
113.800003 78.295 -139.7555
115.000000 78.306 -140.2324
117.199997 78.355 -140.9956
118.000000 78.360 -140.9585
120.599998 78.381 -142.0119
122.000000 78.491 -142.5257
124.099998 78.503 -143.4325
125.000000 78.519 -143.5971
126.500000 78.544 -143.8784
128.000000 78.542 -144.5915
131.500000 78.628 -145.3469
132.000000 78.654 -145.5728
134.000000 78.652 -146.0765
136.000000 78.645 -146.7808
138.000000 78.694 -147.5133
140.000000 78.758 -147.9684
143.000000 78.750 -148.7891
145.000000 78.763 -149.2163
147.500000 78.769 -149.8222
150.000000 78.812 -150.6085
152.500000 78.847 -151.0719
155.000000 78.850 -151.6071
157.500000 78.854 -152.2890
160.000000 78.874 -152.8501
162.500000 78.875 -153.2518
165.000000 78.877 -153.8822
167.500000 78.905 -154.3626
170.000000 78.890 -154.7539
172.500000 78.891 -155.1917
175.000000 78.888 -155.9060
177.500000 78.889 -156.3153
180.000000 78.924 -156.7104
182.500000 78.901 -156.9051
185.000000 78.885 -157.4604
187.500000 78.884 -158.0783
190.000000 78.890 -158.3064
192.500000 78.875 -158.8806
195.000000 78.904 -159.1012
197.500000 78.823 -159.3364
200.000000 78.874 -159.9238
203.000000 78.841 -160.0787
206.000000 78.830 -160.8755
209.000000 78.855 -160.4750
212.000000 78.786 -161.2861
214.000000 78.791 -161.5998
218.000000 78.749 -162.0201
220.000000 78.793 -162.4181
224.000000 78.749 -162.7378
227.000000 78.730 -162.9441
230.000000 78.729 -163.1443
233.000000 78.710 -163.5798
236.000000 78.663 -163.8758
240.000000 78.646 -163.8083
243.000000 78.636 -164.3644
247.000000 78.617 -164.7786
250.000000 78.637 -165.1617
254.000000 78.569 -165.3832
258.000000 78.550 -165.7544
262.000000 78.487 -165.9778
265.000000 78.531 -165.8120
269.000000 78.495 -166.2152
272.000000 78.450 -166.4886
276.000000 78.429 -166.6215
280.000000 78.410 -167.0211
285.000000 78.423 -166.7914
290.000000 78.327 -166.7990
295.000000 78.293 -167.4865
300.000000 78.222 -167.4669
304.000000 78.211 -167.8907
307.000000 78.207 -167.7861
311.000000 78.149 -167.8683
315.000000 78.090 -167.9642
320.000000 78.075 -167.7615
325.000000 78.014 -167.7697
330.000000 78.002 -167.7413
335.000000 77.991 -167.4062
340.000000 78.005 -167.4113
345.000000 78.012 -167.6423
350.000000 78.005 -167.8174
355.000000 77.984 -167.8367
360.000000 77.975 -168.0282
365.000000 77.955 -168.0652
370.000000 77.919 -168.1255
375.000000 77.905 -168.1049
382.000000 77.851 -168.2537
387.000000 77.823 -168.2870
395.000000 77.793 -168.3241
400.000000 77.770 -168.1755
406.000000 77.728 -168.3202
412.000000 77.718 -168.1324
418.000000 77.666 -168.2450
425.000000 77.640 -168.0019
431.000000 77.614 -168.0417
437.000000 77.556 -167.8188
444.000000 77.537 -167.9172
450.000000 77.506 -167.6962
455.000000 77.519 -167.5231
462.000000 77.468 -167.4420
468.000000 77.439 -167.3079
475.000000 77.420 -167.1664
482.000000 77.407 -167.0194
487.000000 77.381 -167.0116
494.000000 77.327 -166.6774
500.000000 77.329 -166.5044
508.000000 77.298 -166.3777
515.000000 77.253 -165.9871
522.000000 77.274 -165.6876
530.000000 77.248 -165.7146
538.000000 77.229 -165.1330
545.000000 77.190 -165.1407
552.000000 77.162 -164.8604
560.000000 77.151 -164.6827
570.000000 77.116 -164.4779
580.000000 77.099 -163.7114
590.000000 77.085 -163.5284
600.000000 77.051 -163.0468
608.000000 77.059 -162.8098
615.000000 77.029 -162.5417
622.000000 77.038 -162.2138
630.000000 77.013 -161.8511
640.000000 77.005 -161.3990
650.000000 76.995 -160.9154
660.000000 76.948 -160.4275
670.000000 76.976 -159.9090
680.000000 76.980 -159.7266
690.000000 76.975 -159.1181
700.000000 76.943 -158.7580
710.000000 76.953 -158.0104
720.000000 76.954 -157.6153
730.000000 76.954 -156.9540
740.000000 76.979 -156.2401
750.000000 76.955 -155.9922
762.000000 76.996 -155.2430
775.000000 77.007 -154.4428
788.000000 77.036 -153.4492
800.000000 77.052 -153.0521
812.000000 77.089 -152.3521
825.000000 77.144 -151.7349
838.000000 77.176 -151.1440
850.000000 77.251 -150.3264
862.000000 77.273 -149.6602
875.000000 77.345 -148.9420
885.000000 77.360 -148.5619
900.000000 77.452 -147.6145
912.000000 77.535 -147.1690
925.000000 77.597 -146.5677
938.000000 77.671 -145.7783
950.000000 77.756 -145.2556
962.000000 77.846 -144.8422
975.000000 77.920 -144.2164
988.000000 78.013 -143.5443
1000.000000 78.037 -143.2015
1015.000000 78.223 -142.5951
1030.000000 78.330 -142.3246
1044.000000 78.460 -141.7538
1060.000000 78.586 -141.3826
1075.000000 78.711 -140.8829
1090.000000 78.804 -140.6632
1106.000000 78.928 -140.3242
1120.000000 79.042 -140.1694
1138.000000 79.181 -139.8952
1150.000000 79.298 -139.6982
1172.000000 79.450 -139.5459
1180.000000 79.497 -139.4523
1206.000000 79.674 -139.2980
1220.000000 79.772 -139.1172
1241.000000 79.904 -139.1163
1250.000000 79.971 -139.0467
1265.000000 80.079 -138.9008
1280.000000 80.155 -139.0136
1315.000000 80.371 -138.9571
1320.000000 80.397 -138.9624
1340.000000 80.524 -138.9995
1360.000000 80.618 -138.8411
1380.000000 80.714 -138.9137
1400.000000 80.827 -138.7110
1430.000000 80.976 -138.9011
1450.000000 81.076 -138.8294
1475.000000 81.214 -138.8481
1500.000000 81.339 -138.7904
1525.000000 81.455 -139.0056
1550.000000 81.568 -138.9189
1575.000000 81.700 -139.0009
1600.000000 81.819 -138.9966
1625.000000 81.935 -139.0625
1650.000000 82.068 -139.2127
1675.000000 82.196 -139.1613
1700.000000 82.319 -139.2968
1725.000000 82.428 -139.3038
1750.000000 82.567 -139.5408
1775.000000 82.670 -139.7599
1800.000000 82.790 -139.8500
1825.000000 82.905 -140.0572
1850.000000 83.044 -140.2568
1875.000000 83.148 -140.3751
1900.000000 83.281 -140.5108
1925.000000 83.387 -140.9487
1950.000000 83.505 -141.1747
1975.000000 83.636 -141.3970
2000.000000 83.743 -142.0477
2030.000000 83.896 -142.1213
2060.000000 84.033 -142.4905
2090.000000 84.166 -142.9532
2120.000000 84.294 -143.4635
2140.000000 84.410 -143.7533
2180.000000 84.583 -144.4570
2200.000000 84.664 -144.7701
2240.000000 84.851 -145.6022
2270.000000 84.984 -146.2836
2300.000000 85.099 -147.0092
2330.000000 85.235 -147.7007
2360.000000 85.350 -148.5058
2400.000000 85.509 -149.4626
2430.000000 85.628 -150.2994
2470.000000 85.764 -151.4904
2500.000000 85.865 -152.3748
2540.000000 85.990 -153.6570
2580.000000 86.112 -154.8717
2620.000000 86.221 -156.2344
2650.000000 86.301 -157.3208
2690.000000 86.382 -158.7687
2720.000000 86.444 -159.8303
2760.000000 86.511 -161.3098
2800.000000 86.565 -162.7748
2850.000000 86.611 -164.5956
2900.000000 86.645 -166.4634
2950.000000 86.652 -168.3539
3000.000000 86.677 -170.3083
3040.000000 86.630 -171.6288
3070.000000 86.591 -172.7339
3110.000000 86.565 -174.1674
3150.000000 86.508 -175.4469
3200.000000 86.446 -177.0764
3250.000000 86.348 -178.6972
3300.000000 86.237 179.8407
3350.000000 86.138 178.4205
3400.000000 86.006 177.1176
3450.000000 85.887 175.7935
3500.000000 85.746 174.7456
3550.000000 85.619 173.6983
3600.000000 85.459 172.6897
3650.000000 85.325 171.7065
3700.000000 85.162 171.0583
3750.000000 85.031 170.2465
3820.000000 84.822 169.3713
3870.000000 84.685 168.7060
3950.000000 84.466 167.8116
4000.000000 84.342 167.3313
4060.000000 84.144 166.6075
4120.000000 83.980 166.0693
4180.000000 83.817 165.7808
4250.000000 83.605 165.2892
4310.000000 83.421 165.0148
4370.000000 83.268 164.8531
4440.000000 83.070 164.7507
4500.000000 82.900 164.5157
4550.000000 82.770 164.5874
4620.000000 82.579 164.7572
4680.000000 82.413 164.7918
4750.000000 82.264 164.9174
4820.000000 82.071 165.1510
4870.000000 81.985 165.4793
4940.000000 81.819 165.5906
5000.000000 81.704 165.4388
5080.000000 81.489 166.3450
