* Measurement data measured by REW V5.31.1
* Source: Microphone (5- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jun 25, 2025 11:40:09 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L FISSION GOLD UP 759
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 70.147 -76.9452
20.600000 70.281 -77.6205
20.900000 70.397 -78.1349
21.200001 70.517 -78.5497
21.400000 70.609 -78.8074
21.799999 70.822 -79.3789
22.000000 70.941 -79.7377
22.400000 71.186 -80.6472
22.700001 71.357 -81.4457
23.000000 71.504 -82.2437
23.299999 71.630 -82.9500
23.600000 71.742 -83.5278
24.000000 71.885 -84.1239
24.299999 71.996 -84.5271
24.700001 72.147 -85.1320
25.000000 72.253 -85.6750
25.400000 72.378 -86.4763
25.799999 72.486 -87.2452
26.200001 72.594 -87.8880
26.500000 72.686 -88.2936
26.900000 72.830 -88.8009
27.200001 72.951 -89.2147
27.600000 73.116 -89.8537
28.000000 73.272 -90.5776
28.500000 73.446 -91.5233
29.000000 73.601 -92.4504
29.500000 73.746 -93.3604
30.000000 73.884 -94.2617
30.400000 73.989 -94.9507
30.700001 74.067 -95.4278
31.100000 74.174 -95.9972
31.500000 74.289 -96.5027
32.000000 74.442 -97.0988
32.500000 74.593 -97.7103
33.000000 74.725 -98.3422
33.500000 74.837 -98.9718
34.000000 74.941 -99.6194
34.500000 75.049 -100.3516
35.000000 75.162 -101.1917
35.500000 75.274 -102.0543
36.000000 75.383 -102.8070
36.500000 75.490 -103.3940
37.000000 75.593 -103.8720
37.500000 75.685 -104.3298
38.200001 75.799 -105.0355
38.700001 75.893 -105.6341
39.500000 76.082 -106.8252
40.000000 76.204 -107.6086
40.599998 76.329 -108.3785
41.200001 76.429 -108.9149
41.799999 76.509 -109.4041
42.500000 76.587 -110.1585
43.099998 76.656 -110.9589
43.700001 76.742 -111.7471
44.400002 76.866 -112.4916
45.000000 76.981 -113.0324
45.500000 77.060 -113.5344
46.200001 77.124 -114.2856
46.799999 77.173 -114.8065
47.500000 77.297 -115.4590
48.200001 77.435 -116.5299
48.700001 77.473 -117.3000
49.400002 77.471 -117.7570
50.000000 77.521 -117.8085
50.799999 77.664 -118.4792
51.500000 77.755 -119.4208
52.200001 77.839 -120.0545
53.000000 77.956 -120.7419
53.799999 78.017 -121.5372
54.500000 78.061 -122.0625
55.200001 78.140 -122.6788
56.000000 78.229 -123.5135
57.000000 78.339 -124.3753
58.000000 78.410 -125.3246
59.000000 78.450 -125.8380
60.000000 78.578 -126.6423
60.799999 78.643 -127.7225
61.500000 78.673 -128.3753
62.200001 78.732 -128.7111
63.000000 78.820 -129.1419
64.000000 78.875 -129.8808
65.000000 78.921 -130.6012
66.000000 79.007 -131.4395
67.000000 79.081 -132.1932
68.000000 79.131 -132.9053
69.000000 79.165 -133.6266
70.000000 79.231 -134.3324
71.000000 79.284 -134.9899
72.000000 79.340 -135.4781
73.000000 79.393 -136.2711
74.000000 79.421 -136.9562
75.000000 79.486 -137.5092
76.199997 79.526 -138.3486
77.500000 79.552 -139.0912
78.800003 79.616 -139.8237
80.000000 79.703 -140.5475
81.199997 79.718 -141.3792
82.500000 79.735 -141.9593
83.800003 79.798 -142.7036
85.000000 79.833 -143.4152
86.199997 79.860 -144.1230
87.500000 79.894 -144.8697
88.500000 79.926 -145.3033
90.000000 79.959 -146.0187
91.199997 79.982 -146.6086
92.500000 80.020 -147.2473
93.800003 80.037 -147.8228
95.000000 80.056 -148.4930
96.199997 80.065 -149.0987
97.500000 80.098 -149.5643
98.800003 80.111 -150.0569
100.000000 80.146 -150.7084
101.500000 80.134 -151.5114
103.000000 80.147 -152.0954
104.400002 80.155 -152.4083
106.000000 80.200 -153.2464
107.500000 80.206 -153.7299
109.000000 80.215 -154.5840
110.599998 80.234 -154.8926
112.000000 80.234 -155.7904
113.800003 80.255 -156.3400
115.000000 80.220 -156.7746
117.199997 80.256 -157.4441
118.000000 80.250 -157.7637
120.599998 80.258 -158.5858
122.000000 80.255 -158.9404
124.099998 80.256 -159.6539
125.000000 80.264 -159.8664
126.500000 80.258 -160.3667
128.000000 80.262 -160.9249
131.500000 80.241 -161.9276
132.000000 80.236 -162.0364
134.000000 80.224 -162.6422
136.000000 80.228 -163.1657
138.000000 80.210 -163.6900
140.000000 80.204 -164.1265
143.000000 80.182 -164.8493
145.000000 80.179 -165.4020
147.500000 80.145 -165.9129
150.000000 80.135 -166.5408
152.500000 80.116 -167.0159
155.000000 80.085 -167.5512
157.500000 80.056 -168.0820
160.000000 80.046 -168.5085
162.500000 80.011 -168.9806
165.000000 80.001 -169.4695
167.500000 79.961 -169.8517
170.000000 79.954 -170.3510
172.500000 79.916 -170.8079
175.000000 79.880 -170.9903
177.500000 79.851 -171.3953
180.000000 79.833 -171.9065
182.500000 79.831 -172.3411
185.000000 79.760 -172.7808
187.500000 79.695 -173.0864
190.000000 79.655 -173.0814
192.500000 79.671 -173.0336
195.000000 79.672 -173.1155
197.500000 79.721 -173.8631
200.000000 79.712 -174.3914
203.000000 79.510 -175.5205
206.000000 79.419 -174.8328
209.000000 79.448 -174.7062
212.000000 79.524 -175.1483
214.000000 79.355 -175.1719
218.000000 79.366 -176.6510
220.000000 79.380 -176.2480
224.000000 79.282 -177.0136
227.000000 79.216 -177.4605
230.000000 79.107 -177.7501
233.000000 79.010 -177.8653
236.000000 78.938 -177.9367
240.000000 79.118 -176.4870
243.000000 79.034 -176.8960
247.000000 79.084 -177.7297
250.000000 79.029 -177.4904
254.000000 78.941 -178.8304
258.000000 78.819 -178.7527
262.000000 78.735 -178.2860
265.000000 78.683 -178.6850
269.000000 78.546 -177.9282
272.000000 78.439 -179.6312
276.000000 78.298 -179.0801
280.000000 78.107 -178.5090
285.000000 78.152 -176.8651
290.000000 78.237 -177.2499
295.000000 78.274 -178.6572
300.000000 78.383 -179.0844
304.000000 78.266 -179.5413
307.000000 78.335 -176.2880
311.000000 78.149 -178.9757
315.000000 78.317 179.6633
320.000000 78.547 -178.3495
325.000000 77.903 -177.0626
330.000000 78.208 178.9127
335.000000 78.264 -177.2793
340.000000 77.908 -179.2915
345.000000 78.206 -178.8386
350.000000 77.712 -178.9437
355.000000 78.413 -178.4974
360.000000 77.897 179.3124
365.000000 77.739 -177.3642
370.000000 77.998 -179.0650
375.000000 77.721 -179.1829
382.000000 77.574 -178.2525
387.000000 77.740 -176.7714
395.000000 77.794 -179.3861
400.000000 77.601 -178.5721
406.000000 77.572 -178.8342
412.000000 77.453 -178.4973
418.000000 77.458 -177.7552
425.000000 77.455 -177.1117
431.000000 77.521 -177.1326
437.000000 77.496 -176.3307
444.000000 77.303 -175.8477
450.000000 77.117 -176.6445
455.000000 77.273 -177.1953
462.000000 77.161 -175.5538
468.000000 77.194 -176.8207
475.000000 77.092 -174.4644
482.000000 77.206 -175.4659
487.000000 77.017 -173.9912
494.000000 77.009 -174.8623
500.000000 77.033 -174.5132
508.000000 77.099 -174.6345
515.000000 77.029 -174.5706
522.000000 76.970 -174.4277
530.000000 76.897 -173.4372
538.000000 76.809 -172.9242
545.000000 76.842 -173.0359
552.000000 76.895 -172.5811
560.000000 76.693 -171.7584
570.000000 76.594 -170.9114
580.000000 76.440 -171.3658
590.000000 76.558 -171.3538
600.000000 76.644 -170.7230
608.000000 76.681 -170.1275
615.000000 76.431 -169.2429
622.000000 76.661 -167.6286
630.000000 76.610 -167.6739
640.000000 76.638 -168.3349
650.000000 76.542 -167.2097
660.000000 76.481 -166.3965
670.000000 76.487 -166.0069
680.000000 76.473 -165.1324
690.000000 76.518 -165.5632
700.000000 76.477 -163.5237
710.000000 76.517 -164.5203
720.000000 76.452 -163.5344
730.000000 76.405 -162.6354
740.000000 76.394 -161.8082
750.000000 76.404 -160.8293
762.000000 76.505 -161.1902
775.000000 76.506 -159.7323
788.000000 76.566 -158.9230
800.000000 76.607 -158.4453
812.000000 76.633 -157.7618
825.000000 76.643 -156.4728
838.000000 76.631 -155.9714
850.000000 76.710 -155.4798
862.000000 76.754 -154.6599
875.000000 76.764 -153.6545
885.000000 76.873 -152.9005
900.000000 76.938 -152.4865
912.000000 76.997 -151.6526
925.000000 77.083 -150.8892
938.000000 77.183 -150.1698
950.000000 77.251 -149.5440
962.000000 77.343 -148.8565
975.000000 77.438 -148.1871
988.000000 77.512 -147.6870
1000.000000 77.665 -146.7157
1015.000000 77.729 -146.7157
1030.000000 77.847 -146.0361
1044.000000 77.967 -145.5591
1060.000000 78.085 -145.2691
1075.000000 78.227 -144.7963
1090.000000 78.318 -144.3142
1106.000000 78.444 -144.0782
1120.000000 78.558 -143.7780
1138.000000 78.731 -143.2940
1150.000000 78.823 -143.2592
1172.000000 78.969 -142.9073
1180.000000 79.030 -142.9285
1206.000000 79.211 -142.7194
1220.000000 79.333 -142.4835
1241.000000 79.462 -142.3967
1250.000000 79.508 -142.3590
1265.000000 79.615 -142.2615
1280.000000 79.706 -142.1849
1315.000000 79.927 -142.1381
1320.000000 79.960 -142.1144
1340.000000 80.077 -142.0720
1360.000000 80.186 -142.1593
1380.000000 80.312 -142.0838
1400.000000 80.430 -142.0276
1430.000000 80.577 -142.1018
1450.000000 80.679 -141.9874
1475.000000 80.803 -142.0860
1500.000000 80.921 -142.1800
1525.000000 81.081 -142.3086
1550.000000 81.200 -142.2714
1575.000000 81.317 -142.2541
1600.000000 81.429 -142.3046
1625.000000 81.563 -142.4243
1650.000000 81.681 -142.5570
1675.000000 81.787 -142.7021
1700.000000 81.915 -142.8665
1725.000000 82.038 -142.9905
1750.000000 82.171 -143.1114
1775.000000 82.275 -143.2752
1800.000000 82.396 -143.4635
1825.000000 82.502 -143.6272
1850.000000 82.639 -143.7621
1875.000000 82.732 -144.0398
1900.000000 82.873 -144.3445
1925.000000 82.980 -144.4750
1950.000000 83.095 -144.7827
1975.000000 83.207 -145.0573
2000.000000 83.383 -145.2154
2030.000000 83.464 -145.6705
2060.000000 83.596 -146.2254
2090.000000 83.750 -146.5992
2120.000000 83.873 -147.0894
2140.000000 83.970 -147.3565
2180.000000 84.154 -148.1792
2200.000000 84.245 -148.5631
2240.000000 84.428 -149.3751
2270.000000 84.547 -150.0927
2300.000000 84.699 -150.8232
2330.000000 84.800 -151.5390
2360.000000 84.935 -152.2652
2400.000000 85.090 -153.3192
2430.000000 85.203 -154.2644
2470.000000 85.358 -155.4882
2500.000000 85.460 -156.4182
2540.000000 85.591 -157.8147
2580.000000 85.688 -159.1148
2620.000000 85.803 -160.5491
2650.000000 85.890 -161.7811
2690.000000 85.958 -163.2207
2720.000000 86.015 -164.3896
2760.000000 86.075 -165.9148
2800.000000 86.119 -167.5205
2850.000000 86.158 -169.4876
2900.000000 86.175 -171.4795
2950.000000 86.175 -173.5803
3000.000000 86.185 -175.3891
3040.000000 86.105 -176.9772
3070.000000 86.073 -178.1405
3110.000000 86.012 -179.5942
3150.000000 85.959 178.9891
3200.000000 85.850 177.4097
3250.000000 85.737 175.7039
3300.000000 85.608 174.0420
3350.000000 85.476 172.6476
3400.000000 85.323 171.3361
3450.000000 85.175 169.9960
3500.000000 84.999 168.8926
3550.000000 84.856 167.9257
3600.000000 84.684 166.8752
3650.000000 84.531 166.0316
3700.000000 84.352 165.1890
3750.000000 84.204 164.5330
3820.000000 83.961 163.5976
3870.000000 83.787 163.0086
3950.000000 83.548 162.0145
4000.000000 83.397 161.3597
4060.000000 83.181 160.9552
4120.000000 82.968 160.5670
4180.000000 82.793 160.1630
4250.000000 82.555 160.0466
4310.000000 82.352 159.6256
4370.000000 82.149 159.5920
4440.000000 81.942 159.6086
4500.000000 81.741 159.7555
4550.000000 81.611 159.6649
4620.000000 81.392 159.9380
4680.000000 81.217 159.9628
4750.000000 81.048 160.4801
4820.000000 80.831 161.0125
4870.000000 80.724 161.1803
4940.000000 80.554 161.6586
5000.000000 80.474 162.3262
5080.000000 80.247 162.7654
