* Measurement data measured by REW V5.31.1
* Source: Microphone (5- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jun 25, 2025 12:01:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L FISSION SILVER T MIDDLE 769
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 64.732 -67.9948
20.600000 64.843 -68.8685
20.900000 64.921 -69.3460
21.200001 65.021 -69.5666
21.400000 65.111 -69.6848
21.799999 65.334 -70.0176
22.000000 65.455 -70.2745
22.400000 65.682 -70.9087
22.700001 65.829 -71.3403
23.000000 65.966 -71.6284
23.299999 66.111 -71.8133
23.600000 66.271 -72.0160
24.000000 66.501 -72.5250
24.299999 66.668 -73.1687
24.700001 66.858 -74.2921
25.000000 66.974 -75.1777
25.400000 67.110 -76.2227
25.799999 67.251 -77.0374
26.200001 67.409 -77.6929
26.500000 67.528 -78.1282
26.900000 67.670 -78.6174
27.200001 67.760 -78.8612
27.600000 67.869 -78.9641
28.000000 67.997 -78.9602
28.500000 68.207 -79.0939
29.000000 68.444 -79.7955
29.500000 68.655 -80.9357
30.000000 68.822 -82.0243
30.400000 68.944 -82.6127
30.700001 69.040 -82.8873
31.100000 69.177 -83.1547
31.500000 69.310 -83.4464
32.000000 69.439 -83.9437
32.500000 69.517 -84.5168
33.000000 69.577 -85.0305
33.500000 69.669 -85.4547
34.000000 69.829 -85.8830
34.500000 70.045 -86.4378
35.000000 70.270 -87.1505
35.500000 70.449 -87.9036
36.000000 70.557 -88.4860
36.500000 70.618 -88.7671
37.000000 70.690 -88.8786
37.500000 70.807 -89.1656
38.200001 71.004 -90.2504
38.700001 71.113 -91.2440
39.500000 71.233 -92.1704
40.000000 71.324 -92.2783
40.599998 71.459 -92.3522
41.200001 71.589 -92.6157
41.799999 71.715 -93.0253
42.500000 71.886 -93.7708
43.099998 72.019 -94.6791
43.700001 72.101 -95.4057
44.400002 72.188 -95.5929
45.000000 72.319 -95.6181
45.500000 72.433 -95.9787
46.200001 72.527 -96.7790
46.799999 72.588 -97.2213
47.500000 72.744 -97.6930
48.200001 72.922 -98.7194
48.700001 72.991 -99.5181
49.400002 73.047 -100.0445
50.000000 73.156 -100.1916
50.799999 73.341 -100.8914
51.500000 73.430 -101.5656
52.200001 73.523 -101.7591
53.000000 73.688 -102.2622
53.799999 73.758 -103.0897
54.500000 73.812 -103.1565
55.200001 73.990 -103.3382
56.000000 74.149 -104.5269
57.000000 74.155 -105.2065
58.000000 74.295 -105.5192
59.000000 74.373 -106.4002
60.000000 74.561 -106.8496
60.799999 74.705 -107.9554
61.500000 74.733 -108.3362
62.200001 74.857 -108.1467
63.000000 75.049 -108.9980
64.000000 75.024 -110.1419
65.000000 75.133 -109.8074
66.000000 75.310 -110.9612
67.000000 75.273 -111.7451
68.000000 75.400 -111.7462
69.000000 75.584 -112.3297
70.000000 75.735 -112.7550
71.000000 75.839 -113.7895
72.000000 75.805 -114.5346
73.000000 75.901 -114.6087
74.000000 76.024 -115.4930
75.000000 76.033 -115.8974
76.199997 76.191 -115.9247
77.500000 76.320 -117.0625
78.800003 76.395 -117.9084
80.000000 76.489 -118.6986
81.199997 76.561 -118.8180
82.500000 76.660 -119.6771
83.800003 76.702 -120.3092
85.000000 76.794 -120.8447
86.199997 76.865 -121.2964
87.500000 76.980 -122.0241
88.500000 77.043 -122.3841
90.000000 77.120 -123.0952
91.199997 77.179 -123.7035
92.500000 77.254 -124.1654
93.800003 77.336 -124.7736
95.000000 77.386 -125.2577
96.199997 77.438 -125.9050
97.500000 77.499 -126.3728
98.800003 77.550 -127.0052
100.000000 77.653 -127.3697
101.500000 77.701 -128.1003
103.000000 77.791 -128.6075
104.400002 77.871 -129.0937
106.000000 77.896 -129.7155
107.500000 77.964 -130.5764
109.000000 77.949 -130.8414
110.599998 78.064 -131.9844
112.000000 78.129 -131.8224
113.800003 78.193 -132.7580
115.000000 78.244 -133.0302
117.199997 78.296 -133.7932
118.000000 78.331 -134.1636
120.599998 78.361 -135.2922
122.000000 78.471 -135.7278
124.099998 78.516 -136.2271
125.000000 78.533 -136.7004
126.500000 78.572 -136.7904
128.000000 78.565 -137.4097
131.500000 78.685 -138.5070
132.000000 78.657 -138.5914
134.000000 78.722 -139.3319
136.000000 78.771 -139.7490
138.000000 78.800 -140.4274
140.000000 78.832 -140.9134
143.000000 78.895 -141.7803
145.000000 78.922 -142.2625
147.500000 78.950 -142.9913
150.000000 78.969 -143.4994
152.500000 79.008 -144.1962
155.000000 79.029 -144.7822
157.500000 79.089 -145.4331
160.000000 79.082 -145.9485
162.500000 79.132 -146.4260
165.000000 79.139 -147.0609
167.500000 79.152 -147.5671
170.000000 79.173 -148.1070
172.500000 79.200 -148.4836
175.000000 79.200 -149.1623
177.500000 79.214 -149.6202
180.000000 79.237 -149.9804
182.500000 79.241 -150.3757
185.000000 79.252 -150.8702
187.500000 79.260 -151.2899
190.000000 79.255 -151.7674
192.500000 79.264 -152.0814
195.000000 79.278 -152.5123
197.500000 79.274 -152.8458
200.000000 79.283 -153.1958
203.000000 79.292 -153.7024
206.000000 79.281 -154.2225
209.000000 79.284 -154.5561
212.000000 79.277 -154.9831
214.000000 79.271 -155.2168
218.000000 79.252 -155.7474
220.000000 79.264 -156.1299
224.000000 79.251 -156.4772
227.000000 79.237 -156.7853
230.000000 79.237 -157.0636
233.000000 79.225 -157.3825
236.000000 79.228 -157.7609
240.000000 79.215 -158.1602
243.000000 79.191 -158.3410
247.000000 79.175 -158.6653
250.000000 79.168 -159.0178
254.000000 79.144 -159.3270
258.000000 79.106 -159.6599
262.000000 79.086 -159.8772
265.000000 79.085 -160.0794
269.000000 79.046 -160.4314
272.000000 79.041 -160.5328
276.000000 78.999 -160.6980
280.000000 78.990 -160.9240
285.000000 78.941 -160.9344
290.000000 78.924 -161.0592
295.000000 78.888 -160.8577
300.000000 78.851 -160.5809
304.000000 78.801 -160.5053
307.000000 78.825 -160.8684
311.000000 78.926 -161.0410
315.000000 78.992 -160.8864
320.000000 78.928 -161.1752
325.000000 78.955 -161.6244
330.000000 78.911 -161.9269
335.000000 78.930 -162.1988
340.000000 78.919 -162.4658
345.000000 78.878 -162.5929
350.000000 78.838 -162.7440
355.000000 78.855 -163.2207
360.000000 78.853 -162.8839
365.000000 78.808 -163.2312
370.000000 78.771 -163.2731
375.000000 78.683 -163.4169
382.000000 78.735 -163.5178
387.000000 78.708 -163.2814
395.000000 78.652 -163.4206
400.000000 78.633 -163.4530
406.000000 78.605 -163.3537
412.000000 78.581 -163.4016
418.000000 78.535 -163.2715
425.000000 78.525 -163.3547
431.000000 78.489 -163.3558
437.000000 78.492 -163.0714
444.000000 78.440 -163.1248
450.000000 78.442 -162.8919
455.000000 78.405 -162.9348
462.000000 78.365 -162.8657
468.000000 78.338 -162.6161
475.000000 78.355 -162.5274
482.000000 78.312 -162.4613
487.000000 78.361 -162.3291
494.000000 78.266 -162.0542
500.000000 78.244 -161.8857
508.000000 78.204 -161.9553
515.000000 78.266 -161.3368
522.000000 78.213 -161.4922
530.000000 78.180 -161.0566
538.000000 78.129 -161.2058
545.000000 78.150 -160.3217
552.000000 78.170 -160.4229
560.000000 78.121 -160.2121
570.000000 78.071 -159.7514
580.000000 78.069 -159.4040
590.000000 78.093 -159.2701
600.000000 78.078 -158.7705
608.000000 78.019 -158.3403
615.000000 78.062 -158.1864
622.000000 78.024 -157.7254
630.000000 78.039 -157.2880
640.000000 78.021 -156.9614
650.000000 77.982 -156.3765
660.000000 78.029 -156.1460
670.000000 77.955 -155.9466
680.000000 78.016 -155.1880
690.000000 78.017 -154.7122
700.000000 77.971 -154.6660
710.000000 77.958 -154.0566
720.000000 77.967 -153.1619
730.000000 78.053 -152.2839
740.000000 78.055 -152.0627
750.000000 78.038 -151.6235
762.000000 78.076 -150.9858
775.000000 78.101 -150.4044
788.000000 78.128 -149.6390
800.000000 78.162 -149.0294
812.000000 78.186 -148.4333
825.000000 78.218 -147.6339
838.000000 78.299 -147.0165
850.000000 78.305 -146.2187
862.000000 78.377 -145.5189
875.000000 78.416 -145.0080
885.000000 78.490 -144.3597
900.000000 78.565 -143.4236
912.000000 78.643 -142.6723
925.000000 78.728 -142.1219
938.000000 78.808 -141.3696
950.000000 78.902 -140.8356
962.000000 78.970 -140.3872
975.000000 79.084 -139.6624
988.000000 79.182 -139.1281
1000.000000 79.344 -138.2622
1015.000000 79.404 -138.1077
1030.000000 79.542 -137.4741
1044.000000 79.640 -137.1165
1060.000000 79.772 -136.4429
1075.000000 79.952 -135.9799
1090.000000 80.063 -135.9563
1106.000000 80.174 -135.4392
1120.000000 80.269 -135.1339
1138.000000 80.445 -135.0651
1150.000000 80.540 -134.7079
1172.000000 80.721 -134.4882
1180.000000 80.790 -134.3967
1206.000000 80.985 -134.1077
1220.000000 81.079 -134.0066
1241.000000 81.245 -133.7987
1250.000000 81.314 -133.7179
1265.000000 81.441 -133.6380
1280.000000 81.541 -133.6134
1315.000000 81.793 -133.5333
1320.000000 81.828 -133.5262
1340.000000 81.953 -133.4296
1360.000000 82.081 -133.3553
1380.000000 82.233 -133.2517
1400.000000 82.382 -133.3115
1430.000000 82.555 -133.0947
1450.000000 82.676 -133.1848
1475.000000 82.842 -133.2294
1500.000000 83.006 -133.1292
1525.000000 83.149 -133.3252
1550.000000 83.316 -133.2738
1575.000000 83.493 -133.4156
1600.000000 83.653 -133.5376
1625.000000 83.807 -133.5898
1650.000000 83.983 -133.7479
1675.000000 84.141 -133.8786
1700.000000 84.305 -134.0533
1725.000000 84.466 -134.2331
1750.000000 84.623 -134.4894
1775.000000 84.789 -134.8320
1800.000000 84.953 -134.9711
1825.000000 85.122 -135.3310
1850.000000 85.283 -135.6543
1875.000000 85.436 -136.0852
1900.000000 85.606 -136.5608
1925.000000 85.766 -137.0164
1950.000000 85.931 -137.5032
1975.000000 86.091 -138.0390
2000.000000 86.302 -138.5002
2030.000000 86.447 -139.3302
2060.000000 86.632 -140.1749
2090.000000 86.810 -141.0794
2120.000000 86.989 -141.9725
2140.000000 87.125 -142.6709
2180.000000 87.342 -144.0053
2200.000000 87.446 -144.8253
2240.000000 87.669 -146.3632
2270.000000 87.808 -147.6066
2300.000000 87.950 -148.8882
2330.000000 88.086 -150.3016
2360.000000 88.202 -151.6980
2400.000000 88.333 -153.6420
2430.000000 88.427 -155.1468
2470.000000 88.533 -157.1970
2500.000000 88.588 -158.8111
2540.000000 88.644 -160.9139
2580.000000 88.685 -162.9625
2620.000000 88.685 -165.0592
2650.000000 88.692 -166.5791
2690.000000 88.655 -168.4811
2720.000000 88.627 -170.0343
2760.000000 88.567 -171.8408
2800.000000 88.478 -173.6224
2850.000000 88.365 -175.7456
2900.000000 88.237 -177.7256
2950.000000 88.087 -179.5060
3000.000000 87.960 178.9106
3040.000000 87.793 177.7637
3070.000000 87.698 176.9332
3110.000000 87.559 175.8553
3150.000000 87.417 174.8253
3200.000000 87.254 173.7764
3250.000000 87.081 172.9355
3300.000000 86.917 172.0843
3350.000000 86.729 171.2509
3400.000000 86.589 170.5696
3450.000000 86.443 170.0193
3500.000000 86.295 169.5100
3550.000000 86.153 168.9966
3600.000000 86.030 168.5606
3650.000000 85.901 168.2272
3700.000000 85.773 167.8874
3750.000000 85.673 167.5935
3820.000000 85.519 167.2217
3870.000000 85.417 166.9174
3950.000000 85.290 166.6109
4000.000000 85.225 165.9636
4060.000000 85.112 165.8790
4120.000000 85.008 165.4903
4180.000000 84.915 165.1089
4250.000000 84.786 164.6233
4310.000000 84.701 164.3997
4370.000000 84.625 163.9695
4440.000000 84.477 163.5620
4500.000000 84.386 163.1539
4550.000000 84.302 162.8401
4620.000000 84.160 162.4745
4680.000000 84.063 162.0295
4750.000000 83.930 161.6574
4820.000000 83.778 161.4359
4870.000000 83.691 161.2559
4940.000000 83.562 160.9886
5000.000000 83.420 161.0149
5080.000000 83.213 160.3902
