* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 12, 2025 5:19:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L flex 990
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 133.606 34.3621
20.600000 133.655 33.4981
20.900000 133.700 32.6189
21.200001 133.727 31.6544
21.400000 133.731 30.9903
21.799999 133.706 29.7029
22.000000 133.683 29.1281
22.400000 133.636 28.1946
22.700001 133.624 27.6668
23.000000 133.647 27.1952
23.299999 133.702 26.6580
23.600000 133.771 25.9841
24.000000 133.851 24.8668
24.299999 133.876 23.9689
24.700001 133.853 22.9006
25.000000 133.807 22.3121
25.400000 133.742 21.8257
25.799999 133.708 21.4910
26.200001 133.710 21.0387
26.500000 133.721 20.5365
26.900000 133.727 19.6898
27.200001 133.718 19.0187
27.600000 133.694 18.1950
28.000000 133.675 17.4777
28.500000 133.673 16.5709
29.000000 133.682 15.4443
29.500000 133.669 14.1359
30.000000 133.620 12.9318
30.400000 133.572 12.2184
30.700001 133.542 11.8469
31.100000 133.522 11.4915
31.500000 133.523 11.1708
32.000000 133.540 10.6526
32.500000 133.555 9.9521
33.000000 133.564 9.1276
33.500000 133.573 8.2278
34.000000 133.577 7.2579
34.500000 133.558 6.2610
35.000000 133.502 5.3584
35.500000 133.422 4.6651
36.000000 133.347 4.1488
36.500000 133.297 3.6591
37.000000 133.267 3.0864
37.500000 133.245 2.4611
38.200001 133.211 1.6397
38.700001 133.179 1.1103
39.500000 133.114 0.3084
40.000000 133.079 -0.2132
40.599998 133.055 -0.9687
41.200001 133.026 -1.8321
41.799999 132.977 -2.5110
42.500000 132.937 -2.9399
43.099998 132.933 -3.4738
43.700001 132.887 -4.4149
44.400002 132.743 -5.3947
45.000000 132.638 -5.6510
45.500000 132.632 -5.7812
46.200001 132.681 -6.5351
46.799999 132.659 -7.5251
47.500000 132.566 -8.2218
48.200001 132.518 -8.4523
48.700001 132.519 -8.7217
49.400002 132.512 -9.3339
50.000000 132.499 -9.8370
50.799999 132.508 -10.6166
51.500000 132.484 -11.5296
52.200001 132.399 -12.1109
53.000000 132.345 -12.2404
53.799999 132.332 -12.7357
54.500000 132.233 -13.2875
55.200001 132.098 -13.2571
56.000000 132.034 -13.1661
57.000000 131.982 -14.3105
58.000000 131.919 -15.5917
59.000000 131.956 -16.4798
60.000000 131.966 -16.9092
60.799999 131.960 -17.0981
61.500000 131.922 -17.5039
62.200001 131.843 -17.8789
63.000000 131.763 -18.1616
64.000000 131.658 -18.9997
65.000000 131.471 -20.0112
66.000000 131.383 -20.5605
67.000000 131.430 -21.2469
68.000000 131.378 -21.6491
69.000000 131.308 -21.3713
70.000000 131.275 -22.0511
71.000000 131.153 -22.6783
72.000000 131.117 -22.4534
73.000000 131.058 -22.8274
74.000000 130.919 -23.2683
75.000000 130.867 -23.5883
76.199997 130.764 -24.0340
77.500000 130.613 -24.4548
78.800003 130.475 -25.4563
80.000000 130.457 -25.4319
81.199997 130.322 -25.9483
82.500000 130.254 -25.7009
83.800003 130.128 -26.4200
85.000000 130.107 -26.1692
86.199997 129.994 -26.8288
87.500000 129.940 -26.6323
88.500000 129.855 -27.3241
90.000000 129.869 -27.3660
91.199997 129.731 -28.6022
92.500000 129.629 -27.7027
93.800003 129.627 -29.3155
95.000000 129.434 -29.0952
96.199997 129.581 -29.3475
97.500000 129.406 -29.4924
98.800003 129.458 -28.9685
100.000000 129.360 -30.3623
101.500000 129.220 -28.9938
103.000000 129.262 -30.1185
104.400002 129.006 -30.1572
106.000000 129.127 -29.9708
107.500000 128.869 -30.8303
109.000000 128.834 -29.9316
110.599998 128.803 -31.1384
112.000000 128.612 -30.7534
113.800003 128.696 -30.4427
115.000000 128.574 -31.4778
117.199997 128.369 -30.6631
118.000000 128.406 -30.6384
120.599998 128.176 -31.0768
122.000000 128.110 -30.4157
124.099998 128.094 -30.8631
125.000000 127.999 -31.1976
126.500000 127.898 -31.0956
128.000000 127.901 -30.8585
131.500000 127.776 -31.3822
132.000000 127.742 -31.2406
134.000000 127.666 -30.8717
136.000000 127.628 -30.9694
138.000000 127.503 -31.5038
140.000000 127.422 -31.1526
143.000000 127.342 -30.5908
145.000000 127.280 -30.5246
147.500000 127.198 -30.6918
150.000000 127.026 -30.5641
152.500000 126.923 -30.2508
155.000000 126.853 -29.8926
157.500000 126.794 -29.7359
160.000000 126.781 -29.6721
162.500000 126.749 -29.6880
165.000000 126.673 -29.3212
167.500000 126.573 -29.2227
170.000000 126.498 -28.9915
172.500000 126.447 -28.6433
175.000000 126.334 -28.5085
177.500000 126.259 -28.3614
180.000000 126.140 -28.4475
182.500000 126.069 -28.1780
185.000000 125.948 -28.0532
187.500000 125.909 -27.7550
190.000000 125.830 -27.3911
192.500000 125.794 -26.8020
195.000000 125.688 -26.4545
197.500000 125.622 -26.4457
200.000000 125.630 -26.4127
203.000000 125.559 -25.4707
206.000000 125.454 -25.8819
209.000000 125.598 -25.8458
212.000000 125.501 -25.2497
214.000000 125.479 -25.5360
218.000000 125.464 -24.5081
220.000000 125.431 -24.8651
224.000000 125.394 -24.0467
227.000000 125.375 -24.0295
230.000000 125.281 -23.6116
233.000000 125.269 -23.2189
236.000000 125.192 -22.9560
240.000000 125.117 -22.3878
243.000000 125.067 -22.1396
247.000000 124.995 -21.9205
250.000000 124.928 -21.5249
254.000000 124.846 -20.9651
258.000000 124.780 -20.6281
262.000000 124.750 -20.3318
265.000000 124.725 -19.8935
269.000000 124.688 -19.6141
272.000000 124.660 -19.2722
276.000000 124.620 -19.0518
280.000000 124.595 -18.6493
285.000000 124.559 -18.2156
290.000000 124.529 -17.6606
295.000000 124.492 -17.2248
300.000000 124.441 -16.9475
304.000000 124.406 -16.4899
307.000000 124.388 -16.3035
311.000000 124.338 -16.0219
315.000000 124.292 -15.5691
320.000000 124.222 -15.0243
325.000000 124.160 -14.5126
330.000000 124.112 -14.0231
335.000000 124.090 -13.7120
340.000000 124.063 -13.4053
345.000000 124.034 -13.0664
350.000000 124.025 -12.7735
355.000000 124.015 -12.3090
360.000000 124.000 -11.9048
365.000000 123.972 -11.5125
370.000000 123.947 -11.1600
375.000000 123.937 -10.7169
382.000000 123.904 -10.2785
387.000000 123.893 -9.9421
395.000000 123.867 -9.2895
400.000000 123.868 -9.0133
406.000000 123.875 -8.7338
412.000000 123.859 -8.2057
418.000000 123.852 -7.8921
425.000000 123.825 -7.4507
431.000000 123.818 -7.0229
437.000000 123.791 -6.5636
444.000000 123.742 -6.1054
450.000000 123.725 -5.5941
455.000000 123.684 -5.3586
462.000000 123.653 -4.8921
468.000000 123.636 -4.3138
475.000000 123.619 -3.8959
482.000000 123.614 -3.5170
487.000000 123.611 -3.2577
494.000000 123.626 -2.7033
500.000000 123.622 -2.5783
508.000000 123.629 -2.1000
515.000000 123.656 -1.3295
522.000000 123.600 -1.0654
530.000000 123.629 -0.7119
538.000000 123.623 -0.2005
545.000000 123.584 0.3607
552.000000 123.576 0.8926
560.000000 123.560 1.3990
570.000000 123.532 2.2913
580.000000 123.536 2.7126
590.000000 123.528 3.3782
600.000000 123.548 3.9995
608.000000 123.575 4.4950
615.000000 123.553 4.8894
622.000000 123.545 5.4649
630.000000 123.544 6.0816
640.000000 123.556 6.7932
650.000000 123.554 7.4620
660.000000 123.552 7.8120
670.000000 123.537 8.5640
680.000000 123.511 9.3566
690.000000 123.525 10.0534
700.000000 123.534 10.6744
710.000000 123.557 11.2650
720.000000 123.601 11.7369
730.000000 123.662 12.4619
740.000000 123.642 13.0210
750.000000 123.717 13.8210
762.000000 123.713 14.4708
775.000000 123.777 15.3055
788.000000 123.798 16.0975
800.000000 123.843 16.9392
812.000000 123.917 17.7726
825.000000 123.989 18.3786
838.000000 124.037 19.1950
850.000000 124.086 20.0129
862.000000 124.132 20.6829
875.000000 124.264 21.4312
885.000000 124.228 21.8939
900.000000 124.379 22.6591
912.000000 124.362 23.3995
925.000000 124.444 24.2250
938.000000 124.460 24.8133
950.000000 124.534 25.5328
962.000000 124.585 25.9099
975.000000 124.616 26.3330
988.000000 124.688 27.2593
1000.000000 124.663 27.5716
1015.000000 124.836 28.4007
1030.000000 124.916 28.6160
1044.000000 125.112 29.3210
1060.000000 125.315 29.2899
1075.000000 125.511 29.3992
1090.000000 125.685 29.8542
1106.000000 125.800 30.5639
1120.000000 125.903 30.5766
1138.000000 126.065 30.7239
1150.000000 126.162 31.0741
1172.000000 126.344 31.0935
1180.000000 126.404 31.1103
1206.000000 126.630 31.2125
1220.000000 126.747 31.2682
1241.000000 126.919 31.4115
1250.000000 126.956 31.3111
1265.000000 127.072 31.2848
1280.000000 127.163 31.2477
1315.000000 127.345 31.2062
1320.000000 127.371 31.2341
1340.000000 127.479 31.1934
1360.000000 127.572 31.1543
1380.000000 127.665 31.0251
1400.000000 127.760 31.0101
1430.000000 127.892 30.8920
1450.000000 127.978 30.8463
1475.000000 128.091 30.7277
1500.000000 128.205 30.6118
1525.000000 128.307 30.5129
1550.000000 128.412 30.4102
1575.000000 128.507 30.3160
1600.000000 128.602 30.2215
1625.000000 128.687 30.0520
1650.000000 128.774 29.9034
1675.000000 128.845 29.7873
1700.000000 128.914 29.6564
1725.000000 128.970 29.4140
1750.000000 129.040 29.3213
1775.000000 129.117 29.1667
1800.000000 129.206 28.8494
1825.000000 129.296 28.6476
1850.000000 129.398 28.4288
1875.000000 129.502 28.1493
1900.000000 129.604 27.8006
1925.000000 129.682 27.5187
1950.000000 129.760 27.1811
1975.000000 129.821 26.8476
2000.000000 129.876 26.4798
2030.000000 129.956 26.0652
2060.000000 130.021 25.7082
2090.000000 130.075 25.1989
2120.000000 130.146 24.6884
2140.000000 130.196 24.3604
2180.000000 130.296 23.6646
2200.000000 130.346 23.3083
2240.000000 130.452 22.5783
2270.000000 130.513 22.0291
2300.000000 130.550 21.5716
2330.000000 130.593 21.0831
2360.000000 130.635 20.6024
2400.000000 130.664 19.8164
2430.000000 130.673 19.3823
2470.000000 130.712 18.6685
2500.000000 130.761 18.0607
2540.000000 130.823 17.2244
2580.000000 130.891 16.4055
2620.000000 130.954 15.5451
2650.000000 130.982 14.8096
2690.000000 131.004 13.8595
2720.000000 131.018 13.1076
2760.000000 131.004 12.0317
2800.000000 130.992 11.0149
2850.000000 130.935 9.8638
2900.000000 130.839 9.1330
2950.000000 130.763 8.6181
3000.000000 130.698 8.3152
3040.000000 130.674 8.0102
3070.000000 130.650 7.8355
3110.000000 130.604 7.6689
3150.000000 130.564 7.7044
3200.000000 130.534 7.4503
3250.000000 130.509 7.4261
3300.000000 130.502 7.2166
3350.000000 130.539 7.1402
3400.000000 130.573 6.8507
3450.000000 130.608 6.6818
3500.000000 130.660 6.3247
3550.000000 130.738 5.9392
3600.000000 130.804 5.3908
3650.000000 130.888 4.7545
3700.000000 130.974 3.9222
3750.000000 131.053 2.9666
3820.000000 131.132 1.6351
3870.000000 131.128 0.5801
3950.000000 131.103 -0.9550
4000.000000 131.090 -1.9343
4060.000000 131.035 -2.6618
4120.000000 131.138 -2.3430
4180.000000 131.384 -4.7054
4250.000000 131.368 -7.6426
4310.000000 131.299 -9.4997
4370.000000 131.236 -11.3248
4440.000000 131.131 -13.5846
4500.000000 130.988 -15.4085
4550.000000 130.833 -17.0036
4620.000000 130.580 -19.0802
4680.000000 130.298 -20.6297
4750.000000 129.941 -22.1705
4820.000000 129.591 -23.3786
4870.000000 129.315 -24.0937
4940.000000 128.912 -24.7006
5000.000000 128.565 -24.9752
5080.000000 128.141 -25.0610
5150.000000 127.782 -24.7792
5220.000000 127.445 -24.2616
5300.000000 127.034 -23.2520
5380.000000 126.684 -22.1428
5450.000000 126.408 -20.9430
5520.000000 126.154 -19.6643
5600.000000 125.847 -17.9400
5700.000000 125.510 -15.6751
5800.000000 125.256 -13.6346
5900.000000 125.039 -11.5055
