* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 26, 2025 11:35:39 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Fola Treble 1123
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 120.883 -125.8626
20.600000 120.930 -126.6095
20.900000 120.969 -127.2785
21.200001 121.011 -127.9490
21.400000 121.040 -128.4036
21.799999 121.105 -129.3293
22.000000 121.139 -129.7953
22.400000 121.207 -130.7139
22.700001 121.257 -131.3730
23.000000 121.304 -131.9943
23.299999 121.347 -132.5766
23.600000 121.386 -133.1264
24.000000 121.434 -133.8283
24.299999 121.467 -134.3517
24.700001 121.508 -135.0679
25.000000 121.537 -135.6228
25.400000 121.572 -136.3691
25.799999 121.605 -137.0822
26.200001 121.641 -137.7301
26.500000 121.672 -138.1797
26.900000 121.719 -138.7675
27.200001 121.755 -139.2285
27.600000 121.794 -139.8818
28.000000 121.819 -140.5430
28.500000 121.844 -141.3040
29.000000 121.884 -142.0047
29.500000 121.945 -142.7562
30.000000 121.996 -143.5521
30.400000 122.011 -144.0623
30.700001 122.011 -144.2803
31.100000 122.017 -144.3517
31.500000 122.048 -144.3419
32.000000 122.121 -144.6224
32.500000 122.180 -145.4601
33.000000 122.183 -146.5969
33.500000 122.150 -147.5786
34.000000 122.141 -148.2103
34.500000 122.182 -148.6805
35.000000 122.242 -149.1957
35.500000 122.279 -149.7321
36.000000 122.288 -150.1718
36.500000 122.292 -150.5474
37.000000 122.306 -151.0101
37.500000 122.322 -151.6025
38.200001 122.336 -152.4128
38.700001 122.354 -152.8522
39.500000 122.398 -153.4572
40.000000 122.417 -153.8460
40.599998 122.425 -154.2906
41.200001 122.432 -154.7203
41.799999 122.444 -155.2000
42.500000 122.453 -155.8062
43.099998 122.454 -156.2785
43.700001 122.458 -156.6892
44.400002 122.472 -157.1514
45.000000 122.488 -157.5848
45.500000 122.502 -157.9796
46.200001 122.515 -158.5386
46.799999 122.522 -158.9686
47.500000 122.533 -159.4097
48.200001 122.543 -159.8264
48.700001 122.547 -160.1073
49.400002 122.553 -160.4710
50.000000 122.562 -160.7936
50.799999 122.572 -161.2762
51.500000 122.573 -161.6952
52.200001 122.573 -162.0901
53.000000 122.576 -162.5615
53.799999 122.579 -163.0340
54.500000 122.588 -163.4107
55.200001 122.601 -163.7838
56.000000 122.603 -164.2133
57.000000 122.594 -164.6643
58.000000 122.603 -165.0871
59.000000 122.618 -165.5465
60.000000 122.626 -165.9839
60.799999 122.625 -166.3783
61.500000 122.619 -166.7246
62.200001 122.616 -167.0098
63.000000 122.620 -167.2984
64.000000 122.620 -167.6986
65.000000 122.617 -168.1283
66.000000 122.621 -168.5808
67.000000 122.616 -168.9545
68.000000 122.601 -169.2336
69.000000 122.599 -169.6031
70.000000 122.601 -170.0690
71.000000 122.598 -170.3650
72.000000 122.599 -170.7907
73.000000 122.564 -171.3104
74.000000 122.567 -171.5149
75.000000 122.592 -171.8236
76.199997 122.563 -172.2064
77.500000 122.544 -172.6112
78.800003 122.577 -173.0035
80.000000 122.512 -173.2555
81.199997 122.559 -173.3747
82.500000 122.580 -174.3047
83.800003 122.523 -174.4232
85.000000 122.533 -174.5483
86.199997 122.494 -175.2384
87.500000 122.432 -175.3235
88.500000 122.465 -175.6689
90.000000 122.469 -176.0364
91.199997 122.448 -176.2529
92.500000 122.433 -176.5631
93.800003 122.433 -176.9111
95.000000 122.417 -177.1173
96.199997 122.410 -177.3907
97.500000 122.372 -177.7432
98.800003 122.382 -177.9098
100.000000 122.349 -178.4204
101.500000 122.319 -178.4471
103.000000 122.305 -178.7746
104.400002 122.294 -179.1682
106.000000 122.315 -179.3886
107.500000 122.262 -179.9454
109.000000 122.255 -179.8944
110.599998 122.215 179.8258
112.000000 122.207 179.5850
113.800003 122.212 179.1134
115.000000 122.141 179.0352
117.199997 122.188 178.4687
118.000000 122.139 178.3282
120.599998 122.007 178.3036
122.000000 122.067 177.5230
124.099998 122.057 177.5948
125.000000 122.041 177.5453
126.500000 122.055 176.9902
128.000000 121.954 177.1426
131.500000 121.922 176.3428
132.000000 121.899 176.4311
134.000000 121.939 176.2690
136.000000 121.895 176.2220
138.000000 121.865 175.5065
140.000000 121.819 175.6870
143.000000 121.771 175.3093
145.000000 121.774 174.9164
147.500000 121.717 174.7476
150.000000 121.666 174.4852
152.500000 121.632 174.3518
155.000000 121.583 174.0690
157.500000 121.579 173.8325
160.000000 121.515 173.5939
162.500000 121.497 173.2776
165.000000 121.433 173.1141
167.500000 121.425 173.1885
170.000000 121.359 172.2888
172.500000 121.367 172.9765
175.000000 121.272 172.0751
177.500000 121.237 172.1640
180.000000 121.261 172.3864
182.500000 121.166 171.8011
185.000000 121.135 171.9104
187.500000 121.078 171.8263
190.000000 121.047 171.5642
192.500000 120.989 171.5293
195.000000 120.957 171.5328
197.500000 120.902 171.1688
200.000000 120.890 170.8852
203.000000 120.854 170.8485
206.000000 120.784 171.0002
209.000000 120.715 170.9721
212.000000 120.674 170.7887
214.000000 120.623 170.6819
218.000000 120.550 170.5989
220.000000 120.511 170.5707
224.000000 120.441 170.3891
227.000000 120.355 170.8636
230.000000 120.286 170.7488
233.000000 120.212 171.1701
236.000000 120.174 171.1916
240.000000 120.195 172.6545
243.000000 120.142 172.2510
247.000000 120.186 172.2466
250.000000 120.180 172.4012
254.000000 120.194 172.0909
258.000000 120.165 171.9930
262.000000 120.157 171.6749
265.000000 120.098 171.5720
269.000000 120.082 171.7508
272.000000 120.039 171.4157
276.000000 120.001 171.4172
280.000000 119.937 171.3806
285.000000 119.880 171.3915
290.000000 119.815 171.4033
295.000000 119.777 171.2955
300.000000 119.693 171.3907
304.000000 119.654 171.3675
307.000000 119.611 171.4138
311.000000 119.582 171.5811
315.000000 119.535 171.6527
320.000000 119.491 171.6429
325.000000 119.439 171.6971
330.000000 119.366 171.9788
335.000000 119.339 172.0885
340.000000 119.284 172.4536
345.000000 119.196 172.4751
350.000000 119.198 172.3383
355.000000 119.111 172.8570
360.000000 119.103 172.7282
365.000000 118.998 173.0556
370.000000 118.983 173.4025
375.000000 118.973 173.3038
382.000000 118.831 173.6976
387.000000 118.826 173.8346
395.000000 118.743 174.0939
400.000000 118.722 174.5424
406.000000 118.722 174.7178
412.000000 118.688 174.9671
418.000000 118.594 174.9556
425.000000 118.509 175.5627
431.000000 118.483 175.7111
437.000000 118.441 175.9359
444.000000 118.393 176.4867
450.000000 118.343 176.6501
455.000000 118.331 177.0645
462.000000 118.282 177.2394
468.000000 118.268 177.5605
475.000000 118.181 178.2045
482.000000 118.130 178.8178
487.000000 118.079 178.9726
494.000000 118.009 178.7402
500.000000 118.076 179.4657
508.000000 118.045 179.9550
515.000000 117.984 -179.7812
522.000000 118.011 -179.7781
530.000000 117.929 -179.3341
538.000000 117.838 -178.4268
545.000000 117.818 -178.2195
552.000000 117.766 -178.2279
560.000000 117.771 -177.3963
570.000000 117.732 -176.6857
580.000000 117.685 -176.3370
590.000000 117.626 -175.7171
600.000000 117.632 -174.5723
608.000000 117.561 -174.6722
615.000000 117.568 -173.5183
622.000000 117.506 -173.5593
630.000000 117.533 -172.9457
640.000000 117.502 -172.2081
650.000000 117.464 -171.5923
660.000000 117.401 -170.7712
670.000000 117.432 -170.1417
680.000000 117.398 -169.1937
690.000000 117.384 -168.6318
700.000000 117.377 -167.8159
710.000000 117.353 -166.9906
720.000000 117.375 -166.2213
730.000000 117.371 -165.5022
740.000000 117.400 -164.8704
750.000000 117.430 -164.2290
762.000000 117.476 -163.3656
775.000000 117.497 -162.3596
788.000000 117.537 -161.4500
800.000000 117.559 -160.5841
812.000000 117.581 -159.9163
825.000000 117.656 -159.0591
838.000000 117.709 -158.1874
850.000000 117.744 -157.5119
862.000000 117.787 -156.5730
875.000000 117.862 -155.8597
885.000000 117.896 -155.2088
900.000000 117.987 -154.2522
912.000000 118.066 -153.6615
925.000000 118.143 -152.8450
938.000000 118.218 -152.1728
950.000000 118.299 -151.5397
962.000000 118.370 -150.8311
975.000000 118.474 -150.1850
988.000000 118.573 -149.5832
1000.000000 118.725 -148.8501
1015.000000 118.793 -148.3935
1030.000000 118.902 -147.7541
1044.000000 119.031 -147.2410
1060.000000 119.145 -146.8774
1075.000000 119.275 -146.3570
1090.000000 119.391 -145.9925
1106.000000 119.528 -145.5442
1120.000000 119.633 -145.2619
1138.000000 119.777 -145.0427
1150.000000 119.856 -144.8204
1172.000000 120.039 -144.5217
1180.000000 120.093 -144.4895
1206.000000 120.253 -144.0614
1220.000000 120.378 -144.0809
1241.000000 120.522 -143.8353
1250.000000 120.575 -143.8958
1265.000000 120.656 -143.7016
1280.000000 120.758 -143.6391
1315.000000 120.948 -143.6146
1320.000000 120.981 -143.6080
1340.000000 121.079 -143.4540
1360.000000 121.191 -143.2936
1380.000000 121.300 -143.2730
1400.000000 121.391 -143.2851
1430.000000 121.548 -143.1776
1450.000000 121.640 -143.1324
1475.000000 121.755 -143.0956
1500.000000 121.876 -142.8849
1525.000000 122.005 -142.8839
1550.000000 122.102 -142.6912
1575.000000 122.232 -142.6314
1600.000000 122.334 -142.5028
1625.000000 122.472 -142.5130
1650.000000 122.576 -142.4152
1675.000000 122.703 -142.4088
1700.000000 122.813 -142.2918
1725.000000 122.955 -142.2696
1750.000000 123.071 -142.3632
1775.000000 123.188 -142.2093
1800.000000 123.326 -142.2448
1825.000000 123.465 -142.2043
1850.000000 123.595 -142.2889
1875.000000 123.739 -142.3911
1900.000000 123.876 -142.4746
1925.000000 124.021 -142.6322
1950.000000 124.155 -142.9186
1975.000000 124.309 -143.0376
2000.000000 124.464 -143.6743
2030.000000 124.611 -143.8281
2060.000000 124.775 -144.2077
2090.000000 124.937 -144.6697
2120.000000 125.089 -145.2575
2140.000000 125.207 -145.5886
2180.000000 125.411 -146.4993
2200.000000 125.506 -146.9293
2240.000000 125.691 -147.9621
2270.000000 125.830 -148.7910
2300.000000 125.956 -149.5862
2330.000000 126.077 -150.4402
2360.000000 126.198 -151.3502
2400.000000 126.342 -152.5413
2430.000000 126.435 -153.4619
2470.000000 126.562 -154.7835
2500.000000 126.636 -155.7196
2540.000000 126.754 -157.1055
2580.000000 126.838 -158.3101
2620.000000 126.910 -159.7168
2650.000000 126.973 -160.7323
2690.000000 127.050 -162.1756
2720.000000 127.083 -163.2014
2760.000000 127.126 -164.5737
2800.000000 127.151 -165.9305
2850.000000 127.188 -167.6382
2900.000000 127.201 -169.3685
2950.000000 127.190 -171.0995
3000.000000 127.152 -172.8015
3040.000000 127.147 -173.9792
3070.000000 127.117 -174.9786
3110.000000 127.085 -176.2287
3150.000000 127.033 -177.4671
3200.000000 126.973 -178.9298
3250.000000 126.896 179.7484
3300.000000 126.812 178.3849
3350.000000 126.717 177.0688
3400.000000 126.615 175.8445
3450.000000 126.507 174.8025
3500.000000 126.407 173.6381
3550.000000 126.293 172.5347
3600.000000 126.163 171.6441
3650.000000 126.049 170.6979
3700.000000 125.920 169.8289
3750.000000 125.788 168.8694
3820.000000 125.616 167.8710
3870.000000 125.493 167.2309
3950.000000 125.281 166.1976
4000.000000 125.160 165.7387
4060.000000 124.989 164.9172
4120.000000 124.822 164.3529
4180.000000 124.661 163.7057
4250.000000 124.465 163.1445
4310.000000 124.309 162.8017
4370.000000 124.139 162.4319
4440.000000 123.938 162.1330
4500.000000 123.796 161.9438
4550.000000 123.649 161.7755
4620.000000 123.483 161.7886
4680.000000 123.331 161.6525
4750.000000 123.161 161.6961
4820.000000 122.985 161.4535
4870.000000 122.881 161.4404
4940.000000 122.703 161.3924
5000.000000 122.512 161.7603
5080.000000 122.340 161.7196
5150.000000 122.166 161.8540
5220.000000 121.977 162.2004
5300.000000 121.789 162.6043
5380.000000 121.591 163.4459
5450.000000 121.421 163.7198
5520.000000 121.228 164.2449
5600.000000 121.080 165.1760
