* Measurement data measured by REW V5.31.1
* Source: Microphone (5- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jul 18, 2025 12:43:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L PURE 808
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 76.658 -99.3176
20.600000 76.766 -100.2502
20.900000 76.870 -101.1090
21.200001 76.977 -101.9804
21.400000 77.049 -102.5686
21.799999 77.191 -103.7445
22.000000 77.260 -104.3188
22.400000 77.390 -105.4093
22.700001 77.482 -106.1648
23.000000 77.573 -106.8755
23.299999 77.663 -107.5683
23.600000 77.752 -108.2677
24.000000 77.868 -109.2342
24.299999 77.951 -109.9789
24.700001 78.055 -110.9644
25.000000 78.130 -111.6714
25.400000 78.231 -112.5569
25.799999 78.336 -113.3969
26.200001 78.440 -114.2299
26.500000 78.516 -114.8656
26.900000 78.609 -115.7291
27.200001 78.673 -116.3818
27.600000 78.754 -117.2518
28.000000 78.834 -118.1210
28.500000 78.932 -119.2014
29.000000 79.025 -120.2382
29.500000 79.115 -121.1916
30.000000 79.207 -122.0874
30.400000 79.280 -122.8199
30.700001 79.331 -123.3987
31.100000 79.390 -124.1950
31.500000 79.439 -124.9728
32.000000 79.497 -125.8562
32.500000 79.568 -126.6662
33.000000 79.649 -127.5100
33.500000 79.720 -128.4275
34.000000 79.770 -129.3307
34.500000 79.809 -130.1225
35.000000 79.858 -130.8355
35.500000 79.924 -131.5950
36.000000 79.992 -132.4482
36.500000 80.048 -133.3083
37.000000 80.096 -134.0728
37.500000 80.148 -134.7582
38.200001 80.227 -135.7677
38.700001 80.272 -136.5596
39.500000 80.319 -137.7548
40.000000 80.350 -138.4140
40.599998 80.397 -139.1902
41.200001 80.444 -140.0081
41.799999 80.481 -140.8382
42.500000 80.514 -141.7456
43.099998 80.545 -142.4450
43.700001 80.586 -143.1293
44.400002 80.639 -144.0195
45.000000 80.672 -144.8556
45.500000 80.686 -145.5169
46.200001 80.706 -146.3127
46.799999 80.736 -146.9296
47.500000 80.777 -147.6852
48.200001 80.807 -148.5032
48.700001 80.815 -149.1073
49.400002 80.810 -149.9214
50.000000 80.804 -150.5316
50.799999 80.821 -151.2559
51.500000 80.854 -151.9304
52.200001 80.878 -152.6582
53.000000 80.886 -153.4544
53.799999 80.899 -154.1899
54.500000 80.926 -154.8712
55.200001 80.952 -155.6222
56.000000 80.954 -156.4023
57.000000 80.946 -157.1279
58.000000 80.951 -157.9517
59.000000 80.942 -158.8363
60.000000 80.931 -159.5698
60.799999 80.928 -160.1253
61.500000 80.929 -160.6651
62.200001 80.926 -161.2535
63.000000 80.917 -161.8737
64.000000 80.912 -162.5768
65.000000 80.900 -163.2984
66.000000 80.890 -163.9657
67.000000 80.884 -164.6199
68.000000 80.876 -165.3016
69.000000 80.857 -166.0834
70.000000 80.832 -166.7114
71.000000 80.826 -167.2344
72.000000 80.804 -167.7858
73.000000 80.778 -168.3016
74.000000 80.763 -168.8763
75.000000 80.745 -169.5000
76.199997 80.715 -170.1720
77.500000 80.691 -170.8689
78.800003 80.651 -171.4635
80.000000 80.622 -172.0573
81.199997 80.596 -172.6651
82.500000 80.565 -173.2581
83.800003 80.527 -173.7762
85.000000 80.494 -174.3015
86.199997 80.447 -174.8360
87.500000 80.404 -175.3154
88.500000 80.392 -175.6909
90.000000 80.340 -176.3485
91.199997 80.298 -176.7352
92.500000 80.267 -177.1829
93.800003 80.220 -177.6204
95.000000 80.178 -178.0219
96.199997 80.138 -178.4918
97.500000 80.080 -178.8753
98.800003 80.043 -179.2147
100.000000 80.012 -179.5864
101.500000 79.942 179.9493
103.000000 79.910 179.5656
104.400002 79.853 179.2269
106.000000 79.793 178.8609
107.500000 79.749 178.5284
109.000000 79.697 178.0588
110.599998 79.638 177.8476
112.000000 79.581 177.6008
113.800003 79.548 177.0854
115.000000 79.463 177.1174
117.199997 79.402 176.4734
118.000000 79.459 176.6597
120.599998 79.052 177.9261
122.000000 79.218 175.0814
124.099998 79.159 175.5525
125.000000 79.081 175.3411
126.500000 79.075 175.1447
128.000000 79.027 175.0177
131.500000 78.878 174.7195
132.000000 78.864 174.6665
134.000000 78.798 174.5111
136.000000 78.732 174.3184
138.000000 78.667 174.2169
140.000000 78.604 174.0453
143.000000 78.494 173.9117
145.000000 78.433 173.9055
147.500000 78.345 173.7675
150.000000 78.277 173.8250
152.500000 78.189 173.7003
155.000000 78.132 173.8725
157.500000 78.047 173.7416
160.000000 77.958 173.7313
162.500000 77.883 173.8141
165.000000 77.822 173.7449
167.500000 77.756 173.8596
170.000000 77.683 174.0002
172.500000 77.622 174.0960
175.000000 77.572 174.2549
177.500000 77.479 174.4464
180.000000 77.460 174.6656
182.500000 77.374 174.8460
185.000000 77.354 174.9702
187.500000 77.273 175.2136
190.000000 77.226 175.5400
192.500000 77.176 175.5929
195.000000 77.124 175.9646
197.500000 77.077 176.0043
200.000000 77.045 176.3885
203.000000 76.984 176.6819
206.000000 76.958 176.8657
209.000000 76.906 177.2290
212.000000 76.855 177.5323
214.000000 76.832 177.7549
218.000000 76.757 178.1372
220.000000 76.746 178.3328
224.000000 76.707 178.8431
227.000000 76.693 179.1396
230.000000 76.659 179.5537
233.000000 76.642 179.9758
236.000000 76.597 -179.8219
240.000000 76.662 -179.6910
243.000000 76.564 -179.0722
247.000000 76.555 -178.7424
250.000000 76.524 -178.4568
254.000000 76.506 -177.9423
258.000000 76.498 -177.4211
262.000000 76.471 -176.9755
265.000000 76.453 -176.5202
269.000000 76.477 -175.9398
272.000000 76.451 -175.6307
276.000000 76.499 -174.9466
280.000000 76.532 -174.8003
285.000000 76.509 -174.2698
290.000000 76.543 -173.5841
295.000000 76.597 -173.1622
300.000000 76.680 -172.7561
304.000000 76.694 -172.6045
307.000000 76.719 -172.5864
311.000000 76.721 -172.3393
315.000000 76.742 -172.1866
320.000000 76.806 -172.0358
325.000000 76.834 -171.8615
330.000000 76.820 -171.7422
335.000000 76.876 -171.6519
340.000000 76.895 -171.5000
345.000000 76.897 -171.2749
350.000000 76.908 -171.1822
355.000000 76.916 -171.0930
360.000000 76.911 -170.9780
365.000000 76.935 -170.8874
370.000000 76.945 -170.6828
375.000000 76.956 -170.5233
382.000000 76.985 -170.3968
387.000000 76.981 -170.1158
395.000000 76.995 -170.0440
400.000000 76.992 -169.9473
406.000000 77.006 -169.7068
412.000000 77.006 -169.5598
418.000000 77.023 -169.2776
425.000000 77.027 -169.2010
431.000000 77.023 -169.0219
437.000000 77.026 -168.9023
444.000000 77.060 -168.6452
450.000000 77.037 -168.5491
455.000000 77.044 -168.4275
462.000000 77.059 -168.1978
468.000000 77.056 -168.0560
475.000000 77.057 -167.8993
482.000000 77.067 -167.6020
487.000000 77.051 -167.5894
494.000000 77.052 -167.2895
500.000000 77.056 -167.2012
508.000000 77.063 -166.8961
515.000000 77.049 -166.7251
522.000000 77.064 -166.3879
530.000000 77.069 -166.2593
538.000000 77.043 -166.0583
545.000000 77.058 -165.7831
552.000000 77.067 -165.5517
560.000000 77.055 -165.2347
570.000000 77.062 -164.8272
580.000000 77.066 -164.3599
590.000000 77.087 -164.1128
600.000000 77.092 -163.7784
608.000000 77.062 -163.4851
615.000000 77.088 -163.1202
622.000000 77.084 -162.9575
630.000000 77.084 -162.6227
640.000000 77.092 -162.0547
650.000000 77.098 -161.8488
660.000000 77.088 -161.4361
670.000000 77.086 -160.9687
680.000000 77.088 -160.4461
690.000000 77.081 -159.8911
700.000000 77.105 -159.3680
710.000000 77.128 -158.9554
720.000000 77.142 -158.2645
730.000000 77.166 -157.8309
740.000000 77.196 -157.4035
750.000000 77.213 -156.7267
762.000000 77.254 -156.1783
775.000000 77.294 -155.5327
788.000000 77.353 -154.8178
800.000000 77.390 -154.3054
812.000000 77.436 -153.4810
825.000000 77.512 -152.8967
838.000000 77.568 -152.3270
850.000000 77.637 -151.6612
862.000000 77.664 -151.2282
875.000000 77.774 -150.4935
885.000000 77.829 -149.9648
900.000000 77.909 -149.4515
912.000000 78.017 -148.7468
925.000000 78.105 -148.5331
938.000000 78.217 -147.8132
950.000000 78.288 -147.3025
962.000000 78.403 -146.8772
975.000000 78.490 -146.4965
988.000000 78.591 -145.9593
1000.000000 78.788 -145.4223
1015.000000 78.831 -145.3076
1030.000000 78.955 -145.1316
1044.000000 79.087 -144.8440
1060.000000 79.202 -144.4949
1075.000000 79.356 -144.3474
1090.000000 79.470 -144.1542
1106.000000 79.617 -143.9890
1120.000000 79.722 -144.0523
1138.000000 79.875 -144.0121
1150.000000 79.953 -143.8453
1172.000000 80.140 -144.0515
1180.000000 80.189 -144.0290
1206.000000 80.358 -144.1835
1220.000000 80.455 -144.2580
1241.000000 80.605 -144.4627
1250.000000 80.632 -144.5300
1265.000000 80.736 -144.7427
1280.000000 80.825 -144.9048
1315.000000 81.010 -145.2629
1320.000000 81.017 -145.1973
1340.000000 81.103 -145.4821
1360.000000 81.197 -145.5570
1380.000000 81.280 -145.7358
1400.000000 81.355 -145.8307
1430.000000 81.485 -146.1192
1450.000000 81.558 -146.2444
1475.000000 81.639 -146.2147
1500.000000 81.741 -146.2360
1525.000000 81.846 -146.2489
1550.000000 81.943 -146.2943
1575.000000 82.035 -146.1172
1600.000000 82.136 -146.1787
1625.000000 82.253 -146.1346
1650.000000 82.365 -146.0805
1675.000000 82.490 -146.0809
1700.000000 82.617 -146.0751
1725.000000 82.740 -146.0088
1750.000000 82.879 -146.2753
1775.000000 83.000 -146.2225
1800.000000 83.138 -146.3095
1825.000000 83.281 -146.5481
1850.000000 83.403 -146.7489
1875.000000 83.558 -146.8927
1900.000000 83.701 -147.0897
1925.000000 83.838 -147.4699
1950.000000 83.992 -147.7308
1975.000000 84.141 -148.0496
2000.000000 84.319 -148.5699
2030.000000 84.455 -148.8933
2060.000000 84.631 -149.3708
2090.000000 84.821 -149.9945
2120.000000 85.008 -150.6919
2140.000000 85.127 -151.2084
2180.000000 85.368 -152.2431
2200.000000 85.473 -152.7964
2240.000000 85.722 -154.0556
2270.000000 85.877 -155.1522
2300.000000 86.056 -156.1458
2330.000000 86.212 -157.3068
2360.000000 86.379 -158.5830
2400.000000 86.564 -160.3210
2430.000000 86.709 -161.6935
2470.000000 86.870 -163.7540
2500.000000 86.986 -165.2397
2540.000000 87.114 -167.4065
2580.000000 87.224 -169.6039
2620.000000 87.310 -171.9704
2650.000000 87.352 -173.7294
2690.000000 87.400 -176.2036
2720.000000 87.400 -178.0335
2760.000000 87.404 179.6479
2800.000000 87.361 177.2851
2850.000000 87.275 174.3080
2900.000000 87.165 171.4482
2950.000000 86.996 168.8268
3000.000000 86.833 166.0934
3040.000000 86.623 164.2778
3070.000000 86.471 162.9615
3110.000000 86.260 161.2613
3150.000000 86.050 159.8168
3200.000000 85.766 157.9670
3250.000000 85.461 156.5150
3300.000000 85.151 155.4135
3350.000000 84.850 154.5588
3400.000000 84.571 153.9235
3450.000000 84.314 153.5786
3500.000000 84.084 153.3503
3550.000000 83.866 153.0880
3600.000000 83.686 152.8779
3650.000000 83.504 152.5468
3700.000000 83.336 152.3517
3750.000000 83.180 151.7959
3820.000000 82.948 151.4096
3870.000000 82.814 151.2315
3950.000000 82.529 150.6329
4000.000000 82.337 150.2398
4060.000000 82.189 150.5136
4120.000000 81.996 150.1315
4180.000000 81.816 150.0771
4250.000000 81.598 149.9089
4310.000000 81.434 150.0966
4370.000000 81.268 149.8674
4440.000000 81.032 149.9958
4500.000000 80.913 150.1590
4550.000000 80.774 150.1268
4620.000000 80.576 150.4355
4680.000000 80.443 150.6421
4750.000000 80.278 150.6595
4820.000000 80.144 151.0547
4870.000000 80.008 151.0762
4940.000000 79.866 151.5544
5000.000000 79.818 151.5838
5080.000000 79.581 151.9056
5150.000000 79.426 152.3084
5220.000000 79.280 152.7027
5300.000000 79.089 153.2312
5380.000000 78.963 153.2043
5450.000000 78.787 153.8216
