* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Dec 14, 2024 12:22:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R FROST 472
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 118.466 -120.6981
20.600000 118.531 -121.4142
20.900000 118.592 -122.0338
21.200001 118.654 -122.6423
21.400000 118.696 -123.0516
21.799999 118.781 -123.8835
22.000000 118.822 -124.3047
22.400000 118.901 -125.1435
22.700001 118.956 -125.7524
23.000000 119.009 -126.3307
23.299999 119.061 -126.8770
23.600000 119.114 -127.3992
24.000000 119.186 -128.0805
24.299999 119.240 -128.5988
24.700001 119.307 -129.3114
25.000000 119.352 -129.8552
25.400000 119.402 -130.5693
25.799999 119.445 -131.2424
26.200001 119.487 -131.8666
26.500000 119.522 -132.3153
26.900000 119.575 -132.9138
27.200001 119.617 -133.3784
27.600000 119.671 -134.0229
28.000000 119.720 -134.6766
28.500000 119.770 -135.4561
29.000000 119.813 -136.1524
29.500000 119.858 -136.7764
30.000000 119.912 -137.3856
30.400000 119.958 -137.8978
30.700001 119.992 -138.3003
31.100000 120.034 -138.8436
31.500000 120.069 -139.3649
32.000000 120.107 -139.9509
32.500000 120.145 -140.4744
33.000000 120.186 -140.9941
33.500000 120.224 -141.5536
34.000000 120.257 -142.1426
34.500000 120.285 -142.7186
35.000000 120.313 -143.2581
35.500000 120.345 -143.7681
36.000000 120.379 -144.2618
36.500000 120.412 -144.7409
37.000000 120.443 -145.2070
37.500000 120.473 -145.6710
38.200001 120.511 -146.3314
38.700001 120.533 -146.7975
39.500000 120.564 -147.4924
40.000000 120.584 -147.9059
40.599998 120.610 -148.4163
41.200001 120.635 -148.9515
41.799999 120.656 -149.4692
42.500000 120.681 -149.9920
43.099998 120.709 -150.3950
43.700001 120.739 -150.8210
44.400002 120.767 -151.3622
45.000000 120.784 -151.8259
45.500000 120.797 -152.1921
46.200001 120.812 -152.6636
46.799999 120.826 -153.0365
47.500000 120.843 -153.4965
48.200001 120.853 -153.9972
48.700001 120.859 -154.3172
49.400002 120.881 -154.6759
50.000000 120.911 -154.9984
50.799999 120.934 -155.5100
51.500000 120.936 -155.9307
52.200001 120.944 -156.3693
53.000000 120.954 -156.8570
53.799999 120.981 -157.0115
54.500000 121.047 -157.1380
55.200001 121.087 -157.6690
56.000000 121.042 -158.3569
57.000000 121.008 -158.7571
58.000000 121.042 -159.3441
59.000000 121.041 -159.7232
60.000000 121.070 -160.0980
60.799999 121.075 -160.6379
61.500000 121.073 -160.9643
62.200001 121.092 -161.2090
63.000000 121.106 -161.5743
64.000000 121.092 -161.9569
65.000000 121.102 -162.3173
66.000000 121.118 -162.7784
67.000000 121.124 -163.1376
68.000000 121.128 -163.4575
69.000000 121.135 -163.8401
70.000000 121.138 -164.2607
71.000000 121.141 -164.6072
72.000000 121.145 -164.9686
73.000000 121.146 -165.2935
74.000000 121.164 -165.6377
75.000000 121.166 -165.9746
76.199997 121.165 -166.2503
77.500000 121.161 -166.6914
78.800003 121.168 -167.0757
80.000000 121.177 -167.4590
81.199997 121.173 -167.7809
82.500000 121.178 -168.1674
83.800003 121.163 -168.6118
85.000000 121.174 -168.8624
86.199997 121.176 -169.2499
87.500000 121.164 -169.4729
88.500000 121.159 -169.7301
90.000000 121.147 -170.1128
91.199997 121.158 -170.3621
92.500000 121.160 -170.6060
93.800003 121.146 -171.0242
95.000000 121.147 -171.2924
96.199997 121.156 -171.5176
97.500000 121.135 -171.8038
98.800003 121.130 -172.1033
100.000000 121.139 -172.3072
101.500000 121.118 -172.6441
103.000000 121.124 -172.9498
104.400002 121.107 -173.1937
106.000000 121.099 -173.5329
107.500000 121.092 -173.7990
109.000000 121.084 -174.1118
110.599998 121.068 -174.3930
112.000000 121.080 -174.6840
113.800003 121.067 -174.8261
115.000000 121.056 -175.1659
117.199997 121.043 -175.4366
118.000000 121.036 -175.5866
120.599998 121.026 -175.9359
122.000000 121.013 -176.2142
124.099998 120.994 -176.4488
125.000000 120.988 -176.7066
126.500000 120.989 -176.8273
128.000000 120.967 -176.9978
131.500000 120.944 -177.5058
132.000000 120.945 -177.6008
134.000000 120.917 -177.8748
136.000000 120.896 -178.1231
138.000000 120.870 -178.3488
140.000000 120.872 -178.6847
143.000000 120.832 -178.9673
145.000000 120.834 -179.1786
147.500000 120.798 -179.4408
150.000000 120.776 -179.6634
152.500000 120.764 -179.8782
155.000000 120.733 179.8515
157.500000 120.710 179.5983
160.000000 120.702 179.4173
162.500000 120.651 179.0737
165.000000 120.636 178.9692
167.500000 120.627 178.6440
170.000000 120.598 178.5219
172.500000 120.576 178.2929
175.000000 120.554 178.0534
177.500000 120.535 177.9070
180.000000 120.489 177.6827
182.500000 120.482 177.4956
185.000000 120.448 177.4078
187.500000 120.423 177.1497
190.000000 120.398 177.0588
192.500000 120.373 176.9962
195.000000 120.351 176.7906
197.500000 120.312 176.6885
200.000000 120.292 176.5327
203.000000 120.252 176.3412
206.000000 120.244 176.1525
209.000000 120.213 176.0441
212.000000 120.168 175.8663
214.000000 120.172 175.8261
218.000000 120.127 175.6927
220.000000 120.110 175.6356
224.000000 120.050 175.2210
227.000000 119.987 175.3961
230.000000 119.943 175.0206
233.000000 119.934 175.0109
236.000000 119.934 175.0724
240.000000 119.900 174.8410
243.000000 119.855 174.9410
247.000000 119.811 174.8034
250.000000 119.778 174.6828
254.000000 119.742 174.6045
258.000000 119.684 174.5879
262.000000 119.647 174.5030
265.000000 119.626 174.3813
269.000000 119.583 174.3416
272.000000 119.556 174.2943
276.000000 119.506 174.2908
280.000000 119.476 174.2532
285.000000 119.442 174.3017
290.000000 119.383 174.2859
295.000000 119.328 174.0886
300.000000 119.293 174.1990
304.000000 119.271 173.9803
307.000000 119.188 174.1360
311.000000 119.194 174.2406
315.000000 119.163 174.0537
320.000000 119.054 174.5182
325.000000 119.103 174.2763
330.000000 119.003 174.3617
335.000000 118.952 174.4612
340.000000 118.917 174.3136
345.000000 118.870 174.4807
350.000000 118.847 174.7032
355.000000 118.803 174.7619
360.000000 118.771 174.7969
365.000000 118.701 174.9172
370.000000 118.668 175.0609
375.000000 118.629 175.1701
382.000000 118.553 175.1978
387.000000 118.542 175.3972
395.000000 118.477 175.6390
400.000000 118.444 175.8218
406.000000 118.404 175.9749
412.000000 118.354 176.0359
418.000000 118.300 176.3044
425.000000 118.267 176.4301
431.000000 118.255 176.7025
437.000000 118.183 176.8542
444.000000 118.131 177.1291
450.000000 118.083 177.2865
455.000000 118.038 177.5864
462.000000 118.014 177.6109
468.000000 118.010 177.9859
475.000000 118.002 178.7800
482.000000 117.832 179.2679
487.000000 117.798 178.9632
494.000000 117.840 179.2316
500.000000 117.787 179.3156
508.000000 117.776 179.5753
515.000000 117.723 179.9998
522.000000 117.715 -179.6885
530.000000 117.662 -179.2581
538.000000 117.611 -178.8896
545.000000 117.596 -178.4715
552.000000 117.550 -178.1306
560.000000 117.542 -177.8403
570.000000 117.519 -177.4771
580.000000 117.427 -176.8675
590.000000 117.425 -176.6746
600.000000 117.390 -175.5854
608.000000 117.361 -175.1415
615.000000 117.333 -174.7695
622.000000 117.301 -174.4763
630.000000 117.308 -174.1499
640.000000 117.261 -173.6576
650.000000 117.303 -172.9728
660.000000 117.241 -172.0960
670.000000 117.203 -171.8985
680.000000 117.208 -171.3094
690.000000 117.189 -170.7595
700.000000 117.168 -169.9969
710.000000 117.173 -169.5000
720.000000 117.154 -168.8350
730.000000 117.134 -168.2270
740.000000 117.138 -167.5565
750.000000 117.161 -166.9538
762.000000 117.134 -166.3064
775.000000 117.147 -165.3517
788.000000 117.151 -164.4152
800.000000 117.181 -163.3950
812.000000 117.239 -162.5217
825.000000 117.275 -161.6647
838.000000 117.331 -160.8933
850.000000 117.398 -160.1074
862.000000 117.445 -159.5520
875.000000 117.484 -158.7991
885.000000 117.533 -158.2248
900.000000 117.612 -157.3186
912.000000 117.684 -156.5764
925.000000 117.773 -156.0049
938.000000 117.850 -155.2773
950.000000 117.907 -154.7425
962.000000 118.005 -154.0163
975.000000 118.108 -153.3010
988.000000 118.185 -152.7912
1000.000000 118.282 -152.5613
1015.000000 118.383 -151.5484
1030.000000 118.514 -151.0450
1044.000000 118.615 -150.5912
1060.000000 118.732 -150.0611
1075.000000 118.865 -149.6331
1090.000000 118.981 -149.1300
1106.000000 119.120 -148.6366
1120.000000 119.238 -148.5460
1138.000000 119.402 -148.1039
1150.000000 119.482 -148.0343
1172.000000 119.686 -147.5508
1180.000000 119.761 -147.4321
1206.000000 119.943 -147.1581
1220.000000 120.036 -147.0102
1241.000000 120.215 -146.6455
1250.000000 120.280 -146.7648
1265.000000 120.394 -146.7164
1280.000000 120.487 -146.5883
1315.000000 120.756 -146.4096
1320.000000 120.794 -146.3825
1340.000000 120.938 -146.2211
1360.000000 121.094 -146.3053
1380.000000 121.248 -146.3285
1400.000000 121.380 -146.2509
1430.000000 121.607 -146.2803
1450.000000 121.737 -146.3771
1475.000000 121.940 -146.4471
1500.000000 122.130 -146.5625
1525.000000 122.320 -146.6084
1550.000000 122.522 -146.9368
1575.000000 122.758 -147.0793
1600.000000 122.955 -147.4277
1625.000000 123.202 -147.8478
1650.000000 123.410 -148.4561
1675.000000 123.654 -149.0249
1700.000000 123.876 -149.9246
1725.000000 124.119 -150.8950
1750.000000 124.331 -152.1097
1775.000000 124.535 -153.4534
1800.000000 124.721 -154.9067
1825.000000 124.876 -156.4749
1850.000000 125.015 -158.1962
1875.000000 125.119 -159.9181
1900.000000 125.199 -161.6734
1925.000000 125.260 -163.4943
1950.000000 125.310 -165.2126
1975.000000 125.320 -166.8606
2000.000000 125.316 -168.3511
2030.000000 125.308 -170.4147
2060.000000 125.268 -172.3436
2090.000000 125.204 -174.0601
2120.000000 125.138 -175.7580
2140.000000 125.085 -176.8525
2180.000000 124.942 -178.9736
2200.000000 124.863 -179.9193
2240.000000 124.700 178.2438
2270.000000 124.552 176.9320
2300.000000 124.394 175.8542
2330.000000 124.250 174.6896
2360.000000 124.083 173.8474
2400.000000 123.856 172.6517
2430.000000 123.686 171.8401
2470.000000 123.462 171.1021
2500.000000 123.297 170.6222
2540.000000 123.066 169.9876
2580.000000 122.841 169.5778
2620.000000 122.634 169.2700
2650.000000 122.454 169.0135
2690.000000 122.253 169.0758
2720.000000 122.128 168.9953
2760.000000 121.919 169.1445
2800.000000 121.738 169.2838
2850.000000 121.526 169.5257
2900.000000 121.324 170.0157
2950.000000 121.120 170.4290
3000.000000 120.957 170.9778
3040.000000 120.860 171.6653
3070.000000 120.761 172.0097
3110.000000 120.630 172.7194
3150.000000 120.566 173.3839
3200.000000 120.437 174.1530
3250.000000 120.370 175.0589
3300.000000 120.283 175.9247
3350.000000 120.229 176.7349
3400.000000 120.199 177.7455
3450.000000 120.176 178.6559
3500.000000 120.162 179.7253
3550.000000 120.174 -179.5267
3600.000000 120.172 -178.5566
3650.000000 120.243 -177.6137
3700.000000 120.315 -176.7510
3750.000000 120.364 -175.9915
3820.000000 120.513 -174.9249
3870.000000 120.627 -174.1578
3950.000000 120.823 -173.1560
4000.000000 121.019 -172.6955
4060.000000 121.190 -172.0222
4120.000000 121.424 -171.7397
4180.000000 121.671 -171.7026
4250.000000 121.995 -171.5580
4310.000000 122.267 -171.9597
4370.000000 122.565 -172.8011
4440.000000 122.902 -174.0239
4500.000000 123.201 -175.5014
4550.000000 123.410 -176.9946
4620.000000 123.667 -179.6237
4680.000000 123.885 177.7405
4750.000000 124.030 174.2513
4820.000000 124.033 170.5149
4870.000000 123.976 167.7398
4940.000000 123.800 164.0764
5000.000000 123.556 161.0422
5080.000000 123.124 157.7391
5150.000000 122.692 155.3705
5220.000000 122.201 153.8708
5300.000000 121.626 152.4343
5380.000000 121.056 152.0631
5450.000000 120.608 152.0197
5520.000000 120.182 152.5266
5600.000000 119.747 153.4804
