* Measurement data measured by REW V5.31.1
* Source: USB Sound Device        , MICROPHONE, L, volume: 0.591
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 16, 2025 10:59:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R GEEKLY Jan 16
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 131.913 25.3076
20.600000 131.896 24.7105
20.900000 131.910 24.2401
21.200001 131.950 23.6632
21.400000 131.981 23.1717
21.799999 132.034 21.9642
22.000000 132.049 21.2899
22.400000 132.045 19.9405
22.700001 132.022 19.0278
23.000000 131.991 18.2494
23.299999 131.964 17.5887
23.600000 131.944 17.0105
24.000000 131.930 16.3084
24.299999 131.928 15.8008
24.700001 131.932 15.1268
25.000000 131.942 14.6071
25.400000 131.961 13.8644
25.799999 131.982 13.0309
26.200001 131.995 12.1059
26.500000 131.996 11.3795
26.900000 131.982 10.4192
27.200001 131.962 9.7393
27.600000 131.928 8.9118
28.000000 131.893 8.1728
28.500000 131.854 7.3349
29.000000 131.822 6.5356
29.500000 131.794 5.7413
30.000000 131.763 4.9612
30.400000 131.737 4.3731
30.700001 131.717 3.9620
31.100000 131.693 3.4460
31.500000 131.676 2.9409
32.000000 131.659 2.2817
32.500000 131.641 1.5832
33.000000 131.618 0.8825
33.500000 131.594 0.2088
34.000000 131.569 -0.4459
34.500000 131.543 -1.0985
35.000000 131.511 -1.7434
35.500000 131.477 -2.3711
36.000000 131.444 -2.9970
36.500000 131.414 -3.6463
37.000000 131.384 -4.3155
37.500000 131.352 -4.9738
38.200001 131.305 -5.8424
38.700001 131.270 -6.4368
39.500000 131.209 -7.3661
40.000000 131.175 -7.9419
40.599998 131.143 -8.6587
41.200001 131.118 -9.4039
41.799999 131.091 -10.0964
42.500000 131.058 -10.7391
43.099998 131.030 -11.1810
43.700001 130.999 -11.5947
44.400002 130.948 -12.0571
45.000000 130.892 -12.4384
45.500000 130.836 -12.7884
46.200001 130.747 -13.4148
46.799999 130.671 -14.1183
47.500000 130.614 -15.0737
48.200001 130.606 -15.9505
48.700001 130.617 -16.3646
49.400002 130.616 -16.5698
50.000000 130.569 -16.5783
50.799999 130.437 -16.8606
51.500000 130.315 -17.6258
52.200001 130.258 -18.6472
53.000000 130.273 -19.4970
53.799999 130.276 -19.6896
54.500000 130.208 -19.6697
55.200001 130.096 -19.9905
56.000000 129.993 -20.8730
57.000000 129.969 -21.8683
58.000000 129.948 -22.1908
59.000000 129.830 -22.4794
60.000000 129.720 -23.2497
60.799999 129.680 -23.8771
61.500000 129.652 -24.1726
62.200001 129.604 -24.3757
63.000000 129.523 -24.7564
64.000000 129.434 -25.3657
65.000000 129.380 -25.8687
66.000000 129.305 -26.3061
67.000000 129.218 -26.7640
68.000000 129.153 -27.2516
69.000000 129.082 -27.6518
70.000000 129.001 -28.0165
71.000000 128.924 -28.4583
72.000000 128.856 -28.8286
73.000000 128.795 -29.2659
74.000000 128.711 -29.7575
75.000000 128.627 -30.0000
76.199997 128.542 -30.3905
77.500000 128.429 -30.8928
78.800003 128.378 -31.2365
80.000000 128.268 -31.6157
81.199997 128.147 -31.8261
82.500000 128.079 -32.3555
83.800003 127.990 -32.6940
85.000000 127.915 -33.0646
86.199997 127.835 -33.4061
87.500000 127.759 -33.7126
88.500000 127.675 -33.8372
90.000000 127.556 -34.3043
91.199997 127.496 -34.4431
92.500000 127.388 -34.7399
93.800003 127.290 -34.8801
95.000000 127.183 -35.2120
96.199997 127.115 -35.3566
97.500000 127.020 -35.5011
98.800003 126.925 -35.5608
100.000000 126.836 -35.3054
101.500000 126.751 -35.2407
103.000000 126.754 -34.8633
104.400002 126.745 -35.3021
106.000000 126.720 -35.7033
107.500000 126.686 -36.4804
109.000000 126.568 -36.7334
110.599998 126.487 -37.3110
112.000000 126.419 -37.4297
113.800003 126.276 -38.0153
115.000000 126.239 -37.9782
117.199997 126.066 -38.3282
118.000000 126.066 -38.7519
120.599998 125.958 -39.1094
122.000000 125.825 -38.8762
124.099998 125.720 -39.3751
125.000000 125.662 -39.8585
126.500000 125.570 -39.7274
128.000000 125.438 -39.6510
131.500000 125.284 -39.9132
132.000000 125.262 -39.9005
134.000000 125.124 -40.0890
136.000000 125.017 -40.2595
138.000000 124.878 -40.3308
140.000000 124.733 -40.7295
143.000000 124.545 -40.7190
145.000000 124.436 -40.8822
147.500000 124.268 -40.8950
150.000000 124.099 -40.9239
152.500000 123.900 -40.5664
155.000000 123.742 -40.0715
157.500000 123.524 -39.2621
160.000000 123.396 -38.2535
162.500000 123.297 -36.5188
165.000000 123.425 -34.5317
167.500000 123.745 -34.2105
170.000000 123.928 -35.5158
172.500000 123.947 -36.8962
175.000000 123.837 -37.8871
177.500000 123.730 -38.5802
180.000000 123.589 -39.1397
182.500000 123.468 -39.4144
185.000000 123.350 -39.6599
187.500000 123.236 -39.9975
190.000000 123.048 -40.0987
192.500000 123.035 -40.0271
195.000000 122.885 -40.3944
197.500000 122.807 -40.3877
200.000000 122.698 -40.1290
203.000000 122.532 -40.0295
206.000000 122.413 -40.0655
209.000000 122.362 -40.1959
212.000000 122.244 -39.9725
214.000000 122.187 -40.0046
218.000000 122.037 -39.8019
220.000000 121.973 -39.9817
224.000000 121.824 -39.4917
227.000000 121.696 -39.7141
230.000000 121.589 -39.7086
233.000000 121.547 -39.4878
236.000000 121.448 -39.3501
240.000000 121.293 -39.1711
243.000000 121.215 -39.1735
247.000000 121.088 -38.8974
250.000000 120.990 -38.6952
254.000000 120.867 -38.5480
258.000000 120.757 -38.3097
262.000000 120.637 -38.1365
265.000000 120.557 -38.0004
269.000000 120.443 -37.6323
272.000000 120.361 -37.4839
276.000000 120.276 -37.3458
280.000000 120.115 -36.9205
285.000000 120.007 -36.6311
290.000000 119.890 -36.5483
295.000000 119.735 -36.1099
300.000000 119.622 -35.6799
304.000000 119.515 -35.1704
307.000000 119.451 -35.2220
311.000000 119.320 -34.7274
315.000000 119.263 -34.2149
320.000000 119.155 -33.7783
325.000000 119.081 -33.4677
330.000000 118.994 -33.0540
335.000000 118.891 -32.8878
340.000000 118.804 -32.5821
345.000000 118.682 -32.3031
350.000000 118.585 -31.9617
355.000000 118.474 -31.5049
360.000000 118.371 -31.0730
365.000000 118.291 -30.7184
370.000000 118.183 -30.0991
375.000000 118.083 -29.8204
382.000000 117.989 -29.0291
387.000000 117.887 -28.8055
395.000000 117.753 -28.1352
400.000000 117.670 -27.6278
406.000000 117.585 -27.0919
412.000000 117.466 -26.7393
418.000000 117.373 -25.8810
425.000000 117.294 -25.4970
431.000000 117.206 -24.6608
437.000000 117.087 -24.4884
444.000000 116.994 -23.6893
450.000000 116.926 -23.1586
455.000000 116.872 -22.7276
462.000000 116.772 -22.1737
468.000000 116.685 -21.7022
475.000000 116.590 -21.0002
482.000000 116.516 -20.1605
487.000000 116.439 -19.8833
494.000000 116.366 -19.4328
500.000000 116.286 -18.7692
508.000000 116.195 -18.0682
515.000000 116.126 -17.3414
522.000000 116.043 -16.7805
530.000000 115.951 -15.9745
538.000000 115.865 -15.3594
545.000000 115.804 -14.5536
552.000000 115.733 -13.8828
560.000000 115.655 -13.1077
570.000000 115.532 -12.2750
580.000000 115.486 -11.1599
590.000000 115.400 -10.3138
600.000000 115.337 -9.2276
608.000000 115.257 -8.4853
615.000000 115.205 -7.7102
622.000000 115.170 -7.2246
630.000000 115.090 -6.3765
640.000000 115.030 -5.3881
650.000000 114.962 -4.3361
660.000000 114.903 -3.4115
670.000000 114.849 -2.4819
680.000000 114.798 -1.2703
690.000000 114.765 -0.3485
700.000000 114.732 0.5652
710.000000 114.680 1.4311
720.000000 114.647 2.4902
730.000000 114.654 3.5153
740.000000 114.606 4.6555
750.000000 114.588 5.6032
762.000000 114.559 6.5639
775.000000 114.528 7.8064
788.000000 114.508 9.1229
800.000000 114.538 10.0709
812.000000 114.500 11.2147
825.000000 114.498 12.4463
838.000000 114.531 13.8225
850.000000 114.566 15.0926
862.000000 114.562 15.8056
875.000000 114.590 17.0416
885.000000 114.595 17.7455
900.000000 114.667 19.1555
912.000000 114.679 20.0429
925.000000 114.758 21.1153
938.000000 114.806 21.9774
950.000000 114.838 22.9077
962.000000 114.884 23.6679
975.000000 114.944 24.7294
988.000000 115.006 25.7938
1000.000000 115.079 25.6956
1015.000000 115.145 27.4291
1030.000000 115.230 27.9136
1044.000000 115.289 28.8189
1060.000000 115.388 29.6590
1075.000000 115.472 30.4404
1090.000000 115.534 31.1858
1106.000000 115.620 31.7302
1120.000000 115.722 32.4316
1138.000000 115.779 33.2429
1150.000000 115.863 33.3929
1172.000000 115.984 34.5385
1180.000000 116.036 34.5599
1206.000000 116.118 35.1928
1220.000000 116.197 36.0156
1241.000000 116.285 36.7084
1250.000000 116.345 36.9135
1265.000000 116.407 37.4299
1280.000000 116.467 37.8774
1315.000000 116.626 38.9798
1320.000000 116.657 38.9872
1340.000000 116.735 39.5672
1360.000000 116.827 39.9117
1380.000000 116.917 40.3660
1400.000000 116.983 41.1523
1430.000000 117.130 41.7818
1450.000000 117.206 42.5425
1475.000000 117.308 43.1287
1500.000000 117.452 43.6706
1525.000000 117.574 44.0455
1550.000000 117.701 44.6600
1575.000000 117.779 45.3469
1600.000000 117.949 46.1043
1625.000000 118.092 46.3937
1650.000000 118.220 46.9548
1675.000000 118.335 47.3421
1700.000000 118.476 47.9092
1725.000000 118.618 48.3010
1750.000000 118.769 48.5563
1775.000000 118.942 48.9160
1800.000000 119.071 49.0948
1825.000000 119.226 49.5690
1850.000000 119.418 49.7288
1875.000000 119.576 49.8948
1900.000000 119.743 49.9763
1925.000000 119.923 49.9979
1950.000000 120.072 50.1599
1975.000000 120.256 50.3331
2000.000000 120.405 49.9797
2030.000000 120.648 50.0306
2060.000000 120.839 49.8152
2090.000000 121.077 49.5433
2120.000000 121.273 49.2766
2140.000000 121.424 48.8264
2180.000000 121.686 48.2761
2200.000000 121.829 47.7017
2240.000000 122.102 46.7796
2270.000000 122.298 46.0473
2300.000000 122.501 45.0919
2330.000000 122.646 44.1805
2360.000000 122.819 43.2456
2400.000000 123.035 41.6542
2430.000000 123.180 40.4745
2470.000000 123.342 38.7759
2500.000000 123.456 37.5228
2540.000000 123.580 35.6854
2580.000000 123.707 34.1028
2620.000000 123.803 32.2142
2650.000000 123.846 31.0231
2690.000000 123.917 29.1812
2720.000000 123.958 27.9415
2760.000000 124.000 26.2662
2800.000000 124.016 24.4706
2850.000000 124.013 22.5741
2900.000000 124.013 20.5188
2950.000000 124.011 18.5061
3000.000000 123.978 16.5789
3040.000000 123.970 15.0638
3070.000000 123.954 13.9385
3110.000000 123.918 12.2907
3150.000000 123.912 10.7261
3200.000000 123.875 8.8143
3250.000000 123.797 6.5830
3300.000000 123.733 4.3671
3350.000000 123.691 2.0734
3400.000000 123.591 -0.3714
3450.000000 123.509 -2.9828
3500.000000 123.370 -5.3760
3550.000000 123.185 -8.2081
3600.000000 123.005 -11.0936
3650.000000 122.751 -13.8737
3700.000000 122.451 -16.6485
3750.000000 122.098 -19.5849
3820.000000 121.548 -23.4943
3870.000000 121.087 -26.0325
3950.000000 120.202 -29.6160
4000.000000 119.436 -32.4511
4060.000000 118.832 -33.7848
4120.000000 117.957 -35.6937
4180.000000 117.053 -37.0399
4250.000000 115.871 -38.1775
4310.000000 114.687 -38.4488
4370.000000 113.412 -38.2650
4440.000000 111.656 -36.7147
4500.000000 109.700 -33.6926
4550.000000 107.763 -27.2343
4620.000000 104.475 -7.2117
4680.000000 103.715 28.0052
4750.000000 107.383 59.6341
4820.000000 111.542 67.4545
4870.000000 113.937 65.3613
4940.000000 116.231 57.7391
5000.000000 117.416 49.1100
5080.000000 118.087 38.7794
5150.000000 118.028 31.3634
5220.000000 117.732 25.7965
5300.000000 117.265 21.7229
5380.000000 116.741 19.5862
5450.000000 116.407 18.4788
5520.000000 115.995 18.1013
5600.000000 115.588 18.7730
5700.000000 115.162 20.1055
5800.000000 114.860 22.2956
