* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\GS Audio GT12X Foam L.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 29, 2023 8:27:35 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\GS Audio GT12X Foam L.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: GS Audio GT12X Foam L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	53.517	133.4629
1.015000	53.372	132.9267
1.030000	53.224	132.4107
1.044000	53.081	131.9484
1.060000	52.913	131.4446
1.075000	52.751	130.9974
1.090000	52.583	130.5762
1.106000	52.399	130.1482
1.120000	52.233	129.7457
1.138000	52.011	129.1853
1.150000	51.858	128.7906
1.172000	51.570	128.0381
1.180000	51.462	127.7589
1.206000	51.104	126.8493
1.220000	50.906	126.3681
1.241000	50.603	125.6745
1.250000	50.471	125.3919
1.265000	50.248	124.9467
1.280000	50.023	124.5401
1.315000	49.488	123.7838
1.320000	49.411	123.7018
1.340000	49.100	123.4505
1.360000	48.788	123.3348
1.380000	48.474	123.3726
1.400000	48.160	123.5818
1.430000	47.690	124.2560
1.450000	47.378	124.9719
1.475000	46.987	126.2025
1.500000	46.555	127.8540
1.525000	46.083	129.8923
1.550000	45.581	132.2682
1.575000	45.060	134.9326
1.600000	44.531	137.8363
1.625000	44.005	140.9301
1.650000	43.492	144.1648
1.675000	43.004	147.4911
1.700000	42.551	150.8600
1.725000	42.144	154.2223
1.750000	41.794	157.5286
1.775000	41.511	160.7299
1.800000	41.307	163.7770
1.825000	41.192	166.6206
1.850000	41.177	169.3286
1.875000	41.258	172.1381
1.900000	41.426	175.0277
1.925000	41.668	177.9638
1.950000	41.972	-179.0868
1.975000	42.328	-176.1575
2.000000	42.724	-173.2819
2.030000	43.235	-169.9489
2.060000	43.768	-166.7988
2.090000	44.301	-163.8893
2.120000	44.817	-161.2781
2.140000	45.140	-159.7316
2.180000	45.711	-157.1817
2.200000	45.948	-156.2125
2.240000	46.389	-154.9092
2.270000	46.713	-154.4265
2.300000	47.029	-154.3058
2.330000	47.337	-154.4911
2.360000	47.636	-154.9263
2.400000	48.019	-155.7987
2.430000	48.293	-156.5994
2.470000	48.637	-157.7560
2.500000	48.880	-158.6175
2.540000	49.179	-159.6519
2.580000	49.448	-160.4770
2.620000	49.686	-161.3690
2.650000	49.844	-162.1185
2.690000	50.032	-163.2026
2.720000	50.158	-164.0643
2.760000	50.308	-165.2558
2.800000	50.442	-166.4706
2.850000	50.593	-167.9799
2.900000	50.732	-169.4285
2.950000	50.864	-170.7772
3.000000	50.972	-172.1171
3.040000	51.042	-173.1922
3.070000	51.085	-173.9944
3.110000	51.134	-175.0515
3.150000	51.176	-176.0859
3.200000	51.221	-177.3335
3.250000	51.264	-178.5141
3.300000	51.309	-179.6104
3.350000	51.348	179.3703
3.400000	51.376	178.4128
3.450000	51.397	177.5141
3.500000	51.415	176.6713
3.550000	51.435	175.8813
3.600000	51.462	175.1412
3.650000	51.500	174.4481
3.700000	51.548	173.8136
3.750000	51.600	173.2609
3.820000	51.681	172.5900
3.870000	51.746	172.1578
3.950000	51.869	171.4933
4.000000	51.960	171.0644
4.060000	52.086	170.5199
4.120000	52.230	170.0028
4.180000	52.390	169.5018
4.250000	52.592	168.9056
4.310000	52.775	168.3571
4.370000	52.963	167.7485
4.440000	53.190	166.9439
4.500000	53.397	166.1962
4.550000	53.577	165.5376
4.620000	53.833	164.5666
4.680000	54.054	163.6940
4.750000	54.306	162.6353
4.820000	54.553	161.5206
4.870000	54.730	160.6789
4.940000	54.976	159.4571
5.000000	55.185	158.3877
5.080000	55.455	156.9605
5.150000	55.681	155.7346
5.220000	55.900	154.4951
5.300000	56.141	153.0665
5.380000	56.374	151.6562
5.450000	56.571	150.4625
5.520000	56.762	149.3252
5.600000	56.971	148.0677
5.700000	57.221	146.5602
5.800000	57.463	145.1445
5.900000	57.701	143.8416
6.000000	57.933	142.6533
6.080000	58.115	141.7730
6.150000	58.273	141.0457
6.220000	58.433	140.3517
6.300000	58.617	139.6088
6.400000	58.848	138.7627
6.500000	59.080	137.9740
6.600000	59.313	137.2057
6.700000	59.551	136.4673
6.800000	59.790	135.7639
6.900000	60.029	135.0697
7.000000	60.265	134.3624
7.100000	60.500	133.6522
7.200000	60.734	132.9414
7.300000	60.961	132.2271
7.400000	61.182	131.5047
7.500000	61.397	130.7740
7.620000	61.647	129.9010
7.750000	61.904	128.9762
7.880000	62.149	128.0633
8.000000	62.365	127.2447
8.120000	62.572	126.4640
8.250000	62.785	125.6549
8.380000	62.990	124.8839
8.500000	63.174	124.2095
8.620000	63.352	123.5721
8.750000	63.540	122.9097
8.850000	63.683	122.4140
9.000000	63.893	121.7022
9.120000	64.058	121.1444
9.250000	64.234	120.5405
9.380000	64.407	119.9433
9.500000	64.563	119.3900
9.620000	64.718	118.8295
9.750000	64.882	118.2179
9.880000	65.035	117.6024
10.000000	65.158	117.0298
10.150000	65.297	116.3095
10.300000	65.424	115.5913
10.440000	65.532	114.9224
10.600000	65.648	114.1627
10.750000	65.755	113.4589
10.900000	65.857	112.7618
11.060000	65.964	112.0257
11.200000	66.054	111.3885
11.380000	66.167	110.5749
11.500000	66.241	110.0357
11.720000	66.375	109.0527
11.800000	66.422	108.6962
12.060000	66.575	107.5422
12.200000	66.654	106.9235
12.410000	66.773	105.9992
12.500000	66.829	105.6051
12.650000	66.931	104.9507
12.800000	67.036	104.3001
13.150000	67.276	102.7990
13.200000	67.310	102.5869
13.400000	67.444	101.7438
13.600000	67.575	100.9125
13.800000	67.703	100.0936
14.000000	67.830	99.2904
14.300000	68.016	98.1166
14.500000	68.137	97.3570
14.750000	68.285	96.4321
15.000000	68.431	95.5339
15.250000	68.574	94.6583
15.500000	68.713	93.8030
15.750000	68.849	92.9668
16.000000	68.982	92.1492
