* Measurement data measured by REW V5.31.1
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Apr 8, 2026 7:34:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R HALCYON clear 2059
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 86.746 17.5574
20.600000 86.751 16.7040
20.900000 86.749 15.9336
21.200001 86.745 15.1693
21.400000 86.743 14.6616
21.799999 86.740 13.6533
22.000000 86.739 13.1551
22.400000 86.739 12.1776
22.700001 86.739 11.4648
23.000000 86.738 10.7708
23.299999 86.734 10.0938
23.600000 86.728 9.4319
24.000000 86.717 8.5696
24.299999 86.706 7.9353
24.700001 86.690 7.1023
25.000000 86.679 6.4830
25.400000 86.665 5.6600
25.799999 86.652 4.8395
26.200001 86.638 4.0295
26.500000 86.626 3.4373
26.900000 86.607 2.6778
27.200001 86.591 2.1342
27.600000 86.568 1.4410
28.000000 86.544 0.7727
28.500000 86.516 -0.0487
29.000000 86.487 -0.8714
29.500000 86.457 -1.6964
30.000000 86.425 -2.5126
30.400000 86.398 -3.1508
30.700001 86.378 -3.6189
31.100000 86.351 -4.2307
31.500000 86.324 -4.8330
32.000000 86.291 -5.5798
32.500000 86.257 -6.3197
33.000000 86.220 -7.0414
33.500000 86.182 -7.7333
34.000000 86.143 -8.3958
34.500000 86.106 -9.0429
35.000000 86.068 -9.6883
35.500000 86.026 -10.3304
36.000000 85.981 -10.9517
36.500000 85.936 -11.5386
37.000000 85.893 -12.1023
37.500000 85.855 -12.6732
38.200001 85.800 -13.5143
38.700001 85.755 -14.1159
39.500000 85.680 -14.9957
40.000000 85.637 -15.5059
40.599998 85.586 -16.1192
41.200001 85.530 -16.7310
41.799999 85.469 -17.3113
42.500000 85.401 -17.9590
43.099998 85.347 -18.5273
43.700001 85.293 -19.0980
44.400002 85.231 -19.7233
45.000000 85.179 -20.2276
45.500000 85.134 -20.6495
46.200001 85.063 -21.2468
46.799999 84.997 -21.7378
47.500000 84.925 -22.2760
48.200001 84.864 -22.8111
48.700001 84.820 -23.1935
49.400002 84.754 -23.6915
50.000000 84.696 -24.0849
50.799999 84.619 -24.6605
51.500000 84.545 -25.2220
52.200001 84.469 -25.7060
53.000000 84.401 -26.1461
53.799999 84.342 -26.6542
54.500000 84.267 -27.1396
55.200001 84.179 -27.5444
56.000000 84.093 -27.9631
57.000000 84.003 -28.5584
58.000000 83.910 -29.1051
59.000000 83.812 -29.5695
60.000000 83.720 -30.0586
60.799999 83.642 -30.5161
61.500000 83.562 -30.8660
62.200001 83.486 -31.1194
63.000000 83.414 -31.4218
64.000000 83.326 -31.9127
65.000000 83.228 -32.3122
66.000000 83.140 -32.6548
67.000000 83.048 -33.1260
68.000000 82.949 -33.5345
69.000000 82.865 -33.8646
70.000000 82.769 -34.1261
71.000000 82.681 -34.3285
72.000000 82.585 -34.7727
73.000000 82.466 -35.1235
74.000000 82.380 -35.3709
75.000000 82.295 -35.6987
76.199997 82.174 -35.9258
77.500000 82.067 -36.2407
78.800003 81.935 -36.6704
80.000000 81.852 -36.7812
81.199997 81.734 -37.1505
82.500000 81.602 -37.3163
83.800003 81.490 -37.6965
85.000000 81.383 -37.8143
86.199997 81.282 -38.0232
87.500000 81.165 -38.1621
88.500000 81.076 -38.3019
90.000000 80.952 -38.5244
91.199997 80.847 -38.6317
92.500000 80.747 -38.6509
93.800003 80.632 -38.9195
95.000000 80.512 -38.8812
96.199997 80.424 -38.9192
97.500000 80.297 -39.1301
98.800003 80.194 -39.1180
100.000000 80.106 -39.1388
101.500000 79.990 -39.2214
103.000000 79.868 -39.1489
104.400002 79.772 -39.0631
106.000000 79.631 -39.2444
107.500000 79.506 -39.1033
109.000000 79.430 -39.0808
110.599998 79.278 -39.1514
112.000000 79.184 -39.0254
113.800003 79.064 -38.8873
115.000000 78.960 -38.9054
117.199997 78.811 -38.7381
118.000000 78.751 -38.5087
120.599998 78.553 -38.2817
122.000000 78.476 -38.2426
124.099998 78.353 -37.9462
125.000000 78.264 -37.8536
126.500000 78.175 -37.6916
128.000000 78.070 -37.4946
131.500000 77.883 -37.0373
132.000000 77.840 -36.8978
134.000000 77.667 -36.6303
136.000000 77.563 -36.2368
138.000000 77.427 -36.2329
140.000000 77.338 -35.5301
143.000000 77.188 -34.8576
145.000000 77.033 -34.5724
147.500000 77.011 -33.5807
150.000000 76.682 -32.9615
152.500000 76.581 -31.7804
155.000000 76.455 -30.6244
157.500000 76.447 -30.1161
160.000000 76.478 -28.8806
162.500000 76.404 -27.8055
165.000000 76.416 -27.3969
167.500000 76.396 -26.9918
170.000000 76.406 -26.7055
172.500000 76.363 -26.1994
175.000000 76.332 -25.9035
177.500000 76.282 -25.6077
180.000000 76.250 -25.3511
182.500000 76.178 -24.9511
185.000000 76.162 -24.9439
187.500000 76.052 -23.7569
190.000000 76.002 -24.2082
192.500000 75.949 -23.8445
195.000000 75.855 -23.3677
197.500000 75.869 -23.1913
200.000000 75.805 -22.5927
203.000000 75.734 -22.1915
206.000000 75.730 -21.7260
209.000000 75.645 -20.7394
212.000000 75.610 -20.3375
214.000000 75.577 -20.2169
218.000000 75.527 -19.5042
220.000000 75.498 -19.1330
224.000000 75.491 -18.7388
227.000000 75.423 -18.1270
230.000000 75.432 -17.6713
233.000000 75.386 -17.0925
236.000000 75.380 -16.6137
240.000000 75.325 -16.0447
243.000000 75.327 -15.5371
247.000000 75.322 -15.0938
250.000000 75.293 -14.7543
254.000000 75.263 -13.9932
258.000000 75.262 -13.5622
262.000000 75.251 -13.0695
265.000000 75.240 -12.5528
269.000000 75.234 -12.1761
272.000000 75.220 -11.7582
276.000000 75.231 -11.3819
280.000000 75.232 -10.8417
285.000000 75.204 -10.5838
290.000000 75.182 -9.8845
295.000000 75.226 -9.6722
300.000000 75.159 -8.7564
304.000000 75.133 -8.5337
307.000000 75.177 -8.2806
311.000000 75.189 -7.8923
315.000000 75.155 -7.5030
320.000000 75.135 -6.9776
325.000000 75.144 -6.3029
330.000000 75.116 -6.0196
335.000000 75.177 -5.0820
340.000000 75.153 -4.3500
345.000000 75.210 -3.9818
350.000000 75.309 -3.7690
355.000000 75.370 -3.3959
360.000000 75.411 -3.6376
365.000000 75.433 -3.4299
370.000000 75.421 -3.4811
375.000000 75.442 -3.5129
382.000000 75.419 -3.0786
387.000000 75.394 -3.0799
395.000000 75.350 -2.7020
400.000000 75.339 -2.3566
406.000000 75.334 -2.1415
412.000000 75.333 -1.8108
418.000000 75.267 -1.4894
425.000000 75.307 -1.0861
431.000000 75.278 -0.8517
437.000000 75.280 -0.3982
444.000000 75.275 -0.2976
450.000000 75.234 0.0045
455.000000 75.248 0.2188
462.000000 75.262 0.5807
468.000000 75.191 1.0136
475.000000 75.192 1.3262
482.000000 75.178 1.6022
487.000000 75.175 1.9568
494.000000 75.165 2.3840
500.000000 75.184 2.5948
508.000000 75.158 3.0544
515.000000 75.161 3.5684
522.000000 75.105 3.9703
530.000000 75.122 4.2894
538.000000 75.103 4.6908
545.000000 75.096 5.3014
552.000000 75.080 5.5179
560.000000 75.069 6.0857
570.000000 75.078 6.6205
580.000000 75.066 7.1631
590.000000 75.061 7.8815
600.000000 75.064 8.6121
608.000000 75.062 8.9809
615.000000 75.076 9.5996
622.000000 75.080 9.8533
630.000000 75.062 10.5631
640.000000 75.076 11.1040
650.000000 75.119 11.6866
660.000000 75.141 12.4810
670.000000 75.151 13.0909
680.000000 75.158 13.6537
690.000000 75.207 14.4241
700.000000 75.225 14.8859
710.000000 75.267 15.5557
720.000000 75.259 16.0997
730.000000 75.353 16.5651
740.000000 75.390 17.3949
750.000000 75.414 18.1562
762.000000 75.452 18.6069
775.000000 75.544 19.4608
788.000000 75.598 20.1436
800.000000 75.675 20.8246
812.000000 75.749 21.6227
825.000000 75.809 22.3346
838.000000 75.907 22.8283
850.000000 75.986 23.6666
862.000000 76.069 24.0750
875.000000 76.165 24.8343
885.000000 76.249 25.2789
900.000000 76.386 25.8147
912.000000 76.467 26.4361
925.000000 76.576 26.6154
938.000000 76.693 27.1887
950.000000 76.813 27.6285
962.000000 76.903 27.9386
975.000000 77.013 28.1815
988.000000 77.141 28.5342
1000.000000 77.111 28.0301
1015.000000 77.392 28.9857
1030.000000 77.532 29.0918
1044.000000 77.654 29.3262
1060.000000 77.785 29.5431
1075.000000 77.904 29.5482
1090.000000 78.069 29.4056
1106.000000 78.204 29.5025
1120.000000 78.296 29.4244
1138.000000 78.443 29.1670
1150.000000 78.536 29.0950
1172.000000 78.664 28.7195
1180.000000 78.737 28.6525
1206.000000 78.881 28.3851
1220.000000 78.960 28.1842
1241.000000 79.066 27.6716
1250.000000 79.111 27.6355
1265.000000 79.185 27.3253
1280.000000 79.272 27.1733
1315.000000 79.411 26.5226
1320.000000 79.401 26.4404
1340.000000 79.479 26.1681
1360.000000 79.535 25.8619
1380.000000 79.613 25.5722
1400.000000 79.664 25.3935
1430.000000 79.732 25.0372
1450.000000 79.795 24.7118
1475.000000 79.842 24.5199
1500.000000 79.899 24.1797
1525.000000 79.965 24.1494
1550.000000 80.017 23.7286
1575.000000 80.062 23.4946
1600.000000 80.132 23.4378
1625.000000 80.168 23.4883
1650.000000 80.240 23.0805
1675.000000 80.285 22.9163
1700.000000 80.347 22.7777
1725.000000 80.403 22.7421
1750.000000 80.472 22.6359
1775.000000 80.517 22.4370
1800.000000 80.581 22.3114
1825.000000 80.653 22.0340
1850.000000 80.701 22.0612
1875.000000 80.768 21.7966
1900.000000 80.811 21.4045
1925.000000 80.883 21.3967
1950.000000 80.938 21.2561
1975.000000 81.013 21.1186
2000.000000 80.987 21.3977
2030.000000 81.157 20.5499
2060.000000 81.220 20.4693
2090.000000 81.311 20.0118
2120.000000 81.388 19.7247
2140.000000 81.435 19.6024
2180.000000 81.558 19.1745
2200.000000 81.601 18.9720
2240.000000 81.703 18.4138
2270.000000 81.787 18.0278
2300.000000 81.854 17.4469
2330.000000 81.922 17.2934
2360.000000 82.001 16.7126
2400.000000 82.097 16.1386
2430.000000 82.168 15.6165
2470.000000 82.263 14.9213
2500.000000 82.311 14.4082
2540.000000 82.401 13.5988
2580.000000 82.470 12.8798
2620.000000 82.556 12.1438
2650.000000 82.609 11.5352
2690.000000 82.674 10.6227
2720.000000 82.725 9.9571
2760.000000 82.795 9.3320
2800.000000 82.862 8.3452
2850.000000 82.950 7.0960
2900.000000 83.001 5.9905
2950.000000 83.051 4.6670
3000.000000 83.133 3.8177
3040.000000 83.151 2.2793
3070.000000 83.145 1.4254
3110.000000 83.178 0.4110
3150.000000 83.185 -0.6407
3200.000000 83.188 -1.9225
3250.000000 83.216 -3.4262
3300.000000 83.234 -4.7572
3350.000000 83.218 -6.3428
3400.000000 83.229 -7.9295
3450.000000 83.193 -9.7587
3500.000000 83.147 -11.3784
3550.000000 83.077 -13.1624
3600.000000 82.962 -15.0601
3650.000000 82.857 -16.6802
3700.000000 82.722 -18.2408
3750.000000 82.561 -19.9764
3820.000000 82.293 -22.3602
3870.000000 82.076 -23.7058
3950.000000 81.711 -25.9847
4000.000000 81.543 -27.4751
4060.000000 81.125 -28.3132
4120.000000 80.759 -29.6108
4180.000000 80.371 -30.3675
4250.000000 79.862 -31.1386
4310.000000 79.425 -31.0239
4370.000000 78.977 -30.7524
4440.000000 78.438 -29.5650
4500.000000 78.051 -27.8339
4550.000000 77.764 -26.1381
4620.000000 77.533 -23.2571
4680.000000 77.446 -21.3882
4750.000000 77.401 -19.6581
4820.000000 77.457 -18.4238
4870.000000 77.438 -17.7149
4940.000000 77.359 -17.2091
5000.000000 77.327 -16.8419
5080.000000 77.106 -16.3097
5150.000000 76.946 -15.7696
5220.000000 76.772 -14.4901
5300.000000 76.574 -13.0030
5380.000000 76.433 -11.6229
5450.000000 76.263 -10.4121
5520.000000 76.093 -8.6719
5600.000000 76.014 -6.7115
5700.000000 75.902 -4.2513
