* Measurement data measured by REW V5.31.1
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Apr 8, 2026 7:30:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R HALCYON wide 2057
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 86.870 18.9574
20.600000 86.873 18.1221
20.900000 86.871 17.3628
21.200001 86.871 16.5995
21.400000 86.872 16.0859
21.799999 86.879 15.0556
22.000000 86.884 14.5462
22.400000 86.893 13.5593
22.700001 86.898 12.8580
23.000000 86.900 12.1904
23.299999 86.900 11.5454
23.600000 86.895 10.9100
24.000000 86.883 10.0605
24.299999 86.871 9.4155
24.700001 86.852 8.5476
25.000000 86.841 7.8964
25.400000 86.830 7.0367
25.799999 86.825 6.2021
26.200001 86.820 5.4172
26.500000 86.814 4.8753
26.900000 86.801 4.2171
27.200001 86.788 3.7548
27.600000 86.763 3.1399
28.000000 86.730 2.4839
28.500000 86.676 1.5999
29.000000 86.620 0.7102
29.500000 86.582 -0.1478
30.000000 86.572 -1.0271
30.400000 86.569 -1.7730
30.700001 86.562 -2.3306
31.100000 86.540 -2.9907
31.500000 86.513 -3.4951
32.000000 86.500 -3.9564
32.500000 86.522 -4.4775
33.000000 86.549 -5.2738
33.500000 86.534 -6.2551
34.000000 86.463 -7.1165
34.500000 86.371 -7.6795
35.000000 86.301 -8.0855
35.500000 86.264 -8.6421
36.000000 86.233 -9.4620
36.500000 86.187 -10.3510
37.000000 86.134 -11.0150
37.500000 86.101 -11.3911
38.200001 86.091 -11.9132
38.700001 86.057 -12.5945
39.500000 85.870 -13.8199
40.000000 85.738 -14.2414
40.599998 85.675 -14.4983
41.200001 85.717 -15.0352
41.799999 85.752 -15.9100
42.500000 85.707 -16.7446
43.099998 85.639 -17.1048
43.700001 85.584 -17.4956
44.400002 85.518 -18.1979
45.000000 85.458 -18.8120
45.500000 85.416 -19.2539
46.200001 85.365 -19.8477
46.799999 85.308 -20.3438
47.500000 85.233 -20.8778
48.200001 85.169 -21.4643
48.700001 85.126 -21.9253
49.400002 85.063 -22.5099
50.000000 85.010 -22.9090
50.799999 84.942 -23.3887
51.500000 84.877 -23.8333
52.200001 84.810 -24.3277
53.000000 84.728 -24.9162
53.799999 84.648 -25.4327
54.500000 84.585 -25.8457
55.200001 84.521 -26.2637
56.000000 84.443 -26.7197
57.000000 84.350 -27.2915
58.000000 84.255 -27.8566
59.000000 84.163 -28.3605
60.000000 84.067 -28.8850
60.799999 83.988 -29.2700
61.500000 83.926 -29.6090
62.200001 83.864 -29.9642
63.000000 83.789 -30.3183
64.000000 83.697 -30.7264
65.000000 83.600 -31.1850
66.000000 83.503 -31.6156
67.000000 83.414 -32.0226
68.000000 83.327 -32.4126
69.000000 83.231 -32.7970
70.000000 83.134 -33.1253
71.000000 83.046 -33.4694
72.000000 82.958 -33.7947
73.000000 82.871 -34.0606
74.000000 82.780 -34.3658
75.000000 82.680 -34.6576
76.199997 82.581 -34.9587
77.500000 82.459 -35.3577
78.800003 82.339 -35.6150
80.000000 82.241 -36.0329
81.199997 82.117 -36.1594
82.500000 82.012 -36.3782
83.800003 81.894 -36.7018
85.000000 81.797 -36.9083
86.199997 81.691 -37.0004
87.500000 81.588 -37.2834
88.500000 81.493 -37.4541
90.000000 81.374 -37.5705
91.199997 81.276 -37.7514
92.500000 81.178 -37.9112
93.800003 81.061 -38.0148
95.000000 80.957 -38.1096
96.199997 80.860 -38.2179
97.500000 80.754 -38.3206
98.800003 80.650 -38.3543
100.000000 80.562 -38.4822
101.500000 80.440 -38.4354
103.000000 80.326 -38.5378
104.400002 80.216 -38.5447
106.000000 80.100 -38.4952
107.500000 79.996 -38.5235
109.000000 79.885 -38.4781
110.599998 79.762 -38.4680
112.000000 79.655 -38.4860
113.800003 79.543 -38.4434
115.000000 79.462 -38.2518
117.199997 79.295 -38.1420
118.000000 79.250 -38.1560
120.599998 79.073 -37.8511
122.000000 78.982 -37.8261
124.099998 78.845 -37.6479
125.000000 78.796 -37.4479
126.500000 78.685 -37.3797
128.000000 78.599 -37.1315
131.500000 78.373 -36.7043
132.000000 78.347 -36.6528
134.000000 78.250 -36.4195
136.000000 78.142 -36.1370
138.000000 78.029 -35.8141
140.000000 77.884 -35.5843
143.000000 77.767 -35.0238
145.000000 77.627 -34.5433
147.500000 77.540 -34.2877
150.000000 77.391 -33.7729
152.500000 77.312 -33.3627
155.000000 77.163 -32.6914
157.500000 77.078 -32.5519
160.000000 76.991 -31.9050
162.500000 76.875 -31.2313
165.000000 76.821 -30.8419
167.500000 76.681 -30.3896
170.000000 76.617 -29.7660
172.500000 76.534 -29.2202
175.000000 76.475 -28.6445
177.500000 76.343 -28.1770
180.000000 76.339 -27.5021
182.500000 76.274 -27.2121
185.000000 76.152 -26.2664
187.500000 76.101 -26.7920
190.000000 76.058 -25.2371
192.500000 75.943 -24.5920
195.000000 75.890 -24.1153
197.500000 75.817 -23.3003
200.000000 75.756 -22.4562
203.000000 75.700 -21.2817
206.000000 75.653 -20.8666
209.000000 75.763 -19.0503
212.000000 75.770 -18.1101
214.000000 75.858 -17.9169
218.000000 75.950 -18.0107
220.000000 75.949 -17.9416
224.000000 75.916 -17.6223
227.000000 75.902 -17.4030
230.000000 75.824 -17.0772
233.000000 75.811 -16.7365
236.000000 75.823 -16.3736
240.000000 75.788 -15.8925
243.000000 75.757 -15.5949
247.000000 75.736 -14.9154
250.000000 75.699 -14.6786
254.000000 75.726 -14.2035
258.000000 75.685 -13.7755
262.000000 75.679 -13.4000
265.000000 75.649 -12.9099
269.000000 75.635 -12.4216
272.000000 75.637 -11.9454
276.000000 75.617 -11.6314
280.000000 75.635 -11.3485
285.000000 75.617 -10.7724
290.000000 75.620 -10.2132
295.000000 75.632 -9.9319
300.000000 75.585 -9.4154
304.000000 75.589 -9.1316
307.000000 75.619 -8.6262
311.000000 75.639 -8.5647
315.000000 75.608 -8.3005
320.000000 75.601 -7.8885
325.000000 75.582 -7.5533
330.000000 75.617 -7.0821
335.000000 75.616 -6.8069
340.000000 75.585 -6.4677
345.000000 75.591 -6.0136
350.000000 75.591 -5.9760
355.000000 75.570 -5.5582
360.000000 75.615 -5.2762
365.000000 75.561 -4.8620
370.000000 75.565 -4.7426
375.000000 75.580 -4.2711
382.000000 75.556 -4.0621
387.000000 75.523 -3.6530
395.000000 75.566 -3.3819
400.000000 75.547 -3.0224
406.000000 75.524 -2.5172
412.000000 75.495 -2.2291
418.000000 75.478 -1.8596
425.000000 75.493 -1.4466
431.000000 75.477 -0.8386
437.000000 75.445 -0.6545
444.000000 75.514 0.0223
450.000000 75.518 0.5547
455.000000 75.553 0.7997
462.000000 75.575 0.7061
468.000000 75.531 1.1388
475.000000 75.545 1.3033
482.000000 75.572 1.3788
487.000000 75.565 1.7725
494.000000 75.620 2.1537
500.000000 75.556 2.2009
508.000000 75.538 2.4882
515.000000 75.510 2.9339
522.000000 75.500 3.2499
530.000000 75.483 3.4428
538.000000 75.454 3.9360
545.000000 75.465 4.3010
552.000000 75.457 4.7904
560.000000 75.452 5.4141
570.000000 75.453 5.8605
580.000000 75.431 6.4229
590.000000 75.417 7.0544
600.000000 75.406 7.4440
608.000000 75.408 8.0709
615.000000 75.402 8.5658
622.000000 75.418 8.9636
630.000000 75.420 9.3154
640.000000 75.419 10.0349
650.000000 75.428 10.7169
660.000000 75.470 11.3127
670.000000 75.473 11.8378
680.000000 75.523 12.5333
690.000000 75.519 13.1076
700.000000 75.540 13.9015
710.000000 75.590 14.4010
720.000000 75.589 14.9543
730.000000 75.656 15.7781
740.000000 75.686 16.1525
750.000000 75.748 16.6623
762.000000 75.813 17.5310
775.000000 75.830 18.4204
788.000000 75.905 19.0493
800.000000 75.984 19.7971
812.000000 76.069 20.2828
825.000000 76.142 20.9559
838.000000 76.234 21.7447
850.000000 76.297 22.3695
862.000000 76.390 22.5195
875.000000 76.503 23.5074
885.000000 76.582 23.7729
900.000000 76.694 24.5319
912.000000 76.797 25.0524
925.000000 76.912 25.4848
938.000000 77.021 25.7902
950.000000 77.138 26.3536
962.000000 77.241 26.6284
975.000000 77.364 26.9053
988.000000 77.476 27.3027
1000.000000 77.432 26.8834
1015.000000 77.716 27.7592
1030.000000 77.883 27.7097
1044.000000 77.990 27.9108
1060.000000 78.119 27.8529
1075.000000 78.266 27.9662
1090.000000 78.410 27.9342
1106.000000 78.543 27.8823
1120.000000 78.651 27.7704
1138.000000 78.779 27.5489
1150.000000 78.882 27.3717
1172.000000 79.027 27.0432
1180.000000 79.062 26.9889
1206.000000 79.246 26.3997
1220.000000 79.336 26.2819
1241.000000 79.422 25.7827
1250.000000 79.492 25.6298
1265.000000 79.566 25.3238
1280.000000 79.632 25.1330
1315.000000 79.771 24.3952
1320.000000 79.785 24.3010
1340.000000 79.851 23.9195
1360.000000 79.901 23.5885
1380.000000 79.959 23.2636
1400.000000 80.035 23.0448
1430.000000 80.107 22.4528
1450.000000 80.141 22.1006
1475.000000 80.207 21.8336
1500.000000 80.277 21.5849
1525.000000 80.336 21.2340
1550.000000 80.366 21.0222
1575.000000 80.411 20.7380
1600.000000 80.478 20.5403
1625.000000 80.534 20.3352
1650.000000 80.577 20.0236
1675.000000 80.616 19.8292
1700.000000 80.676 19.6717
1725.000000 80.724 19.5053
1750.000000 80.776 19.2246
1775.000000 80.833 19.0203
1800.000000 80.887 18.8982
1825.000000 80.971 18.8192
1850.000000 81.001 18.5524
1875.000000 81.076 18.3639
1900.000000 81.121 18.0001
1925.000000 81.183 17.8263
1950.000000 81.243 17.7361
1975.000000 81.289 17.3536
2000.000000 81.269 17.3479
2030.000000 81.426 16.8458
2060.000000 81.510 16.4901
2090.000000 81.584 16.2648
2120.000000 81.642 15.8878
2140.000000 81.700 15.6379
2180.000000 81.802 15.1613
2200.000000 81.844 14.8439
2240.000000 81.943 14.3166
2270.000000 82.011 13.8187
2300.000000 82.091 13.4619
2330.000000 82.156 12.9046
2360.000000 82.251 12.6254
2400.000000 82.332 11.8710
2430.000000 82.402 11.2599
2470.000000 82.483 10.3164
2500.000000 82.550 9.8991
2540.000000 82.631 9.1197
2580.000000 82.708 8.1503
2620.000000 82.778 7.2873
2650.000000 82.821 6.7095
2690.000000 82.912 5.6289
2720.000000 82.960 5.0246
2760.000000 83.023 4.1134
2800.000000 83.084 3.1186
2850.000000 83.148 1.9129
2900.000000 83.219 0.5264
2950.000000 83.260 -0.8315
3000.000000 83.336 -1.8400
3040.000000 83.354 -3.5479
3070.000000 83.352 -4.5400
3110.000000 83.396 -5.7791
3150.000000 83.393 -7.1503
3200.000000 83.400 -8.6149
3250.000000 83.368 -10.5003
3300.000000 83.349 -12.0819
3350.000000 83.291 -13.8336
3400.000000 83.262 -15.6897
3450.000000 83.187 -17.3193
3500.000000 83.072 -19.2020
3550.000000 82.957 -20.9821
3600.000000 82.831 -22.5785
3650.000000 82.677 -24.3848
3700.000000 82.534 -26.0655
3750.000000 82.322 -27.8956
3820.000000 82.011 -29.9127
3870.000000 81.791 -31.4479
3950.000000 81.368 -33.4054
4000.000000 81.141 -35.0236
4060.000000 80.740 -36.0793
4120.000000 80.321 -37.2079
4180.000000 79.908 -37.9050
4250.000000 79.359 -38.5442
4310.000000 78.924 -38.5352
4370.000000 78.423 -38.0026
4440.000000 77.920 -36.4444
4500.000000 77.503 -34.7347
4550.000000 77.230 -32.7998
4620.000000 77.011 -30.2687
4680.000000 76.920 -27.9556
4750.000000 76.919 -26.0510
4820.000000 76.967 -25.0017
4870.000000 77.005 -24.4331
4940.000000 76.944 -24.2329
5000.000000 76.986 -23.9337
5080.000000 76.727 -24.0486
5150.000000 76.544 -23.8128
5220.000000 76.357 -23.0543
5300.000000 76.094 -22.5320
5380.000000 75.844 -21.5539
5450.000000 75.634 -20.3744
5520.000000 75.422 -19.2681
5600.000000 75.216 -17.7436
5700.000000 75.020 -15.6032
