* Measurement data measured by REW V5.31.1
* Source: Microphone (5- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: May 21, 2025 3:41:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R HARMON 687
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 78.957 20.9136
20.600000 78.975 20.1185
20.900000 78.981 19.4022
21.200001 78.984 18.7355
21.400000 78.988 18.3277
21.799999 79.003 17.5940
22.000000 79.015 17.2591
22.400000 79.046 16.6210
22.700001 79.069 16.1414
23.000000 79.089 15.6411
23.299999 79.101 15.1168
23.600000 79.104 14.5738
24.000000 79.098 13.8360
24.299999 79.090 13.2847
24.700001 79.079 12.5607
25.000000 79.075 12.0266
25.400000 79.075 11.3249
25.799999 79.077 10.6391
26.200001 79.077 9.9839
26.500000 79.073 9.5247
26.900000 79.064 8.9661
27.200001 79.056 8.5859
27.600000 79.048 8.1143
28.000000 79.046 7.6487
28.500000 79.053 7.0252
29.000000 79.061 6.3503
29.500000 79.058 5.6878
30.000000 79.047 5.1209
30.400000 79.037 4.7475
30.700001 79.032 4.4932
31.100000 79.029 4.1452
31.500000 79.024 3.7577
32.000000 79.006 3.2221
32.500000 78.970 2.6781
33.000000 78.926 2.1482
33.500000 78.885 1.5868
34.000000 78.855 0.9289
34.500000 78.840 0.1703
35.000000 78.844 -0.6249
35.500000 78.861 -1.3586
36.000000 78.878 -1.9408
36.500000 78.881 -2.3091
37.000000 78.861 -2.4692
37.500000 78.824 -2.5392
38.200001 78.763 -2.8755
38.700001 78.718 -3.4586
39.500000 78.658 -4.7197
40.000000 78.645 -5.4023
40.599998 78.659 -5.9675
41.200001 78.679 -6.3521
41.799999 78.668 -6.6773
42.500000 78.611 -7.0553
43.099998 78.556 -7.4624
43.700001 78.516 -8.0146
44.400002 78.476 -8.7180
45.000000 78.446 -9.1969
45.500000 78.428 -9.5259
46.200001 78.410 -10.0523
46.799999 78.384 -10.5776
47.500000 78.350 -11.1170
48.200001 78.327 -11.6080
48.700001 78.304 -11.9803
49.400002 78.248 -12.4216
50.000000 78.204 -12.6778
50.799999 78.175 -13.1168
51.500000 78.138 -13.6332
52.200001 78.089 -14.0578
53.000000 78.050 -14.6316
53.799999 77.995 -15.4617
54.500000 77.932 -15.9811
55.200001 77.905 -16.2070
56.000000 77.898 -16.4891
57.000000 77.837 -16.9852
58.000000 77.753 -17.4837
59.000000 77.702 -18.0488
60.000000 77.661 -18.7114
60.799999 77.603 -19.1108
61.500000 77.552 -19.2973
62.200001 77.511 -19.5230
63.000000 77.452 -19.9362
64.000000 77.364 -20.4303
65.000000 77.318 -20.8289
66.000000 77.277 -21.3412
67.000000 77.189 -21.7669
68.000000 77.119 -22.0865
69.000000 77.072 -22.5862
70.000000 77.004 -23.0089
71.000000 76.925 -23.3520
72.000000 76.844 -23.7809
73.000000 76.776 -24.1871
74.000000 76.720 -24.4789
75.000000 76.655 -24.7644
76.199997 76.563 -25.1046
77.500000 76.490 -25.5475
78.800003 76.386 -26.0355
80.000000 76.302 -26.3226
81.199997 76.238 -26.5152
82.500000 76.159 -26.8254
83.800003 76.051 -27.2569
85.000000 75.975 -27.6012
86.199997 75.877 -27.7684
87.500000 75.783 -27.9891
88.500000 75.718 -28.2038
90.000000 75.654 -28.5419
91.199997 75.533 -28.9785
92.500000 75.429 -28.9639
93.800003 75.374 -29.1868
95.000000 75.292 -29.2927
96.199997 75.241 -29.5757
97.500000 75.126 -29.8271
98.800003 75.058 -29.9182
100.000000 74.963 -30.3322
101.500000 74.851 -30.6578
103.000000 74.739 -30.7290
104.400002 74.622 -30.7933
106.000000 74.539 -30.9496
107.500000 74.448 -30.9090
109.000000 74.377 -30.7614
110.599998 74.263 -31.0828
112.000000 74.215 -30.8721
113.800003 74.061 -30.8568
115.000000 73.995 -31.0683
117.199997 73.816 -30.8621
118.000000 73.783 -31.0264
120.599998 73.668 -31.0231
122.000000 73.537 -30.9105
124.099998 73.407 -30.6573
125.000000 73.355 -30.5419
126.500000 73.240 -30.8869
128.000000 73.181 -30.7710
131.500000 73.018 -30.4662
132.000000 72.987 -30.4056
134.000000 72.849 -30.0043
136.000000 72.730 -29.9933
138.000000 72.641 -29.7710
140.000000 72.574 -29.4909
143.000000 72.380 -29.4638
145.000000 72.286 -29.2134
147.500000 72.182 -28.8388
150.000000 72.090 -28.4298
152.500000 71.961 -27.8728
155.000000 71.883 -27.7979
157.500000 71.765 -27.2588
160.000000 71.689 -26.6270
162.500000 71.571 -26.9423
165.000000 71.469 -25.9759
167.500000 71.395 -25.6951
170.000000 71.310 -25.2526
172.500000 71.239 -24.7949
175.000000 71.132 -24.2760
177.500000 71.081 -23.9773
180.000000 70.987 -23.4041
182.500000 70.926 -22.9445
185.000000 70.861 -22.8140
187.500000 70.837 -21.9032
190.000000 70.732 -21.6211
192.500000 70.677 -21.4032
195.000000 70.656 -20.8120
197.500000 70.563 -20.3654
200.000000 70.580 -19.6812
203.000000 70.497 -19.3635
206.000000 70.424 -18.6217
209.000000 70.336 -18.1572
212.000000 70.349 -17.7966
214.000000 70.258 -17.1715
218.000000 70.297 -16.7874
220.000000 70.280 -16.3282
224.000000 70.191 -15.7446
227.000000 70.185 -15.5054
230.000000 70.118 -14.7322
233.000000 70.120 -13.8693
236.000000 70.048 -13.8343
240.000000 70.023 -13.0714
243.000000 69.994 -12.9033
247.000000 70.005 -12.0983
250.000000 69.994 -11.7391
254.000000 70.005 -11.3066
258.000000 70.016 -10.5251
262.000000 69.886 -10.0001
265.000000 69.881 -9.6824
269.000000 69.867 -9.1437
272.000000 69.926 -8.9248
276.000000 69.858 -8.5087
280.000000 69.900 -7.5600
285.000000 69.838 -7.1165
290.000000 69.884 -6.8014
295.000000 69.843 -6.3009
300.000000 69.846 -5.7085
304.000000 69.806 -5.2870
307.000000 69.846 -4.7863
311.000000 69.821 -4.4103
315.000000 69.829 -3.8516
320.000000 69.851 -3.5644
325.000000 69.806 -2.9126
330.000000 69.805 -2.7410
335.000000 69.828 -2.0237
340.000000 69.786 -1.9458
345.000000 69.823 -1.1975
350.000000 69.784 -1.0230
355.000000 69.823 -0.1882
360.000000 69.806 -0.2363
365.000000 69.813 0.0706
370.000000 69.794 0.6818
375.000000 69.795 0.7736
382.000000 69.857 1.4625
387.000000 69.787 1.9767
395.000000 69.809 2.3771
400.000000 69.798 3.2631
406.000000 69.810 3.2952
412.000000 69.779 3.2597
418.000000 69.867 4.1964
425.000000 69.862 4.5995
431.000000 69.847 4.7209
437.000000 69.859 5.1019
444.000000 69.807 5.6575
450.000000 69.871 6.0592
455.000000 69.810 6.2494
462.000000 69.883 6.7302
468.000000 69.915 7.2002
475.000000 69.879 7.5949
482.000000 69.868 7.8163
487.000000 69.889 8.0695
494.000000 69.891 8.7003
500.000000 69.880 8.5578
508.000000 69.900 9.5980
515.000000 69.897 9.5028
522.000000 69.885 10.4590
530.000000 69.890 10.6496
538.000000 69.914 11.0677
545.000000 69.914 11.6845
552.000000 69.946 11.8302
560.000000 69.900 12.4328
570.000000 69.922 13.3067
580.000000 69.992 13.5738
590.000000 69.975 14.3470
600.000000 69.997 14.5529
608.000000 69.956 14.7960
615.000000 69.998 15.4861
622.000000 70.020 16.0964
630.000000 70.034 16.7172
640.000000 70.050 17.0258
650.000000 70.161 17.6795
660.000000 70.073 18.2251
670.000000 70.142 19.1149
680.000000 70.149 19.0826
690.000000 70.217 20.1955
700.000000 70.169 20.5701
710.000000 70.276 21.3072
720.000000 70.248 21.8292
730.000000 70.341 22.5241
740.000000 70.354 23.0325
750.000000 70.402 23.7037
762.000000 70.453 24.0474
775.000000 70.459 24.8731
788.000000 70.519 25.9476
800.000000 70.610 26.6575
812.000000 70.566 27.3422
825.000000 70.669 27.9763
838.000000 70.816 28.5245
850.000000 70.836 28.9745
862.000000 70.921 30.0254
875.000000 70.999 30.5053
885.000000 71.092 30.8514
900.000000 71.178 31.6819
912.000000 71.255 32.6348
925.000000 71.370 32.8456
938.000000 71.468 33.3065
950.000000 71.551 34.1878
962.000000 71.672 34.2606
975.000000 71.809 34.7761
988.000000 71.893 35.2857
1000.000000 72.146 36.6477
1015.000000 72.185 36.4361
1030.000000 72.252 36.6975
1044.000000 72.396 37.1193
1060.000000 72.548 37.3426
1075.000000 72.684 37.4000
1090.000000 72.835 37.6686
1106.000000 72.924 38.0440
1120.000000 73.049 38.1574
1138.000000 73.208 38.0049
1150.000000 73.281 38.7124
1172.000000 73.450 38.1541
1180.000000 73.550 38.2961
1206.000000 73.732 38.3913
1220.000000 73.793 38.7380
1241.000000 73.945 38.2454
1250.000000 74.020 38.3321
1265.000000 74.146 38.1272
1280.000000 74.234 38.0468
1315.000000 74.374 38.0585
1320.000000 74.464 37.8015
1340.000000 74.544 38.1806
1360.000000 74.642 38.0109
1380.000000 74.735 37.7529
1400.000000 74.834 37.5291
1430.000000 75.014 37.4138
1450.000000 75.077 37.2947
1475.000000 75.198 37.1508
1500.000000 75.295 36.9438
1525.000000 75.424 36.6932
1550.000000 75.532 36.4832
1575.000000 75.615 36.5697
1600.000000 75.716 36.6570
1625.000000 75.801 36.5264
1650.000000 75.884 36.2204
1675.000000 76.037 36.2423
1700.000000 76.118 35.8697
1725.000000 76.232 35.9577
1750.000000 76.360 35.8394
1775.000000 76.448 35.5717
1800.000000 76.580 35.6428
1825.000000 76.658 35.3312
1850.000000 76.790 35.2117
1875.000000 76.858 34.9116
1900.000000 76.969 34.7086
1925.000000 77.053 34.5860
1950.000000 77.195 34.1747
1975.000000 77.319 34.0386
2000.000000 77.305 33.6173
2030.000000 77.544 33.3814
2060.000000 77.677 32.9247
2090.000000 77.785 32.4315
2120.000000 77.943 31.9754
2140.000000 78.011 31.7250
2180.000000 78.164 31.0321
2200.000000 78.249 30.6136
2240.000000 78.421 30.1477
2270.000000 78.528 29.3462
2300.000000 78.649 28.6564
2330.000000 78.747 28.1051
2360.000000 78.821 27.2954
2400.000000 78.969 26.2878
2430.000000 79.084 25.4959
2470.000000 79.196 24.4793
2500.000000 79.285 23.8230
2540.000000 79.395 22.8163
2580.000000 79.515 21.4651
2620.000000 79.582 20.3675
2650.000000 79.654 19.4304
2690.000000 79.740 18.2769
2720.000000 79.786 17.5691
2760.000000 79.854 16.2225
2800.000000 79.894 14.8955
2850.000000 79.968 13.5107
2900.000000 80.035 11.9345
2950.000000 80.078 10.4373
3000.000000 80.165 9.0688
3040.000000 80.169 7.5899
3070.000000 80.126 6.7685
3110.000000 80.140 5.5346
3150.000000 80.153 4.1813
3200.000000 80.162 2.8327
3250.000000 80.145 1.1994
3300.000000 80.125 -0.5596
3350.000000 80.124 -1.8625
3400.000000 80.064 -3.5195
3450.000000 80.046 -5.1558
3500.000000 79.977 -6.6191
3550.000000 79.930 -8.4725
3600.000000 79.869 -9.8151
3650.000000 79.766 -11.3743
3700.000000 79.665 -12.9059
3750.000000 79.488 -14.4071
3820.000000 79.264 -16.3048
3870.000000 79.119 -17.3270
3950.000000 78.988 -19.2810
4000.000000 78.897 -20.2324
4060.000000 78.706 -22.2101
4120.000000 78.444 -23.8670
4180.000000 78.182 -25.5084
4250.000000 77.906 -26.6313
4310.000000 77.657 -27.8661
4370.000000 77.368 -28.7028
4440.000000 77.048 -29.5333
4500.000000 76.701 -30.5421
4550.000000 76.478 -30.6867
4620.000000 76.112 -31.5085
4680.000000 75.822 -32.0850
4750.000000 75.478 -31.8629
4820.000000 75.122 -31.8614
4870.000000 74.940 -31.8085
4940.000000 74.564 -31.6838
5000.000000 74.301 -30.0650
5080.000000 73.917 -30.3487
5150.000000 73.604 -30.0240
5220.000000 73.295 -29.5125
5300.000000 72.966 -27.8655
5380.000000 72.704 -26.4697
5450.000000 72.398 -25.2576
5520.000000 72.156 -24.3177
5600.000000 71.967 -23.1400
5700.000000 71.604 -21.0261
5800.000000 71.380 -18.5126
5900.000000 71.095 -17.0989
