* Measurement data measured by REW V5.31.1
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Apr 15, 2026 9:51:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L HE XIAO QIAO CLEAR 2075
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 87.203 -149.8635
20.600000 87.222 -150.7027
20.900000 87.231 -151.4550
21.200001 87.237 -152.1905
21.400000 87.241 -152.6713
21.799999 87.249 -153.6046
22.000000 87.254 -154.0538
22.400000 87.265 -154.9113
22.700001 87.275 -155.5186
23.000000 87.286 -156.1021
23.299999 87.297 -156.6730
23.600000 87.309 -157.2409
24.000000 87.322 -158.0018
24.299999 87.329 -158.5730
24.700001 87.334 -159.3240
25.000000 87.337 -159.8715
25.400000 87.342 -160.5789
25.799999 87.348 -161.2712
26.200001 87.355 -161.9619
26.500000 87.359 -162.4811
26.900000 87.360 -163.1682
27.200001 87.358 -163.6714
27.600000 87.351 -164.3178
28.000000 87.344 -164.9360
28.500000 87.337 -165.6819
29.000000 87.331 -166.4142
29.500000 87.326 -167.1387
30.000000 87.319 -167.8541
30.400000 87.312 -168.4174
30.700001 87.305 -168.8326
31.100000 87.296 -169.3721
31.500000 87.286 -169.8933
32.000000 87.275 -170.5224
32.500000 87.267 -171.1382
33.000000 87.259 -171.7470
33.500000 87.246 -172.3403
34.000000 87.229 -172.9075
34.500000 87.210 -173.4532
35.000000 87.190 -173.9906
35.500000 87.169 -174.5250
36.000000 87.150 -175.0511
36.500000 87.134 -175.5696
37.000000 87.122 -176.0908
37.500000 87.107 -176.6146
38.200001 87.080 -177.3118
38.700001 87.057 -177.7639
39.500000 87.026 -178.4695
40.000000 87.006 -178.9350
40.599998 86.977 -179.4901
41.200001 86.945 -179.9898
41.799999 86.917 179.5538
42.500000 86.888 179.0113
43.099998 86.859 178.5320
43.700001 86.829 178.0700
44.400002 86.799 177.5488
45.000000 86.776 177.0995
45.500000 86.754 176.7375
46.200001 86.718 176.2727
46.799999 86.688 175.8858
47.500000 86.652 175.4015
48.200001 86.614 174.9125
48.700001 86.589 174.5856
49.400002 86.558 174.1484
50.000000 86.529 173.7860
50.799999 86.485 173.3508
51.500000 86.449 172.9863
52.200001 86.413 172.5902
53.000000 86.370 172.1535
53.799999 86.337 171.7473
54.500000 86.309 171.3504
55.200001 86.271 170.9562
56.000000 86.223 170.5733
57.000000 86.170 170.0957
58.000000 86.120 169.6388
59.000000 86.076 169.2052
60.000000 86.019 168.8007
60.799999 85.974 168.5156
61.500000 85.941 168.2147
62.200001 85.906 167.8926
63.000000 85.865 167.5801
64.000000 85.813 167.2249
65.000000 85.754 166.8812
66.000000 85.706 166.5362
67.000000 85.657 166.1541
68.000000 85.604 165.8544
69.000000 85.559 165.5512
70.000000 85.507 165.2543
71.000000 85.459 165.0156
72.000000 85.406 164.7075
73.000000 85.355 164.4369
74.000000 85.314 164.1437
75.000000 85.255 163.8527
76.199997 85.189 163.5568
77.500000 85.133 163.1890
78.800003 85.074 162.9609
80.000000 85.010 162.7527
81.199997 84.952 162.4994
82.500000 84.895 162.2265
83.800003 84.841 161.9695
85.000000 84.787 161.7221
86.199997 84.724 161.5296
87.500000 84.660 161.3369
88.500000 84.615 161.1719
90.000000 84.547 160.9468
91.199997 84.492 160.7716
92.500000 84.434 160.5887
93.800003 84.378 160.4282
95.000000 84.333 160.2480
96.199997 84.284 160.1375
97.500000 84.219 159.9342
98.800003 84.153 159.8037
100.000000 84.109 159.7306
101.500000 84.042 159.5511
103.000000 83.986 159.4989
104.400002 83.927 159.2746
106.000000 83.859 159.2137
107.500000 83.804 159.1133
109.000000 83.745 159.0465
110.599998 83.673 158.9025
112.000000 83.621 158.8904
113.800003 83.552 158.9074
115.000000 83.488 158.8374
117.199997 83.435 158.5843
118.000000 83.403 158.7510
120.599998 83.246 158.1229
122.000000 83.263 158.2409
124.099998 83.138 157.8504
125.000000 83.206 157.5824
126.500000 83.226 158.7896
128.000000 82.940 159.1494
131.500000 82.943 157.9005
132.000000 82.915 158.0274
134.000000 82.843 157.9948
136.000000 82.787 158.0795
138.000000 82.715 158.1253
140.000000 82.637 157.8969
143.000000 82.558 158.0345
145.000000 82.456 158.2333
147.500000 82.414 157.7492
150.000000 82.344 158.6193
152.500000 82.211 157.8542
155.000000 82.227 158.6557
157.500000 82.245 158.4385
160.000000 82.017 157.6956
162.500000 81.992 158.5619
165.000000 81.892 158.8911
167.500000 81.846 158.9749
170.000000 81.725 158.9890
172.500000 81.683 159.0500
175.000000 81.572 158.9586
177.500000 81.579 159.3174
180.000000 81.359 159.4901
182.500000 81.429 159.0815
185.000000 81.275 160.5906
187.500000 81.150 160.0617
190.000000 81.125 160.7953
192.500000 81.048 161.1853
195.000000 80.999 161.9402
197.500000 80.956 162.6137
200.000000 80.983 163.5780
203.000000 81.067 163.9294
206.000000 81.106 164.3170
209.000000 81.182 164.3368
212.000000 81.237 163.8260
214.000000 81.223 163.8688
218.000000 81.156 163.1737
220.000000 81.149 163.3787
224.000000 81.118 163.3116
227.000000 81.040 163.1068
230.000000 80.981 163.2488
233.000000 80.929 163.3514
236.000000 80.894 163.4763
240.000000 80.858 163.5267
243.000000 80.809 163.3753
247.000000 80.708 163.7879
250.000000 80.677 163.8820
254.000000 80.625 163.9371
258.000000 80.579 164.0888
262.000000 80.504 164.3198
265.000000 80.476 164.5722
269.000000 80.412 164.6828
272.000000 80.402 164.8063
276.000000 80.309 165.2025
280.000000 80.286 165.2683
285.000000 80.231 165.6152
290.000000 80.179 166.0419
295.000000 80.131 166.1745
300.000000 80.052 166.4127
304.000000 80.025 166.5012
307.000000 79.998 166.7749
311.000000 79.942 167.1203
315.000000 79.919 167.3134
320.000000 79.885 167.6736
325.000000 79.834 167.9615
330.000000 79.771 168.3677
335.000000 79.730 168.6501
340.000000 79.699 169.0553
345.000000 79.659 169.2761
350.000000 79.599 169.6168
355.000000 79.565 169.9235
360.000000 79.512 170.3295
365.000000 79.436 170.7826
370.000000 79.398 171.4697
375.000000 79.437 171.9249
382.000000 79.442 172.1130
387.000000 79.438 172.4807
395.000000 79.393 172.9022
400.000000 79.384 173.1746
406.000000 79.359 173.4001
412.000000 79.332 173.7010
418.000000 79.310 173.9591
425.000000 79.302 174.2603
431.000000 79.249 174.6871
437.000000 79.225 174.8139
444.000000 79.188 175.3144
450.000000 79.161 175.6479
455.000000 79.129 175.8779
462.000000 79.117 176.3574
468.000000 79.097 176.6793
475.000000 79.070 177.0997
482.000000 79.033 177.5161
487.000000 79.002 177.6391
494.000000 78.997 178.1395
500.000000 78.979 178.4484
508.000000 78.939 178.9354
515.000000 78.943 179.3916
522.000000 78.898 179.6654
530.000000 78.898 -179.8299
538.000000 78.871 -179.3469
545.000000 78.848 -178.9335
552.000000 78.838 -178.6191
560.000000 78.805 -178.0781
570.000000 78.779 -177.4702
580.000000 78.759 -176.9528
590.000000 78.763 -176.3544
600.000000 78.755 -175.7640
608.000000 78.737 -175.3663
615.000000 78.737 -174.9218
622.000000 78.728 -174.4218
630.000000 78.719 -174.0764
640.000000 78.699 -173.4643
650.000000 78.698 -172.8115
660.000000 78.699 -172.3936
670.000000 78.704 -171.8292
680.000000 78.665 -171.2354
690.000000 78.696 -170.7016
700.000000 78.693 -169.9462
710.000000 78.689 -169.4889
720.000000 78.701 -168.8822
730.000000 78.703 -168.1878
740.000000 78.708 -167.7657
750.000000 78.729 -167.1357
762.000000 78.731 -166.5078
775.000000 78.737 -165.6220
788.000000 78.747 -164.9651
800.000000 78.770 -164.2245
812.000000 78.786 -163.4291
825.000000 78.831 -162.7015
838.000000 78.870 -161.7464
850.000000 78.935 -161.2121
862.000000 78.991 -160.5886
875.000000 79.015 -159.6552
885.000000 79.064 -159.2480
900.000000 79.148 -158.4809
912.000000 79.189 -157.8500
925.000000 79.266 -157.3084
938.000000 79.314 -156.6964
950.000000 79.396 -156.2135
962.000000 79.450 -155.5786
975.000000 79.542 -155.1505
988.000000 79.630 -154.6070
1000.000000 79.682 -155.0739
1015.000000 79.782 -153.6929
1030.000000 79.891 -153.1937
1044.000000 79.978 -152.7484
1060.000000 80.067 -152.4017
1075.000000 80.156 -151.9176
1090.000000 80.266 -151.6756
1106.000000 80.363 -151.3813
1120.000000 80.435 -151.1211
1138.000000 80.537 -150.9310
1150.000000 80.606 -150.9016
1172.000000 80.721 -150.5179
1180.000000 80.771 -150.3924
1206.000000 80.902 -150.1613
1220.000000 80.977 -150.0492
1241.000000 81.061 -149.8653
1250.000000 81.096 -149.8829
1265.000000 81.167 -149.8236
1280.000000 81.227 -149.6504
1315.000000 81.354 -149.4646
1320.000000 81.370 -149.4259
1340.000000 81.449 -149.2624
1360.000000 81.512 -149.2524
1380.000000 81.575 -149.0983
1400.000000 81.650 -148.8896
1430.000000 81.734 -148.8751
1450.000000 81.804 -148.6617
1475.000000 81.870 -148.5849
1500.000000 81.930 -148.4663
1525.000000 81.993 -148.2700
1550.000000 82.071 -148.1004
1575.000000 82.123 -147.9049
1600.000000 82.203 -147.6718
1625.000000 82.275 -147.6064
1650.000000 82.333 -147.4174
1675.000000 82.407 -147.2584
1700.000000 82.468 -147.0300
1725.000000 82.545 -146.8979
1750.000000 82.604 -146.7207
1775.000000 82.682 -146.5000
1800.000000 82.738 -146.3040
1825.000000 82.815 -146.2086
1850.000000 82.872 -146.0766
1875.000000 82.954 -145.9195
1900.000000 83.010 -145.8003
1925.000000 83.098 -145.6408
1950.000000 83.165 -145.5164
1975.000000 83.230 -145.3878
2000.000000 83.353 -144.8100
2030.000000 83.400 -145.2992
2060.000000 83.499 -145.1263
2090.000000 83.575 -145.0673
2120.000000 83.661 -144.9719
2140.000000 83.724 -144.8825
2180.000000 83.837 -144.8554
2200.000000 83.903 -144.8836
2240.000000 84.013 -144.8263
2270.000000 84.110 -144.8902
2300.000000 84.195 -144.9006
2330.000000 84.284 -144.9160
2360.000000 84.374 -144.9992
2400.000000 84.470 -145.0519
2430.000000 84.554 -145.1460
2470.000000 84.660 -145.2130
2500.000000 84.730 -145.1843
2540.000000 84.840 -145.2933
2580.000000 84.936 -145.1152
2620.000000 85.062 -145.1907
2650.000000 85.173 -145.1195
2690.000000 85.331 -145.1853
2720.000000 85.464 -145.3998
2760.000000 85.623 -145.8869
2800.000000 85.772 -146.4072
2850.000000 85.924 -147.0798
2900.000000 86.065 -147.9925
2950.000000 86.184 -148.7037
3000.000000 86.248 -149.5461
3040.000000 86.395 -150.1400
3070.000000 86.439 -150.6503
3110.000000 86.518 -151.2968
3150.000000 86.596 -151.9746
3200.000000 86.675 -152.8188
3250.000000 86.761 -153.5693
3300.000000 86.826 -154.3613
3350.000000 86.895 -155.2315
3400.000000 86.947 -156.1008
3450.000000 86.994 -156.9960
3500.000000 87.032 -157.7064
3550.000000 87.072 -158.5706
3600.000000 87.109 -159.4259
3650.000000 87.124 -160.2914
3700.000000 87.146 -161.0585
3750.000000 87.146 -161.8857
3820.000000 87.177 -162.9399
3870.000000 87.162 -163.6613
3950.000000 87.146 -164.8114
4000.000000 87.178 -166.0116
4060.000000 87.122 -166.2508
4120.000000 87.083 -167.1214
4180.000000 87.042 -167.8368
4250.000000 86.980 -168.5583
4310.000000 86.917 -169.0369
4370.000000 86.849 -169.3485
4440.000000 86.805 -169.7381
4500.000000 86.756 -170.0746
4550.000000 86.736 -170.2062
4620.000000 86.687 -170.4137
4680.000000 86.666 -170.5370
4750.000000 86.621 -170.5484
4820.000000 86.626 -170.5286
4870.000000 86.625 -170.4762
4940.000000 86.650 -170.4099
5000.000000 86.687 -170.6695
5080.000000 86.770 -170.3278
5150.000000 86.869 -170.3501
5220.000000 86.993 -170.6056
5300.000000 87.135 -171.1196
5380.000000 87.299 -172.0201
5450.000000 87.461 -173.2392
5520.000000 87.604 -174.7775
5600.000000 87.693 -177.2733
5700.000000 87.642 179.0396
5800.000000 87.337 175.2319
