* Measurement data measured by REW V5.31.1
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Apr 15, 2026 9:51:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R HE XIAO QIAO CLEAR 2076
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 88.066 -156.8077
20.600000 88.071 -157.5689
20.900000 88.068 -158.2534
21.200001 88.064 -158.9300
21.400000 88.061 -159.3776
21.799999 88.058 -160.2623
22.000000 88.058 -160.6978
22.400000 88.059 -161.5520
22.700001 88.061 -162.1774
23.000000 88.063 -162.7903
23.299999 88.063 -163.3911
23.600000 88.061 -163.9786
24.000000 88.055 -164.7390
24.299999 88.050 -165.2916
24.700001 88.042 -166.0092
25.000000 88.036 -166.5388
25.400000 88.028 -167.2398
25.799999 88.019 -167.9347
26.200001 88.007 -168.6136
26.500000 87.997 -169.1053
26.900000 87.982 -169.7353
27.200001 87.972 -170.1929
27.600000 87.959 -170.7929
28.000000 87.947 -171.3907
28.500000 87.930 -172.1333
29.000000 87.910 -172.8552
29.500000 87.888 -173.5456
30.000000 87.864 -174.2086
30.400000 87.845 -174.7260
30.700001 87.829 -175.1088
31.100000 87.809 -175.6143
31.500000 87.790 -176.1158
32.000000 87.765 -176.7368
32.500000 87.740 -177.3445
33.000000 87.714 -177.9283
33.500000 87.687 -178.4868
34.000000 87.658 -179.0293
34.500000 87.628 -179.5624
35.000000 87.596 179.9183
35.500000 87.564 179.4183
36.000000 87.535 178.9340
36.500000 87.507 178.4596
37.000000 87.480 177.9964
37.500000 87.452 177.5452
38.200001 87.414 176.9106
38.700001 87.385 176.4442
39.500000 87.329 175.7357
40.000000 87.294 175.3468
40.599998 87.259 174.8970
41.200001 87.225 174.4088
41.799999 87.182 173.9042
42.500000 87.127 173.3751
43.099998 87.088 172.9705
43.700001 87.055 172.5614
44.400002 87.015 172.0747
45.000000 86.976 171.6749
45.500000 86.941 171.3527
46.200001 86.890 170.9119
46.799999 86.847 170.5560
47.500000 86.805 170.1555
48.200001 86.764 169.7419
48.700001 86.732 169.4580
49.400002 86.686 169.1081
50.000000 86.652 168.7998
50.799999 86.599 168.3076
51.500000 86.537 167.9252
52.200001 86.480 167.6656
53.000000 86.439 167.3367
53.799999 86.395 166.8990
54.500000 86.348 166.5619
55.200001 86.305 166.2775
56.000000 86.256 165.9465
57.000000 86.194 165.5469
58.000000 86.135 165.1305
59.000000 86.069 164.7445
60.000000 86.005 164.3984
60.799999 85.952 164.1057
61.500000 85.906 163.8722
62.200001 85.862 163.6545
63.000000 85.813 163.3973
64.000000 85.753 163.0846
65.000000 85.697 162.7782
66.000000 85.636 162.5112
67.000000 85.574 162.2813
68.000000 85.513 162.0045
69.000000 85.454 161.7316
70.000000 85.393 161.4849
71.000000 85.330 161.3132
72.000000 85.281 161.1083
73.000000 85.229 160.8680
74.000000 85.169 160.7005
75.000000 85.110 160.5278
76.199997 85.041 160.2251
77.500000 84.974 160.1780
78.800003 84.915 159.9477
80.000000 84.819 159.6711
81.199997 84.762 159.4267
82.500000 84.703 159.3223
83.800003 84.636 159.1407
85.000000 84.558 158.9580
86.199997 84.506 158.8474
87.500000 84.447 158.6421
88.500000 84.381 158.5669
90.000000 84.305 158.4456
91.199997 84.220 158.3795
92.500000 84.171 158.3602
93.800003 84.105 158.2620
95.000000 84.031 158.2791
96.199997 83.977 158.2066
97.500000 83.936 158.2078
98.800003 83.896 158.3374
100.000000 83.840 158.3360
101.500000 83.789 158.4837
103.000000 83.754 158.4526
104.400002 83.711 158.2097
106.000000 83.682 158.3055
107.500000 83.621 158.1959
109.000000 83.584 158.0188
110.599998 83.517 157.9062
112.000000 83.480 157.9608
113.800003 83.418 157.8366
115.000000 83.349 157.7533
117.199997 83.260 157.5105
118.000000 83.232 157.4684
120.599998 83.195 157.4310
122.000000 83.088 157.4549
124.099998 83.003 157.0806
125.000000 83.025 157.4188
126.500000 82.946 157.7441
128.000000 82.877 157.9026
131.500000 82.847 157.2412
132.000000 82.792 157.1224
134.000000 82.622 157.0272
136.000000 82.541 158.0008
138.000000 82.532 157.4867
140.000000 82.465 157.5211
143.000000 82.397 158.1255
145.000000 82.361 157.5392
147.500000 82.293 158.1273
150.000000 82.200 157.9502
152.500000 82.174 158.1049
155.000000 82.094 158.1408
157.500000 82.028 158.4643
160.000000 81.977 158.4567
162.500000 81.893 158.6884
165.000000 81.836 158.7459
167.500000 81.772 158.8999
170.000000 81.722 158.9883
172.500000 81.648 159.1950
175.000000 81.601 159.2343
177.500000 81.550 159.3669
180.000000 81.486 159.5519
182.500000 81.428 159.6981
185.000000 81.385 159.7789
187.500000 81.333 160.1889
190.000000 81.280 160.0708
192.500000 81.227 160.3062
195.000000 81.172 160.3148
197.500000 81.122 160.6751
200.000000 81.071 160.7620
203.000000 81.006 161.2133
206.000000 80.924 161.4335
209.000000 80.883 161.4279
212.000000 80.826 161.6520
214.000000 80.789 162.0260
218.000000 80.738 162.3367
220.000000 80.678 162.3881
224.000000 80.575 163.0598
227.000000 80.525 163.6319
230.000000 80.525 164.5775
233.000000 80.606 164.7736
236.000000 80.573 164.9756
240.000000 80.646 165.1835
243.000000 80.655 165.0536
247.000000 80.593 165.1866
250.000000 80.544 164.9405
254.000000 80.497 165.2282
258.000000 80.374 164.8360
262.000000 80.415 165.4106
265.000000 80.383 165.3897
269.000000 80.335 165.7670
272.000000 80.285 165.8658
276.000000 80.273 165.9934
280.000000 80.181 166.0913
285.000000 80.150 166.3110
290.000000 80.090 166.8091
295.000000 80.043 167.1835
300.000000 79.982 167.4030
304.000000 79.953 167.8347
307.000000 79.922 167.8082
311.000000 79.892 168.2411
315.000000 79.853 168.5355
320.000000 79.825 169.0220
325.000000 79.795 169.2910
330.000000 79.772 169.6162
335.000000 79.750 170.0065
340.000000 79.736 170.2341
345.000000 79.701 170.5925
350.000000 79.679 170.9398
355.000000 79.636 171.0382
360.000000 79.619 171.3606
365.000000 79.616 171.7534
370.000000 79.574 171.8990
375.000000 79.534 172.0659
382.000000 79.509 172.7653
387.000000 79.491 172.8614
395.000000 79.448 173.3073
400.000000 79.430 173.5868
406.000000 79.407 173.9833
412.000000 79.376 174.2041
418.000000 79.349 174.6129
425.000000 79.333 174.9935
431.000000 79.296 175.4350
437.000000 79.279 175.7508
444.000000 79.254 176.0772
450.000000 79.244 176.4072
455.000000 79.237 176.6514
462.000000 79.213 177.0402
468.000000 79.171 177.2368
475.000000 79.153 177.5977
482.000000 79.107 177.9134
487.000000 79.105 178.2230
494.000000 79.099 178.6395
500.000000 79.093 178.9257
508.000000 79.051 179.3994
515.000000 79.028 179.6464
522.000000 79.016 -179.7826
530.000000 78.984 -179.4664
538.000000 78.987 -179.0535
545.000000 78.958 -178.5737
552.000000 78.952 -178.2164
560.000000 78.923 -177.8189
570.000000 78.913 -177.3077
580.000000 78.882 -176.6783
590.000000 78.873 -176.1731
600.000000 78.852 -175.5824
608.000000 78.842 -175.2281
615.000000 78.848 -174.7575
622.000000 78.828 -174.4193
630.000000 78.824 -173.9849
640.000000 78.813 -173.5281
650.000000 78.804 -172.8113
660.000000 78.806 -172.3575
670.000000 78.806 -171.7932
680.000000 78.788 -171.4138
690.000000 78.798 -170.7519
700.000000 78.779 -170.0712
710.000000 78.769 -169.5478
720.000000 78.804 -169.0001
730.000000 78.760 -168.4429
740.000000 78.774 -167.6958
750.000000 78.794 -167.2262
762.000000 78.809 -166.3084
775.000000 78.867 -165.6784
788.000000 78.895 -164.9831
800.000000 78.931 -164.2657
812.000000 78.963 -163.6870
825.000000 79.000 -162.9628
838.000000 79.028 -162.1534
850.000000 79.080 -161.6765
862.000000 79.112 -161.1143
875.000000 79.169 -160.3919
885.000000 79.204 -159.8978
900.000000 79.269 -159.1864
912.000000 79.315 -158.6762
925.000000 79.394 -157.9951
938.000000 79.442 -157.4580
950.000000 79.498 -157.0548
962.000000 79.567 -156.4187
975.000000 79.649 -156.0568
988.000000 79.709 -155.4982
1000.000000 79.773 -155.9412
1015.000000 79.874 -154.6105
1030.000000 79.943 -154.1857
1044.000000 80.042 -153.8723
1060.000000 80.150 -153.4667
1075.000000 80.220 -153.1036
1090.000000 80.316 -152.8233
1106.000000 80.418 -152.4714
1120.000000 80.486 -152.3530
1138.000000 80.590 -151.9810
1150.000000 80.660 -151.8767
1172.000000 80.750 -151.6045
1180.000000 80.784 -151.6290
1206.000000 80.912 -151.4685
1220.000000 80.963 -151.3284
1241.000000 81.060 -151.1454
1250.000000 81.089 -151.0810
1265.000000 81.156 -151.0614
1280.000000 81.213 -150.9279
1315.000000 81.325 -150.7831
1320.000000 81.335 -150.7116
1340.000000 81.408 -150.5901
1360.000000 81.487 -150.5682
1380.000000 81.519 -150.4673
1400.000000 81.579 -150.3297
1430.000000 81.668 -150.1856
1450.000000 81.716 -149.9982
1475.000000 81.766 -149.9751
1500.000000 81.839 -149.7999
1525.000000 81.881 -149.5574
1550.000000 81.962 -149.4824
1575.000000 82.004 -149.2481
1600.000000 82.058 -149.0226
1625.000000 82.110 -148.9041
1650.000000 82.183 -148.6671
1675.000000 82.244 -148.4776
1700.000000 82.268 -148.3324
1725.000000 82.355 -148.1992
1750.000000 82.416 -147.9953
1775.000000 82.475 -147.8030
1800.000000 82.517 -147.5366
1825.000000 82.603 -147.3510
1850.000000 82.645 -147.2296
1875.000000 82.713 -146.9883
1900.000000 82.796 -146.7997
1925.000000 82.827 -146.8065
1950.000000 82.901 -146.5932
1975.000000 82.979 -146.3808
2000.000000 83.030 -145.5913
2030.000000 83.112 -146.0461
2060.000000 83.181 -145.8817
2090.000000 83.267 -145.6455
2120.000000 83.347 -145.5619
2140.000000 83.405 -145.4654
2180.000000 83.507 -145.3802
2200.000000 83.561 -145.2711
2240.000000 83.682 -145.0477
2270.000000 83.752 -145.1027
2300.000000 83.847 -144.9856
2330.000000 83.909 -144.9321
2360.000000 84.009 -144.8921
2400.000000 84.125 -144.9615
2430.000000 84.185 -144.7475
2470.000000 84.297 -144.7903
2500.000000 84.365 -144.7750
2540.000000 84.469 -144.6549
2580.000000 84.588 -144.4742
2620.000000 84.702 -144.3219
2650.000000 84.824 -144.0917
2690.000000 84.978 -144.0579
2720.000000 85.108 -144.2115
2760.000000 85.300 -144.5253
2800.000000 85.461 -144.9669
2850.000000 85.627 -145.5598
2900.000000 85.783 -146.1627
2950.000000 85.927 -146.7967
3000.000000 86.014 -147.6396
3040.000000 86.175 -148.0761
3070.000000 86.240 -148.5070
3110.000000 86.346 -149.1367
3150.000000 86.446 -149.7722
3200.000000 86.554 -150.5633
3250.000000 86.643 -151.3442
3300.000000 86.754 -152.3272
3350.000000 86.859 -153.1331
3400.000000 86.932 -153.9836
3450.000000 86.998 -154.9796
3500.000000 87.080 -155.9889
3550.000000 87.136 -156.8863
3600.000000 87.191 -157.8610
3650.000000 87.220 -158.8490
3700.000000 87.267 -159.8273
3750.000000 87.289 -160.8085
3820.000000 87.310 -162.1539
3870.000000 87.305 -163.0725
3950.000000 87.308 -164.6754
4000.000000 87.305 -165.8694
4060.000000 87.240 -166.6569
4120.000000 87.189 -167.7007
4180.000000 87.128 -168.7253
4250.000000 87.037 -169.5504
4310.000000 86.943 -170.2245
4370.000000 86.865 -170.8563
4440.000000 86.796 -171.3979
4500.000000 86.702 -171.8766
4550.000000 86.656 -172.2015
4620.000000 86.567 -172.7320
4680.000000 86.484 -172.9934
4750.000000 86.393 -173.3671
4820.000000 86.292 -173.6381
4870.000000 86.202 -173.7398
4940.000000 86.139 -173.7434
5000.000000 86.030 -174.0716
5080.000000 85.964 -173.5676
5150.000000 85.885 -173.5652
5220.000000 85.806 -173.3003
5300.000000 85.759 -173.0376
5380.000000 85.698 -172.5323
5450.000000 85.641 -172.2936
5520.000000 85.646 -172.0378
5600.000000 85.601 -171.4389
5700.000000 85.611 -170.8404
5800.000000 85.605 -170.2492
