* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 13, 2025 12:05:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L zeos 1021
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 137.187 33.9252
20.600000 137.216 32.9727
20.900000 137.227 32.1008
21.200001 137.228 31.2687
21.400000 137.228 30.7425
21.799999 137.232 29.7427
22.000000 137.238 29.2558
22.400000 137.256 28.2722
22.700001 137.271 27.5096
23.000000 137.281 26.7286
23.299999 137.287 25.9484
23.600000 137.290 25.1843
24.000000 137.298 24.2014
24.299999 137.310 23.4820
24.700001 137.336 22.5231
25.000000 137.359 21.7959
25.400000 137.383 20.8305
25.799999 137.390 19.9182
26.200001 137.375 19.1130
26.500000 137.353 18.5938
26.900000 137.318 17.9981
27.200001 137.296 17.5864
27.600000 137.280 17.0146
28.000000 137.282 16.3391
28.500000 137.298 15.3069
29.000000 137.307 14.1745
29.500000 137.297 13.1379
30.000000 137.279 12.2984
30.400000 137.268 11.6982
30.700001 137.261 11.2240
31.100000 137.243 10.5183
31.500000 137.208 9.7709
32.000000 137.146 8.9326
32.500000 137.090 8.2974
33.000000 137.065 7.7300
33.500000 137.060 7.0165
34.000000 137.039 6.1269
34.500000 136.993 5.2422
35.000000 136.945 4.5071
35.500000 136.922 3.8881
36.000000 136.922 3.2732
36.500000 136.923 2.6463
37.000000 136.912 2.0691
37.500000 136.894 1.5378
38.200001 136.863 0.6722
38.700001 136.828 -0.1138
39.500000 136.733 -1.4237
40.000000 136.666 -2.1114
40.599998 136.596 -2.8022
41.200001 136.542 -3.4755
41.799999 136.489 -4.1924
42.500000 136.424 -4.9632
43.099998 136.385 -5.4515
43.700001 136.381 -5.8928
44.400002 136.392 -6.5949
45.000000 136.370 -7.3152
45.500000 136.325 -7.8087
46.200001 136.257 -8.2347
46.799999 136.221 -8.5569
47.500000 136.182 -9.1823
48.200001 136.113 -10.0293
48.700001 136.051 -10.6261
49.400002 135.977 -11.3206
50.000000 135.941 -11.8219
50.799999 135.909 -12.5048
51.500000 135.861 -13.1039
52.200001 135.803 -13.6301
53.000000 135.756 -14.2429
53.799999 135.718 -14.8653
54.500000 135.691 -15.2368
55.200001 135.681 -15.5579
56.000000 135.661 -16.1171
57.000000 135.594 -16.8161
58.000000 135.528 -17.4112
59.000000 135.429 -18.0659
60.000000 135.327 -18.7122
60.799999 135.265 -19.4224
61.500000 135.210 -20.0627
62.200001 135.161 -20.5912
63.000000 135.117 -21.0423
64.000000 135.096 -21.4396
65.000000 135.073 -21.8953
66.000000 134.997 -22.0728
67.000000 134.929 -22.3022
68.000000 134.818 -22.8502
69.000000 134.734 -23.2484
70.000000 134.674 -23.9563
71.000000 134.578 -24.4662
72.000000 134.509 -24.9480
73.000000 134.397 -25.5369
74.000000 134.303 -25.8946
75.000000 134.242 -26.3158
76.199997 134.180 -26.5202
77.500000 134.135 -26.8500
78.800003 134.067 -27.1933
80.000000 133.996 -27.6055
81.199997 133.925 -27.9587
82.500000 133.848 -28.6904
83.800003 133.730 -29.1750
85.000000 133.640 -29.5871
86.199997 133.510 -29.9383
87.500000 133.381 -30.2463
88.500000 133.327 -30.5020
90.000000 133.293 -30.5747
91.199997 133.220 -30.4113
92.500000 133.114 -30.4662
93.800003 133.028 -30.8910
95.000000 132.937 -31.0502
96.199997 132.855 -31.1854
97.500000 132.764 -31.4731
98.800003 132.667 -31.7039
100.000000 132.569 -32.0123
101.500000 132.476 -32.6168
103.000000 132.431 -33.0839
104.400002 132.385 -33.3246
106.000000 132.321 -33.4736
107.500000 132.239 -33.4321
109.000000 132.127 -33.2701
110.599998 131.970 -33.3055
112.000000 131.862 -33.2702
113.800003 131.744 -33.2778
115.000000 131.685 -33.2149
117.199997 131.567 -33.3944
118.000000 131.538 -33.5329
120.599998 131.466 -33.6827
122.000000 131.391 -33.6836
124.099998 131.283 -34.0645
125.000000 131.231 -34.2655
126.500000 131.150 -34.5864
128.000000 131.086 -34.8365
131.500000 130.939 -34.5194
132.000000 130.909 -34.4295
134.000000 130.807 -34.1619
136.000000 130.696 -33.8551
138.000000 130.605 -33.5315
140.000000 130.490 -33.3250
143.000000 130.338 -33.4438
145.000000 130.263 -33.5409
147.500000 130.185 -33.7157
150.000000 130.118 -33.7658
152.500000 130.060 -33.7758
155.000000 129.993 -33.6271
157.500000 129.917 -33.3597
160.000000 129.829 -33.1279
162.500000 129.733 -32.7811
165.000000 129.633 -32.5652
167.500000 129.530 -32.4841
170.000000 129.462 -32.3026
172.500000 129.373 -32.0664
175.000000 129.280 -31.8849
177.500000 129.196 -31.7554
180.000000 129.139 -31.4744
182.500000 129.057 -31.1397
185.000000 128.990 -30.9919
187.500000 128.927 -30.7830
190.000000 128.870 -30.5242
192.500000 128.799 -30.3145
195.000000 128.745 -30.0844
197.500000 128.695 -29.9360
200.000000 128.639 -29.7493
203.000000 128.582 -29.5348
206.000000 128.499 -29.3128
209.000000 128.404 -28.9892
212.000000 128.308 -28.6160
214.000000 128.241 -28.3572
218.000000 128.115 -27.7559
220.000000 128.061 -27.4626
224.000000 127.961 -26.8928
227.000000 127.894 -26.4905
230.000000 127.841 -26.2887
233.000000 127.803 -26.1257
236.000000 127.778 -25.9721
240.000000 127.784 -25.7277
243.000000 127.771 -25.5409
247.000000 127.737 -25.1494
250.000000 127.719 -24.8370
254.000000 127.672 -24.5688
258.000000 127.596 -24.0582
262.000000 127.524 -23.5416
265.000000 127.460 -23.1777
269.000000 127.370 -22.6917
272.000000 127.304 -22.3383
276.000000 127.233 -21.9298
280.000000 127.177 -21.4766
285.000000 127.120 -21.0614
290.000000 127.097 -20.6371
295.000000 127.078 -20.2223
300.000000 127.076 -19.8875
304.000000 127.071 -19.6286
307.000000 127.053 -19.4225
311.000000 127.039 -19.0253
315.000000 127.016 -18.6339
320.000000 126.968 -18.1662
325.000000 126.904 -17.6483
330.000000 126.842 -17.0963
335.000000 126.785 -16.6052
340.000000 126.740 -16.1989
345.000000 126.691 -15.8157
350.000000 126.649 -15.3564
355.000000 126.618 -14.8921
360.000000 126.602 -14.6285
365.000000 126.574 -14.2373
370.000000 126.551 -13.8782
375.000000 126.505 -13.5482
382.000000 126.444 -12.9063
387.000000 126.420 -12.3236
395.000000 126.385 -11.7081
400.000000 126.335 -11.3941
406.000000 126.277 -11.1556
412.000000 126.234 -10.6807
418.000000 126.206 -10.0669
425.000000 126.162 -9.3482
431.000000 126.122 -8.8994
437.000000 126.082 -8.5957
444.000000 126.066 -8.2110
450.000000 126.072 -7.7274
455.000000 126.071 -7.2816
462.000000 126.065 -6.7417
468.000000 126.065 -6.3543
475.000000 126.079 -5.9345
482.000000 126.106 -5.5194
487.000000 126.107 -5.2613
494.000000 126.088 -4.7910
500.000000 126.090 -4.2822
508.000000 126.080 -3.7242
515.000000 126.059 -3.2370
522.000000 126.011 -2.8431
530.000000 125.951 -2.3782
538.000000 125.899 -1.7271
545.000000 125.848 -1.1244
552.000000 125.781 -0.5103
560.000000 125.730 0.0025
570.000000 125.721 0.7420
580.000000 125.718 1.3956
590.000000 125.736 1.9956
600.000000 125.749 2.6176
608.000000 125.756 3.1050
615.000000 125.753 3.5164
622.000000 125.764 4.0415
630.000000 125.747 4.6331
640.000000 125.748 5.4105
650.000000 125.754 6.1760
660.000000 125.758 6.8844
670.000000 125.782 7.6235
680.000000 125.820 8.2808
690.000000 125.848 8.9567
700.000000 125.887 9.6328
710.000000 125.915 10.2199
720.000000 125.946 10.9660
730.000000 125.972 11.6644
740.000000 126.008 12.2001
750.000000 126.034 12.7862
762.000000 126.061 13.5465
775.000000 126.068 14.4900
788.000000 126.072 15.3945
800.000000 126.084 16.0864
812.000000 126.105 16.8414
825.000000 126.143 17.7851
838.000000 126.208 18.5571
850.000000 126.268 19.2580
862.000000 126.381 19.7535
875.000000 126.460 20.6025
885.000000 126.527 21.1771
900.000000 126.630 22.0055
912.000000 126.704 22.7195
925.000000 126.787 23.4031
938.000000 126.885 24.0249
950.000000 126.959 24.4489
962.000000 127.038 25.0551
975.000000 127.116 25.6292
988.000000 127.201 26.2235
1000.000000 127.258 26.4818
1015.000000 127.358 27.1966
1030.000000 127.451 27.6834
1044.000000 127.547 28.1425
1060.000000 127.684 28.5498
1075.000000 127.807 28.9302
1090.000000 127.942 29.1922
1106.000000 128.083 29.4879
1120.000000 128.186 29.7397
1138.000000 128.309 30.0533
1150.000000 128.392 30.2024
1172.000000 128.521 30.4409
1180.000000 128.567 30.5580
1206.000000 128.704 30.8195
1220.000000 128.767 30.9010
1241.000000 128.867 31.0721
1250.000000 128.908 31.1815
1265.000000 128.992 31.2157
1280.000000 129.072 31.3138
1315.000000 129.266 31.4003
1320.000000 129.293 31.4578
1340.000000 129.391 31.5709
1360.000000 129.496 31.6123
1380.000000 129.586 31.6467
1400.000000 129.658 31.7693
1430.000000 129.781 31.9206
1450.000000 129.859 31.9449
1475.000000 129.964 32.0195
1500.000000 130.058 32.1378
1525.000000 130.150 32.2148
1550.000000 130.242 32.2861
1575.000000 130.340 32.3893
1600.000000 130.455 32.3707
1625.000000 130.569 32.3696
1650.000000 130.671 32.4576
1675.000000 130.779 32.4778
1700.000000 130.868 32.4556
1725.000000 130.962 32.4557
1750.000000 131.056 32.4358
1775.000000 131.152 32.3465
1800.000000 131.267 32.2676
1825.000000 131.369 32.1884
1850.000000 131.479 32.0791
1875.000000 131.579 31.9354
1900.000000 131.676 31.7831
1925.000000 131.766 31.6221
1950.000000 131.863 31.3905
1975.000000 131.936 31.0673
2000.000000 131.982 30.8974
2030.000000 132.025 30.7081
2060.000000 132.081 30.3876
2090.000000 132.166 30.0084
2120.000000 132.267 29.6138
2140.000000 132.331 29.3080
2180.000000 132.440 28.7797
2200.000000 132.490 28.5452
2240.000000 132.595 27.9332
2270.000000 132.674 27.4914
2300.000000 132.767 27.0162
2330.000000 132.855 26.5154
2360.000000 132.919 26.0772
2400.000000 133.004 25.4783
2430.000000 133.051 25.0725
2470.000000 133.126 24.3736
2500.000000 133.164 23.8999
2540.000000 133.208 23.2925
2580.000000 133.259 22.6663
2620.000000 133.318 21.8430
2650.000000 133.371 21.2391
2690.000000 133.433 20.3363
2720.000000 133.463 19.6903
2760.000000 133.510 18.6170
2800.000000 133.532 17.6038
2850.000000 133.506 16.4652
2900.000000 133.433 15.6230
2950.000000 133.357 15.0166
3000.000000 133.286 14.5674
3040.000000 133.242 14.4086
3070.000000 133.207 14.4109
3110.000000 133.152 14.4556
3150.000000 133.125 14.4619
3200.000000 133.110 14.5724
3250.000000 133.109 14.6832
3300.000000 133.131 14.7554
3350.000000 133.164 14.9298
3400.000000 133.232 14.9807
3450.000000 133.328 14.9085
3500.000000 133.449 14.7884
3550.000000 133.574 14.6117
3600.000000 133.702 14.2671
3650.000000 133.835 13.7951
3700.000000 133.936 13.1863
3750.000000 134.030 12.5358
3820.000000 134.119 11.4492
3870.000000 134.165 10.7241
3950.000000 134.204 9.5042
4000.000000 134.226 8.7819
4060.000000 134.242 8.0644
4120.000000 134.293 8.0564
4180.000000 134.613 6.8258
4250.000000 134.713 4.2842
4310.000000 134.717 2.5570
4370.000000 134.715 0.8772
4440.000000 134.675 -1.0927
4500.000000 134.598 -2.8048
4550.000000 134.512 -4.1912
4620.000000 134.352 -6.0369
4680.000000 134.173 -7.4733
4750.000000 133.929 -8.8864
4820.000000 133.655 -9.9761
4870.000000 133.455 -10.5932
4940.000000 133.177 -11.2073
5000.000000 132.960 -11.4455
5080.000000 132.657 -11.3648
5150.000000 132.415 -11.1094
5220.000000 132.211 -10.5444
5300.000000 131.992 -9.7127
5380.000000 131.784 -8.5718
5450.000000 131.623 -7.4335
5520.000000 131.509 -6.2967
5600.000000 131.420 -4.9643
5700.000000 131.369 -3.2393
5800.000000 131.386 -1.6083
5900.000000 131.432 -0.1949
