* Measurement data measured by REW V5.30
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Feb 20, 2024 11:04:33 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R HISENIOR T4 02 Feb 20
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 146.840 -135.3384
20.600000 146.901 -136.1335
20.900000 146.954 -136.8313
21.200001 147.003 -137.5152
21.400000 147.035 -137.9690
21.799999 147.097 -138.8722
22.000000 147.127 -139.3197
22.400000 147.183 -140.1979
22.700001 147.223 -140.8346
23.000000 147.260 -141.4499
23.299999 147.295 -142.0472
23.600000 147.328 -142.6325
24.000000 147.370 -143.4035
24.299999 147.399 -143.9799
24.700001 147.436 -144.7468
25.000000 147.463 -145.3177
25.400000 147.498 -146.0671
25.799999 147.532 -146.7966
26.200001 147.566 -147.5034
26.500000 147.590 -148.0196
26.900000 147.622 -148.6926
27.200001 147.645 -149.1888
27.600000 147.674 -149.8415
28.000000 147.699 -150.4834
28.500000 147.729 -151.2651
29.000000 147.757 -152.0169
29.500000 147.786 -152.7388
30.000000 147.814 -153.4374
30.400000 147.837 -153.9846
30.700001 147.853 -154.3896
31.100000 147.873 -154.9237
31.500000 147.892 -155.4523
32.000000 147.914 -156.1071
32.500000 147.936 -156.7542
33.000000 147.956 -157.3878
33.500000 147.975 -158.0006
34.000000 147.993 -158.5891
34.500000 148.010 -159.1564
35.000000 148.027 -159.7107
35.500000 148.042 -160.2609
36.000000 148.057 -160.8099
36.500000 148.070 -161.3530
37.000000 148.083 -161.8816
37.500000 148.095 -162.3925
38.200001 148.113 -163.0882
38.700001 148.125 -163.5787
39.500000 148.140 -164.3468
40.000000 148.149 -164.8123
40.599998 148.161 -165.3641
41.200001 148.173 -165.9169
41.799999 148.183 -166.4603
42.500000 148.192 -167.0623
43.099998 148.200 -167.5558
43.700001 148.208 -168.0480
44.400002 148.217 -168.6285
45.000000 148.223 -169.1210
45.500000 148.227 -169.5202
46.200001 148.233 -170.0601
46.799999 148.238 -170.5100
47.500000 148.243 -171.0276
48.200001 148.248 -171.5422
48.700001 148.251 -171.9090
49.400002 148.256 -172.4202
50.000000 148.260 -172.8499
50.799999 148.264 -173.3980
51.500000 148.265 -173.8583
52.200001 148.266 -174.3117
53.000000 148.267 -174.8193
53.799999 148.270 -175.3167
54.500000 148.272 -175.7547
55.200001 148.272 -176.1907
56.000000 148.269 -176.6773
57.000000 148.269 -177.2812
58.000000 148.271 -177.8673
59.000000 148.271 -178.4260
60.000000 148.266 -178.9750
60.799999 148.261 -179.4100
61.500000 148.259 -179.7954
62.200001 148.258 179.8153
63.000000 148.255 179.3804
64.000000 148.249 178.8668
65.000000 148.243 178.3624
66.000000 148.235 177.8616
67.000000 148.230 177.3819
68.000000 148.227 176.8928
69.000000 148.221 176.4120
70.000000 148.215 175.9389
71.000000 148.206 175.4738
72.000000 148.198 175.0432
73.000000 148.194 174.6092
74.000000 148.186 174.1712
75.000000 148.176 173.7393
76.199997 148.165 173.2380
77.500000 148.153 172.7012
78.800003 148.138 172.1658
80.000000 148.128 171.6692
81.199997 148.118 171.1946
82.500000 148.103 170.6934
83.800003 148.090 170.1827
85.000000 148.078 169.7248
86.199997 148.064 169.2741
87.500000 148.050 168.7755
88.500000 148.040 168.4123
90.000000 148.023 167.8823
91.199997 148.007 167.4516
92.500000 147.990 166.9907
93.800003 147.977 166.5339
95.000000 147.962 166.1104
96.199997 147.949 165.7284
97.500000 147.933 165.2779
98.800003 147.916 164.8627
100.000000 147.901 164.4778
101.500000 147.882 163.9869
103.000000 147.865 163.5281
104.400002 147.845 163.0961
106.000000 147.826 162.5991
107.500000 147.807 162.1407
109.000000 147.786 161.6906
110.599998 147.764 161.2258
112.000000 147.742 160.7983
113.800003 147.719 160.3050
115.000000 147.701 159.9624
117.199997 147.670 159.3284
118.000000 147.658 159.1212
120.599998 147.623 158.4020
122.000000 147.605 158.0336
124.099998 147.574 157.4880
125.000000 147.561 157.2426
126.500000 147.540 156.8724
128.000000 147.517 156.4666
131.500000 147.467 155.6044
132.000000 147.459 155.4736
134.000000 147.430 154.9879
136.000000 147.398 154.5125
138.000000 147.369 154.0196
140.000000 147.340 153.5500
143.000000 147.294 152.8463
145.000000 147.263 152.3994
147.500000 147.225 151.8084
150.000000 147.188 151.2651
152.500000 147.151 150.7166
155.000000 147.113 150.1757
157.500000 147.073 149.6596
160.000000 147.035 149.1151
162.500000 146.997 148.5931
165.000000 146.960 148.0922
167.500000 146.921 147.5999
170.000000 146.884 147.1038
172.500000 146.847 146.6215
175.000000 146.808 146.1504
177.500000 146.769 145.6600
180.000000 146.732 145.2071
182.500000 146.692 144.7396
185.000000 146.655 144.2999
187.500000 146.616 143.8641
190.000000 146.576 143.4218
192.500000 146.540 142.9863
195.000000 146.501 142.5688
197.500000 146.465 142.1458
200.000000 146.429 141.7265
203.000000 146.384 141.2460
206.000000 146.338 140.7523
209.000000 146.292 140.2867
212.000000 146.250 139.8057
214.000000 146.218 139.4930
218.000000 146.161 138.8838
220.000000 146.130 138.5700
224.000000 146.073 137.9744
227.000000 146.030 137.5419
230.000000 145.988 137.1102
233.000000 145.945 136.6755
236.000000 145.901 136.2540
240.000000 145.848 135.7103
243.000000 145.805 135.3000
247.000000 145.748 134.7825
250.000000 145.707 134.3733
254.000000 145.655 133.8446
258.000000 145.600 133.3469
262.000000 145.545 132.8398
265.000000 145.504 132.4699
269.000000 145.451 132.0051
272.000000 145.411 131.6475
276.000000 145.359 131.1799
280.000000 145.308 130.7319
285.000000 145.243 130.1631
290.000000 145.182 129.6174
295.000000 145.122 129.0898
300.000000 145.059 128.5712
304.000000 145.010 128.1597
307.000000 144.975 127.8571
311.000000 144.925 127.4595
315.000000 144.878 127.0510
320.000000 144.821 126.5846
325.000000 144.765 126.1185
330.000000 144.707 125.6956
335.000000 144.662 125.2894
340.000000 144.615 124.8332
345.000000 144.567 124.3539
350.000000 144.509 123.9134
355.000000 144.455 123.4596
360.000000 144.411 122.9824
365.000000 144.359 122.6030
370.000000 144.297 122.2535
375.000000 144.236 121.9089
382.000000 144.170 121.3217
387.000000 144.123 120.9568
395.000000 144.045 120.4793
400.000000 144.006 120.0875
406.000000 143.964 119.7676
412.000000 143.922 119.3251
418.000000 143.862 118.9196
425.000000 143.806 118.5610
431.000000 143.758 118.3265
437.000000 143.715 117.7745
444.000000 143.667 117.4368
450.000000 143.620 117.0090
455.000000 143.609 116.9294
462.000000 143.555 116.4893
468.000000 143.509 116.2684
475.000000 143.474 115.7617
482.000000 143.447 115.3772
487.000000 143.393 115.2206
494.000000 143.375 114.9744
500.000000 143.332 114.6837
508.000000 143.290 114.3464
515.000000 143.250 114.0008
522.000000 143.237 113.5504
530.000000 143.185 113.2865
538.000000 143.157 113.1780
545.000000 143.118 112.9788
552.000000 143.116 112.9489
560.000000 143.128 112.3402
570.000000 143.051 111.9847
580.000000 143.008 111.9314
590.000000 143.003 111.6917
600.000000 142.922 111.2978
608.000000 142.938 111.0321
615.000000 142.963 111.1349
622.000000 142.933 110.9045
630.000000 142.944 110.4168
640.000000 142.933 110.1888
650.000000 142.932 110.4656
660.000000 142.921 110.1457
670.000000 142.887 109.8162
680.000000 142.917 109.6274
690.000000 142.970 109.7000
700.000000 142.949 109.8617
710.000000 142.993 109.6370
720.000000 143.004 109.3203
730.000000 143.029 109.1204
740.000000 143.016 109.4344
750.000000 143.143 109.0137
762.000000 143.134 108.8343
775.000000 143.183 108.9016
788.000000 143.218 108.5832
800.000000 143.258 108.6005
812.000000 143.309 108.4361
825.000000 143.319 108.4326
838.000000 143.444 108.3521
850.000000 143.527 108.4389
862.000000 143.573 108.2762
875.000000 143.661 108.7855
885.000000 143.794 107.8813
900.000000 143.934 108.8636
912.000000 143.988 107.9138
925.000000 144.098 108.0872
938.000000 144.188 107.9991
950.000000 144.319 107.4099
962.000000 144.434 107.5015
975.000000 144.515 107.1949
988.000000 144.666 107.1649
1000.000000 144.831 107.1176
1015.000000 144.910 106.0728
1030.000000 145.094 105.8046
1044.000000 145.198 104.9352
1060.000000 145.339 104.6229
1075.000000 145.436 103.7866
1090.000000 145.630 103.3480
1106.000000 145.864 102.6416
1120.000000 145.917 102.5178
1138.000000 146.007 101.5715
1150.000000 146.161 100.6325
1172.000000 146.390 100.1859
1180.000000 146.430 99.5313
1206.000000 146.657 98.4446
1220.000000 146.745 97.1683
1241.000000 146.866 96.3005
1250.000000 146.925 96.0323
1265.000000 146.986 95.3390
1280.000000 147.101 94.3867
1315.000000 147.300 92.3415
1320.000000 147.352 92.0342
1340.000000 147.382 90.9808
1360.000000 147.535 90.3002
1380.000000 147.611 89.1402
1400.000000 147.731 88.0437
1430.000000 147.874 86.8012
1450.000000 147.992 86.0931
1475.000000 148.062 84.9831
1500.000000 148.177 83.6027
1525.000000 148.283 82.5405
1550.000000 148.383 81.4333
1575.000000 148.491 80.7659
1600.000000 148.603 79.4291
1625.000000 148.731 78.1797
1650.000000 148.719 77.1763
1675.000000 148.814 76.1417
1700.000000 148.925 75.1368
1725.000000 149.051 74.2888
1750.000000 149.010 73.2819
1775.000000 149.167 72.2496
1800.000000 149.278 71.2019
1825.000000 149.361 70.5737
1850.000000 149.384 69.3582
1875.000000 149.437 68.6069
1900.000000 149.524 67.5585
1925.000000 149.519 66.7725
1950.000000 149.656 65.4047
1975.000000 149.642 64.6826
2000.000000 149.751 63.7140
2030.000000 149.782 62.3758
2060.000000 149.872 61.0771
2090.000000 149.925 59.9164
2120.000000 149.928 59.0099
2140.000000 150.014 57.8792
2180.000000 150.051 56.8459
2200.000000 150.089 56.0971
2240.000000 150.113 54.5065
2270.000000 150.160 53.3163
2300.000000 150.185 52.2743
2330.000000 150.201 51.2051
2360.000000 150.179 49.9536
2400.000000 150.188 48.8938
2430.000000 150.231 47.7871
2470.000000 150.214 46.5701
2500.000000 150.171 45.6191
2540.000000 150.154 44.3038
2580.000000 150.155 43.2171
2620.000000 150.088 42.2850
2650.000000 150.082 41.4554
2690.000000 150.061 40.4747
2720.000000 150.017 39.8331
2760.000000 150.006 39.0991
2800.000000 149.999 38.5798
2850.000000 149.943 37.4473
2900.000000 149.918 36.9833
2950.000000 149.926 36.2175
3000.000000 149.959 35.6955
3040.000000 149.971 35.2213
3070.000000 149.987 34.8369
3110.000000 150.052 34.2891
3150.000000 150.114 33.7195
3200.000000 150.210 32.8932
3250.000000 150.285 32.0037
3300.000000 150.361 30.9244
3350.000000 150.418 29.9173
3400.000000 150.490 28.6795
3450.000000 150.546 27.4494
3500.000000 150.589 26.2177
3550.000000 150.630 24.9930
3600.000000 150.656 23.7134
3650.000000 150.675 22.3672
3700.000000 150.673 21.0061
3750.000000 150.636 19.6404
3820.000000 150.555 18.0597
3870.000000 150.492 17.0612
3950.000000 150.374 15.9836
4000.000000 150.320 15.5912
4060.000000 150.313 15.2726
4120.000000 150.349 14.9196
4180.000000 150.426 14.3618
4250.000000 150.537 13.4337
4310.000000 150.641 12.3575
4370.000000 150.740 11.0402
4440.000000 150.833 9.1743
4500.000000 150.885 7.3860
4550.000000 150.907 5.7162
4620.000000 150.890 3.3162
4680.000000 150.827 1.2048
4750.000000 150.707 -1.2554
4820.000000 150.529 -3.6321
4870.000000 150.366 -5.2169
4940.000000 150.104 -7.2271
5000.000000 149.827 -8.6662
5080.000000 149.444 -10.1476
5150.000000 149.096 -11.0146
5220.000000 148.746 -11.6038
5300.000000 148.336 -11.9268
5380.000000 147.929 -11.8560
5450.000000 147.575 -11.4084
5520.000000 147.237 -10.5939
5600.000000 146.880 -9.3551
5700.000000 146.493 -7.3326
5800.000000 146.170 -4.8342
5900.000000 145.918 -1.9012
6000.000000 145.774 1.3988
6080.000000 145.734 4.1968
6150.000000 145.777 6.6899
6220.000000 145.887 9.2292
6300.000000 146.116 11.9534
6400.000000 146.547 14.8353
6500.000000 147.144 16.5747
