* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Dec 5, 2025 10:50:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R hype 4 foam 1259
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 125.740 10.5705
20.600000 125.753 10.1197
20.900000 125.771 9.5643
21.200001 125.786 8.8314
21.400000 125.787 8.2725
21.799999 125.764 7.1032
22.000000 125.743 6.5585
22.400000 125.691 5.6687
22.700001 125.658 5.2020
23.000000 125.643 4.8690
23.299999 125.646 4.5900
23.600000 125.662 4.2963
24.000000 125.692 3.8012
24.299999 125.710 3.3276
24.700001 125.718 2.5710
25.000000 125.711 1.9357
25.400000 125.685 1.0452
25.799999 125.646 0.1747
26.200001 125.602 -0.5965
26.500000 125.573 -1.0736
26.900000 125.546 -1.5615
27.200001 125.537 -1.8322
27.600000 125.537 -2.1106
28.000000 125.545 -2.3570
28.500000 125.550 -2.7039
29.000000 125.539 -3.1559
29.500000 125.512 -3.7281
30.000000 125.481 -4.4020
30.400000 125.465 -5.0094
30.700001 125.462 -5.5117
31.100000 125.461 -6.2409
31.500000 125.452 -6.9901
32.000000 125.412 -7.7952
32.500000 125.351 -8.2971
33.000000 125.300 -8.5852
33.500000 125.270 -8.9732
34.000000 125.231 -9.6389
34.500000 125.157 -10.3554
35.000000 125.077 -10.7980
35.500000 125.047 -11.0070
36.000000 125.066 -11.3815
36.500000 125.065 -12.0946
37.000000 124.997 -12.8083
37.500000 124.903 -13.1270
38.200001 124.873 -13.2506
38.700001 124.911 -13.7747
39.500000 124.857 -15.0924
40.000000 124.761 -15.3966
40.599998 124.711 -15.2589
41.200001 124.745 -15.5459
41.799999 124.735 -16.4461
42.500000 124.612 -17.2012
43.099998 124.528 -17.1553
43.700001 124.520 -17.1006
44.400002 124.514 -17.5603
45.000000 124.455 -18.1772
45.500000 124.377 -18.6500
46.200001 124.248 -19.1266
46.799999 124.148 -19.2568
47.500000 124.111 -19.3568
48.200001 124.131 -20.0815
48.700001 124.113 -20.9357
49.400002 124.016 -21.8127
50.000000 123.938 -21.9073
50.799999 123.893 -21.7487
51.500000 123.832 -21.8560
52.200001 123.747 -22.0876
53.000000 123.703 -22.6708
53.799999 123.675 -23.7045
54.500000 123.586 -24.3183
55.200001 123.468 -24.2305
56.000000 123.380 -23.9277
57.000000 123.305 -24.4289
58.000000 123.221 -25.0435
59.000000 123.189 -25.2110
60.000000 123.118 -25.6398
60.799999 123.017 -26.1611
61.500000 122.933 -26.6146
62.200001 122.861 -26.8873
63.000000 122.795 -26.9597
64.000000 122.705 -27.2053
65.000000 122.578 -27.5895
66.000000 122.478 -27.6914
67.000000 122.404 -27.6672
68.000000 122.326 -27.7717
69.000000 122.243 -28.1683
70.000000 122.137 -28.4631
71.000000 122.036 -28.4361
72.000000 121.949 -28.4616
73.000000 121.880 -28.6409
74.000000 121.822 -28.9722
75.000000 121.717 -29.2300
76.199997 121.580 -29.1754
77.500000 121.455 -29.3831
78.800003 121.339 -29.4155
80.000000 121.271 -29.5431
81.199997 121.186 -29.7738
82.500000 121.095 -29.9279
83.800003 120.988 -29.9349
85.000000 120.883 -29.8062
86.199997 120.781 -29.5923
87.500000 120.656 -29.3899
88.500000 120.547 -29.2760
90.000000 120.401 -29.3442
91.199997 120.332 -29.3525
92.500000 120.265 -29.2679
93.800003 120.175 -28.9470
95.000000 120.056 -28.6626
96.199997 119.957 -28.5898
97.500000 119.855 -28.5263
98.800003 119.812 -28.5320
100.000000 119.728 -28.0451
101.500000 119.585 -27.8676
103.000000 119.508 -27.9093
104.400002 119.438 -27.3842
106.000000 119.310 -27.0411
107.500000 119.246 -26.8264
109.000000 119.151 -26.2169
110.599998 119.063 -26.0024
112.000000 118.991 -25.3869
113.800003 118.855 -25.1258
115.000000 118.845 -24.8279
117.199997 118.722 -24.0131
118.000000 118.701 -23.9992
120.599998 118.586 -23.3100
122.000000 118.489 -22.9678
124.099998 118.460 -22.4871
125.000000 118.374 -22.1826
126.500000 118.369 -21.5413
128.000000 118.279 -21.1476
131.500000 118.201 -20.2089
132.000000 118.164 -20.0289
134.000000 118.137 -19.4021
136.000000 118.085 -18.5371
138.000000 118.007 -18.2251
140.000000 117.994 -17.6975
143.000000 117.895 -16.9797
145.000000 117.942 -16.2047
147.500000 117.874 -15.3750
150.000000 117.843 -14.6630
152.500000 117.820 -14.2254
155.000000 117.817 -13.7367
157.500000 117.830 -12.7915
160.000000 117.804 -12.1028
162.500000 117.766 -11.7258
165.000000 117.805 -11.2257
167.500000 117.806 -10.4760
170.000000 117.763 -10.0785
172.500000 117.838 -9.6438
175.000000 117.784 -8.8938
177.500000 117.857 -8.8466
180.000000 117.842 -7.9927
182.500000 117.864 -7.9007
185.000000 117.865 -7.0467
187.500000 117.907 -7.2302
190.000000 117.907 -6.3715
192.500000 117.930 -6.2440
195.000000 117.892 -5.8652
197.500000 117.978 -5.6203
200.000000 117.966 -5.3903
203.000000 117.960 -4.7060
206.000000 118.000 -5.0085
209.000000 118.036 -4.7355
212.000000 118.108 -4.0261
214.000000 118.089 -3.8993
218.000000 118.145 -3.6556
220.000000 118.174 -3.5265
224.000000 118.225 -3.0734
227.000000 118.220 -3.0807
230.000000 118.220 -2.8624
233.000000 118.236 -2.7945
236.000000 118.259 -2.3851
240.000000 118.313 -2.4277
243.000000 118.292 -2.2091
247.000000 118.366 -1.9473
250.000000 118.390 -1.9221
254.000000 118.360 -1.7602
258.000000 118.443 -1.7332
262.000000 118.439 -1.6364
265.000000 118.449 -1.5662
269.000000 118.473 -1.2797
272.000000 118.482 -1.1013
276.000000 118.484 -1.1010
280.000000 118.478 -1.1222
285.000000 118.497 -1.1220
290.000000 118.537 -0.8176
295.000000 118.524 -0.7047
300.000000 118.540 -0.7327
304.000000 118.555 -0.6855
307.000000 118.537 -0.7006
311.000000 118.571 -0.7441
315.000000 118.534 -0.6074
320.000000 118.572 -0.7084
325.000000 118.581 -0.7754
330.000000 118.545 -0.6040
335.000000 118.551 -0.3481
340.000000 118.560 -0.3498
345.000000 118.562 -0.3998
350.000000 118.562 -0.5170
355.000000 118.545 -0.3274
360.000000 118.535 -0.2331
365.000000 118.518 -0.3857
370.000000 118.506 -0.3646
375.000000 118.491 -0.1186
382.000000 118.497 -0.2361
387.000000 118.473 -0.1558
395.000000 118.440 -0.0706
400.000000 118.424 -0.1340
406.000000 118.399 0.0787
412.000000 118.376 0.0617
418.000000 118.340 0.1408
425.000000 118.322 0.2160
431.000000 118.280 0.3999
437.000000 118.266 0.3684
444.000000 118.220 0.5680
450.000000 118.200 0.6797
455.000000 118.190 0.7241
462.000000 118.146 0.8469
468.000000 118.136 1.0263
475.000000 118.077 1.1881
482.000000 118.015 1.3030
487.000000 118.008 1.3281
494.000000 117.997 1.6198
500.000000 117.968 1.7278
508.000000 117.898 2.0577
515.000000 117.873 2.0671
522.000000 117.832 2.3528
530.000000 117.807 2.7193
538.000000 117.759 2.8687
545.000000 117.705 3.0663
552.000000 117.683 3.3546
560.000000 117.629 3.6658
570.000000 117.566 3.8818
580.000000 117.534 4.4158
590.000000 117.475 4.8245
600.000000 117.447 5.2776
608.000000 117.409 5.6046
615.000000 117.350 5.9579
622.000000 117.329 6.2572
630.000000 117.283 6.6694
640.000000 117.252 7.1599
650.000000 117.184 7.5766
660.000000 117.134 8.1388
670.000000 117.090 8.5884
680.000000 117.053 9.0747
690.000000 117.024 9.6953
700.000000 116.981 10.3731
710.000000 116.940 10.9140
720.000000 116.901 11.4368
730.000000 116.885 12.2127
740.000000 116.838 12.9581
750.000000 116.811 13.4633
762.000000 116.804 14.3072
775.000000 116.742 15.0877
788.000000 116.722 15.9490
800.000000 116.708 16.6774
812.000000 116.698 17.4495
825.000000 116.695 18.3782
838.000000 116.675 19.2740
850.000000 116.668 20.0665
862.000000 116.685 20.9617
875.000000 116.696 21.9594
885.000000 116.699 22.6536
900.000000 116.733 23.5869
912.000000 116.750 24.4811
925.000000 116.774 25.4081
938.000000 116.817 26.3056
950.000000 116.837 26.9676
962.000000 116.898 27.6803
975.000000 116.946 28.5152
988.000000 116.995 29.3500
1000.000000 117.089 29.9206
1015.000000 117.125 30.7321
1030.000000 117.170 31.5853
1044.000000 117.250 32.3948
1060.000000 117.330 33.1129
1075.000000 117.383 33.7948
1090.000000 117.466 34.5338
1106.000000 117.552 35.2067
1120.000000 117.606 35.8429
1138.000000 117.707 36.5130
1150.000000 117.783 36.7918
1172.000000 117.879 37.6191
1180.000000 117.915 37.9011
1206.000000 118.013 38.8850
1220.000000 118.087 39.2922
1241.000000 118.170 39.8462
1250.000000 118.195 40.1211
1265.000000 118.251 40.4986
1280.000000 118.310 41.1289
1315.000000 118.429 41.9183
1320.000000 118.458 42.1449
1340.000000 118.527 42.7923
1360.000000 118.613 43.3798
1380.000000 118.676 43.8658
1400.000000 118.755 44.5943
1430.000000 118.853 45.3121
1450.000000 118.942 45.9479
1475.000000 119.017 46.6135
1500.000000 119.114 47.3812
1525.000000 119.218 48.2621
1550.000000 119.320 49.0964
1575.000000 119.441 49.6493
1600.000000 119.567 50.5573
1625.000000 119.663 51.1427
1650.000000 119.778 51.9657
1675.000000 119.904 52.7182
1700.000000 120.029 53.3011
1725.000000 120.155 53.9354
1750.000000 120.311 54.6035
1775.000000 120.456 55.1480
1800.000000 120.601 55.8513
1825.000000 120.757 56.0575
1850.000000 120.884 56.6327
1875.000000 121.060 57.2554
1900.000000 121.196 57.6113
1925.000000 121.374 57.9606
1950.000000 121.547 58.2688
1975.000000 121.723 58.3876
2000.000000 121.949 58.6888
2030.000000 122.095 58.8329
2060.000000 122.307 58.9863
2090.000000 122.516 58.8461
2120.000000 122.725 58.7402
2140.000000 122.864 58.5900
2180.000000 123.138 58.2969
2200.000000 123.257 58.0659
2240.000000 123.498 57.4742
2270.000000 123.678 57.0342
2300.000000 123.830 56.3760
2330.000000 123.993 55.7003
2360.000000 124.120 54.9612
2400.000000 124.315 53.9959
2430.000000 124.415 53.2314
2470.000000 124.546 52.0760
2500.000000 124.644 51.1646
2540.000000 124.737 50.0841
2580.000000 124.819 48.8786
2620.000000 124.879 47.7725
2650.000000 124.902 46.9256
2690.000000 124.943 45.8220
2720.000000 124.956 45.0808
2760.000000 124.965 44.1700
2800.000000 124.965 43.1945
2850.000000 124.946 42.0376
2900.000000 124.936 41.1105
2950.000000 124.898 40.2031
3000.000000 124.856 39.3381
3040.000000 124.809 38.7030
3070.000000 124.792 38.1407
3110.000000 124.746 37.7744
3150.000000 124.718 37.2382
3200.000000 124.670 36.7084
3250.000000 124.639 36.1566
3300.000000 124.596 35.6970
3350.000000 124.564 35.2639
3400.000000 124.512 34.8281
3450.000000 124.488 34.4809
3500.000000 124.467 34.0745
3550.000000 124.458 33.7101
3600.000000 124.438 33.3058
3650.000000 124.429 32.8215
3700.000000 124.430 32.4908
3750.000000 124.427 32.0111
3820.000000 124.440 31.2262
3870.000000 124.461 30.6093
3950.000000 124.488 29.2285
4000.000000 124.546 28.1772
4060.000000 124.554 26.5475
4120.000000 124.560 24.3316
4180.000000 124.481 21.6183
4250.000000 124.186 17.7048
4310.000000 123.657 14.2543
4370.000000 122.839 12.1750
4440.000000 121.720 13.1108
4500.000000 120.912 16.6653
4550.000000 120.548 20.9873
4620.000000 120.437 26.9960
4680.000000 120.616 30.8344
4750.000000 120.953 34.1277
4820.000000 121.311 35.7519
4870.000000 121.548 36.3268
4940.000000 121.878 36.7687
5000.000000 122.092 36.1498
5080.000000 122.312 35.6422
5150.000000 122.428 34.6228
5220.000000 122.483 33.8092
5300.000000 122.518 32.5068
5380.000000 122.447 31.5624
5450.000000 122.404 30.7949
5520.000000 122.334 30.4040
5600.000000 122.220 30.1406
5700.000000 122.108 29.9344
5800.000000 122.002 30.0088
5900.000000 121.968 30.1348
6000.000000 121.924 30.7875
