* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\Hidizs MS3 f.Silver Foam L.txt
* Format: Comma/Tab/Space delimited data
* Dated: Jul 16, 2023 8:18:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\Hidizs MS3 f.Silver Foam L.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: Hidizs MS3 f.Silver Foam L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	55.320	132.1727
1.015000	55.188	131.3783
1.030000	55.052	130.5737
1.044000	54.923	129.8128
1.060000	54.771	128.9308
1.075000	54.625	128.0910
1.090000	54.476	127.2379
1.106000	54.312	126.3170
1.120000	54.166	125.5255
1.138000	53.975	124.5296
1.150000	53.845	123.8763
1.172000	53.602	122.6934
1.180000	53.512	122.2661
1.206000	53.214	120.8784
1.220000	53.049	120.1268
1.241000	52.798	118.9852
1.250000	52.689	118.4885
1.265000	52.503	117.6476
1.280000	52.315	116.7872
1.315000	51.864	114.6818
1.320000	51.799	114.3678
1.340000	51.532	113.0730
1.360000	51.259	111.7094
1.380000	50.981	110.2680
1.400000	50.697	108.7396
1.430000	50.260	106.2641
1.450000	49.961	104.4787
1.475000	49.577	102.0868
1.500000	49.152	99.5759
1.525000	48.690	96.9605
1.550000	48.198	94.2392
1.575000	47.684	91.4104
1.600000	47.158	88.4728
1.625000	46.627	85.4250
1.650000	46.100	82.2656
1.675000	45.586	78.9931
1.700000	45.092	75.6060
1.725000	44.628	72.1031
1.750000	44.202	68.4829
1.775000	43.822	64.7439
1.800000	43.497	60.8847
1.825000	43.235	56.9040
1.850000	43.037	52.7093
1.875000	42.887	48.1196
1.900000	42.782	43.1950
1.925000	42.716	38.0052
1.950000	42.687	32.6204
1.975000	42.691	27.1104
2.000000	42.724	21.5452
2.030000	42.798	14.8925
2.060000	42.901	8.3819
2.090000	43.029	2.1343
2.120000	43.174	-3.7295
2.140000	43.277	-7.3658
2.180000	43.491	-13.8221
2.200000	43.599	-16.5719
2.240000	43.859	-21.3257
2.270000	44.101	-24.3714
2.300000	44.375	-27.0206
2.330000	44.675	-29.3173
2.360000	44.993	-31.3054
2.400000	45.433	-33.5523
2.430000	45.766	-34.9916
2.470000	46.200	-36.6664
2.500000	46.509	-37.7963
2.540000	46.885	-39.2183
2.580000	47.209	-40.0588
2.620000	47.499	-40.1867
2.650000	47.701	-40.3560
2.690000	47.954	-40.6517
2.720000	48.135	-40.9073
2.760000	48.367	-41.2655
2.800000	48.593	-41.6123
2.850000	48.876	-41.9771
2.900000	49.167	-42.2031
2.950000	49.474	-42.1617
3.000000	49.784	-41.7913
3.040000	50.031	-41.3567
3.070000	50.217	-40.9713
3.110000	50.465	-40.4042
3.150000	50.714	-39.8057
3.200000	51.028	-39.0628
3.250000	51.346	-38.3847
3.300000	51.670	-37.8339
3.350000	52.002	-37.3552
3.400000	52.342	-36.8897
3.450000	52.687	-36.4510
3.500000	53.033	-36.0527
3.550000	53.377	-35.7084
3.600000	53.714	-35.4318
3.650000	54.042	-35.2363
3.700000	54.361	-35.1326
3.750000	54.677	-35.1139
3.820000	55.111	-35.2078
3.870000	55.414	-35.3443
3.950000	55.881	-35.6504
4.000000	56.160	-35.8778
4.060000	56.478	-36.1792
