* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\Hidizs MS3 f.Silver Foam R.txt
* Format: Comma/Tab/Space delimited data
* Dated: Jul 16, 2023 8:18:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\Hidizs MS3 f.Silver Foam R.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: Hidizs MS3 f.Silver Foam R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	59.537	-67.3784
1.015000	59.347	-68.3699
1.030000	59.149	-69.3578
1.044000	58.956	-70.2762
1.060000	58.724	-71.3211
1.075000	58.496	-72.2960
1.090000	58.257	-73.2659
1.106000	57.988	-74.3278
1.120000	57.737	-75.4577
1.138000	57.393	-77.1962
1.150000	57.151	-78.5071
1.172000	56.685	-81.1603
1.180000	56.509	-82.1883
1.206000	55.916	-85.6789
1.220000	55.585	-87.6077
1.241000	55.076	-90.4901
1.250000	54.854	-91.7014
1.265000	54.481	-93.6609
1.280000	54.105	-95.5167
1.315000	53.220	-99.2516
1.320000	53.094	-99.6986
1.340000	52.591	-101.2195
1.360000	52.094	-102.2525
1.380000	51.606	-102.7168
1.400000	51.132	-102.5313
1.430000	50.451	-100.8578
1.450000	50.022	-98.6939
1.475000	49.512	-94.6092
1.500000	48.970	-88.4815
1.525000	48.390	-80.4745
1.550000	47.787	-70.9045
1.575000	47.174	-60.0875
1.600000	46.565	-48.3400
1.625000	45.974	-35.9782
1.650000	45.413	-23.3183
1.675000	44.897	-10.6765
1.700000	44.439	1.6308
1.725000	44.052	13.2873
1.750000	43.751	23.9770
1.775000	43.549	33.3833
1.800000	43.458	41.1903
1.825000	43.494	47.0815
1.850000	43.679	51.0032
1.875000	44.033	53.5057
1.900000	44.535	54.7647
1.925000	45.161	54.9334
1.950000	45.889	54.1652
1.975000	46.696	52.6136
2.000000	47.560	50.4317
2.030000	48.640	47.1976
2.060000	49.730	43.5418
2.090000	50.789	39.7294
2.120000	51.781	36.0253
2.140000	52.384	33.7469
2.180000	53.400	30.0020
2.200000	53.789	28.6879
2.240000	54.423	26.3394
2.270000	54.814	24.5245
2.300000	55.141	22.6731
2.330000	55.414	20.7938
2.360000	55.640	18.8951
2.400000	55.884	16.3480
2.430000	56.035	14.4372
2.470000	56.207	11.9049
2.500000	56.327	10.0283
2.540000	56.490	7.5726
2.580000	56.668	5.1800
2.620000	56.820	2.7948
2.650000	56.912	1.0070
2.690000	57.008	-1.3658
2.720000	57.062	-3.1310
2.760000	57.113	-5.4559
2.800000	57.143	-7.7374
2.850000	57.158	-10.5103
2.900000	57.153	-13.1742
2.950000	57.134	-15.7186
3.000000	57.083	-18.2241
3.040000	57.019	-20.1942
3.070000	56.960	-21.6390
3.110000	56.869	-23.5060
3.150000	56.765	-25.2873
3.200000	56.623	-27.3635
3.250000	56.472	-29.2371
3.300000	56.318	-30.8704
3.350000	56.142	-32.3046
3.400000	55.936	-33.5764
3.450000	55.713	-34.6709
3.500000	55.487	-35.5732
3.550000	55.272	-36.2685
3.600000	55.079	-36.7419
3.650000	54.923	-36.9786
3.700000	54.801	-36.9112
3.750000	54.688	-36.4602
3.820000	54.557	-35.3670
3.870000	54.493	-34.3946
3.950000	54.465	-32.7889
4.000000	54.507	-31.9129
4.060000	54.631	-31.0813
4.120000	54.843	-30.2029
4.180000	55.124	-29.3163
4.250000	55.508	-28.4048
4.310000	55.861	-27.8430
4.370000	56.212	-27.5892
4.440000	56.611	-27.7830
4.500000	56.980	-28.3115
