* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jan 3, 2026 2:36:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Hidizs Sea Anemone 1558
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 93.910 33.6542
20.600000 93.951 32.9633
20.900000 93.958 32.3132
21.200001 93.932 31.6126
21.400000 93.898 31.1126
21.799999 93.801 30.0437
22.000000 93.747 29.4821
22.400000 93.656 28.3227
22.700001 93.618 27.4314
23.000000 93.618 26.5307
23.299999 93.648 25.6381
23.600000 93.695 24.7813
24.000000 93.757 23.7511
24.299999 93.779 23.1071
24.700001 93.760 22.4540
25.000000 93.712 22.1105
25.400000 93.622 21.7846
25.799999 93.545 21.4629
26.200001 93.521 20.9500
26.500000 93.548 20.3451
26.900000 93.633 19.2175
27.200001 93.710 18.1967
27.600000 93.795 16.7735
28.000000 93.821 15.5134
28.500000 93.754 14.4116
29.000000 93.608 13.8110
29.500000 93.437 13.4309
30.000000 93.297 13.0023
30.400000 93.232 12.6008
30.700001 93.219 12.2987
31.100000 93.249 11.9116
31.500000 93.315 11.5065
32.000000 93.396 10.8940
32.500000 93.425 10.1528
33.000000 93.394 9.3486
33.500000 93.342 8.4909
34.000000 93.308 7.5173
34.500000 93.296 6.4567
35.000000 93.288 5.4811
35.500000 93.278 4.7210
36.000000 93.272 4.0501
36.500000 93.262 3.2063
37.000000 93.229 2.1021
37.500000 93.169 0.9541
38.200001 93.090 -0.1882
38.700001 93.074 -0.6266
39.500000 93.076 -1.2171
40.000000 93.041 -1.6531
40.599998 92.953 -2.1335
41.200001 92.866 -2.5075
41.799999 92.822 -2.9454
42.500000 92.818 -3.8240
43.099998 92.808 -4.8706
43.700001 92.774 -5.8877
44.400002 92.730 -6.7243
45.000000 92.708 -7.1749
45.500000 92.684 -7.5013
46.200001 92.617 -7.9522
46.799999 92.541 -8.3184
47.500000 92.482 -8.8506
48.200001 92.448 -9.5840
48.700001 92.414 -10.0656
49.400002 92.356 -10.4465
50.000000 92.329 -10.7483
50.799999 92.300 -11.7573
51.500000 92.225 -12.8996
52.200001 92.150 -13.4706
53.000000 92.155 -13.5121
53.799999 92.187 -13.8171
54.500000 92.141 -14.5075
55.200001 92.040 -15.3317
56.000000 91.927 -16.0943
57.000000 91.878 -16.4781
58.000000 91.893 -16.8501
59.000000 91.823 -17.7020
60.000000 91.691 -18.5035
60.799999 91.638 -18.8436
61.500000 91.637 -19.1105
62.200001 91.621 -19.5100
63.000000 91.546 -20.0136
64.000000 91.430 -20.6187
65.000000 91.336 -21.1883
66.000000 91.285 -21.5356
67.000000 91.246 -22.0326
68.000000 91.169 -22.5000
69.000000 91.107 -22.8661
70.000000 91.036 -23.3212
71.000000 90.975 -23.7638
72.000000 90.921 -24.3492
73.000000 90.835 -24.7584
74.000000 90.758 -25.0008
75.000000 90.701 -25.3435
76.199997 90.645 -25.8610
77.500000 90.550 -26.3395
78.800003 90.467 -26.8699
80.000000 90.392 -27.2793
81.199997 90.322 -27.4170
82.500000 90.225 -27.6761
83.800003 90.129 -28.1623
85.000000 90.056 -28.5636
86.199997 89.994 -28.8153
87.500000 89.902 -28.9432
88.500000 89.829 -29.1294
90.000000 89.723 -29.5392
91.199997 89.663 -29.8858
92.500000 89.586 -30.0693
93.800003 89.512 -30.2232
95.000000 89.434 -30.4439
96.199997 89.369 -30.6838
97.500000 89.262 -30.8287
98.800003 89.175 -31.0268
100.000000 89.125 -31.2645
101.500000 89.087 -31.3053
103.000000 88.980 -31.4465
104.400002 88.873 -31.9390
106.000000 88.841 -31.9019
107.500000 88.724 -31.6963
109.000000 88.603 -32.1606
110.599998 88.576 -32.5525
112.000000 88.498 -32.2511
113.800003 88.349 -32.2211
115.000000 88.280 -32.3744
117.199997 88.207 -32.6090
118.000000 88.160 -32.4205
120.599998 87.976 -32.4815
122.000000 87.908 -32.5934
124.099998 87.802 -32.1854
125.000000 87.735 -32.0334
126.500000 87.611 -32.1124
128.000000 87.526 -32.1625
131.500000 87.333 -31.7954
132.000000 87.268 -31.6848
134.000000 87.145 -31.4496
136.000000 87.042 -30.5827
138.000000 86.918 -29.2946
140.000000 86.835 -28.4031
143.000000 86.874 -27.0780
145.000000 87.005 -26.0938
147.500000 87.146 -25.9232
150.000000 87.238 -26.4508
152.500000 87.238 -27.2715
155.000000 87.163 -27.7148
157.500000 87.094 -28.3302
160.000000 87.026 -28.6968
162.500000 86.939 -28.8848
165.000000 86.811 -28.8338
167.500000 86.705 -28.9791
170.000000 86.650 -28.7268
172.500000 86.565 -28.8418
175.000000 86.489 -28.5647
177.500000 86.394 -28.5329
180.000000 86.321 -28.0858
182.500000 86.247 -28.1118
185.000000 86.159 -27.9176
187.500000 86.132 -27.7304
190.000000 86.085 -27.4254
192.500000 86.018 -27.1645
195.000000 85.979 -26.9714
197.500000 85.913 -26.7449
200.000000 85.866 -26.5242
203.000000 85.813 -26.1265
206.000000 85.745 -26.0999
209.000000 85.699 -25.7617
212.000000 85.659 -25.4269
214.000000 85.586 -25.1372
218.000000 85.498 -24.9739
220.000000 85.506 -24.7974
224.000000 85.433 -24.4027
227.000000 85.371 -24.0896
230.000000 85.309 -23.9321
233.000000 85.273 -23.5098
236.000000 85.237 -23.2847
240.000000 85.189 -22.8514
243.000000 85.129 -22.5205
247.000000 85.099 -22.2721
250.000000 85.051 -21.8252
254.000000 84.979 -21.4701
258.000000 84.918 -21.2142
262.000000 84.887 -20.8113
265.000000 84.843 -20.4770
269.000000 84.789 -20.0065
272.000000 84.757 -19.7701
276.000000 84.749 -19.4754
280.000000 84.698 -18.9845
285.000000 84.622 -18.6749
290.000000 84.583 -18.1579
295.000000 84.547 -17.6263
300.000000 84.471 -17.1067
304.000000 84.464 -16.6835
307.000000 84.438 -16.2203
311.000000 84.389 -15.8619
315.000000 84.342 -15.3227
320.000000 84.341 -14.8071
325.000000 84.346 -14.1322
330.000000 84.340 -13.7052
335.000000 84.345 -13.5401
340.000000 84.333 -13.2701
345.000000 84.318 -12.9350
350.000000 84.300 -12.6191
355.000000 84.274 -12.3692
360.000000 84.257 -11.9842
365.000000 84.221 -11.6095
370.000000 84.186 -11.2509
375.000000 84.165 -11.0397
382.000000 84.147 -10.4464
387.000000 84.117 -9.9708
395.000000 84.082 -9.4787
400.000000 84.060 -9.1263
406.000000 84.062 -8.7611
412.000000 84.017 -8.3976
418.000000 83.984 -8.0444
425.000000 83.967 -7.3864
431.000000 83.950 -6.9353
437.000000 83.926 -6.5765
444.000000 83.892 -6.1942
450.000000 83.877 -5.6875
455.000000 83.891 -5.4835
462.000000 83.879 -5.0350
468.000000 83.860 -4.5385
475.000000 83.831 -4.0370
482.000000 83.830 -3.8437
487.000000 83.832 -3.4074
494.000000 83.803 -2.8866
500.000000 83.784 -2.5335
508.000000 83.777 -2.1183
515.000000 83.774 -1.5844
522.000000 83.761 -1.0062
530.000000 83.753 -0.7560
538.000000 83.748 -0.3733
545.000000 83.709 0.1536
552.000000 83.687 0.6079
560.000000 83.691 1.1252
570.000000 83.665 1.7758
580.000000 83.643 2.3222
590.000000 83.664 3.0754
600.000000 83.637 3.7682
608.000000 83.600 4.1846
615.000000 83.619 4.7517
622.000000 83.623 5.2919
630.000000 83.646 5.8794
640.000000 83.639 6.4123
650.000000 83.662 7.1035
660.000000 83.667 7.7201
670.000000 83.668 8.4116
680.000000 83.676 9.1345
690.000000 83.693 9.5397
700.000000 83.707 10.2058
710.000000 83.732 10.8781
720.000000 83.734 11.4177
730.000000 83.760 11.9325
740.000000 83.770 12.6512
750.000000 83.822 13.3823
762.000000 83.837 14.1124
775.000000 83.867 14.7926
788.000000 83.915 15.5609
800.000000 83.948 16.3588
812.000000 83.970 17.0941
825.000000 84.013 17.7409
838.000000 84.074 18.6094
850.000000 84.126 19.2703
862.000000 84.186 19.9633
875.000000 84.243 20.6441
885.000000 84.311 21.2034
900.000000 84.377 22.0164
912.000000 84.459 22.6039
925.000000 84.543 23.3594
938.000000 84.630 24.0001
950.000000 84.703 24.4217
962.000000 84.782 25.0851
975.000000 84.884 25.5375
988.000000 84.958 26.0919
1000.000000 85.016 26.3952
1015.000000 85.154 27.0300
1030.000000 85.266 27.5808
1044.000000 85.367 27.9816
1060.000000 85.494 28.4651
1075.000000 85.601 28.7439
1090.000000 85.725 29.0626
1106.000000 85.850 29.4695
1120.000000 85.945 29.6720
1138.000000 86.082 29.8575
1150.000000 86.160 29.9434
1172.000000 86.307 30.3073
1180.000000 86.366 30.3557
1206.000000 86.527 30.6058
1220.000000 86.625 30.5132
1241.000000 86.745 30.6477
1250.000000 86.795 30.7622
1265.000000 86.880 30.7974
1280.000000 86.961 30.7160
1315.000000 87.138 30.7436
1320.000000 87.167 30.7776
1340.000000 87.251 30.8182
1360.000000 87.352 30.7875
1380.000000 87.451 30.6114
1400.000000 87.534 30.7464
1430.000000 87.650 30.7428
1450.000000 87.743 30.6509
1475.000000 87.838 30.5608
1500.000000 87.936 30.6207
1525.000000 88.043 30.4773
1550.000000 88.140 30.4214
1575.000000 88.223 30.4892
1600.000000 88.322 30.3241
1625.000000 88.414 30.2338
1650.000000 88.495 30.1939
1675.000000 88.596 30.0451
1700.000000 88.680 29.8855
1725.000000 88.756 29.8930
1750.000000 88.853 29.7284
1775.000000 88.947 29.3557
1800.000000 89.034 29.3009
1825.000000 89.103 29.1962
1850.000000 89.179 28.9873
1875.000000 89.295 28.6111
1900.000000 89.360 28.3127
1925.000000 89.417 28.2365
1950.000000 89.500 28.0676
1975.000000 89.586 27.5370
2000.000000 89.660 27.1500
2030.000000 89.732 26.9091
2060.000000 89.804 26.5833
2090.000000 89.912 25.9501
2120.000000 89.996 25.3882
2140.000000 90.025 25.2000
2180.000000 90.067 24.7550
2200.000000 90.120 24.4122
2240.000000 90.245 23.5416
2270.000000 90.300 23.0365
2300.000000 90.303 22.6469
2330.000000 90.338 22.2617
2360.000000 90.419 21.6519
2400.000000 90.521 20.7319
2430.000000 90.527 20.3037
2470.000000 90.549 19.7768
2500.000000 90.615 19.1195
2540.000000 90.698 18.0725
2580.000000 90.714 17.5583
2620.000000 90.735 16.6925
2650.000000 90.783 15.9345
2690.000000 90.839 14.8374
2720.000000 90.850 14.0326
2760.000000 90.819 12.9045
2800.000000 90.755 11.9498
2850.000000 90.707 10.5309
2900.000000 90.615 9.5732
2950.000000 90.421 9.0169
3000.000000 90.294 8.9013
3040.000000 90.259 8.3502
3070.000000 90.233 8.4038
3110.000000 90.170 8.4201
3150.000000 90.103 8.6271
3200.000000 90.083 8.6780
3250.000000 90.110 8.8322
3300.000000 90.141 8.8341
3350.000000 90.155 8.8516
3400.000000 90.172 8.8339
3450.000000 90.273 8.6011
3500.000000 90.337 8.4181
3550.000000 90.369 8.2539
3600.000000 90.419 7.8718
3650.000000 90.516 7.1777
3700.000000 90.611 6.4054
3750.000000 90.665 5.7189
3820.000000 90.666 4.6448
3870.000000 90.706 3.7245
3950.000000 90.707 2.4662
4000.000000 90.703 1.7566
4060.000000 90.691 1.0206
4120.000000 90.778 1.8191
4180.000000 91.045 -0.2802
4250.000000 91.025 -2.8908
4310.000000 90.977 -4.5289
4370.000000 90.982 -6.2637
4440.000000 90.872 -8.1687
4500.000000 90.706 -9.7543
4550.000000 90.605 -11.2261
4620.000000 90.457 -13.0985
4680.000000 90.239 -14.5964
4750.000000 89.915 -15.9014
4820.000000 89.590 -17.0056
4870.000000 89.370 -17.7235
4940.000000 89.048 -18.1440
5000.000000 88.761 -18.2704
5080.000000 88.346 -18.1705
5150.000000 88.050 -17.9309
5220.000000 87.764 -17.3436
5300.000000 87.398 -16.3682
5380.000000 87.092 -15.1064
5450.000000 86.881 -13.9808
5520.000000 86.660 -12.5769
5600.000000 86.467 -10.9626
5700.000000 86.253 -8.7621
5800.000000 86.080 -6.5123
