* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jan 3, 2026 2:38:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Hidizs Sea Anemone 1561
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 93.978 33.2312
20.600000 93.868 32.5426
20.900000 93.801 32.2600
21.200001 93.799 32.0455
21.400000 93.828 31.8092
21.799999 93.929 31.0246
22.000000 93.981 30.4779
22.400000 94.054 29.2136
22.700001 94.070 28.2808
23.000000 94.055 27.4831
23.299999 94.018 26.8429
23.600000 93.967 26.3262
24.000000 93.888 25.7340
24.299999 93.824 25.2872
24.700001 93.742 24.6318
25.000000 93.692 24.0828
25.400000 93.659 23.2691
25.799999 93.679 22.3573
26.200001 93.750 21.3607
26.500000 93.826 20.5873
26.900000 93.934 19.5710
27.200001 94.002 18.8460
27.600000 94.055 17.9350
28.000000 94.043 17.0693
28.500000 93.922 16.0522
29.000000 93.719 15.1914
29.500000 93.528 14.5265
30.000000 93.457 13.8195
30.400000 93.504 12.9598
30.700001 93.572 12.0928
31.100000 93.649 10.8104
31.500000 93.663 9.7282
32.000000 93.586 9.2043
32.500000 93.490 9.6749
33.000000 93.471 10.2979
33.500000 93.518 10.0429
34.000000 93.545 8.6509
34.500000 93.514 6.7720
35.000000 93.470 5.1493
35.500000 93.469 4.0502
36.000000 93.496 3.2969
36.500000 93.491 2.8012
37.000000 93.434 2.6830
37.500000 93.379 2.8655
38.200001 93.395 2.6487
38.700001 93.429 1.6839
39.500000 93.396 -0.2184
40.000000 93.360 -0.9022
40.599998 93.358 -1.3774
41.200001 93.341 -2.0235
41.799999 93.249 -2.7311
42.500000 93.127 -3.2581
43.099998 93.100 -3.8163
43.700001 93.091 -4.7667
44.400002 93.008 -5.7759
45.000000 92.907 -6.1114
45.500000 92.844 -6.2800
46.200001 92.769 -6.8511
46.799999 92.698 -7.5705
47.500000 92.643 -8.3349
48.200001 92.617 -8.9755
48.700001 92.588 -9.2978
49.400002 92.535 -9.5270
50.000000 92.509 -9.8719
50.799999 92.467 -10.9535
51.500000 92.401 -11.8623
52.200001 92.372 -12.1754
53.000000 92.397 -12.3698
53.799999 92.357 -12.9527
54.500000 92.266 -13.5987
55.200001 92.204 -14.3411
56.000000 92.163 -15.2350
57.000000 92.074 -15.5514
58.000000 92.019 -15.4068
59.000000 91.982 -16.4632
60.000000 91.904 -17.7309
60.799999 91.892 -17.9180
61.500000 91.931 -17.8272
62.200001 91.958 -17.9656
63.000000 91.920 -18.5535
64.000000 91.767 -19.4665
65.000000 91.656 -19.9777
66.000000 91.667 -20.7540
67.000000 91.628 -21.3408
68.000000 91.557 -21.3807
69.000000 91.402 -21.9424
70.000000 91.294 -22.5551
71.000000 91.340 -23.2935
72.000000 91.288 -23.1401
73.000000 91.221 -22.5582
74.000000 91.156 -23.5420
75.000000 91.087 -24.5945
76.199997 91.039 -24.6437
77.500000 90.846 -24.9622
78.800003 90.765 -25.9438
80.000000 90.734 -26.3357
81.199997 90.634 -26.7276
82.500000 90.542 -27.5770
83.800003 90.614 -27.3536
85.000000 90.481 -28.0993
86.199997 90.391 -27.9737
87.500000 90.387 -28.1457
88.500000 90.202 -27.9325
90.000000 90.081 -28.6156
91.199997 90.063 -28.8489
92.500000 90.004 -29.0349
93.800003 89.966 -29.4882
95.000000 89.944 -29.7906
96.199997 89.880 -29.9048
97.500000 89.843 -30.3959
98.800003 89.775 -31.0025
100.000000 89.707 -31.2106
101.500000 89.657 -31.4823
103.000000 89.626 -31.4740
104.400002 89.520 -32.0560
106.000000 89.411 -32.1580
107.500000 89.340 -31.8076
109.000000 89.258 -31.7031
110.599998 89.209 -31.9211
112.000000 89.113 -31.5668
113.800003 88.966 -31.6051
115.000000 88.859 -31.7056
117.199997 88.802 -32.3456
118.000000 88.800 -32.5436
120.599998 88.625 -32.6067
122.000000 88.507 -32.9190
124.099998 88.490 -33.0601
125.000000 88.486 -32.9464
126.500000 88.415 -32.9401
128.000000 88.318 -32.7461
131.500000 88.090 -32.4537
132.000000 88.075 -32.2316
134.000000 88.022 -31.9444
136.000000 87.914 -31.7224
138.000000 87.774 -31.7081
140.000000 87.738 -31.8866
143.000000 87.675 -32.0560
145.000000 87.661 -32.3885
147.500000 87.604 -32.3476
150.000000 87.562 -32.3707
152.500000 87.528 -32.6951
155.000000 87.477 -32.9452
157.500000 87.378 -32.7254
160.000000 87.251 -32.6033
162.500000 87.223 -32.4118
165.000000 87.128 -31.7841
167.500000 87.017 -31.8097
170.000000 86.970 -32.0396
172.500000 86.885 -31.5115
175.000000 86.736 -31.4610
177.500000 86.706 -31.6711
180.000000 86.722 -31.5273
182.500000 86.643 -31.0327
185.000000 86.571 -31.1905
187.500000 86.548 -30.9058
190.000000 86.489 -30.4175
192.500000 86.425 -30.3367
195.000000 86.330 -30.1058
197.500000 86.225 -30.3023
200.000000 86.232 -30.1328
203.000000 86.161 -29.3989
206.000000 85.995 -28.9151
209.000000 85.941 -28.6593
212.000000 85.821 -28.3262
214.000000 85.812 -27.9593
218.000000 85.772 -27.5120
220.000000 85.711 -27.6144
224.000000 85.592 -27.1789
227.000000 85.580 -27.1250
230.000000 85.582 -26.7904
233.000000 85.522 -26.7397
236.000000 85.474 -26.3866
240.000000 85.389 -25.8657
243.000000 85.270 -25.2962
247.000000 85.198 -24.5425
250.000000 85.182 -24.0375
254.000000 85.095 -23.6855
258.000000 85.088 -23.7032
262.000000 85.063 -23.5205
265.000000 85.017 -23.4075
269.000000 85.008 -22.9769
272.000000 84.994 -22.8181
276.000000 84.948 -22.1118
280.000000 84.918 -21.4831
285.000000 84.823 -21.0407
290.000000 84.824 -21.0774
295.000000 84.748 -20.6784
300.000000 84.739 -20.5192
304.000000 84.742 -20.0443
307.000000 84.695 -19.6465
311.000000 84.638 -19.8321
315.000000 84.592 -19.3614
320.000000 84.527 -18.6360
325.000000 84.445 -18.1405
330.000000 84.380 -18.0368
335.000000 84.347 -17.5417
340.000000 84.230 -16.6834
345.000000 84.218 -16.3709
350.000000 84.213 -15.9306
355.000000 84.237 -15.8237
360.000000 84.183 -15.4471
365.000000 84.179 -15.0242
370.000000 84.179 -15.1243
375.000000 84.199 -14.5120
382.000000 84.181 -13.6995
387.000000 84.098 -13.5074
395.000000 83.992 -13.0601
400.000000 83.945 -12.3856
406.000000 83.889 -11.6809
412.000000 83.804 -10.9984
418.000000 83.755 -10.6255
425.000000 83.734 -10.2914
431.000000 83.774 -10.0564
437.000000 83.780 -9.6666
444.000000 83.776 -9.0200
450.000000 83.789 -8.4977
455.000000 83.792 -8.2034
462.000000 83.796 -7.7010
468.000000 83.793 -7.2699
475.000000 83.755 -6.9892
482.000000 83.723 -6.2960
487.000000 83.694 -5.8158
494.000000 83.649 -5.0161
500.000000 83.615 -4.6339
508.000000 83.588 -4.1140
515.000000 83.563 -3.5379
522.000000 83.578 -3.0955
530.000000 83.637 -2.4122
538.000000 83.660 -2.0439
545.000000 83.690 -1.7491
552.000000 83.685 -1.5081
560.000000 83.669 -1.0539
570.000000 83.598 -0.4588
580.000000 83.504 0.3744
590.000000 83.460 1.1469
600.000000 83.462 2.1749
608.000000 83.443 2.7193
615.000000 83.448 3.1114
622.000000 83.456 3.4601
630.000000 83.493 4.0710
640.000000 83.509 4.6545
650.000000 83.536 5.1303
660.000000 83.519 5.6806
670.000000 83.531 6.4818
680.000000 83.509 7.2154
690.000000 83.496 7.8715
700.000000 83.494 8.5036
710.000000 83.501 9.2470
720.000000 83.546 9.9528
730.000000 83.559 10.4898
740.000000 83.582 10.9496
750.000000 83.612 11.5876
762.000000 83.610 12.6404
775.000000 83.648 13.6485
788.000000 83.700 14.3175
800.000000 83.764 14.9145
812.000000 83.806 15.6791
825.000000 83.860 16.6213
838.000000 83.867 17.4117
850.000000 83.910 18.2190
862.000000 83.982 18.9585
875.000000 84.058 19.6269
885.000000 84.111 20.1231
900.000000 84.197 21.0033
912.000000 84.260 21.7588
925.000000 84.286 22.5598
938.000000 84.394 23.2124
950.000000 84.506 23.7608
962.000000 84.606 24.2002
975.000000 84.717 24.6774
988.000000 84.815 25.3464
1000.000000 84.866 25.7928
1015.000000 84.999 26.4662
1030.000000 85.116 26.8803
1044.000000 85.223 27.3470
1060.000000 85.347 27.9013
1075.000000 85.428 28.2131
1090.000000 85.525 28.6684
1106.000000 85.631 29.0372
1120.000000 85.720 29.3377
1138.000000 85.847 29.5877
1150.000000 85.933 29.7580
1172.000000 86.095 29.9900
1180.000000 86.143 30.0646
1206.000000 86.313 30.4291
1220.000000 86.400 30.4968
1241.000000 86.531 30.4918
1250.000000 86.580 30.4366
1265.000000 86.659 30.6805
1280.000000 86.732 30.7638
1315.000000 86.866 30.7815
1320.000000 86.884 30.8025
1340.000000 86.970 31.0370
1360.000000 87.065 30.9839
1380.000000 87.200 30.8819
1400.000000 87.332 30.8596
1430.000000 87.487 30.9646
1450.000000 87.586 30.9867
1475.000000 87.698 30.8233
1500.000000 87.779 30.8446
1525.000000 87.847 30.9796
1550.000000 87.921 30.9377
1575.000000 88.022 30.7877
1600.000000 88.120 30.8252
1625.000000 88.192 30.8126
1650.000000 88.312 30.8787
1675.000000 88.440 30.5396
1700.000000 88.538 30.4337
1725.000000 88.612 30.6315
1750.000000 88.693 30.5450
1775.000000 88.829 30.1511
1800.000000 88.918 29.9170
1825.000000 88.985 29.9637
1850.000000 89.046 29.7916
1875.000000 89.093 29.3894
1900.000000 89.150 29.2916
1925.000000 89.176 29.2460
1950.000000 89.238 28.9646
1975.000000 89.365 28.6286
2000.000000 89.465 28.1761
2030.000000 89.622 27.8256
2060.000000 89.718 27.4672
2090.000000 89.825 27.0045
2120.000000 89.917 26.5784
2140.000000 89.959 26.2597
2180.000000 90.042 25.6963
2200.000000 90.092 25.2915
2240.000000 90.182 24.5301
2270.000000 90.213 24.1377
2300.000000 90.251 23.7131
2330.000000 90.321 23.0939
2360.000000 90.427 22.3930
2400.000000 90.488 21.6713
2430.000000 90.500 21.3081
2470.000000 90.533 20.5855
2500.000000 90.592 20.0621
2540.000000 90.674 19.1825
2580.000000 90.733 18.4391
2620.000000 90.761 17.6777
2650.000000 90.801 17.0304
2690.000000 90.869 15.9170
2720.000000 90.897 15.1192
2760.000000 90.891 14.0555
2800.000000 90.883 12.8730
2850.000000 90.819 11.4544
2900.000000 90.670 10.5022
2950.000000 90.474 9.8777
3000.000000 90.348 9.3507
3040.000000 90.308 8.9825
3070.000000 90.257 8.7770
3110.000000 90.180 8.7311
3150.000000 90.088 8.8694
3200.000000 90.070 8.8332
3250.000000 90.105 8.7525
3300.000000 90.095 8.9653
3350.000000 90.092 8.9646
3400.000000 90.154 8.8499
3450.000000 90.167 8.6674
3500.000000 90.171 8.7944
3550.000000 90.228 8.5793
3600.000000 90.323 8.5004
3650.000000 90.424 8.1972
3700.000000 90.541 7.6649
3750.000000 90.591 7.2565
3820.000000 90.615 6.3557
3870.000000 90.687 5.6603
3950.000000 90.851 4.0999
4000.000000 90.929 3.1277
4060.000000 90.929 1.8616
4120.000000 90.874 0.9539
4180.000000 90.808 0.1584
4250.000000 91.029 -1.7832
4310.000000 91.096 -3.7978
4370.000000 91.075 -5.4392
4440.000000 90.912 -7.4653
4500.000000 90.761 -9.0516
4550.000000 90.621 -10.6212
4620.000000 90.408 -12.3035
4680.000000 90.289 -13.9492
4750.000000 90.104 -15.3468
4820.000000 89.815 -16.4913
4870.000000 89.551 -17.0345
4940.000000 89.149 -17.7160
5000.000000 88.830 -17.5997
5080.000000 88.428 -17.8379
5150.000000 88.071 -17.2177
5220.000000 87.740 -16.5757
5300.000000 87.410 -15.6522
5380.000000 87.077 -14.4189
5450.000000 86.785 -13.1775
5520.000000 86.562 -11.8178
5600.000000 86.384 -10.0384
5700.000000 86.288 -7.9456
5800.000000 86.173 -5.8071
