* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Sep 14, 2023 6:20:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: n.Black f.Black Foam L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	62.996	-152.4812
1.015000	63.063	-153.9507
1.030000	63.129	-155.4144
1.044000	63.188	-156.7766
1.060000	63.253	-158.3299
1.075000	63.312	-159.7840
1.090000	63.370	-161.2372
1.106000	63.429	-162.7865
1.120000	63.478	-164.1339
1.138000	63.539	-165.8534
1.150000	63.579	-166.9916
1.172000	63.647	-169.0622
1.180000	63.670	-169.8100
1.206000	63.743	-172.2223
1.220000	63.780	-173.5100
1.241000	63.832	-175.4272
1.250000	63.853	-176.2438
1.265000	63.886	-177.5981
1.280000	63.917	-178.9442
1.315000	63.982	177.9451
1.320000	63.990	177.5040
1.340000	64.021	175.7479
1.360000	64.049	174.0043
1.380000	64.073	172.2726
1.400000	64.094	170.5523
1.430000	64.118	167.9922
1.450000	64.130	166.2983
1.475000	64.140	164.1941
1.500000	64.145	162.1028
1.525000	64.146	160.0256
1.550000	64.141	157.9639
1.575000	64.131	155.9192
1.600000	64.116	153.8932
1.625000	64.095	151.8873
1.650000	64.068	149.9033
1.675000	64.036	147.9425
1.700000	63.996	146.0066
1.725000	63.951	144.0972
1.750000	63.898	142.2157
1.775000	63.839	140.3637
1.800000	63.773	138.5429
1.825000	63.699	136.7548
1.850000	63.618	134.9880
1.875000	63.533	133.2171
1.900000	63.442	131.4484
1.925000	63.346	129.6900
1.950000	63.243	127.9496
1.975000	63.134	126.2353
2.000000	63.019	124.5548
2.030000	62.870	122.5942
2.060000	62.709	120.7074
2.090000	62.537	118.9081
2.120000	62.352	117.2100
2.140000	62.221	116.1407
2.180000	61.940	114.1717
2.200000	61.789	113.2789
2.240000	61.453	111.4926
2.270000	61.169	110.1339
2.300000	60.865	108.8035
2.330000	60.545	107.5418
2.360000	60.215	106.3887
2.400000	59.766	105.0897
2.430000	59.431	104.3463
2.470000	58.993	103.7393
2.500000	58.680	103.6241
2.540000	58.291	104.0005
2.580000	57.936	105.0913
2.620000	57.554	107.0858
2.650000	57.250	109.0991
2.690000	56.841	112.3194
2.720000	56.544	115.0318
2.760000	56.181	118.8909
2.800000	55.874	122.8514
2.850000	55.608	127.6525
2.900000	55.514	131.9381
2.950000	55.639	135.4374
3.000000	56.012	138.7881
3.040000	56.455	141.4259
3.070000	56.851	143.3370
3.110000	57.438	145.7437
3.150000	58.066	147.9297
3.200000	58.858	150.2538
3.250000	59.603	152.0063
3.300000	60.239	153.0612
3.350000	60.812	153.2963
3.400000	61.377	152.7986
3.450000	61.929	151.7353
3.500000	62.461	150.2735
3.550000	62.967	148.5804
3.600000	63.438	146.8233
3.650000	63.871	145.1692
3.700000	64.259	143.6250
3.750000	64.608	141.9152
3.820000	65.039	139.3122
3.870000	65.312	137.3706
3.950000	65.699	134.2589
4.000000	65.915	132.3882
4.060000	66.153	130.2646
4.120000	66.353	128.1432
4.180000	66.519	126.0358
4.250000	66.677	123.6472
4.310000	66.788	121.7047
4.370000	66.885	119.9006
4.440000	66.978	117.9888
4.500000	67.028	116.4575
4.550000	67.054	115.2642
4.620000	67.073	113.7391
4.680000	67.083	112.5847
4.750000	67.099	111.4393
4.820000	67.114	110.5410
4.870000	67.116	110.0498
4.940000	67.113	109.5373
5.000000	67.115	109.2290
5.080000	67.138	108.9530
5.150000	67.191	108.8015
5.220000	67.265	108.8439
5.300000	67.372	109.0804
5.380000	67.502	109.3844
5.450000	67.635	109.5968
5.520000	67.788	109.6785
5.600000	67.997	109.7293
5.700000	68.294	109.7221
5.800000	68.603	109.5426
5.900000	68.901	109.0942
6.000000	69.205	108.3718
6.080000	69.448	107.6497
6.150000	69.651	106.9485
6.220000	69.839	106.2119
6.300000	70.033	105.2992
6.400000	70.256	104.0181
6.500000	70.454	102.6854
6.600000	70.627	101.4123
6.700000	70.770	100.1759
6.800000	70.885	98.9566
6.900000	70.984	97.8209
7.000000	71.074	96.8279
7.100000	71.144	95.9574
7.200000	71.203	95.1931
7.300000	71.264	94.5283
7.400000	71.332	93.9767
7.500000	71.399	93.5508
7.620000	71.487	93.1212
7.750000	71.600	92.6631
7.880000	71.732	92.2664
8.000000	71.862	91.8829
8.120000	71.997	91.4028
8.250000	72.152	90.8052
8.380000	72.305	90.1313
8.500000	72.434	89.4279
8.620000	72.556	88.6406
8.750000	72.676	87.7515
8.850000	72.755	87.0703
9.000000	72.856	86.0167
9.120000	72.924	85.1974
9.250000	72.986	84.3746
9.380000	73.036	83.5980
9.500000	73.078	82.9295
9.620000	73.121	82.3198
9.750000	73.166	81.7188
9.880000	73.205	81.1445
10.000000	73.232	80.6328
10.150000	73.257	80.0197
10.300000	73.280	79.3832
10.440000	73.299	78.7664
10.600000	73.317	78.0360
10.750000	73.331	77.3140
10.900000	73.342	76.5665
11.060000	73.346	75.7707
11.200000	73.344	75.0698
11.380000	73.335	74.1937
11.500000	73.326	73.6331
11.720000	73.306	72.6440
11.800000	73.299	72.2988
12.060000	73.278	71.2172
12.200000	73.268	70.6411
12.410000	73.256	69.7837
12.500000	73.258	69.4112
12.650000	73.270	68.7837
12.800000	73.286	68.1551
13.150000	73.312	66.6956
13.200000	73.315	66.4933
13.400000	73.325	65.7011
13.600000	73.334	64.9428
13.800000	73.344	64.2248
14.000000	73.358	63.5269
14.300000	73.384	62.5045
14.500000	73.405	61.8139
14.750000	73.430	60.9397
15.000000	73.451	60.0565
15.250000	73.467	59.1917
15.500000	73.478	58.3680
15.750000	73.488	57.5939
16.000000	73.503	56.8699
16.250000	73.526	56.1689
16.500000	73.558	55.4759
16.750000	73.590	54.7691
17.000000	73.620	54.0508
17.250000	73.646	53.3302
17.500000	73.668	52.6218
17.750000	73.688	51.9413
18.000000	73.707	51.2867
18.250000	73.727	50.6552
18.500000	73.749	50.0286
18.750000	73.772	49.4000
19.000000	73.795	48.7632
19.250000	73.815	48.1230
19.500000	73.834	47.4879
19.750000	73.851	46.8638
20.000000	73.868	46.2556
20.299999	73.891	45.5397
20.600000	73.916	44.8306
20.900000	73.941	44.1209
21.200001	73.964	43.4108
21.400000	73.979	42.9426
21.799999	74.007	42.0273
22.000000	74.020	41.5818
22.400000	74.048	40.7104
22.700001	74.069	40.0653
23.000000	74.090	39.4238
23.299999	74.110	38.7911
23.600000	74.128	38.1721
24.000000	74.152	37.3690
24.299999	74.171	36.7743
24.700001	74.195	35.9757
25.000000	74.211	35.3700
25.400000	74.228	34.5669
25.799999	74.239	33.7935
26.200001	74.251	33.0558
26.500000	74.260	32.5128
26.900000	74.275	31.7806
27.200001	74.286	31.2177
27.600000	74.297	30.4562
28.000000	74.304	29.7017
28.500000	74.311	28.7831
29.000000	74.318	27.8778
29.500000	74.325	26.9727
30.000000	74.331	26.0764
30.400000	74.334	25.3724
30.700001	74.337	24.8508
31.100000	74.341	24.1602
31.500000	74.345	23.4758
32.000000	74.348	22.6328
32.500000	74.350	21.8019
33.000000	74.352	20.9751
33.500000	74.351	20.1555
34.000000	74.347	19.3557
34.500000	74.343	18.5754
35.000000	74.340	17.8004
35.500000	74.335	17.0240
36.000000	74.328	16.2556
36.500000	74.320	15.5023
37.000000	74.312	14.7606
37.500000	74.304	14.0266
38.200001	74.293	13.0110
38.700001	74.285	12.2887
39.500000	74.268	11.1436
40.000000	74.255	10.4563
40.599998	74.243	9.6605
41.200001	74.233	8.8657
41.799999	74.220	8.0685
42.500000	74.200	7.1683
43.099998	74.184	6.4229
43.700001	74.167	5.6842
44.400002	74.146	4.8362
45.000000	74.127	4.1279
45.500000	74.112	3.5458
46.200001	74.089	2.7429
46.799999	74.068	2.0732
47.500000	74.045	1.3137
48.200001	74.021	0.5712
48.700001	74.004	0.0458
49.400002	73.978	-0.6827
50.000000	73.953	-1.2875
50.799999	73.921	-2.0588
51.500000	73.894	-2.7214
52.200001	73.865	-3.3734
53.000000	73.831	-4.0860
53.799999	73.799	-4.7792
54.500000	73.771	-5.3860
55.200001	73.741	-5.9763
56.000000	73.705	-6.6132
57.000000	73.662	-7.3896
58.000000	73.616	-8.1157
59.000000	73.576	-8.8219
60.000000	73.528	-9.5619
60.799999	73.486	-10.0845
61.500000	73.454	-10.5318
62.200001	73.421	-10.9965
63.000000	73.380	-11.4993
64.000000	73.330	-12.0981
65.000000	73.279	-12.6843
66.000000	73.230	-13.2455
67.000000	73.179	-13.8003
68.000000	73.127	-14.3229
69.000000	73.075	-14.8410
70.000000	73.020	-15.3182
71.000000	72.970	-15.7727
72.000000	72.919	-16.2421
73.000000	72.867	-16.6837
74.000000	72.815	-17.1149
75.000000	72.762	-17.5226
76.199997	72.700	-18.0090
77.500000	72.631	-18.4926
78.800003	72.565	-18.9879
80.000000	72.498	-19.4097
81.199997	72.436	-19.7921
82.500000	72.374	-20.2117
83.800003	72.307	-20.6345
85.000000	72.245	-20.9789
86.199997	72.187	-21.3138
87.500000	72.119	-21.6883
88.500000	72.067	-21.9325
90.000000	71.994	-22.3261
91.199997	71.931	-22.6243
92.500000	71.865	-22.9296
93.800003	71.803	-23.2212
95.000000	71.742	-23.4930
96.199997	71.683	-23.7173
97.500000	71.620	-23.9800
98.800003	71.557	-24.2212
100.000000	71.498	-24.4514
101.500000	71.425	-24.7061
103.000000	71.354	-24.9478
104.400002	71.291	-25.1815
106.000000	71.212	-25.4250
107.500000	71.144	-25.6377
109.000000	71.075	-25.8475
110.599998	71.003	-26.0616
112.000000	70.940	-26.2141
113.800003	70.863	-26.4309
115.000000	70.807	-26.5439
117.199997	70.714	-26.7689
118.000000	70.678	-26.8506
120.599998	70.568	-27.0711
122.000000	70.508	-27.1838
124.099998	70.417	-27.3299
125.000000	70.382	-27.3965
126.500000	70.324	-27.5170
128.000000	70.268	-27.6286
131.500000	70.143	-27.8076
132.000000	70.125	-27.8338
134.000000	70.053	-27.9043
136.000000	69.984	-27.9803
138.000000	69.909	-28.0592
140.000000	69.841	-28.1169
143.000000	69.742	-28.1735
145.000000	69.674	-28.2187
147.500000	69.592	-28.2568
150.000000	69.510	-28.2977
152.500000	69.431	-28.2880
155.000000	69.354	-28.3033
157.500000	69.280	-28.2793
160.000000	69.206	-28.2801
162.500000	69.117	-28.2662
165.000000	69.029	-28.2261
167.500000	68.948	-28.1561
170.000000	68.862	-28.0985
172.500000	68.784	-28.0460
175.000000	68.701	-27.9669
177.500000	68.617	-27.8795
180.000000	68.539	-27.7670
182.500000	68.464	-27.7020
185.000000	68.389	-27.6037
187.500000	68.315	-27.4983
190.000000	68.242	-27.3831
192.500000	68.164	-27.2812
195.000000	68.092	-27.1616
197.500000	68.025	-27.0336
200.000000	67.957	-26.8713
203.000000	67.884	-26.6831
206.000000	67.808	-26.5422
209.000000	67.738	-26.4059
212.000000	67.671	-26.1930
214.000000	67.626	-26.0654
218.000000	67.533	-25.8098
220.000000	67.489	-25.6752
224.000000	67.404	-25.4233
227.000000	67.344	-25.2190
230.000000	67.280	-24.9832
233.000000	67.216	-24.7708
236.000000	67.155	-24.5491
240.000000	67.082	-24.2795
243.000000	67.027	-24.0427
247.000000	66.953	-23.7237
250.000000	66.897	-23.4980
254.000000	66.827	-23.2052
258.000000	66.759	-22.8519
262.000000	66.693	-22.5438
265.000000	66.650	-22.2952
269.000000	66.585	-21.9693
272.000000	66.536	-21.6977
276.000000	66.476	-21.3694
280.000000	66.418	-21.0323
285.000000	66.348	-20.5820
290.000000	66.285	-20.1686
295.000000	66.214	-19.7218
300.000000	66.152	-19.3171
304.000000	66.103	-18.9432
307.000000	66.071	-18.6859
