* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Sep 14, 2023 6:22:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: n.Black f.Gold Foam L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	63.232	-153.8703
1.015000	63.301	-155.3020
1.030000	63.368	-156.7288
1.044000	63.429	-158.0570
1.060000	63.496	-159.5722
1.075000	63.557	-160.9914
1.090000	63.617	-162.4106
1.106000	63.678	-163.9244
1.120000	63.730	-165.2416
1.138000	63.793	-166.9228
1.150000	63.834	-168.0361
1.172000	63.904	-170.0620
1.180000	63.929	-170.7939
1.206000	64.004	-173.1556
1.220000	64.042	-174.4166
1.241000	64.095	-176.2948
1.250000	64.116	-177.0948
1.265000	64.150	-178.4221
1.280000	64.182	-179.7416
1.315000	64.249	177.2083
1.320000	64.258	176.7758
1.340000	64.290	175.0532
1.360000	64.318	173.3426
1.380000	64.343	171.6434
1.400000	64.365	169.9552
1.430000	64.391	167.4425
1.450000	64.404	165.7797
1.475000	64.415	163.7141
1.500000	64.422	161.6604
1.525000	64.423	159.6195
1.550000	64.420	157.5931
1.575000	64.411	155.5828
1.600000	64.397	153.5902
1.625000	64.377	151.6170
1.650000	64.351	149.6647
1.675000	64.319	147.7352
1.700000	64.281	145.8298
1.725000	64.236	143.9504
1.750000	64.185	142.0985
1.775000	64.127	140.2758
1.800000	64.063	138.4838
1.825000	63.991	136.7243
1.850000	63.912	134.9863
1.875000	63.829	133.2444
1.900000	63.740	131.5051
1.925000	63.646	129.7760
1.950000	63.545	128.0647
1.975000	63.438	126.3790
2.000000	63.324	124.7264
2.030000	63.178	122.7980
2.060000	63.022	120.9417
2.090000	62.853	119.1706
2.120000	62.673	117.4982
2.140000	62.546	116.4445
2.180000	62.274	114.5020
2.200000	62.128	113.6202
2.240000	61.804	111.8643
2.270000	61.532	110.5368
2.300000	61.240	109.2409
2.330000	60.933	108.0135
2.360000	60.616	106.8911
2.400000	60.186	105.6216
2.430000	59.864	104.8871
2.470000	59.445	104.2680
2.500000	59.143	104.1214
2.540000	58.768	104.4192
2.580000	58.426	105.3798
2.620000	58.056	107.1712
2.650000	57.762	108.9915
2.690000	57.367	111.9155
2.720000	57.079	114.3870
2.760000	56.726	117.9152
2.800000	56.427	121.5513
2.850000	56.164	125.9851
2.900000	56.063	129.9807
2.950000	56.171	133.2993
3.000000	56.511	136.5515
3.040000	56.918	139.1543
3.070000	57.284	141.0601
3.110000	57.829	143.4820
3.150000	58.412	145.7021
3.200000	59.153	148.0846
3.250000	59.853	149.9002
3.300000	60.457	151.0092
3.350000	61.009	151.3069
3.400000	61.561	150.8941
3.450000	62.105	149.9303
3.500000	62.633	148.5751
3.550000	63.136	146.9880
3.600000	63.607	145.3286
3.650000	64.038	143.7565
3.700000	64.423	142.2758
3.750000	64.771	140.6204
3.820000	65.203	138.0810
3.870000	65.477	136.1778
3.950000	65.866	133.1185
4.000000	66.085	131.2770
4.060000	66.325	129.1862
4.120000	66.528	127.0921
4.180000	66.696	125.0065
4.250000	66.858	122.6373
4.310000	66.973	120.7068
4.370000	67.073	118.9111
4.440000	67.170	117.0048
4.500000	67.224	115.4736
4.550000	67.252	114.2773
4.620000	67.275	112.7435
4.680000	67.289	111.5781
4.750000	67.307	110.4162
4.820000	67.325	109.4960
4.870000	67.328	108.9849
4.940000	67.327	108.4404
5.000000	67.331	108.1031
5.080000	67.354	107.7892
