* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Sep 14, 2023 6:28:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: n.Black f.Pink Foam L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	62.784	-150.1796
1.015000	62.846	-151.6797
1.030000	62.906	-153.1741
1.044000	62.960	-154.5645
1.060000	63.019	-156.1499
1.075000	63.073	-157.6337
1.090000	63.125	-159.1163
1.106000	63.178	-160.6963
1.120000	63.223	-162.0705
1.138000	63.277	-163.8239
1.150000	63.312	-164.9847
1.172000	63.373	-167.0963
1.180000	63.394	-167.8590
1.206000	63.459	-170.3194
1.220000	63.491	-171.6329
1.241000	63.536	-173.5889
1.250000	63.554	-174.4220
1.265000	63.583	-175.8041
1.280000	63.609	-177.1780
1.315000	63.664	179.6459
1.320000	63.671	179.1954
1.340000	63.696	177.4014
1.360000	63.718	175.6195
1.380000	63.736	173.8490
1.400000	63.750	172.0894
1.430000	63.765	169.4689
1.450000	63.771	167.7338
1.475000	63.773	165.5772
1.500000	63.771	163.4335
1.525000	63.763	161.3038
1.550000	63.751	159.1895
1.575000	63.734	157.0918
1.600000	63.711	155.0123
1.625000	63.683	152.9521
1.650000	63.648	150.9128
1.675000	63.607	148.8955
1.700000	63.560	146.9016
1.725000	63.506	144.9325
1.750000	63.445	142.9895
1.775000	63.377	141.0740
1.800000	63.301	139.1873
1.825000	63.217	137.3307
1.850000	63.126	135.4930
1.875000	63.031	133.6489
1.900000	62.931	131.8051
1.925000	62.826	129.9694
1.950000	62.715	128.1500
1.975000	62.597	126.3549
2.000000	62.471	124.5920
2.030000	62.309	122.5305
2.060000	62.135	120.5407
2.090000	61.947	118.6366
2.120000	61.743	116.8320
2.140000	61.598	115.6910
2.180000	61.285	113.5767
2.200000	61.117	112.6103
2.240000	60.740	110.6244
2.270000	60.423	109.0693
2.300000	60.083	107.5180
2.330000	59.725	106.0245
2.360000	59.354	104.6429
2.400000	58.849	103.0682
2.430000	58.469	102.1579
2.470000	57.970	101.4078
2.500000	57.609	101.2630
2.540000	57.155	101.7299
2.580000	56.733	103.0941
2.620000	56.265	105.5832
2.650000	55.887	108.0899
2.690000	55.373	112.0899
2.720000	54.995	115.4502
2.760000	54.527	120.2157
2.800000	54.128	125.0839
2.850000	53.772	130.9426
2.900000	53.631	136.1060
2.950000	53.766	140.2213
3.000000	54.214	144.0342
3.040000	54.752	146.9641
3.070000	55.236	149.0532
3.110000	55.952	151.6474
3.150000	56.715	153.9699
3.200000	57.671	156.4025
3.250000	58.557	158.2063
