* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Sep 17, 2023 12:43:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: n.Black f.Blue Foam R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	65.855	-110.6989
1.015000	65.777	-112.7218
1.030000	65.701	-114.7530
1.044000	65.633	-116.6559
1.060000	65.558	-118.8386
1.075000	65.490	-120.8922
1.090000	65.426	-122.9523
1.106000	65.361	-125.1594
1.120000	65.307	-127.1139
1.138000	65.238	-129.6601
1.150000	65.193	-131.3764
1.172000	65.114	-134.5572
1.180000	65.086	-135.7236
1.206000	64.998	-139.5443
1.220000	64.952	-141.6171
1.241000	64.886	-144.7412
1.250000	64.859	-146.0840
1.265000	64.815	-148.3254
1.280000	64.772	-150.5688
1.315000	64.679	-155.7967
1.320000	64.667	-156.5415
1.340000	64.618	-159.5114
1.360000	64.573	-162.4625
1.380000	64.530	-165.3888
1.400000	64.491	-168.2843
1.430000	64.438	-172.5569
1.450000	64.406	-175.3495
1.475000	64.372	-178.7737
1.500000	64.348	177.8249
1.525000	64.334	174.4371
1.550000	64.329	171.0679
1.575000	64.330	167.7222
1.600000	64.338	164.4048
1.625000	64.349	161.1209
1.650000	64.362	157.8752
1.675000	64.376	154.6726
1.700000	64.389	151.5181
1.725000	64.399	148.4167
1.750000	64.405	145.3731
1.775000	64.405	142.3924
1.800000	64.399	139.4794
1.825000	64.383	136.6391
1.850000	64.361	133.8683
1.875000	64.341	131.1506
1.900000	64.322	128.4857
1.925000	64.303	125.8744
1.950000	64.282	123.3171
1.975000	64.259	120.8145
2.000000	64.231	118.3672
2.030000	64.190	115.5044
2.060000	64.138	112.7230
2.090000	64.073	110.0242
2.120000	63.993	107.4090
2.140000	63.930	105.7125
2.180000	63.776	102.4337
2.200000	63.685	100.8513
2.240000	63.488	97.6634
2.270000	63.330	95.2486
2.300000	63.161	92.8550
2.330000	62.979	90.5203
2.360000	62.783	88.2821
2.400000	62.493	85.5128
2.430000	62.254	83.6459
2.470000	61.900	81.5082
2.500000	61.606	80.2173
2.540000	61.173	78.9841
2.580000	60.676	78.3590
2.620000	60.027	78.1395
2.650000	59.454	78.2187
2.690000	58.617	78.6719
2.720000	57.965	79.2878
2.760000	57.103	80.4993
2.800000	56.300	82.1824
2.850000	55.458	84.9922
2.900000	54.893	88.6371
2.950000	54.699	93.3067
3.000000	54.836	99.9965
3.040000	55.133	106.5276
3.070000	55.444	111.8550
3.110000	55.949	119.2138
3.150000	56.527	126.5031
3.200000	57.301	134.9159
3.250000	58.073	141.8329
3.300000	58.780	146.4872
3.350000	59.502	148.9095
3.400000	60.304	149.7349
3.450000	61.150	149.3344
3.500000	62.005	148.0795
3.550000	62.834	146.3415
3.600000	63.602	144.4916
3.650000	64.272	142.9011
3.700000	64.832	141.6030
3.750000	65.320	140.0138
3.820000	65.903	137.4013
3.870000	66.261	135.3693
3.950000	66.758	132.0562
4.000000	67.036	130.0739
4.060000	67.345	127.8653
4.120000	67.602	125.6440
4.180000	67.809	123.4171
4.250000	67.999	120.8761
4.310000	68.128	118.8021
4.370000	68.235	116.8749
4.440000	68.332	114.8297
4.500000	68.374	113.1721
4.550000	68.386	111.8724
4.620000	68.377	110.2118
4.680000	68.356	108.9675
4.750000	68.330	107.7659
4.820000	68.295	106.8634
4.870000	68.251	106.3881
4.940000	68.179	105.9307
5.000000	68.119	105.7069
5.080000	68.063	105.6078
5.150000	68.055	105.6835
5.220000	68.069	106.0475
5.300000	68.108	106.7362
5.380000	68.178	107.5311
5.450000	68.268	108.1620
5.520000	68.392	108.6221
5.600000	68.585	109.1136
5.700000	68.879	109.6494
5.800000	69.195	109.9373
5.900000	69.500	109.8146
6.000000	69.822	109.2871
6.080000	70.082	108.6498
6.150000	70.299	107.9826
6.220000	70.495	107.2525
6.300000	70.695	106.3033
6.400000	70.921	104.8997
6.500000	71.116	103.3971
6.600000	71.279	101.9480
6.700000	71.403	100.5178
6.800000	71.494	99.0821
6.900000	71.562	97.7381
7.000000	71.618	96.5708
7.100000	71.649	95.5438
7.200000	71.665	94.6445
7.300000	71.684	93.8782
7.400000	71.713	93.2698
7.500000	71.741	92.8282
7.620000	71.787	92.4110
7.750000	71.866	91.9826
7.880000	71.974	91.6517
8.000000	72.091	91.3257
8.120000	72.220	90.8647
8.250000	72.378	90.2606
8.380000	72.538	89.5459
8.500000	72.673	88.7635
8.620000	72.804	87.8577
8.750000	72.933	86.8174
8.850000	73.016	86.0130
9.000000	73.119	84.7493
9.120000	73.187	83.7646
9.250000	73.246	82.7828
9.380000	73.289	81.8581
9.500000	73.324	81.0745
9.620000	73.361	80.3785
9.750000	73.399	79.7108
9.880000	73.432	79.0912
10.000000	73.457	78.5577
10.150000	73.483	77.9418
10.300000	73.509	77.3077
10.440000	73.535	76.6992
10.600000	73.563	75.9789
10.750000	73.588	75.2579
10.900000	73.609	74.5078
11.060000	73.624	73.7090
11.200000	73.629	73.0042
11.380000	73.628	72.1311
11.500000	73.623	71.5798
11.720000	73.609	70.6216
11.800000	73.604	70.2934
12.060000	73.587	69.2835
12.200000	73.579	68.7509
12.410000	73.570	67.9639
12.500000	73.573	67.6203
12.650000	73.587	67.0397
12.800000	73.602	66.4570
13.150000	73.624	65.1004
13.200000	73.626	64.9135
13.400000	73.629	64.1852
13.600000	73.632	63.4938
13.800000	73.635	62.8471
14.000000	73.642	62.2153
14.300000	73.661	61.2752
14.500000	73.678	60.6176
14.750000	73.697	59.7592
15.000000	73.712	58.8653
15.250000	73.717	57.9759
15.500000	73.718	57.1260
15.750000	73.717	56.3300
16.000000	73.723	55.5917
16.250000	73.741	54.8748
16.500000	73.770	54.1591
16.750000	73.802	53.4143
17.000000	73.834	52.6439
17.250000	73.863	51.8624
17.500000	73.886	51.0923
17.750000	73.907	50.3608
18.000000	73.927	49.6686
18.250000	73.950	49.0156
18.500000	73.976	48.3793
18.750000	74.004	47.7495
19.000000	74.034	47.1167
19.250000	74.061	46.4846
19.500000	74.087	45.8626
19.750000	74.110	45.2570
20.000000	74.133	44.6730
20.299999	74.161	43.9907
20.600000	74.190	43.3181
20.900000	74.218	42.6459
21.200001	74.241	41.9762
21.400000	74.255	41.5383
21.799999	74.279	40.6907
22.000000	74.291	40.2798
22.400000	74.316	39.4677
22.700001	74.335	38.8478
23.000000	74.353	38.2105
23.299999	74.367	37.5670
23.600000	74.377	36.9323
24.000000	74.388	36.1154
24.299999	74.397	35.5200
24.700001	74.413	34.7250
25.000000	74.426	34.1147
25.400000	74.441	33.2858
25.799999	74.453	32.4662
26.200001	74.462	31.6756
26.500000	74.471	31.0978
26.900000	74.484	30.3323
27.200001	74.494	29.7555
27.600000	74.506	28.9872
28.000000	74.515	28.2333
28.500000	74.525	27.3168
29.000000	74.535	26.4142
29.500000	74.542	25.5201
30.000000	74.546	24.6456
30.400000	74.549	23.9578
30.700001	74.552	23.4413
31.100000	74.554	22.7462
31.500000	74.554	22.0500
32.000000	74.550	21.1967
32.500000	74.546	20.3640
33.000000	74.543	19.5316
33.500000	74.540	18.6919
34.000000	74.534	17.8621
34.500000	74.528	17.0531
35.000000	74.523	16.2554
35.500000	74.518	15.4614
36.000000	74.511	14.6785
36.500000	74.504	13.9109
37.000000	74.496	13.1525
37.500000	74.487	12.4028
38.200001	74.472	11.3841
38.700001	74.461	10.6737
39.500000	74.443	9.5376
40.000000	74.429	8.8386
40.599998	74.413	8.0220
41.200001	74.398	7.2142
41.799999	74.382	6.4123
42.500000	74.361	5.5023
43.099998	74.343	4.7419
43.700001	74.325	3.9941
44.400002	74.303	3.1445
45.000000	74.284	2.4304
45.500000	74.268	1.8409
46.200001	74.242	1.0364
46.799999	74.221	0.3683
47.500000	74.195	-0.4011
48.200001	74.167	-1.1492
48.700001	74.147	-1.6650
49.400002	74.120	-2.3772
50.000000	74.097	-2.9827
50.799999	74.064	-3.7652
51.500000	74.036	-4.4250
52.200001	74.007	-5.0670
53.000000	73.974	-5.7856
53.799999	73.940	-6.4874
54.500000	73.909	-7.0766
55.200001	73.878	-7.6541
56.000000	73.842	-8.3032
57.000000	73.796	-9.0766
58.000000	73.750	-9.8302
59.000000	73.703	-10.5493
60.000000	73.656	-11.2400
60.799999	73.618	-11.7767
61.500000	73.585	-12.2333
62.200001	73.551	-12.6772
63.000000	73.512	-13.1733
64.000000	73.459	-13.7750
65.000000	73.408	-14.3515
66.000000	73.355	-14.9216
67.000000	73.301	-15.4563
