* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Sep 17, 2023 12:31:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: n.Black f.Gold Foam R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	65.928	-110.2318
1.015000	65.848	-112.2472
1.030000	65.771	-114.2713
1.044000	65.702	-116.1679
1.060000	65.625	-118.3438
1.075000	65.557	-120.3915
1.090000	65.491	-122.4463
1.106000	65.425	-124.6483
1.120000	65.369	-126.5985
1.138000	65.299	-129.1396
1.150000	65.253	-130.8527
1.172000	65.171	-134.0281
1.180000	65.142	-135.1927
1.206000	65.051	-139.0080
1.220000	65.004	-141.0782
1.241000	64.936	-144.1989
1.250000	64.907	-145.5404
1.265000	64.861	-147.7798
1.280000	64.817	-150.0213
1.315000	64.719	-155.2461
1.320000	64.706	-155.9905
1.340000	64.655	-158.9593
1.360000	64.608	-161.9097
1.380000	64.563	-164.8357
1.400000	64.521	-167.7313
1.430000	64.465	-172.0047
1.450000	64.432	-174.7984
1.475000	64.395	-178.2246
1.500000	64.369	178.3706
1.525000	64.353	174.9781
1.550000	64.346	171.6030
1.575000	64.346	168.2504
1.600000	64.352	164.9255
1.625000	64.361	161.6334
1.650000	64.373	158.3793
1.675000	64.385	155.1681
1.700000	64.397	152.0052
1.725000	64.406	148.8955
1.750000	64.411	145.8442
1.775000	64.410	142.8565
1.800000	64.402	139.9374
1.825000	64.385	137.0922
1.850000	64.362	134.3173
1.875000	64.341	131.5956
1.900000	64.322	128.9267
1.925000	64.302	126.3116
1.950000	64.281	123.7507
1.975000	64.257	121.2449
2.000000	64.229	118.7949
2.030000	64.188	115.9294
2.060000	64.136	113.1464
2.090000	64.071	110.4471
2.120000	63.990	107.8327
2.140000	63.927	106.1375
2.180000	63.773	102.8635
2.200000	63.681	101.2847
2.240000	63.483	98.1037
2.270000	63.324	95.6937
2.300000	63.154	93.3051
2.330000	62.970	90.9763
2.360000	62.772	88.7454
2.400000	62.481	85.9890
2.430000	62.241	84.1349
2.470000	61.887	82.0196
2.500000	61.593	80.7502
2.540000	61.162	79.5529
2.580000	60.667	78.9754
2.620000	60.022	78.8283
2.650000	59.453	78.9758
2.690000	58.623	79.5316
2.720000	57.975	80.2285
2.760000	57.121	81.5463
2.800000	56.325	83.3260
2.850000	55.494	86.2294
2.900000	54.940	89.9222
2.950000	54.756	94.5769
3.000000	54.907	101.1828
3.040000	55.216	107.6086
3.070000	55.536	112.8412
3.110000	56.054	120.0609
3.150000	56.644	127.2056
3.200000	57.431	135.4453
3.250000	58.213	142.2163
3.300000	58.925	146.7709
3.350000	59.647	149.1348
3.400000	60.444	149.9257
3.450000	61.282	149.5096
3.500000	62.127	148.2520
3.550000	62.945	146.5188
3.600000	63.703	144.6756
3.650000	64.367	143.0882
3.700000	64.923	141.7889
3.750000	65.407	140.2028
3.820000	65.987	137.6009
3.870000	66.343	135.5792
3.950000	66.838	132.2845
4.000000	67.115	130.3131
4.060000	67.422	128.1158
4.120000	67.678	125.9061
4.180000	67.884	123.6915
4.250000	68.074	121.1651
4.310000	68.203	119.1036
4.370000	68.310	117.1887
4.440000	68.407	115.1576
4.500000	68.450	113.5126
4.550000	68.463	112.2235
4.620000	68.455	110.5771
4.680000	68.436	109.3440
4.750000	68.411	108.1532
4.820000	68.378	107.2593
4.870000	68.337	106.7896
4.940000	68.267	106.3387
5.000000	68.210	106.1185
5.080000	68.158	106.0205
5.150000	68.151	106.0927
5.220000	68.168	106.4482
5.300000	68.211	107.1226
5.380000	68.283	107.9004
5.450000	68.376	108.5158
5.520000	68.501	108.9611
5.600000	68.694	109.4336
5.700000	68.987	109.9442
5.800000	69.303	110.2093
5.900000	69.607	110.0699
6.000000	69.927	109.5309
6.080000	70.185	108.8871
6.150000	70.401	108.2159
6.220000	70.596	107.4829
6.300000	70.795	106.5324
6.400000	71.019	105.1304
6.500000	71.214	103.6314
6.600000	71.376	102.1860
6.700000	71.500	100.7603
6.800000	71.590	99.3300
6.900000	71.659	97.9909
7.000000	71.715	96.8268
7.100000	71.747	95.8023
7.200000	71.765	94.9042
7.300000	71.785	94.1373
7.400000	71.815	93.5258
7.500000	71.844	93.0789
7.620000	71.891	92.6536
7.750000	71.971	92.2147
7.880000	72.080	91.8708
8.000000	72.197	91.5325
8.120000	72.325	91.0607
8.250000	72.483	90.4457
8.380000	72.642	89.7219
8.500000	72.777	88.9332
8.620000	72.907	88.0231
8.750000	73.035	86.9796
8.850000	73.118	86.1736
9.000000	73.221	84.9092
9.120000	73.288	83.9245
9.250000	73.347	82.9425
9.380000	73.390	82.0180
9.500000	73.426	81.2340
9.620000	73.464	80.5368
9.750000	73.502	79.8671
9.880000	73.536	79.2446
10.000000	73.562	78.7077
10.150000	73.588	78.0866
10.300000	73.615	77.4469
10.440000	73.641	76.8326
10.600000	73.670	76.1057
10.750000	73.695	75.3788
10.900000	73.717	74.6228
11.060000	73.731	73.8183
11.200000	73.737	73.1086
11.380000	73.736	72.2297
11.500000	73.731	71.6748
11.720000	73.717	70.7107
11.800000	73.712	70.3805
12.060000	73.696	69.3652
12.200000	73.688	68.8305
12.410000	73.679	68.0411
12.500000	73.682	67.6966
12.650000	73.696	67.1150
12.800000	73.712	66.5312
13.150000	73.734	65.1712
13.200000	73.736	64.9836
13.400000	73.741	64.2518
13.600000	73.744	63.5563
13.800000	73.747	62.9047
14.000000	73.755	62.2682
14.300000	73.774	61.3224
14.500000	73.790	60.6626
14.750000	73.810	59.8033
15.000000	73.824	58.9098
15.250000	73.831	58.0205
15.500000	73.832	57.1691
15.750000	73.832	56.3692
16.000000	73.838	55.6249
16.250000	73.856	54.9015
16.500000	73.884	54.1798
16.750000	73.916	53.4314
17.000000	73.947	52.6603
17.250000	73.975	51.8801
17.500000	73.999	51.1127
17.750000	74.020	50.3828
18.000000	74.041	49.6905
18.250000	74.064	49.0349
18.500000	74.091	48.3944
18.750000	74.119	47.7599
19.000000	74.148	47.1229
19.250000	74.176	46.4882
19.500000	74.201	45.8646
19.750000	74.224	45.2581
20.000000	74.248	44.6723
20.299999	74.277	43.9860
20.600000	74.306	43.3077
20.900000	74.333	42.6298
21.200001	74.356	41.9567
21.400000	74.370	41.5191
21.799999	74.394	40.6769
22.000000	74.406	40.2699
22.400000	74.432	39.4628
22.700001	74.453	38.8409
23.000000	74.472	38.1955
23.299999	74.487	37.5407
23.600000	74.496	36.8954
24.000000	74.506	36.0703
24.299999	74.515	35.4740
24.700001	74.531	34.6813
25.000000	74.544	34.0705
25.400000	74.559	33.2348
25.799999	74.569	32.4044
26.200001	74.576	31.6085
26.500000	74.583	31.0348
26.900000	74.594	30.2863
27.200001	74.603	29.7266
27.600000	74.617	28.9786
28.000000	74.629	28.2339
28.500000	74.643	27.3096
29.000000	74.655	26.3845
29.500000	74.663	25.4645
30.000000	74.665	24.5712
30.400000	74.666	23.8779
30.700001	74.667	23.3635
31.100000	74.668	22.6770
31.500000	74.668	21.9903
32.000000	74.666	21.1413
32.500000	74.664	20.3013
33.000000	74.662	19.4556
33.500000	74.657	18.6059
34.000000	74.649	17.7755
34.500000	74.641	16.9768
35.000000	74.635	16.1976
35.500000	74.631	15.4223
36.000000	74.627	14.6467
36.500000	74.623	13.8687
37.000000	74.617	13.0878
37.500000	74.605	12.3188
38.200001	74.587	11.2952
38.700001	74.575	10.5895
39.500000	74.556	9.4517
40.000000	74.542	8.7515
40.599998	74.525	7.9424
41.200001	74.512	7.1425
41.799999	74.498	6.3336
42.500000	74.477	5.4049
43.099998	74.458	4.6400
43.700001	74.439	3.8993
44.400002	74.418	3.0551
45.000000	74.400	2.3373
45.500000	74.383	1.7449
46.200001	74.357	0.9429
46.799999	74.336	0.2783
47.500000	74.311	-0.4957
48.200001	74.283	-1.2565
48.700001	74.262	-1.7798
49.400002	74.233	-2.4930
50.000000	74.208	-3.0920
50.799999	74.176	-3.8665
51.500000	74.149	-4.5330
52.200001	74.121	-5.1929
53.000000	74.085	-5.9200
53.799999	74.050	-6.6111
54.500000	74.019	-7.1960
55.200001	73.990	-7.7747
56.000000	73.953	-8.4183
57.000000	73.910	-9.1790
58.000000	73.869	-9.9421
59.000000	73.820	-10.7008
60.000000	73.768	-11.3702
60.799999	73.733	-11.8883
61.500000	73.699	-12.3654
62.200001	73.661	-12.8145
63.000000	73.621	-13.2874
64.000000	73.570	-13.8978
65.000000	73.515	-14.4776
66.000000	73.464	-15.0375
67.000000	73.412	-15.5873
68.000000	73.360	-16.1083
69.000000	73.307	-16.6171
70.000000	73.253	-17.1022
71.000000	73.199	-17.5614
72.000000	73.146	-18.0105
73.000000	73.094	-18.4528
74.000000	73.039	-18.8976
75.000000	72.984	-19.2971
76.199997	72.922	-19.8033
77.500000	72.847	-20.2891
78.800003	72.781	-20.7484
80.000000	72.714	-21.1780
81.199997	72.651	-21.5642
82.500000	72.582	-21.9914
83.800003	72.511	-22.3965
85.000000	72.446	-22.7320
86.199997	72.386	-23.0759
87.500000	72.315	-23.4395
88.500000	72.263	-23.6923
90.000000	72.187	-24.0675
91.199997	72.127	-24.3572
92.500000	72.061	-24.6627
93.800003	71.995	-24.9525
95.000000	71.933	-25.2106
96.199997	71.871	-25.4494
97.500000	71.808	-25.7045
98.800003	71.744	-25.9690
100.000000	71.684	-26.2036
101.500000	71.611	-26.4635
103.000000	71.537	-26.7170
104.400002	71.469	-26.9409
106.000000	71.389	-27.1591
107.500000	71.321	-27.3640
109.000000	71.248	-27.5629
110.599998	71.174	-27.7474
112.000000	71.111	-27.9066
113.800003	71.026	-28.1059
115.000000	70.971	-28.2208
117.199997	70.869	-28.4545
118.000000	70.835	-28.5181
120.599998	70.725	-28.7858
122.000000	70.662	-28.9103
124.099998	70.571	-29.0688
125.000000	70.531	-29.1156
126.500000	70.476	-29.2096
128.000000	70.420	-29.3204
131.500000	70.291	-29.5077
132.000000	70.271	-29.5282
134.000000	70.199	-29.6083
136.000000	70.123	-29.6910
138.000000	70.045	-29.7775
140.000000	69.973	-29.8179
143.000000	69.873	-29.8647
145.000000	69.806	-29.8961
147.500000	69.719	-29.9360
150.000000	69.634	-29.9768
152.500000	69.552	-30.0115
155.000000	69.476	-29.9958
157.500000	69.396	-29.9814
160.000000	69.318	-29.9428
162.500000	69.226	-29.9451
165.000000	69.138	-29.9298
167.500000	69.051	-29.8524
170.000000	68.966	-29.7661
172.500000	68.878	-29.6764
175.000000	68.789	-29.6156
177.500000	68.709	-29.5533
180.000000	68.631	-29.4636
182.500000	68.556	-29.3923
185.000000	68.475	-29.2759
187.500000	68.397	-29.1525
190.000000	68.319	-29.0381
192.500000	68.248	-28.9329
195.000000	68.174	-28.8423
197.500000	68.108	-28.7142
200.000000	68.034	-28.5856
203.000000	67.955	-28.3925
206.000000	67.878	-28.2228
209.000000	67.806	-28.0294
212.000000	67.735	-27.8383
214.000000	67.690	-27.7239
218.000000	67.597	-27.4805
220.000000	67.549	-27.3418
224.000000	67.457	-27.0331
227.000000	67.390	-26.8486
230.000000	67.330	-26.6329
233.000000	67.266	-26.4311
236.000000	67.204	-26.1854
240.000000	67.129	-25.9009
243.000000	67.069	-25.6550
247.000000	66.985	-25.3644
250.000000	66.929	-25.1342
254.000000	66.859	-24.8301
258.000000	66.790	-24.4508
262.000000	66.725	-24.1299
265.000000	66.673	-23.8672
269.000000	66.607	-23.5540
272.000000	66.558	-23.3081
276.000000	66.493	-22.9860
280.000000	66.432	-22.6054
285.000000	66.359	-22.1748
290.000000	66.296	-21.7557
295.000000	66.225	-21.2859
300.000000	66.147	-20.8380
304.000000	66.098	-20.4740
307.000000	66.061	-20.1824
311.000000	66.018	-19.8040
315.000000	65.966	-19.4360
320.000000	65.904	-19.0061
325.000000	65.842	-18.5542
330.000000	65.786	-18.0425
335.000000	65.736	-17.6002
340.000000	65.690	-17.1025
345.000000	65.634	-16.6191
350.000000	65.581	-16.1902
355.000000	65.528	-15.7458
360.000000	65.488	-15.2630
365.000000	65.448	-14.7518
370.000000	65.406	-14.2832
375.000000	65.359	-13.7942
382.000000	65.304	-13.1257
387.000000	65.262	-12.6790
395.000000	65.209	-11.9169
400.000000	65.174	-11.4275
406.000000	65.140	-10.8339
412.000000	65.094	-10.2800
418.000000	65.064	-9.7231
425.000000	65.029	-9.0392
431.000000	64.994	-8.4901
437.000000	64.964	-7.9067
444.000000	64.926	-7.2297
450.000000	64.908	-6.6313
455.000000	64.891	-6.1869
462.000000	64.867	-5.5810
468.000000	64.840	-5.0628
475.000000	64.817	-4.3539
482.000000	64.797	-3.6858
487.000000	64.794	-3.2205
494.000000	64.773	-2.5143
500.000000	64.765	-1.9883
508.000000	64.745	-1.2537
515.000000	64.739	-0.6786
522.000000	64.733	0.0599
530.000000	64.745	0.7457
538.000000	64.698	1.5687
545.000000	64.711	2.7593
552.000000	64.821	3.5688
560.000000	64.891	3.7881
570.000000	64.833	4.0118
580.000000	64.716	5.0042
590.000000	64.584	6.2970
600.000000	64.488	7.6006
608.000000	64.414	8.2519
615.000000	64.392	8.6611
622.000000	64.416	9.0118
630.000000	64.465	9.6379
640.000000	64.497	10.6852
650.000000	64.528	11.5109
660.000000	64.562	12.4928
670.000000	64.576	13.3661
680.000000	64.606	14.3204
690.000000	64.638	15.1830
700.000000	64.662	16.0448
710.000000	64.706	16.9954
720.000000	64.724	17.7822
730.000000	64.778	18.7283
740.000000	64.806	19.5792
750.000000	64.848	20.4406
762.000000	64.894	21.5125
775.000000	64.959	22.6298
788.000000	65.016	23.6899
800.000000	65.082	24.7540
812.000000	65.137	25.7690
825.000000	65.195	26.8198
838.000000	65.265	27.8779
850.000000	65.328	28.9074
862.000000	65.403	29.8338
875.000000	65.482	30.8325
885.000000	65.547	31.5573
900.000000	65.645	32.7358
912.000000	65.732	33.5925
925.000000	65.825	34.5260
938.000000	65.922	35.4066
950.000000	66.010	36.2351
962.000000	66.107	37.0302
975.000000	66.205	37.8708
988.000000	66.310	38.6525
1000.000000	66.398	39.3598
1015.000000	66.564	40.1555
1030.000000	66.702	40.9924
1044.000000	66.842	41.7180
1060.000000	66.993	42.4886
1075.000000	67.135	43.2404
1090.000000	67.273	43.8724
1106.000000	67.433	44.5196
1120.000000	67.564	45.0518
1138.000000	67.730	45.7433
1150.000000	67.841	46.2184
1172.000000	68.046	47.0796
1180.000000	68.114	47.3555
1206.000000	68.359	48.2698
1220.000000	68.492	48.7061
1241.000000	68.682	49.3958
1250.000000	68.762	49.6966
1265.000000	68.869	50.1359
1280.000000	68.976	50.6317
1315.000000	69.236	51.5961
1320.000000	69.276	51.7111
1340.000000	69.428	52.2191
1360.000000	69.575	52.7589
1380.000000	69.736	53.2650
1400.000000	69.899	53.6951
1430.000000	70.147	54.3217
1450.000000	70.313	54.6985
1475.000000	70.527	55.0821
1500.000000	70.757	55.3875
1525.000000	70.990	55.4937
1550.000000	71.206	54.6821
