* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Sep 17, 2023 8:29:19 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: n.Gold f.Gold Foam R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	70.662	-114.1797
1.015000	70.596	-116.2512
1.030000	70.533	-118.3271
1.044000	70.477	-120.2677
1.060000	70.416	-122.4885
1.075000	70.362	-124.5726
1.090000	70.312	-126.6578
1.106000	70.262	-128.8854
1.120000	70.221	-130.8543
1.138000	70.171	-133.4146
1.150000	70.139	-135.1375
1.172000	70.085	-138.3251
1.180000	70.066	-139.4923
1.206000	70.009	-143.3091
1.220000	69.981	-145.3761
1.241000	69.941	-148.4864
1.250000	69.925	-149.8216
1.265000	69.900	-152.0479
1.280000	69.877	-154.2734
1.315000	69.828	-159.4490
1.320000	69.822	-160.1851
1.340000	69.798	-163.1175
1.360000	69.777	-166.0267
1.380000	69.758	-168.9067
1.400000	69.742	-171.7519
1.430000	69.721	-175.9414
1.450000	69.709	-178.6739
1.475000	69.698	177.9828
1.500000	69.695	174.6749
1.525000	69.702	171.3934
1.550000	69.716	168.1415
1.575000	69.736	164.9224
1.600000	69.761	161.7395
1.625000	69.789	158.5959
1.650000	69.818	155.4951
1.675000	69.848	152.4401
1.700000	69.875	149.4342
1.725000	69.900	146.4808
1.750000	69.920	143.5830
1.775000	69.935	140.7441
1.800000	69.941	137.9675
1.825000	69.939	135.2562
1.850000	69.930	132.6082
1.875000	69.921	130.0121
1.900000	69.912	127.4679
1.925000	69.902	124.9761
1.950000	69.890	122.5373
1.975000	69.874	120.1520
2.000000	69.854	117.8208
2.030000	69.822	115.0955
2.060000	69.780	112.4496
2.090000	69.727	109.8842
2.120000	69.659	107.4001
2.140000	69.606	105.7897
2.180000	69.476	102.6797
2.200000	69.399	101.1801
2.240000	69.227	98.1886
2.270000	69.087	95.9486
2.300000	68.936	93.7431
2.330000	68.772	91.6003
2.360000	68.595	89.5485
2.400000	68.337	87.0029
2.430000	68.126	85.2729
2.470000	67.820	83.2590
2.500000	67.570	82.0045
2.540000	67.208	80.7270
2.580000	66.802	79.9354
2.620000	66.289	79.4525
2.650000	65.843	79.2793
2.690000	65.196	79.3284
2.720000	64.693	79.5942
2.760000	64.026	80.2817
2.800000	63.400	81.3818
2.850000	62.728	83.3901
2.900000	62.250	86.1651
2.950000	62.026	89.8806
3.000000	62.009	95.3247
3.040000	62.113	100.6922
3.070000	62.249	105.0958
3.110000	62.498	111.2118
3.150000	62.808	117.3104
3.200000	63.260	124.4160
3.250000	63.755	130.3567
3.300000	64.264	134.5033
3.350000	64.858	136.9572
3.400000	65.568	138.2493
3.450000	66.354	138.6206
3.500000	67.170	138.3121
3.550000	67.975	137.5649
3.600000	68.725	136.6201
3.650000	69.376	135.7188
3.700000	69.916	134.8545
3.750000	70.397	133.6056
3.820000	70.986	131.3548
3.870000	71.355	129.5201
3.950000	71.876	126.4592
4.000000	72.167	124.6189
4.060000	72.486	122.5805
4.120000	72.754	120.4945
4.180000	72.974	118.3673
4.250000	73.180	115.9064
4.310000	73.323	113.8775
4.370000	73.442	111.9805
4.440000	73.553	109.9548
4.500000	73.608	108.2904
4.550000	73.630	106.9699
4.620000	73.635	105.2603
4.680000	73.624	103.9587
4.750000	73.606	102.6762
4.820000	73.576	101.6710
4.870000	73.535	101.1027
4.940000	73.465	100.4987
5.000000	73.403	100.1439
5.080000	73.341	99.8796
5.150000	73.320	99.8328
5.220000	73.316	100.0757
5.300000	73.329	100.6305
5.380000	73.369	101.3126
5.450000	73.434	101.8761
5.520000	73.533	102.3098
5.600000	73.696	102.8221
5.700000	73.952	103.4380
5.800000	74.234	103.8372
5.900000	74.515	103.8316
6.000000	74.820	103.4505
6.080000	75.070	102.9418
6.150000	75.281	102.3840
6.220000	75.473	101.7504
6.300000	75.670	100.8958
6.400000	75.896	99.5995
6.500000	76.094	98.1888
6.600000	76.260	96.8123
6.700000	76.387	95.4323
6.800000	76.481	94.0280
6.900000	76.553	92.7022
7.000000	76.610	91.5440
7.100000	76.640	90.5103
7.200000	76.654	89.5953
7.300000	76.669	88.8146
7.400000	76.691	88.1971
7.500000	76.711	87.7451
