* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Sep 17, 2023 8:31:24 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: n.Gold f.Green Foam R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	70.396	-114.7988
1.015000	70.333	-116.8801
1.030000	70.272	-118.9649
1.044000	70.218	-120.9130
1.060000	70.160	-123.1414
1.075000	70.108	-125.2314
1.090000	70.061	-127.3214
1.106000	70.014	-129.5530
1.120000	69.975	-131.5245
1.138000	69.929	-134.0874
1.150000	69.900	-135.8116
1.172000	69.850	-139.0004
1.180000	69.833	-140.1676
1.206000	69.782	-143.9835
1.220000	69.757	-146.0491
1.241000	69.722	-149.1566
1.250000	69.708	-150.4901
1.265000	69.687	-152.7133
1.280000	69.667	-154.9350
1.315000	69.627	-160.0995
1.320000	69.622	-160.8337
1.340000	69.603	-163.7581
1.360000	69.587	-166.6583
1.380000	69.572	-169.5283
1.400000	69.560	-172.3624
1.430000	69.545	-176.5336
1.450000	69.537	-179.2526
1.475000	69.530	177.4224
1.500000	69.532	174.1354
1.525000	69.542	170.8774
1.550000	69.560	167.6513
1.575000	69.583	164.4601
1.600000	69.611	161.3067
1.625000	69.642	158.1942
1.650000	69.674	155.1254
1.675000	69.706	152.1034
1.700000	69.737	149.1310
1.725000	69.764	146.2113
1.750000	69.786	143.3473
1.775000	69.803	140.5417
1.800000	69.811	137.7977
1.825000	69.811	135.1182
1.850000	69.804	132.5009
1.875000	69.796	129.9352
1.900000	69.789	127.4213
1.925000	69.780	124.9598
1.950000	69.768	122.5512
1.975000	69.753	120.1963
2.000000	69.733	117.8957
2.030000	69.702	115.2074
2.060000	69.660	112.5992
2.090000	69.607	110.0723
2.120000	69.541	107.6277
2.140000	69.488	106.0442
2.180000	69.360	102.9896
2.200000	69.284	101.5187
2.240000	69.114	98.5869
2.270000	68.974	96.3935
2.300000	68.822	94.2358
2.330000	68.659	92.1419
2.360000	68.482	90.1398
2.400000	68.225	87.6611
2.430000	68.016	85.9817
2.470000	67.714	84.0348
2.500000	67.468	82.8302
2.540000	67.116	81.6181
2.580000	66.724	80.8932
2.620000	66.230	80.4998
2.650000	65.802	80.4066
2.690000	65.182	80.5699
2.720000	64.700	80.9210
2.760000	64.063	81.7126
2.800000	63.466	82.8952
2.850000	62.827	84.9590
2.900000	62.375	87.7161
2.950000	62.169	91.3145
3.000000	62.163	96.5131
3.040000	62.274	101.6119
3.070000	62.413	105.7858
3.110000	62.664	111.5746
3.150000	62.974	117.3420
3.200000	63.422	124.0600
3.250000	63.911	129.6807
3.300000	64.412	133.6164
3.350000	64.991	135.9642
