* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Sep 14, 2023 6:05:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: n.Gray f.Blue Foam R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	59.266	-85.6249
1.015000	59.098	-87.2892
1.030000	58.929	-88.9932
1.044000	58.771	-90.6218
1.060000	58.589	-92.5310
1.075000	58.417	-94.3702
1.090000	58.245	-96.2596
1.106000	58.060	-98.3320
1.120000	57.891	-100.1865
1.138000	57.663	-102.6235
1.150000	57.505	-104.2802
1.172000	57.207	-107.3813
1.180000	57.095	-108.5289
1.206000	56.726	-112.3290
1.220000	56.524	-114.4182
1.241000	56.218	-117.6055
1.250000	56.087	-118.9904
1.265000	55.868	-121.3230
1.280000	55.651	-123.6849
1.315000	55.154	-129.3030
1.320000	55.085	-130.1172
1.340000	54.814	-133.4009
1.360000	54.553	-136.7258
1.380000	54.306	-140.0888
1.400000	54.075	-143.4872
1.430000	53.762	-148.6445
1.450000	53.579	-152.1183
1.475000	53.383	-156.5125
1.500000	53.217	-161.0991
1.525000	53.076	-165.8791
1.550000	52.959	-170.8152
1.575000	52.863	-175.8700
1.600000	52.786	178.9937
1.625000	52.725	173.8134
1.650000	52.678	168.6262
1.675000	52.642	163.4695
1.700000	52.616	158.3806
1.725000	52.596	153.3969
1.750000	52.581	148.5555
1.775000	52.568	143.8940
1.800000	52.554	139.4494
1.825000	52.538	135.2592
1.850000	52.527	131.3154
1.875000	52.540	127.5248
1.900000	52.573	123.8757
1.925000	52.623	120.3607
1.950000	52.684	116.9726
1.975000	52.752	113.7040
2.000000	52.821	110.5474
2.030000	52.900	106.8970
2.060000	52.966	103.3847
2.090000	53.012	99.9978
2.120000	53.029	96.7234
2.140000	53.020	94.5968
2.180000	52.944	90.4616
2.200000	52.872	88.4435
2.240000	52.730	84.0897
2.270000	52.636	80.5519
2.300000	52.539	76.9226
2.330000	52.425	73.3298
2.360000	52.282	69.9014
2.400000	52.023	65.8068
2.430000	51.761	63.2591
2.470000	51.297	60.8030
2.500000	50.846	59.8325
2.540000	50.082	59.9434
2.580000	49.071	61.9679
2.620000	47.551	66.2169
2.650000	46.126	70.6600
2.690000	43.985	77.8966
2.720000	42.293	84.0616
2.760000	40.057	92.9026
2.800000	38.004	102.0396
2.850000	35.954	113.1887
2.900000	34.792	123.2124
2.950000	34.847	131.4783
3.000000	36.169	139.5312
3.040000	37.929	145.9611
3.070000	39.546	150.6662
3.110000	41.958	156.6492
3.150000	44.504	162.1465
3.200000	47.611	168.0799
3.250000	50.318	172.6655
3.300000	52.290	175.5749
3.350000	53.653	176.4267
3.400000	54.702	175.4383
3.450000	55.504	173.0978
3.500000	56.126	169.8936
3.550000	56.637	166.3139
3.600000	57.103	162.8469
3.650000	57.593	159.9808
3.700000	58.115	157.8103
3.750000	58.564	155.6486
3.820000	59.087	152.6248
3.870000	59.398	150.5011
3.950000	59.823	147.2355
4.000000	60.060	145.3167
4.060000	60.325	143.1587
4.120000	60.539	141.0815
4.180000	60.704	139.0995
4.250000	60.850	136.9484
4.310000	60.947	135.2783
4.370000	61.030	133.8009
4.440000	61.109	132.3412
4.500000	61.139	131.2806
4.550000	61.145	130.5290
4.620000	61.137	129.6801
4.680000	61.131	129.1427
4.750000	61.141	128.7396
4.820000	61.168	128.6370
4.870000	61.184	128.7776
4.940000	61.210	129.1883
5.000000	61.245	129.6619
5.080000	61.326	130.3386
5.150000	61.443	130.8730
5.220000	61.604	131.5167
5.300000	61.827	132.3531
5.380000	62.081	133.1418
