* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Sep 14, 2023 6:01:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: n.Gray f.Gold Foam R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	59.321	-86.8032
1.015000	59.154	-88.5124
1.030000	58.987	-90.2625
1.044000	58.830	-91.9352
1.060000	58.651	-93.8959
1.075000	58.482	-95.7846
1.090000	58.314	-97.7248
1.106000	58.134	-99.8536
1.120000	57.971	-101.7643
1.138000	57.751	-104.2833
1.150000	57.599	-105.9998
1.172000	57.312	-109.2198
1.180000	57.205	-110.4131
1.206000	56.852	-114.3682
1.220000	56.659	-116.5437
1.241000	56.368	-119.8621
1.250000	56.243	-121.3033
1.265000	56.035	-123.7288
1.280000	55.830	-126.1818
1.315000	55.361	-132.0002
1.320000	55.296	-132.8411
1.340000	55.042	-136.2251
1.360000	54.799	-139.6384
1.380000	54.569	-143.0759
1.400000	54.355	-146.5321
1.430000	54.069	-151.7403
1.450000	53.904	-155.2208
1.475000	53.731	-159.5889
1.500000	53.590	-164.1137
1.525000	53.478	-168.8003
1.550000	53.391	-173.6148
1.575000	53.327	-178.5238
1.600000	53.282	176.5065
1.625000	53.254	171.5099
1.650000	53.239	166.5198
1.675000	53.235	161.5701
1.700000	53.239	156.6943
1.725000	53.247	151.9261
1.750000	53.256	147.2993
1.775000	53.265	142.8475
1.800000	53.269	138.6043
1.825000	53.265	134.6035
1.850000	53.265	130.8378
1.875000	53.272	127.2234
1.900000	53.284	123.7498
1.925000	53.300	120.4101
1.950000	53.318	117.1977
1.975000	53.339	114.1059
2.000000	53.362	111.1280
2.030000	53.389	107.6954
2.060000	53.415	104.4054
2.090000	53.440	101.2466
2.120000	53.460	98.2072
2.140000	53.471	96.2416
2.180000	53.484	92.4406
2.200000	53.474	90.5963
2.240000	53.283	86.6123
2.270000	53.124	83.3704
2.300000	52.948	80.0490
2.330000	52.749	76.7725
2.360000	52.524	73.6656
2.400000	52.174	70.0016
2.430000	51.868	67.7740
2.470000	51.395	65.7343
2.500000	50.986	65.0637
2.540000	50.358	65.5516
2.580000	49.601	67.9348
2.620000	48.518	72.6365
2.650000	47.523	77.4706
2.690000	46.047	85.2545
2.720000	44.891	91.8201
2.760000	43.379	101.1391
2.800000	42.008	110.6405
2.850000	40.671	122.0042
2.900000	39.966	131.8768
2.950000	40.120	139.5013
3.000000	41.183	146.2452
3.040000	42.541	151.2520
3.070000	43.774	154.7455
3.110000	45.605	159.0115
3.150000	47.535	162.7805
3.200000	49.900	166.7112
3.250000	51.985	169.6771
3.300000	53.549	171.5712
3.350000	54.692	172.0160
3.400000	55.627	171.0474
3.450000	56.393	169.0355
3.500000	57.032	166.3506
3.550000	57.586	163.3632
3.600000	58.094	160.4433
3.650000	58.597	157.9613
3.700000	59.100	155.9819
3.750000	59.535	153.9728
3.820000	60.046	151.1215
3.870000	60.353	149.0988
3.950000	60.776	145.9716
4.000000	61.012	144.1328
4.060000	61.277	142.0707
4.120000	61.492	140.0794
4.180000	61.661	138.1712
4.250000	61.815	136.0908
4.310000	61.919	134.4676
4.370000	62.010	133.0247
4.440000	62.100	131.5895
4.500000	62.141	130.5372
4.550000	62.157	129.7831
4.620000	62.166	128.9156
4.680000	62.172	128.3474
4.750000	62.195	127.8897
4.820000	62.233	127.7065
4.870000	62.256	127.7710
4.940000	62.292	128.0579
5.000000	62.335	128.4171
5.080000	62.422	128.9424
5.150000	62.540	129.3558
5.220000	62.696	129.8742
