* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Sep 14, 2023 5:58:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: n.Gray f.Red Foam L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	53.919	142.8845
1.015000	53.828	142.4365
1.030000	53.736	141.9995
1.044000	53.648	141.6022
1.060000	53.545	141.1612
1.075000	53.446	140.7614
1.090000	53.346	140.3753
1.106000	53.236	139.9767
1.120000	53.137	139.6243
1.138000	53.008	139.1642
1.150000	52.921	138.8549
1.172000	52.756	138.2866
1.180000	52.695	138.0807
1.206000	52.493	137.4193
1.220000	52.382	137.0712
1.241000	52.213	136.5642
1.250000	52.139	136.3538
1.265000	52.015	136.0141
1.280000	51.889	135.6899
1.315000	51.588	135.0064
1.320000	51.545	134.9183
1.340000	51.369	134.5928
1.360000	51.190	134.3144
1.380000	51.009	134.0883
1.400000	50.826	133.9197
1.430000	50.547	133.7860
1.450000	50.358	133.7838
1.475000	50.118	133.8818
1.500000	49.860	134.0434
1.525000	49.585	134.2608
1.550000	49.295	134.5396
1.575000	48.996	134.8850
1.600000	48.690	135.3026
1.625000	48.383	135.7978
1.650000	48.078	136.3761
1.675000	47.779	137.0428
1.700000	47.490	137.8034
1.725000	47.215	138.6634
1.750000	46.958	139.6281
1.775000	46.723	140.7031
1.800000	46.514	141.8937
1.825000	46.335	143.2054
1.850000	46.184	144.6873
1.875000	46.046	146.4261
1.900000	45.922	148.3877
1.925000	45.813	150.5332
1.950000	45.719	152.8238
1.975000	45.639	155.2206
2.000000	45.576	157.6846
2.030000	45.522	160.6754
2.060000	45.493	163.6399
2.090000	45.489	166.5108
2.120000	45.511	169.2209
2.140000	45.541	170.9052
2.180000	45.639	173.8900
2.200000	45.707	175.1519
2.240000	45.906	177.4071
2.270000	46.109	178.9388
2.300000	46.351	-179.6627
2.330000	46.623	-178.3939
2.360000	46.918	-177.2515
2.400000	47.336	-175.9192
2.430000	47.657	-175.0587
2.470000	48.081	-174.0901
2.500000	48.388	-173.4932
2.540000	48.766	-172.8638
2.580000	49.098	-172.4314
2.620000	49.417	-172.2975
2.650000	49.653	-172.3843
2.690000	49.962	-172.7111
2.720000	50.189	-173.0882
2.760000	50.484	-173.7286
2.800000	50.769	-174.4821
