* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Sep 17, 2023 9:46:46 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: n.Purple f.Purple Foam L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	54.260	122.5921
1.015000	54.095	121.7877
1.030000	53.923	120.9912
1.044000	53.757	120.2554
1.060000	53.560	119.4241
1.075000	53.368	118.6547
1.090000	53.169	117.8955
1.106000	52.950	117.0809
1.120000	52.761	116.2745
1.138000	52.520	115.1036
1.150000	52.360	114.2522
1.172000	52.068	112.5767
1.180000	51.961	111.9389
1.206000	51.609	109.8025
1.220000	51.415	108.6339
1.241000	51.114	106.8944
1.250000	50.982	106.1637
1.265000	50.755	104.9788
1.280000	50.519	103.8499
1.315000	49.928	101.5272
1.320000	49.838	101.2401
1.340000	49.465	100.2284
1.360000	49.065	99.4652
1.380000	48.637	98.9903
1.400000	48.178	98.8434
1.430000	47.423	99.3251
1.450000	46.872	100.1723
1.475000	46.114	101.9007
1.500000	45.183	104.4552
1.525000	44.087	107.7609
1.550000	42.861	111.7159
1.575000	41.541	116.2182
1.600000	40.164	121.1661
1.625000	38.764	126.4574
1.650000	37.377	131.9904
1.675000	36.039	137.6631
1.700000	34.786	143.3735
1.725000	33.652	149.0198
1.750000	32.675	154.4999
1.775000	31.888	159.7121
1.800000	31.329	164.5543
1.825000	31.032	168.9247
1.850000	31.029	172.9235
1.875000	31.310	176.9626
1.900000	31.839	-178.9769
1.925000	32.578	-174.9342
1.950000	33.491	-170.9483
1.975000	34.542	-167.0583
2.000000	35.693	-163.3033
2.030000	37.156	-159.0305
2.060000	38.649	-155.0759
2.090000	40.107	-151.5070
2.120000	41.468	-148.3912
2.140000	42.290	-146.5991
2.180000	43.644	-143.7893
2.200000	44.140	-142.8121
2.240000	44.922	-141.8685
2.270000	45.396	-141.9763
2.300000	45.786	-142.6706
2.330000	46.102	-143.8500
2.360000	46.356	-145.4132
2.400000	46.617	-147.9197
2.430000	46.769	-149.9848
2.470000	46.934	-152.7927
2.500000	47.044	-154.8082
2.540000	47.193	-157.1823
2.580000	47.362	-159.0491
2.620000	47.495	-160.8560
2.650000	47.565	-162.2444
2.690000	47.622	-164.1227
2.720000	47.641	-165.5400
2.760000	47.636	-167.4242
2.800000	47.603	-169.2824
2.850000	47.528	-171.5361
2.900000	47.426	-173.6740
2.950000	47.301	-175.6754
3.000000	47.134	-177.6796
3.040000	46.968	-179.2755
3.070000	46.829	179.5533
3.110000	46.624	178.0520
3.150000	46.400	176.6495
3.200000	46.101	175.0847
3.250000	45.786	173.7885
3.300000	45.462	172.8237
3.350000	45.094	172.1243
3.400000	44.674	171.6296
3.450000	44.225	171.3622
3.500000	43.772	171.3445
3.550000	43.340	171.5991
3.600000	42.952	172.1484
3.650000	42.632	173.0150
3.700000	42.382	174.3345
3.750000	42.162	176.2803
3.820000	41.913	179.6843
3.870000	41.788	-177.6814
3.950000	41.699	-173.6913
4.000000	41.724	-171.6623
4.060000	41.855	-169.9264
4.120000	42.125	-168.5309
4.180000	42.497	-167.4291
4.250000	43.008	-166.5650
4.310000	43.461	-166.2285
4.370000	43.886	-166.3047
4.440000	44.321	-167.0115
4.500000	44.697	-168.2220
4.550000	45.010	-169.5631
4.620000	45.438	-171.7870
4.680000	45.786	-173.8652
4.750000	46.157	-176.2961
4.820000	46.484	-178.7475
4.870000	46.698	179.3431
4.940000	46.972	176.5348
5.000000	47.186	174.0847
5.080000	47.448	170.8942
5.150000	47.656	168.2857
5.220000	47.838	165.7226
5.300000	48.015	162.8437
5.380000	48.170	160.1062
5.450000	48.297	157.8989
5.520000	48.420	155.9222
5.600000	48.540	153.8872
5.700000	48.672	151.6556
5.800000	48.807	149.7832
5.900000	48.971	148.2974
6.000000	49.146	147.2763
6.080000	49.299	146.7067
6.150000	49.448	146.3125
6.220000	49.619	145.9531
6.300000	49.844	145.6286
6.400000	50.162	145.4265
6.500000	50.509	145.2799
6.600000	50.871	145.0058
