* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Sep 17, 2023 9:59:02 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: n.Red f.Gold Foam L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	62.874	-152.1758
1.015000	62.940	-153.6342
1.030000	63.003	-155.0873
1.044000	63.060	-156.4397
1.060000	63.123	-157.9823
1.075000	63.181	-159.4268
1.090000	63.236	-160.8707
1.106000	63.293	-162.4105
1.120000	63.341	-163.7500
1.138000	63.400	-165.4594
1.150000	63.437	-166.5912
1.172000	63.502	-168.6504
1.180000	63.525	-169.3943
1.206000	63.594	-171.7941
1.220000	63.629	-173.0755
1.241000	63.677	-174.9836
1.250000	63.696	-175.7964
1.265000	63.727	-177.1447
1.280000	63.756	-178.4852
1.315000	63.815	178.4164
1.320000	63.822	177.9770
1.340000	63.850	176.2271
1.360000	63.874	174.4893
1.380000	63.894	172.7628
1.400000	63.911	171.0474
1.430000	63.930	168.4935
1.450000	63.938	166.8031
1.475000	63.943	164.7026
1.500000	63.943	162.6143
1.525000	63.938	160.5390
1.550000	63.928	158.4784
1.575000	63.913	156.4341
1.600000	63.893	154.4077
1.625000	63.866	152.4006
1.650000	63.834	150.4147
1.675000	63.795	148.4513
1.700000	63.750	146.5122
1.725000	63.698	144.5989
1.750000	63.639	142.7130
1.775000	63.572	140.8560
1.800000	63.499	139.0297
1.825000	63.418	137.2355
1.850000	63.329	135.4615
1.875000	63.237	133.6806
1.900000	63.138	131.8997
1.925000	63.035	130.1274
1.950000	62.925	128.3719
1.975000	62.808	126.6418
2.000000	62.684	124.9454
2.030000	62.525	122.9662
2.060000	62.353	121.0622
2.090000	62.169	119.2480
2.120000	61.971	117.5383
2.140000	61.830	116.4636
2.180000	61.529	114.4901
2.200000	61.367	113.5989
2.240000	61.004	111.8006
2.270000	60.697	110.4185
2.300000	60.367	109.0586
2.330000	60.021	107.7664
2.360000	59.663	106.5877
2.400000	59.177	105.2714
2.430000	58.815	104.5349
2.470000	58.344	103.9738
2.500000	58.007	103.9280
2.540000	57.592	104.4536
2.580000	57.218	105.7755
2.620000	56.817	108.1212
2.650000	56.500	110.4647
2.690000	56.076	114.1880
2.720000	55.769	117.3065
2.760000	55.395	121.7187
2.800000	55.084	126.2153
2.850000	54.820	131.6122
2.900000	54.739	136.3504
2.950000	54.892	140.1017
3.000000	55.313	143.5389
3.040000	55.807	146.1562
3.070000	56.247	148.0107
3.110000	56.896	150.3005
3.150000	57.586	152.3377
3.200000	58.452	154.4565
3.250000	59.258	156.0131
3.300000	59.937	156.9141
3.350000	60.535	157.0074
3.400000	61.114	156.3494
3.450000	61.671	155.1150
3.500000	62.202	153.4794
3.550000	62.702	151.6177
3.600000	63.168	149.7050
3.650000	63.598	147.9164
3.700000	63.985	146.2619
3.750000	64.332	144.4577
3.820000	64.759	141.7440
3.870000	65.026	139.7356
3.950000	65.404	136.5315
4.000000	65.616	134.6084
4.060000	65.849	132.4252
4.120000	66.044	130.2531
4.180000	66.203	128.1037
4.250000	66.354	125.6759
4.310000	66.461	123.7070
4.370000	66.552	121.8818
4.440000	66.640	119.9521
4.500000	66.685	118.4135
4.550000	66.707	117.2190
4.620000	66.721	115.6984
4.680000	66.728	114.5525
4.750000	66.741	113.4208
4.820000	66.755	112.5425
4.870000	66.756	112.0715
4.940000	66.754	111.5923
5.000000	66.757	111.3137
5.080000	66.784	111.0736
5.150000	66.840	110.9456
5.220000	66.921	111.0092
5.300000	67.036	111.2672
5.380000	67.176	111.5863
5.450000	67.318	111.8037
5.520000	67.479	111.8802
5.600000	67.698	111.9118
5.700000	68.007	111.8663
5.800000	68.327	111.6406
5.900000	68.633	111.1451
6.000000	68.945	110.3685
6.080000	69.192	109.6004
6.150000	69.398	108.8600
6.220000	69.588	108.0879
6.300000	69.785	107.1387
6.400000	70.009	105.8153
6.500000	70.209	104.4451
6.600000	70.383	103.1408
6.700000	70.526	101.8802
6.800000	70.643	100.6430
6.900000	70.742	99.4939
7.000000	70.833	98.4910
7.100000	70.905	97.6161
7.200000	70.967	96.8509
7.300000	71.030	96.1856
7.400000	71.102	95.6328
7.500000	71.173	95.2069
7.620000	71.266	94.7759
7.750000	71.385	94.3107
7.880000	71.524	93.9020
8.000000	71.661	93.5040
8.120000	71.801	93.0060
8.250000	71.963	92.3848
8.380000	72.121	91.6855
8.500000	72.254	90.9593
8.620000	72.381	90.1485
8.750000	72.505	89.2350
8.850000	72.587	88.5366
9.000000	72.692	87.4592
9.120000	72.763	86.6224
9.250000	72.829	85.7823
9.380000	72.882	84.9899
9.500000	72.927	84.3074
9.620000	72.974	83.6838
9.750000	73.023	83.0682
9.880000	73.065	82.4793
10.000000	73.095	81.9537
10.150000	73.125	81.3232
10.300000	73.151	80.6698
10.440000	73.174	80.0375
10.600000	73.196	79.2904
10.750000	73.214	78.5543
10.900000	73.228	77.7937
11.060000	73.236	76.9848
11.200000	73.237	76.2736
11.380000	73.233	75.3834
11.500000	73.227	74.8130
11.720000	73.214	73.8039
11.800000	73.209	73.4503
12.060000	73.195	72.3376
12.200000	73.188	71.7424
12.410000	73.181	70.8538
12.500000	73.185	70.4677
12.650000	73.200	69.8167
12.800000	73.218	69.1648
13.150000	73.249	67.6545
13.200000	73.252	67.4455
13.400000	73.263	66.6275
13.600000	73.274	65.8450
13.800000	73.285	65.1044
14.000000	73.299	64.3846
14.300000	73.327	63.3300
14.500000	73.348	62.6182
14.750000	73.373	61.7181
15.000000	73.395	60.8099
15.250000	73.410	59.9212
15.500000	73.421	59.0748
15.750000	73.430	58.2789
16.000000	73.444	57.5330
16.250000	73.467	56.8093
16.500000	73.497	56.0926
16.750000	73.529	55.3608
17.000000	73.558	54.6165
17.250000	73.583	53.8689
17.500000	73.604	53.1332
17.750000	73.622	52.4252
18.000000	73.639	51.7433
18.250000	73.657	51.0851
18.500000	73.678	50.4331
18.750000	73.699	49.7808
19.000000	73.720	49.1225
19.250000	73.739	48.4631
19.500000	73.757	47.8106
19.750000	73.774	47.1704
20.000000	73.791	46.5456
20.299999	73.815	45.8069
20.600000	73.842	45.0710
20.900000	73.868	44.3307
21.200001	73.893	43.5889
21.400000	73.908	43.1014
21.799999	73.936	42.1545
22.000000	73.950	41.6973
22.400000	73.980	40.8071
22.700001	74.004	40.1462
23.000000	74.029	39.4817
23.299999	74.051	38.8182
23.600000	74.070	38.1651
24.000000	74.093	37.3232
24.299999	74.110	36.7139
24.700001	74.132	35.9190
25.000000	74.148	35.3263
25.400000	74.169	34.5372
25.799999	74.185	33.7572
26.200001	74.200	32.9917
26.500000	74.210	32.4238
26.900000	74.223	31.6681
27.200001	74.231	31.1005
27.600000	74.240	30.3466
28.000000	74.247	29.6012
28.500000	74.256	28.6789
29.000000	74.264	27.7584
29.500000	74.269	26.8470
30.000000	74.274	25.9592
30.400000	74.280	25.2614
30.700001	74.285	24.7374
31.100000	74.291	24.0329
31.500000	74.296	23.3284
32.000000	74.297	22.4675
32.500000	74.298	21.6373
33.000000	74.299	20.8252
33.500000	74.300	20.0209
34.000000	74.300	19.2256
34.500000	74.299	18.4377
35.000000	74.295	17.6516
35.500000	74.289	16.8741
36.000000	74.280	16.1198
36.500000	74.272	15.3873
37.000000	74.265	14.6592
37.500000	74.257	13.9287
38.200001	74.244	12.9237
38.700001	74.235	12.2234
39.500000	74.220	11.1061
40.000000	74.209	10.4139
40.599998	74.195	9.6053
41.200001	74.181	8.8188
41.799999	74.166	8.0499
42.500000	74.148	7.1791
43.099998	74.132	6.4468
43.700001	74.117	5.7176
44.400002	74.096	4.8774
45.000000	74.077	4.1764
45.500000	74.060	3.6093
46.200001	74.038	2.8382
46.799999	74.020	2.1813
47.500000	73.997	1.4110
48.200001	73.970	0.6716
48.700001	73.950	0.1730
49.400002	73.925	-0.5076
50.000000	73.905	-1.0911
50.799999	73.876	-1.8618
51.500000	73.849	-2.5223
52.200001	73.819	-3.1606
53.000000	73.786	-3.8578
53.799999	73.754	-4.5420
54.500000	73.725	-5.1348
55.200001	73.695	-5.7062
56.000000	73.661	-6.3257
57.000000	73.621	-7.0929
58.000000	73.576	-7.8530
59.000000	73.530	-8.5490
60.000000	73.488	-9.2346
60.799999	73.452	-9.7869
61.500000	73.418	-10.2522
62.200001	73.385	-10.6931
63.000000	73.348	-11.1860
64.000000	73.298	-11.7932
65.000000	73.248	-12.3653
66.000000	73.198	-12.9355
67.000000	73.146	-13.4806
68.000000	73.096	-14.0046
69.000000	73.045	-14.5167
70.000000	72.994	-15.0145
71.000000	72.941	-15.4939
72.000000	72.890	-15.9443
73.000000	72.840	-16.3970
74.000000	72.785	-16.8289
75.000000	72.734	-17.2179
76.199997	72.675	-17.7214
77.500000	72.604	-18.2360
78.800003	72.535	-18.6998
80.000000	72.475	-19.1282
81.199997	72.413	-19.5371
82.500000	72.349	-19.9662
83.800003	72.283	-20.3856
85.000000	72.222	-20.7588
86.199997	72.160	-21.1105
87.500000	72.093	-21.4794
88.500000	72.043	-21.7316
90.000000	71.971	-22.1339
91.199997	71.910	-22.4323
92.500000	71.845	-22.7413
93.800003	71.782	-23.0299
95.000000	71.723	-23.2974
96.199997	71.664	-23.5448
97.500000	71.601	-23.8146
98.800003	71.538	-24.0594
100.000000	71.481	-24.2917
101.500000	71.411	-24.5637
103.000000	71.341	-24.8271
104.400002	71.275	-25.0638
106.000000	71.200	-25.3036
107.500000	71.131	-25.5341
109.000000	71.063	-25.7389
110.599998	70.992	-25.9627
112.000000	70.930	-26.1497
113.800003	70.847	-26.3540
115.000000	70.794	-26.4799
117.199997	70.696	-26.7117
118.000000	70.661	-26.7795
120.599998	70.553	-26.9995
122.000000	70.497	-27.1257
124.099998	70.408	-27.3080
125.000000	70.370	-27.3746
126.500000	70.312	-27.4916
128.000000	70.255	-27.5819
131.500000	70.133	-27.7964
132.000000	70.115	-27.8282
134.000000	70.045	-27.9246
136.000000	69.974	-27.9924
138.000000	69.904	-28.0909
140.000000	69.835	-28.1526
143.000000	69.737	-28.2188
145.000000	69.670	-28.2691
147.500000	69.587	-28.3096
150.000000	69.505	-28.3314
152.500000	69.425	-28.3756
155.000000	69.351	-28.3945
157.500000	69.274	-28.3868
160.000000	69.201	-28.3607
162.500000	69.110	-28.3311
165.000000	69.022	-28.2994
167.500000	68.937	-28.2737
170.000000	68.858	-28.2277
172.500000	68.776	-28.1455
175.000000	68.694	-28.0775
177.500000	68.617	-28.0012
180.000000	68.537	-27.9279
182.500000	68.462	-27.8562
185.000000	68.387	-27.7738
187.500000	68.314	-27.6741
190.000000	68.241	-27.5653
192.500000	68.168	-27.4339
195.000000	68.100	-27.3301
197.500000	68.031	-27.1950
200.000000	67.964	-27.0967
203.000000	67.886	-26.9254
206.000000	67.816	-26.7394
209.000000	67.741	-26.5906
212.000000	67.674	-26.4127
214.000000	67.627	-26.2751
218.000000	67.539	-26.0378
220.000000	67.499	-25.8888
224.000000	67.410	-25.6434
227.000000	67.347	-25.4471
230.000000	67.288	-25.2598
233.000000	67.228	-25.0096
236.000000	67.168	-24.8101
240.000000	67.089	-24.5424
243.000000	67.038	-24.3050
247.000000	66.963	-23.9747
250.000000	66.905	-23.7415
254.000000	66.836	-23.4232
258.000000	66.772	-23.1285
262.000000	66.710	-22.7989
265.000000	66.660	-22.5487
269.000000	66.598	-22.2378
272.000000	66.553	-21.9867
276.000000	66.495	-21.6519
280.000000	66.436	-21.3118
285.000000	66.367	-20.8854
290.000000	66.300	-20.4588
295.000000	66.234	-20.0128
300.000000	66.176	-19.5869
304.000000	66.122	-19.2050
307.000000	66.083	-18.9517
311.000000	66.039	-18.5987
315.000000	65.997	-18.2501
320.000000	65.937	-17.7742
325.000000	65.881	-17.3550
330.000000	65.832	-16.9140
335.000000	65.781	-16.4253
340.000000	65.727	-15.9766
345.000000	65.682	-15.5286
350.000000	65.640	-15.0721
355.000000	65.594	-14.5963
360.000000	65.549	-14.1302
365.000000	65.507	-13.6705
370.000000	65.467	-13.1815
375.000000	65.431	-12.7417
382.000000	65.380	-12.0950
387.000000	65.346	-11.6359
395.000000	65.295	-10.9404
400.000000	65.263	-10.4594
406.000000	65.230	-9.8813
412.000000	65.190	-9.3395
418.000000	65.160	-8.7689
425.000000	65.121	-8.1613
431.000000	65.091	-7.6099
437.000000	65.064	-7.0569
444.000000	65.028	-6.3759
450.000000	65.006	-5.8259
455.000000	64.983	-5.4015
462.000000	64.954	-4.7612
468.000000	64.931	-4.2423
475.000000	64.909	-3.5931
482.000000	64.891	-2.9300
487.000000	64.881	-2.4731
494.000000	64.855	-1.8433
500.000000	64.834	-1.3494
508.000000	64.818	-0.6510
515.000000	64.802	0.0217
522.000000	64.796	0.6981
530.000000	64.783	1.3674
538.000000	64.771	2.0352
545.000000	64.756	2.6987
552.000000	64.748	3.3114
560.000000	64.746	4.0157
570.000000	64.738	4.9514
580.000000	64.728	5.7968
590.000000	64.732	6.6906
600.000000	64.734	7.5725
608.000000	64.730	8.2937
615.000000	64.730	8.8923
622.000000	64.736	9.4835
630.000000	64.740	10.2017
640.000000	64.748	11.0958
650.000000	64.760	11.9838
660.000000	64.780	12.8525
670.000000	64.796	13.6528
680.000000	64.814	14.5621
690.000000	64.838	15.4493
700.000000	64.861	16.3061
710.000000	64.879	17.1527
720.000000	64.906	18.0262
730.000000	64.939	18.8732
740.000000	64.968	19.7228
750.000000	64.993	20.5779
762.000000	65.040	21.6348
775.000000	65.086	22.7454
788.000000	65.130	23.8863
800.000000	65.178	24.9714
812.000000	65.221	26.0787
825.000000	65.266	27.2870
838.000000	65.332	28.5661
850.000000	65.428	29.6847
862.000000	65.529	30.6997
875.000000	65.641	31.5709
885.000000	65.729	32.1806
900.000000	65.831	33.1551
912.000000	65.919	33.9726
925.000000	66.002	34.8611
938.000000	66.100	35.7643
950.000000	66.188	36.5624
962.000000	66.281	37.3528
975.000000	66.391	38.1320
988.000000	66.494	38.8643
1000.000000	66.580	39.6223
1015.000000	66.734	40.3896
1030.000000	66.875	41.1609
1044.000000	67.001	41.8212
1060.000000	67.159	42.5828
1075.000000	67.298	43.2655
1090.000000	67.434	43.9331
1106.000000	67.587	44.5486
1120.000000	67.714	45.0970
1138.000000	67.885	45.7499
1150.000000	67.989	46.1867
1172.000000	68.186	46.9541
