* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Sep 17, 2023 9:53:31 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: n.Red f.Red Foam L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	63.767	150.7432
1.015000	63.725	150.3013
1.030000	63.681	149.8621
1.044000	63.640	149.4549
1.060000	63.592	148.9931
1.075000	63.545	148.5637
1.090000	63.498	148.1382
1.106000	63.446	147.6880
1.120000	63.399	147.2923
1.138000	63.338	146.7804
1.150000	63.297	146.4377
1.172000	63.219	145.8079
1.180000	63.191	145.5788
1.206000	63.096	144.8348
1.220000	63.043	144.4358
1.241000	62.963	143.8406
1.250000	62.928	143.5872
1.265000	62.869	143.1676
1.280000	62.809	142.7520
1.315000	62.665	141.8017
1.320000	62.644	141.6685
1.340000	62.559	141.1432
1.360000	62.472	140.6310
1.380000	62.383	140.1334
1.400000	62.292	139.6520
1.430000	62.153	138.9640
1.450000	62.058	138.5302
1.475000	61.936	138.0155
1.500000	61.810	137.5054
1.525000	61.678	136.9979
1.550000	61.542	136.4982
1.575000	61.403	136.0116
1.600000	61.260	135.5432
1.625000	61.115	135.0984
1.650000	60.968	134.6823
1.675000	60.820	134.3001
1.700000	60.671	133.9572
1.725000	60.522	133.6588
1.750000	60.374	133.4100
1.775000	60.227	133.2162
1.800000	60.082	133.0824
1.825000	59.939	133.0141
1.850000	59.796	133.0112
1.875000	59.646	133.0631
1.900000	59.491	133.1674
1.925000	59.332	133.3221
1.950000	59.171	133.5253
1.975000	59.010	133.7751
2.000000	58.851	134.0695
2.030000	58.665	134.4790
2.060000	58.488	134.9466
2.090000	58.322	135.4690
2.120000	58.171	136.0429
2.140000	58.080	136.4524
2.180000	57.927	137.3315
2.200000	57.866	137.7997
2.240000	57.766	138.8981
2.270000	57.706	139.8694
2.300000	57.660	140.9375
2.330000	57.626	142.0758
2.360000	57.606	143.2578
2.400000	57.601	144.8557
2.430000	57.612	146.0361
2.470000	57.649	147.5353
2.500000	57.692	148.5694
2.540000	57.772	149.7770
2.580000	57.879	150.7506
2.620000	58.025	151.6124
2.650000	58.160	152.2040
2.690000	58.366	152.9129
2.720000	58.536	153.3801
2.760000	58.778	153.9104
2.800000	59.031	154.3274
2.850000	59.350	154.6763
2.900000	59.659	154.8187
2.950000	59.946	154.7330
3.000000	60.239	154.3759
3.040000	60.478	153.9149
3.070000	60.660	153.4824
3.110000	60.901	152.8089
3.150000	61.141	152.0464
3.200000	61.432	151.0039
3.250000	61.711	149.9051
3.300000	61.972	148.7954
3.350000	62.218	147.6094
3.400000	62.453	146.3008
3.450000	62.679	144.9007
3.500000	62.894	143.4402
3.550000	63.099	141.9501
3.600000	63.294	140.4616
3.650000	63.479	139.0058
3.700000	63.653	137.5787
3.750000	63.815	136.1213
3.820000	64.023	134.0573
3.870000	64.161	132.5895
3.950000	64.366	130.3005
4.000000	64.486	128.9340
4.060000	64.623	127.3758
4.120000	64.747	125.8626
4.180000	64.859	124.3973
4.250000	64.979	122.7649
4.310000	65.078	121.4457
4.370000	65.175	120.2132
4.440000	65.288	118.8973
4.500000	65.378	117.8667
4.550000	65.450	117.0702
4.620000	65.549	116.0415
4.680000	65.637	115.2315
4.750000	65.746	114.3596
4.820000	65.865	113.5817
4.870000	65.952	113.0994
4.940000	66.077	112.5008
5.000000	66.189	112.0353
5.080000	66.348	111.4430
5.150000	66.497	110.9200
5.220000	66.657	110.4366
5.300000	66.850	109.9276
5.380000	67.050	109.4272
5.450000	67.228	108.9652
5.520000	67.406	108.4568
5.600000	67.616	107.8435
5.700000	67.885	107.0397
5.800000	68.149	106.1912
5.900000	68.400	105.2911
6.000000	68.644	104.3217
6.080000	68.833	103.5163
6.150000	68.991	102.8073
6.220000	69.141	102.1086
6.300000	69.302	101.3136
6.400000	69.491	100.3082
6.500000	69.665	99.3252
6.600000	69.829	98.4024
6.700000	69.979	97.5381
6.800000	70.116	96.7214
6.900000	70.246	95.9622
7.000000	70.373	95.2711
7.100000	70.493	94.6543
7.200000	70.609	94.0945
7.300000	70.724	93.5712
7.400000	70.842	93.0809
7.500000	70.960	92.6388
7.620000	71.101	92.1319
7.750000	71.255	91.5653
7.880000	71.411	91.0006
8.000000	71.553	90.4643
8.120000	71.690	89.8903
8.250000	71.834	89.2315
8.380000	71.970	88.5487
8.500000	72.085	87.9018
8.620000	72.192	87.2320
8.750000	72.298	86.5068
8.850000	72.372	85.9633
9.000000	72.471	85.1569
9.120000	72.542	84.5326
9.250000	72.614	83.8907
9.380000	72.680	83.2786
9.500000	72.738	82.7322
9.620000	72.797	82.2039
9.750000	72.860	81.6532
9.880000	72.914	81.1035
10.000000	72.951	80.5915
10.150000	72.986	79.9495
10.300000	73.013	79.2865
10.440000	73.031	78.6461
10.600000	73.047	77.8971
10.750000	73.058	77.1782
10.900000	73.065	76.4467
11.060000	73.068	75.6725
11.200000	73.067	74.9973
11.380000	73.062	74.1450
11.500000	73.057	73.5911
11.720000	73.048	72.5968
11.800000	73.045	72.2420
12.060000	73.036	71.1085
