* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Sep 17, 2023 9:54:03 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: n.Red f.Red Foam R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	66.001	-110.5970
1.015000	65.922	-112.6125
1.030000	65.846	-114.6364
1.044000	65.777	-116.5327
1.060000	65.701	-118.7080
1.075000	65.633	-120.7549
1.090000	65.568	-122.8086
1.106000	65.503	-125.0092
1.120000	65.447	-126.9576
1.138000	65.377	-129.4954
1.150000	65.331	-131.2059
1.172000	65.250	-134.3757
1.180000	65.221	-135.5379
1.206000	65.130	-139.3450
1.220000	65.083	-141.4104
1.241000	65.014	-144.5235
1.250000	64.986	-145.8617
1.265000	64.940	-148.0955
1.280000	64.895	-150.3315
1.315000	64.797	-155.5437
1.320000	64.784	-156.2863
1.340000	64.733	-159.2486
1.360000	64.684	-162.1930
1.380000	64.639	-165.1137
1.400000	64.597	-168.0051
1.430000	64.539	-172.2743
1.450000	64.504	-175.0668
1.475000	64.466	-178.4934
1.500000	64.438	178.1004
1.525000	64.420	174.7059
1.550000	64.411	171.3282
1.575000	64.408	167.9721
1.600000	64.411	164.6428
1.625000	64.418	161.3452
1.650000	64.426	158.0844
1.675000	64.436	154.8653
1.700000	64.444	151.6930
1.725000	64.450	148.5726
1.750000	64.452	145.5089
1.775000	64.448	142.5071
1.800000	64.437	139.5721
1.825000	64.417	136.7090
1.850000	64.390	133.9147
1.875000	64.367	131.1725
1.900000	64.344	128.4822
1.925000	64.322	125.8444
1.950000	64.298	123.2596
1.975000	64.272	120.7283
2.000000	64.241	118.2511
2.030000	64.196	115.3506
2.060000	64.140	112.5297
2.090000	64.070	109.7894
2.120000	63.985	107.1304
2.140000	63.919	105.4035
2.180000	63.758	102.0607
2.200000	63.662	100.4446
2.240000	63.459	97.1797
2.270000	63.297	94.6984
2.300000	63.126	92.2332
2.330000	62.942	89.8236
2.360000	62.742	87.5090
2.400000	62.446	84.6389
2.430000	62.200	82.6997
2.470000	61.832	80.4736
2.500000	61.524	79.1248
2.540000	61.065	77.8293
2.580000	60.532	77.1586
2.620000	59.828	76.8777
2.650000	59.205	76.9023
2.690000	58.292	77.2819
2.720000	57.579	77.8495
2.760000	56.636	79.0164
2.800000	55.758	80.6901
2.850000	54.838	83.5579
2.900000	54.224	87.3630
2.950000	54.019	92.3301
3.000000	54.186	99.5265
3.040000	54.528	106.5805
3.070000	54.882	112.3433
3.110000	55.452	120.3088
3.150000	56.100	128.1996
3.200000	56.961	137.2977
3.250000	57.809	144.7553
3.300000	58.570	149.7301
3.350000	59.331	152.2412
3.400000	60.164	152.9841
3.450000	61.036	152.3787
3.500000	61.912	150.8450
3.550000	62.758	148.8030
3.600000	63.539	146.6729
3.650000	64.223	144.8745
3.700000	64.793	143.4538
3.750000	65.288	141.7646
3.820000	65.873	139.0388
3.870000	66.230	136.9401
3.950000	66.724	133.5359
4.000000	67.000	131.5012
4.060000	67.308	129.2307
4.120000	67.564	126.9565
4.180000	67.768	124.6856
4.250000	67.955	122.1028
4.310000	68.081	119.9995
4.370000	68.185	118.0474
4.440000	68.278	115.9781
4.500000	68.316	114.3057
4.550000	68.325	112.9979
4.620000	68.311	111.3320
4.680000	68.287	110.0888
4.750000	68.256	108.8945
4.820000	68.218	108.0077
4.870000	68.172	107.5497
4.940000	68.097	107.1228
5.000000	68.035	106.9284
5.080000	67.978	106.8693
5.150000	67.970	106.9780
5.220000	67.987	107.3790
5.300000	68.031	108.1132
5.380000	68.106	108.9501
5.450000	68.202	109.6098
5.520000	68.332	110.0867
5.600000	68.532	110.5850
5.700000	68.837	111.1157
5.800000	69.163	111.3879
5.900000	69.476	111.2426
6.000000	69.803	110.6801
6.080000	70.068	110.0091
6.150000	70.287	109.3120
6.220000	70.486	108.5540
6.300000	70.688	107.5753
6.400000	70.914	106.1345
6.500000	71.110	104.5971
6.600000	71.273	103.1178
6.700000	71.396	101.6626
6.800000	71.485	100.2058
6.900000	71.552	98.8448
7.000000	71.607	97.6646
7.100000	71.636	96.6299
7.200000	71.651	95.7264
7.300000	71.669	94.9578
7.400000	71.698	94.3489
7.500000	71.726	93.9097
7.620000	71.772	93.4960
7.750000	71.853	93.0682
7.880000	71.964	92.7361
8.000000	72.083	92.4066
8.120000	72.214	91.9385
8.250000	72.374	91.3225
8.380000	72.537	90.5939
8.500000	72.674	89.7979
8.620000	72.807	88.8770
8.750000	72.936	87.8204
8.850000	73.021	87.0050
9.000000	73.124	85.7257
9.120000	73.193	84.7298
9.250000	73.253	83.7379
9.380000	73.296	82.8050
9.500000	73.333	82.0145
9.620000	73.371	81.3124
9.750000	73.410	80.6388
9.880000	73.445	80.0128
10.000000	73.471	79.4729
10.150000	73.499	78.8483
10.300000	73.527	78.2043
10.440000	73.555	77.5853
10.600000	73.585	76.8525
10.750000	73.611	76.1199
10.900000	73.634	75.3580
11.060000	73.649	74.5478
11.200000	73.656	73.8339
11.380000	73.657	72.9503
11.500000	73.652	72.3929
11.720000	73.640	71.4250
11.800000	73.635	71.0934
12.060000	73.621	70.0731
12.200000	73.614	69.5347
12.410000	73.607	68.7386
12.500000	73.610	68.3910
12.650000	73.625	67.8034
12.800000	73.642	67.2137
13.150000	73.666	65.8413
13.200000	73.668	65.6523
13.400000	73.673	64.9158
13.600000	73.677	64.2168
13.800000	73.681	63.5629
14.000000	73.689	62.9242
14.300000	73.710	61.9743
14.500000	73.728	61.3106
14.750000	73.748	60.4456
15.000000	73.764	59.5461
15.250000	73.771	58.6519
15.500000	73.773	57.7968
15.750000	73.774	56.9945
16.000000	73.781	56.2476
16.250000	73.801	55.5198
16.500000	73.831	54.7915
16.750000	73.865	54.0339
17.000000	73.897	53.2527
17.250000	73.926	52.4628
17.500000	73.950	51.6875
17.750000	73.971	50.9520
18.000000	73.993	50.2554
18.250000	74.017	49.5957
18.500000	74.045	48.9491
18.750000	74.075	48.3062
19.000000	74.105	47.6590
19.250000	74.132	47.0142
19.500000	74.157	46.3832
19.750000	74.180	45.7737
20.000000	74.202	45.1902
20.299999	74.232	44.5102
20.600000	74.263	43.8373
20.900000	74.292	43.1583
21.200001	74.318	42.4738
21.400000	74.332	42.0242
21.799999	74.355	41.1566
22.000000	74.365	40.7409
22.400000	74.388	39.9343
22.700001	74.408	39.3283
23.000000	74.427	38.7047
23.299999	74.444	38.0663
23.600000	74.458	37.4241
24.000000	74.473	36.5788
24.299999	74.483	35.9567
24.700001	74.498	35.1328
25.000000	74.509	34.5117
25.400000	74.523	33.6816
25.799999	74.534	32.8650
26.200001	74.545	32.0721
26.500000	74.554	31.4890
26.900000	74.567	30.7178
27.200001	74.577	30.1420
27.600000	74.588	29.3826
28.000000	74.599	28.6385
28.500000	74.613	27.7218
29.000000	74.625	26.8049
29.500000	74.631	25.9003
30.000000	74.634	25.0311
30.400000	74.638	24.3536
30.700001	74.641	23.8427
31.100000	74.645	23.1479
31.500000	74.646	22.4457
32.000000	74.642	21.5831
32.500000	74.637	20.7453
33.000000	74.634	19.9117
33.500000	74.630	19.0750
34.000000	74.624	18.2523
34.500000	74.619	17.4460
35.000000	74.616	16.6367
35.500000	74.610	15.8223
36.000000	74.600	15.0339
36.500000	74.590	14.2903
37.000000	74.584	13.5673
37.500000	74.581	12.8308
38.200001	74.570	11.7810
38.700001	74.558	11.0493
39.500000	74.537	9.9247
40.000000	74.525	9.2338
40.599998	74.510	8.4067
41.200001	74.493	7.5907
41.799999	74.474	6.8014
42.500000	74.454	5.9121
43.099998	74.438	5.1541
43.700001	74.420	4.4009
44.400002	74.397	3.5491
45.000000	74.378	2.8390
45.500000	74.362	2.2557
46.200001	74.338	1.4585
46.799999	74.317	0.7891
47.500000	74.291	0.0149
48.200001	74.263	-0.7296
48.700001	74.243	-1.2400
49.400002	74.217	-1.9514
50.000000	74.194	-2.5635
50.799999	74.161	-3.3559
51.500000	74.132	-4.0208
52.200001	74.103	-4.6653
53.000000	74.071	-5.3849
53.799999	74.037	-6.0902
54.500000	74.005	-6.6838
55.200001	73.974	-7.2551
56.000000	73.939	-7.8888
57.000000	73.895	-8.6719
58.000000	73.847	-9.4240
59.000000	73.801	-10.1249
60.000000	73.755	-10.8352
60.799999	73.715	-11.3729
61.500000	73.681	-11.8274
62.200001	73.648	-12.2820
63.000000	73.607	-12.7864
64.000000	73.555	-13.3882
65.000000	73.504	-13.9753
66.000000	73.450	-14.5508
67.000000	73.397	-15.0820
68.000000	73.347	-15.6071
69.000000	73.294	-16.1240
70.000000	73.240	-16.6091
71.000000	73.188	-17.0839
72.000000	73.134	-17.5514
73.000000	73.079	-17.9798
74.000000	73.027	-18.3953
75.000000	72.976	-18.8167
76.199997	72.911	-19.2980
77.500000	72.843	-19.8125
78.800003	72.766	-20.2853
80.000000	72.708	-20.6915
81.199997	72.640	-21.1459
82.500000	72.570	-21.5220
83.800003	72.506	-21.9561
85.000000	72.441	-22.3129
86.199997	72.377	-22.6557
87.500000	72.309	-22.9957
88.500000	72.259	-23.2500
90.000000	72.186	-23.6350
91.199997	72.124	-23.9444
92.500000	72.057	-24.2443
93.800003	71.992	-24.5457
95.000000	71.931	-24.8134
96.199997	71.870	-25.0674
97.500000	71.805	-25.3450
98.800003	71.738	-25.5980
100.000000	71.680	-25.8076
101.500000	71.610	-26.0803
103.000000	71.538	-26.3361
104.400002	71.472	-26.5674
106.000000	71.393	-26.8013
107.500000	71.324	-27.0072
109.000000	71.253	-27.2107
110.599998	71.177	-27.4164
112.000000	71.111	-27.5813
113.800003	71.028	-27.7775
115.000000	70.975	-27.9026
117.199997	70.874	-28.1378
118.000000	70.840	-28.2067
120.599998	70.727	-28.4534
122.000000	70.672	-28.5906
124.099998	70.581	-28.7739
125.000000	70.540	-28.8269
126.500000	70.483	-28.9030
128.000000	70.424	-29.0043
131.500000	70.297	-29.2148
132.000000	70.279	-29.2462
134.000000	70.205	-29.3406
136.000000	70.135	-29.4111
138.000000	70.059	-29.4519
140.000000	69.987	-29.5096
143.000000	69.886	-29.6002
145.000000	69.818	-29.6561
147.500000	69.734	-29.6881
150.000000	69.651	-29.7289
152.500000	69.574	-29.7632
155.000000	69.494	-29.7767
157.500000	69.414	-29.7610
160.000000	69.338	-29.7147
162.500000	69.247	-29.7048
165.000000	69.157	-29.6747
167.500000	69.072	-29.6107
170.000000	68.986	-29.5438
172.500000	68.903	-29.4590
175.000000	68.820	-29.4114
177.500000	68.740	-29.3565
180.000000	68.662	-29.2994
182.500000	68.583	-29.2208
185.000000	68.504	-29.0938
187.500000	68.429	-28.9469
190.000000	68.359	-28.8676
192.500000	68.283	-28.7650
195.000000	68.214	-28.6555
197.500000	68.136	-28.5395
200.000000	68.063	-28.3820
203.000000	67.987	-28.2048
206.000000	67.917	-28.0199
209.000000	67.847	-27.8734
212.000000	67.775	-27.7026
214.000000	67.729	-27.5923
218.000000	67.636	-27.3231
220.000000	67.595	-27.1897
224.000000	67.501	-26.9250
227.000000	67.434	-26.7260
230.000000	67.377	-26.5369
