* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\Fix\ n.Black f.Black Foam R.txt
* Format: Comma/Tab/Space delimited data
* Dated: Jul 14, 2023 7:50:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\Fix\ n.Black f.Black Foam R.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement:  n.Black f.Black Foam R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	73.833	-115.4375
1.015000	73.780	-117.5075
1.030000	73.729	-119.5796
1.044000	73.684	-121.5145
1.060000	73.636	-123.7261
1.075000	73.594	-125.7987
1.090000	73.556	-127.8695
1.106000	73.520	-130.0786
1.120000	73.490	-132.0281
1.138000	73.455	-134.5595
1.150000	73.434	-136.2608
1.172000	73.398	-139.4043
1.180000	73.387	-140.5540
1.206000	73.353	-144.3097
1.220000	73.337	-146.3411
1.241000	73.316	-149.3950
1.250000	73.308	-150.7050
1.265000	73.297	-152.8882
1.280000	73.287	-155.0692
1.315000	73.270	-160.1368
1.320000	73.268	-160.8571
1.340000	73.263	-163.7258
1.360000	73.260	-166.5704
1.380000	73.259	-169.3857
1.400000	73.260	-172.1662
1.430000	73.266	-176.2602
1.450000	73.271	-178.9305
1.475000	73.280	177.8021
1.500000	73.298	174.5732
1.525000	73.324	171.3742
1.550000	73.356	168.2078
1.575000	73.394	165.0764
1.600000	73.437	161.9824
1.625000	73.482	158.9284
1.650000	73.529	155.9169
1.675000	73.577	152.9504
1.700000	73.623	150.0314
1.725000	73.667	147.1623
1.750000	73.708	144.3456
1.775000	73.743	141.5840
1.800000	73.773	138.8797
1.825000	73.795	136.2354
1.850000	73.811	133.6503
1.875000	73.827	131.1181
1.900000	73.843	128.6381
1.925000	73.857	126.2098
1.950000	73.870	123.8329
1.975000	73.880	121.5068
2.000000	73.886	119.2312
2.030000	73.889	116.5666
2.060000	73.884	113.9733
2.090000	73.871	111.4507
2.120000	73.848	108.9981
2.140000	73.826	107.4015
2.180000	73.768	104.2998
2.200000	73.729	102.7941
2.240000	73.640	99.8382
2.270000	73.564	97.6700
2.300000	73.478	95.5551
2.330000	73.384	93.5039
2.360000	73.281	91.5266
2.400000	73.128	89.0232
2.430000	73.003	87.2588
2.470000	72.819	85.0768
2.500000	72.669	83.5817
2.540000	72.452	81.7963
2.580000	72.213	80.2529
2.620000	71.929	78.8236
2.650000	71.691	77.8297
2.690000	71.348	76.6461
2.720000	71.079	75.8904
2.760000	70.715	75.0967
2.800000	70.356	74.5905
2.850000	69.933	74.4336
2.900000	69.560	74.8912
2.950000	69.253	76.0912
3.000000	68.949	78.3196
3.040000	68.709	80.7191
3.070000	68.539	82.7809
3.110000	68.335	85.7603
3.150000	68.168	88.8669
3.200000	68.030	92.7026
3.250000	67.992	96.2145
3.300000	68.080	99.1155
3.350000	68.324	101.6818
3.400000	68.711	104.1874
3.450000	69.201	106.5505
3.500000	69.753	108.6894
3.550000	70.329	110.5223
3.600000	70.887	111.9675
3.650000	71.388	112.9431
3.700000	71.827	113.3595
3.750000	72.267	113.2168
3.820000	72.873	112.2884
3.870000	73.291	111.2585
3.950000	73.910	109.2889
4.000000	74.255	108.0332
4.060000	74.618	106.6089
4.120000	74.933	104.9855
4.180000	75.206	103.1835
4.250000	75.479	100.9640
4.310000	75.679	99.0542
4.370000	75.853	97.2233
4.440000	76.021	95.2209
4.500000	76.127	93.4923
4.550000	76.190	92.0626
4.620000	76.249	90.1265
4.680000	76.280	88.5727
4.750000	76.299	86.9421
4.820000	76.296	85.5122
4.870000	76.272	84.5742
4.940000	76.218	83.3915
5.000000	76.161	82.5122
5.080000	76.088	81.5556
5.150000	76.037	80.9458
5.220000	75.982	80.5949
5.300000	75.914	80.4538
5.380000	75.859	80.4962
5.450000	75.836	80.6070
5.520000	75.846	80.7378
5.600000	75.893	81.0656
5.700000	75.992	81.6320
5.800000	76.128	82.1202
5.900000	76.293	82.2942
