* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\Fix\ n.Black f.Gold Foam L.txt
* Format: Comma/Tab/Space delimited data
* Dated: Jul 14, 2023 7:50:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\Fix\ n.Black f.Gold Foam L.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement:  n.Black f.Gold Foam L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	72.128	-139.9261
1.015000	72.175	-141.6412
1.030000	72.222	-143.3470
1.044000	72.265	-144.9309
1.060000	72.312	-146.7317
1.075000	72.355	-148.4110
1.090000	72.396	-150.0821
1.106000	72.438	-151.8552
1.120000	72.475	-153.3968
1.138000	72.521	-155.3647
1.150000	72.552	-156.6680
1.172000	72.606	-159.0398
1.180000	72.626	-159.8967
1.206000	72.688	-162.6612
1.220000	72.720	-164.1372
1.241000	72.767	-166.3350
1.250000	72.787	-167.2711
1.265000	72.818	-168.8235
1.280000	72.849	-170.3664
1.315000	72.917	-173.9306
1.320000	72.926	-174.4357
1.340000	72.961	-176.4464
1.360000	72.994	-178.4417
1.380000	73.025	179.5781
1.400000	73.052	177.6126
1.430000	73.089	174.6912
1.450000	73.110	172.7609
1.475000	73.133	170.3670
1.500000	73.152	167.9949
1.525000	73.168	165.6451
1.550000	73.182	163.3181
1.575000	73.192	161.0145
1.600000	73.199	158.7348
1.625000	73.202	156.4794
1.650000	73.201	154.2487
1.675000	73.195	152.0435
1.700000	73.186	149.8640
1.725000	73.171	147.7108
1.750000	73.152	145.5844
1.775000	73.128	143.4853
1.800000	73.098	141.4139
1.825000	73.062	139.3708
1.850000	73.022	137.3513
1.875000	72.978	135.3450
1.900000	72.930	133.3547
1.925000	72.878	131.3838
1.950000	72.821	129.4356
1.975000	72.760	127.5134
2.000000	72.694	125.6207
2.030000	72.607	123.3929
2.060000	72.513	121.2180
2.090000	72.410	119.1018
2.120000	72.297	117.0501
2.140000	72.217	115.7210
2.180000	72.043	113.1632
2.200000	71.949	111.9376
2.240000	71.746	109.5024
2.270000	71.581	107.6823
2.300000	71.406	105.8903
2.330000	71.222	104.1468
2.360000	71.029	102.4720
2.400000	70.759	100.3816
2.430000	70.549	98.9470
2.470000	70.258	97.2507
2.500000	70.034	96.1674
2.540000	69.728	95.0136
2.580000	69.410	94.2229
2.620000	69.041	93.7108
2.650000	68.734	93.4942
2.690000	68.303	93.4296
2.720000	67.972	93.5500
2.760000	67.539	93.9366
2.800000	67.131	94.5826
2.850000	66.687	95.7567
2.900000	66.354	97.3404
2.950000	66.161	99.3995
3.000000	66.075	102.3975
3.040000	66.068	105.3572
3.070000	66.096	107.7910
3.110000	66.175	111.1827
3.150000	66.297	114.5834
3.200000	66.503	118.5833
3.250000	66.760	121.9893
3.300000	67.060	124.4657
3.350000	67.448	126.1384
3.400000	67.935	127.3004
3.450000	68.490	128.0206
3.500000	69.080	128.3676
3.550000	69.674	128.4101
3.600000	70.238	128.2169
3.650000	70.741	127.8566
3.700000	71.176	127.2909
3.750000	71.586	126.3422
3.820000	72.122	124.5155
3.870000	72.478	122.9714
3.950000	72.998	120.3248
4.000000	73.292	118.6945
4.060000	73.610	116.8453
4.120000	73.888	114.8973
4.180000	74.128	112.8629
4.250000	74.369	110.4575
4.310000	74.547	108.4341
4.370000	74.704	106.5071
4.440000	74.861	104.4050
4.500000	74.962	102.6388
4.550000	75.026	101.2055
4.620000	75.093	99.2922
4.680000	75.135	97.7703
4.750000	75.175	96.1738
4.820000	75.201	94.7820
4.870000	75.203	93.8901
4.940000	75.192	92.7815
5.000000	75.176	91.9593
5.080000	75.163	91.0436
5.150000	75.168	90.4149
5.220000	75.177	90.0102
5.300000	75.190	89.7720
5.380000	75.218	89.6750
5.450000	75.261	89.6255
5.520000	75.331	89.5544
5.600000	75.441	89.5753
5.700000	75.612	89.6870
5.800000	75.808	89.7141
5.900000	76.016	89.4866
6.000000	76.255	89.0712
6.080000	76.456	88.6260
6.150000	76.630	88.1520
6.220000	76.793	87.5976
6.300000	76.966	86.8389
6.400000	77.176	85.7088
6.500000	77.369	84.4678
6.600000	77.533	83.2123
6.700000	77.667	81.9059
6.800000	77.775	80.5436
6.900000	77.861	79.2174
7.000000	77.928	78.0048
7.100000	77.969	76.8565
7.200000	77.991	75.7848
7.300000	78.007	74.8265
7.400000	78.019	74.0122
7.500000	78.021	73.3275
7.620000	78.023	72.6302
7.750000	78.042	71.9855
7.880000	78.072	71.5035
8.000000	78.112	71.1054
8.120000	78.166	70.6605
8.250000	78.242	70.1781
8.380000	78.326	69.6403
8.500000	78.400	69.0385
8.620000	78.479	68.3527
