* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\Fix\ n.Black f.Purple Foam L.txt
* Format: Comma/Tab/Space delimited data
* Dated: Jul 14, 2023 7:50:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\Fix\ n.Black f.Purple Foam L.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement:  n.Black f.Purple Foam L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	70.713	-167.0300
1.015000	70.786	-168.1317
1.030000	70.859	-169.2316
1.044000	70.925	-170.2563
1.060000	70.999	-171.4248
1.075000	71.067	-172.5176
1.090000	71.135	-173.6075
1.106000	71.207	-174.7670
1.120000	71.267	-175.7816
1.138000	71.341	-177.0867
1.150000	71.387	-177.9569
1.172000	71.468	-179.5522
1.180000	71.496	179.8680
1.206000	71.581	177.9845
1.220000	71.623	176.9714
1.241000	71.683	175.4537
1.250000	71.707	174.8041
1.265000	71.745	173.7228
1.280000	71.781	172.6434
1.315000	71.856	170.1334
1.320000	71.866	169.7760
1.340000	71.903	168.3494
1.360000	71.936	166.9282
1.380000	71.966	165.5131
1.400000	71.994	164.1046
1.430000	72.029	162.0056
1.450000	72.049	160.6161
1.475000	72.071	158.8901
1.500000	72.088	157.1662
1.525000	72.099	155.4435
1.550000	72.105	153.7243
1.575000	72.105	152.0105
1.600000	72.100	150.3045
1.625000	72.089	148.6082
1.650000	72.073	146.9239
1.675000	72.052	145.2536
1.700000	72.027	143.5995
1.725000	71.996	141.9637
1.750000	71.960	140.3484
1.775000	71.919	138.7556
1.800000	71.873	137.1876
1.825000	71.823	135.6463
1.850000	71.768	134.1242
1.875000	71.707	132.6014
1.900000	71.642	131.0821
1.925000	71.571	129.5711
1.950000	71.495	128.0735
1.975000	71.414	126.5944
2.000000	71.328	125.1388
2.030000	71.219	123.4301
2.060000	71.103	121.7711
2.090000	70.980	120.1706
2.120000	70.850	118.6371
2.140000	70.760	117.6564
2.180000	70.571	115.8062
2.200000	70.472	114.9416
2.240000	70.258	113.2516
2.270000	70.082	112.0079
2.300000	69.896	110.8015
2.330000	69.702	109.6480
2.360000	69.501	108.5628
2.400000	69.229	107.2488
2.430000	69.023	106.3830
2.470000	68.752	105.4175
2.500000	68.553	104.8552
2.540000	68.299	104.3503
2.580000	68.057	104.1606
2.620000	67.796	104.3098
2.650000	67.589	104.6213
2.690000	67.307	105.2650
2.720000	67.099	105.8935
2.760000	66.835	106.8881
2.800000	66.599	108.0188
2.850000	66.361	109.5519
2.900000	66.210	111.1327
2.950000	66.168	112.7217
3.000000	66.227	114.6704
3.040000	66.334	116.4564
3.070000	66.445	117.8703
3.110000	66.626	119.7840
3.150000	66.836	121.6494
3.200000	67.129	123.7787
3.250000	67.439	125.5222
3.300000	67.752	126.7085
3.350000	68.095	127.3771
3.400000	68.489	127.6743
3.450000	68.914	127.6558
3.500000	69.355	127.3775
3.550000	69.794	126.8953
3.600000	70.215	126.2648
3.650000	70.599	125.5421
3.700000	70.945	124.7048
3.750000	71.275	123.6232
3.820000	71.712	121.7901
3.870000	72.005	120.3283
3.950000	72.439	117.8787
4.000000	72.686	116.3647
4.060000	72.956	114.6166
4.120000	73.196	112.7957
4.180000	73.409	110.9168
4.250000	73.628	108.7125
4.310000	73.794	106.8649
4.370000	73.944	105.1043
4.440000	74.097	103.1801
4.500000	74.203	101.5722
4.550000	74.276	100.2712
4.620000	74.360	98.5350
4.680000	74.421	97.1492
4.750000	74.486	95.6825
4.820000	74.542	94.3904
4.870000	74.570	93.5589
4.940000	74.598	92.5153
5.000000	74.620	91.7261
5.080000	74.654	90.8141
5.150000	74.698	90.1432
5.220000	74.746	89.6447
5.300000	74.805	89.2500
5.380000	74.875	88.9645
5.450000	74.949	88.7406
5.520000	75.042	88.4973
5.600000	75.169	88.2909
5.700000	75.352	88.0959
5.800000	75.551	87.8449
5.900000	75.756	87.4184
6.000000	75.980	86.8630
6.080000	76.166	86.3419
6.150000	76.326	85.8286
6.220000	76.476	85.2610
6.300000	76.637	84.5262
6.400000	76.831	83.4825
6.500000	77.011	82.3666
6.600000	77.168	81.2498
6.700000	77.300	80.1050
6.800000	77.411	78.9285
6.900000	77.505	77.7887
7.000000	77.582	76.7431
7.100000	77.639	75.7573
7.200000	77.681	74.8371
7.300000	77.717	74.0061
7.400000	77.751	73.2857
7.500000	77.776	72.6684
7.620000	77.806	72.0222
7.750000	77.848	71.3989
7.880000	77.898	70.8935
8.000000	77.951	70.4589
8.120000	78.012	69.9852
8.250000	78.089	69.4667
8.380000	78.169	68.9052
8.500000	78.239	68.3092
8.620000	78.310	67.6499
8.750000	78.379	66.8890
8.850000	78.423	66.2786
9.000000	78.477	65.3027
9.120000	78.509	64.5167
9.250000	78.533	63.6920
9.380000	78.544	62.8769
9.500000	78.548	62.1579
9.620000	78.551	61.4884
9.750000	78.548	60.8067
9.880000	78.538	60.1586
10.000000	78.519	59.5934
10.150000	78.485	58.9252
10.300000	78.452	58.2545
10.440000	78.421	57.6295
10.600000	78.386	56.9007
10.750000	78.357	56.1827
10.900000	78.328	55.4414
11.060000	78.295	54.6342
11.200000	78.264	53.9097
11.380000	78.222	52.9834
11.500000	78.193	52.3740
11.720000	78.138	51.2770
11.800000	78.118	50.8896
12.060000	78.057	49.6620
12.200000	78.028	49.0129
12.410000	77.990	48.0519
12.500000	77.981	47.6382
12.650000	77.976	46.9465
12.800000	77.975	46.2562
13.150000	77.974	44.6547
13.200000	77.974	44.4323
13.400000	77.970	43.5582
13.600000	77.967	42.7243
13.800000	77.965	41.9390
14.000000	77.966	41.1903
14.300000	77.975	40.1242
14.500000	77.986	39.4259
14.750000	78.001	38.5517
15.000000	78.015	37.6723
15.250000	78.023	36.8008
15.500000	78.025	35.9629
15.750000	78.022	35.1712
16.000000	78.020	34.4385
16.250000	78.023	33.7470
16.500000	78.031	33.0824
16.750000	78.040	32.4199
17.000000	78.049	31.7462
17.250000	78.056	31.0629
17.500000	78.056	30.3757
17.750000	78.054	29.7012
18.000000	78.049	29.0424
18.250000	78.042	28.4028
18.500000	78.037	27.7703
18.750000	78.033	27.1359
19.000000	78.031	26.4917
19.250000	78.027	25.8345
19.500000	78.022	25.1714
19.750000	78.016	24.5076
20.000000	78.010	23.8529
20.299999	78.004	23.0818
20.600000	78.000	22.3262
20.900000	77.999	21.5826
21.200001	77.999	20.8486
21.400000	78.000	20.3671
21.799999	78.002	19.4269
22.000000	78.004	18.9694
22.400000	78.010	18.0764
22.700001	78.016	17.4201
23.000000	78.021	16.7727
23.299999	78.024	16.1408
23.600000	78.024	15.5331
24.000000	78.022	14.7686
24.299999	78.022	14.2244
24.700001	78.022	13.5167
25.000000	78.022	12.9850
25.400000	78.018	12.2706
25.799999	78.009	11.5660
26.200001	77.997	10.8887
26.500000	77.987	10.3961
26.900000	77.975	9.7422
27.200001	77.967	9.2400
27.600000	77.955	8.5485
28.000000	77.938	7.8464
28.500000	77.912	6.9938
29.000000	77.885	6.1978
29.500000	77.863	5.4478
30.000000	77.851	4.7081
30.400000	77.843	4.1051
30.700001	77.837	3.6465
31.100000	77.827	3.0394
31.500000	77.814	2.4556
32.000000	77.795	1.7732
32.500000	77.780	1.1281
33.000000	77.765	0.4888
33.500000	77.747	-0.1488
34.000000	77.724	-0.7642
34.500000	77.700	-1.3501
35.000000	77.678	-1.9265
35.500000	77.655	-2.5118
36.000000	77.630	-3.1019
36.500000	77.603	-3.6863
37.000000	77.576	-4.2635
37.500000	77.549	-4.8346
38.200001	77.509	-5.6075
38.700001	77.482	-6.1342
39.500000	77.442	-6.9552
40.000000	77.419	-7.4594
40.599998	77.390	-8.0452
41.200001	77.363	-8.6086
41.799999	77.334	-9.1566
42.500000	77.300	-9.7812
43.099998	77.270	-10.3061
43.700001	77.239	-10.8257
44.400002	77.201	-11.4308
45.000000	77.167	-11.9436
45.500000	77.136	-12.3536
46.200001	77.095	-12.8913
46.799999	77.066	-13.3431
47.500000	77.031	-13.8981
48.200001	76.992	-14.4576
48.700001	76.962	-14.8340
49.400002	76.921	-15.3295
50.000000	76.887	-15.7424
50.799999	76.844	-16.2814
51.500000	76.805	-16.7429
52.200001	76.768	-17.2010
53.000000	76.725	-17.7208
53.799999	76.679	-18.2241
54.500000	76.639	-18.6399
55.200001	76.600	-19.0439
56.000000	76.558	-19.5082
57.000000	76.501	-20.0677
58.000000	76.447	-20.6241
59.000000	76.387	-21.1908
60.000000	76.325	-21.6895
60.799999	76.282	-22.0811
61.500000	76.243	-22.4423
62.200001	76.203	-22.7950
63.000000	76.156	-23.1760
64.000000	76.096	-23.6212
