* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\Fix\ n.Gold f.Black Foam L.txt
* Format: Comma/Tab/Space delimited data
* Dated: Jul 25, 2023 9:51:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\Fix\ n.Gold f.Black Foam L.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement:  n.Gold f.Black Foam L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	76.239	-127.5287
1.015000	76.267	-129.3155
1.030000	76.294	-131.0923
1.044000	76.320	-132.7411
1.060000	76.349	-134.6138
1.075000	76.377	-136.3575
1.090000	76.404	-138.0891
1.106000	76.432	-139.9230
1.120000	76.458	-141.5202
1.138000	76.491	-143.5647
1.150000	76.514	-144.9217
1.172000	76.557	-147.3969
1.180000	76.573	-148.2928
1.206000	76.625	-151.1885
1.220000	76.653	-152.7373
1.241000	76.696	-155.0465
1.250000	76.714	-156.0308
1.265000	76.745	-157.6640
1.280000	76.775	-159.2880
1.315000	76.844	-163.0401
1.320000	76.854	-163.5718
1.340000	76.892	-165.6871
1.360000	76.929	-167.7840
1.380000	76.966	-169.8621
1.400000	77.000	-171.9207
1.430000	77.049	-174.9711
1.450000	77.079	-176.9789
1.475000	77.114	-179.4593
1.500000	77.148	178.0888
1.525000	77.181	175.6647
1.550000	77.214	173.2686
1.575000	77.245	170.9009
1.600000	77.275	168.5619
1.625000	77.303	166.2519
1.650000	77.328	163.9713
1.675000	77.352	161.7202
1.700000	77.372	159.4991
1.725000	77.390	157.3083
1.750000	77.404	155.1481
1.775000	77.414	153.0188
1.800000	77.420	150.9207
1.825000	77.422	148.8541
1.850000	77.420	146.8171
1.875000	77.415	144.8052
1.900000	77.408	142.8193
1.925000	77.398	140.8610
1.950000	77.385	138.9316
1.975000	77.368	137.0323
2.000000	77.348	135.1646
2.030000	77.320	132.9669
2.060000	77.286	130.8191
2.090000	77.247	128.7233
2.120000	77.202	126.6820
2.140000	77.168	125.3525
2.180000	77.093	122.7722
2.200000	77.051	121.5225
2.240000	76.958	119.0725
2.270000	76.880	117.2753
2.300000	76.795	115.5201
2.330000	76.705	113.8138
2.360000	76.609	112.1633
2.400000	76.473	110.0610
2.430000	76.366	108.5671
2.470000	76.217	106.6985
2.500000	76.100	105.3984
2.540000	75.940	103.8131
2.580000	75.774	102.4049
2.620000	75.587	101.1272
2.650000	75.435	100.2516
2.690000	75.223	99.2030
2.720000	75.058	98.5114
2.760000	74.838	97.7241
2.800000	74.623	97.1005
2.850000	74.369	96.5672
2.900000	74.145	96.3266
2.950000	73.957	96.4163
3.000000	73.776	96.9664
3.040000	73.636	97.6942
3.070000	73.538	98.3699
3.110000	73.421	99.3979
