* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\Fix\ n.Gold f.Gold Foam R.txt
* Format: Comma/Tab/Space delimited data
* Dated: Jul 25, 2023 9:51:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\Fix\ n.Gold f.Gold Foam R.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement:  n.Gold f.Gold Foam R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	77.805	-109.0811
1.015000	77.755	-111.0080
1.030000	77.707	-112.9375
1.044000	77.664	-114.7402
1.060000	77.618	-116.8018
1.075000	77.577	-118.7352
1.090000	77.540	-120.6684
1.106000	77.504	-122.7320
1.120000	77.474	-124.5530
1.138000	77.437	-126.9167
1.150000	77.414	-128.5051
1.172000	77.375	-131.4393
1.180000	77.362	-132.5125
1.206000	77.322	-136.0180
1.220000	77.302	-137.9144
1.241000	77.275	-140.7659
1.250000	77.265	-141.9893
1.265000	77.248	-144.0288
1.280000	77.233	-146.0670
1.315000	77.204	-150.8064
1.320000	77.201	-151.4806
1.340000	77.189	-154.1669
1.360000	77.179	-156.8333
1.380000	77.171	-159.4751
1.400000	77.166	-162.0877
1.430000	77.163	-165.9414
1.450000	77.164	-168.4603
1.475000	77.168	-171.5493
1.500000	77.181	-174.6108
1.525000	77.200	-177.6519
1.550000	77.226	179.3307
1.575000	77.258	176.3404
1.600000	77.294	173.3806
1.625000	77.334	170.4547
1.650000	77.375	167.5661
1.675000	77.418	164.7181
1.700000	77.461	161.9141
1.725000	77.503	159.1576
1.750000	77.543	156.4519
1.775000	77.580	153.8004
1.800000	77.613	151.2065
1.825000	77.640	148.6735
1.850000	77.664	146.2004
1.875000	77.688	143.7777
1.900000	77.713	141.4048
1.925000	77.738	139.0812
1.950000	77.762	136.8068
1.975000	77.785	134.5809
2.000000	77.806	132.4034
2.030000	77.828	129.8538
2.060000	77.845	127.3726
2.090000	77.857	124.9594
2.120000	77.863	122.6135
2.140000	77.862	121.0866
2.180000	77.850	118.1212
2.200000	77.837	116.6823
2.240000	77.802	113.8808
2.270000	77.769	111.8471
2.300000	77.729	109.8751
2.330000	77.683	107.9684
2.360000	77.631	106.1307
2.400000	77.553	103.7936
2.430000	77.488	102.1305
2.470000	77.392	100.0393
2.500000	77.313	98.5703
2.540000	77.200	96.7509
2.580000	77.077	95.0933
2.620000	76.933	93.5618
2.650000	76.813	92.4958
2.690000	76.640	91.1942
2.720000	76.504	90.3141
2.760000	76.318	89.2780
2.800000	76.132	88.4096
2.850000	75.908	87.5779
2.900000	75.702	87.0492
2.950000	75.519	86.8589
3.000000	75.330	87.1057
3.040000	75.175	87.5804
3.070000	75.062	88.0673
3.110000	74.919	88.8531
3.150000	74.791	89.7521
3.200000	74.665	90.9631
3.250000	74.587	92.1853
3.300000	74.571	93.3284
3.350000	74.622	94.5685
3.400000	74.730	96.0041
3.450000	74.883	97.5350
3.500000	75.071	99.0610
3.550000	75.282	100.4821
3.600000	75.506	101.6982
3.650000	75.730	102.6090
3.700000	75.959	103.1734
3.750000	76.219	103.4984
3.820000	76.618	103.6152
3.870000	76.912	103.4971
3.950000	77.369	103.0401
4.000000	77.629	102.6329
4.060000	77.904	102.0362
4.120000	78.159	101.1984
4.180000	78.398	100.1619
4.250000	78.653	98.7949
4.310000	78.849	97.5681
4.370000	79.022	96.3643
4.440000	79.191	95.0151
4.500000	79.307	93.7922
4.550000	79.387	92.7467
4.620000	79.476	91.2911
4.680000	79.534	90.0961
4.750000	79.587	88.8215
4.820000	79.619	87.6779
4.870000	79.624	86.9007
4.940000	79.614	85.8852
5.000000	79.594	85.0988
5.080000	79.564	84.1986
5.150000	79.542	83.5768
5.220000	79.511	83.1241
5.300000	79.468	82.7796
5.380000	79.427	82.5733
5.450000	79.405	82.4681
5.520000	79.404	82.4113
5.600000	79.419	82.4977
5.700000	79.459	82.7535
5.800000	79.523	83.0061
5.900000	79.614	83.1026
6.000000	79.740	83.1360
6.080000	79.858	83.1064
6.150000	79.963	83.0088
6.220000	80.064	82.8193
6.300000	80.178	82.4719
6.400000	80.326	81.8761
6.500000	80.467	81.1560
6.600000	80.586	80.3704
6.700000	80.682	79.4795
6.800000	80.761	78.4929
6.900000	80.821	77.5019
7.000000	80.861	76.5812
7.100000	80.877	75.6733
7.200000	80.876	74.8047
7.300000	80.867	74.0304
7.400000	80.851	73.3853
7.500000	80.823	72.8420
7.620000	80.787	72.3078
7.750000	80.763	71.8666
7.880000	80.747	71.6027
8.000000	80.745	71.4266
8.120000	80.761	71.2375
8.250000	80.799	71.0703
8.380000	80.848	70.8666
8.500000	80.901	70.5790
8.620000	80.964	70.2216
8.750000	81.032	69.7636
8.850000	81.077	69.3571
9.000000	81.139	68.6467
9.120000	81.181	68.0473
9.250000	81.213	67.4012
9.380000	81.233	66.7374
9.500000	81.245	66.1527
9.620000	81.253	65.6198
9.750000	81.255	65.0823
9.880000	81.250	64.5907
10.000000	81.236	64.1877
10.150000	81.209	63.7397
10.300000	81.184	63.3114
10.440000	81.161	62.9363
10.600000	81.138	62.5083
10.750000	81.121	62.0811
10.900000	81.108	61.6383
11.060000	81.093	61.1418
11.200000	81.078	60.6847
11.380000	81.056	60.0887
11.500000	81.039	59.6887
11.720000	81.005	58.9571
11.800000	80.991	58.6967
12.060000	80.945	57.8623
12.200000	80.919	57.4181
12.410000	80.883	56.7560
12.500000	80.874	56.4698
12.650000	80.871	55.9897
12.800000	80.871	55.5092
13.150000	80.866	54.3916
13.200000	80.865	54.2359
13.400000	80.857	53.6240
13.600000	80.849	53.0338
13.800000	80.843	52.4702
14.000000	80.840	51.9146
14.300000	80.841	51.0822
14.500000	80.845	50.5020
14.750000	80.849	49.7434
15.000000	80.850	48.9498
15.250000	80.844	48.1474
15.500000	80.832	47.3668
15.750000	80.817	46.6228
16.000000	80.806	45.9276
16.250000	80.804	45.2593
16.500000	80.811	44.6025
16.750000	80.822	43.9319
17.000000	80.835	43.2393
17.250000	80.845	42.5306
17.500000	80.852	41.8168
17.750000	80.856	41.1198
18.000000	80.859	40.4442
18.250000	80.862	39.7949
18.500000	80.866	39.1606
18.750000	80.872	38.5333
19.000000	80.879	37.9054
19.250000	80.885	37.2748
19.500000	80.890	36.6470
19.750000	80.894	36.0255
20.000000	80.897	35.4159
20.299999	80.902	34.6965
20.600000	80.909	33.9859
20.900000	80.914	33.2786
21.200001	80.918	32.5744
21.400000	80.919	32.1108
21.799999	80.921	31.2037
22.000000	80.922	30.7602
22.400000	80.927	29.8844
22.700001	80.931	29.2243
23.000000	80.935	28.5535
23.299999	80.937	27.8776
23.600000	80.937	27.2075
24.000000	80.934	26.3377
24.299999	80.933	25.7050
24.700001	80.934	24.8739
25.000000	80.937	24.2484
25.400000	80.940	23.4072
25.799999	80.940	22.5706
26.200001	80.939	21.7546
26.500000	80.939	21.1580
26.900000	80.939	20.3763
27.200001	80.940	19.7949
27.600000	80.941	19.0240
28.000000	80.941	18.2617
28.500000	80.941	17.3228
29.000000	80.940	16.3949
29.500000	80.936	15.4789
30.000000	80.932	14.5823
30.400000	80.929	13.8757
30.700001	80.927	13.3457
31.100000	80.924	12.6336
31.500000	80.920	11.9197
32.000000	80.911	11.0419
32.500000	80.901	10.1903
33.000000	80.894	9.3535
