* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\Fix\ n.Gold f.Red Foam R.txt
* Format: Comma/Tab/Space delimited data
* Dated: Jul 25, 2023 9:51:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\Fix\ n.Gold f.Red Foam R.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement:  n.Gold f.Red Foam R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	69.601	132.2003
1.015000	69.629	131.6551
1.030000	69.657	131.1158
1.044000	69.683	130.6178
1.060000	69.712	130.0550
1.075000	69.740	129.5336
1.090000	69.768	129.0181
1.106000	69.798	128.4750
1.120000	69.824	128.0058
1.138000	69.857	127.4108
1.150000	69.879	127.0192
1.172000	69.921	126.3117
1.180000	69.936	126.0576
1.206000	69.985	125.2439
1.220000	70.011	124.8132
1.241000	70.051	124.1765
1.250000	70.068	123.9070
1.265000	70.097	123.4625
1.280000	70.126	123.0234
1.315000	70.193	122.0199
1.320000	70.203	121.8789
1.340000	70.241	121.3205
1.360000	70.280	120.7712
1.380000	70.318	120.2306
1.400000	70.357	119.6985
1.430000	70.415	118.9158
1.450000	70.454	118.4040
1.475000	70.503	117.7756
1.500000	70.551	117.1634
1.525000	70.600	116.5677
1.550000	70.649	115.9878
1.575000	70.698	115.4230
1.600000	70.747	114.8724
1.625000	70.796	114.3355
1.650000	70.845	113.8114
1.675000	70.894	113.2995
1.700000	70.944	112.7989
1.725000	70.993	112.3091
1.750000	71.043	111.8292
1.775000	71.094	111.3586
1.800000	71.144	110.8964
1.825000	71.195	110.4421
1.850000	71.246	109.9969
1.875000	71.297	109.5651
1.900000	71.348	109.1463
1.925000	71.400	108.7396
1.950000	71.451	108.3442
1.975000	71.503	107.9593
2.000000	71.555	107.5841
2.030000	71.618	107.1457
2.060000	71.681	106.7187
2.090000	71.744	106.3019
2.120000	71.808	105.8939
2.140000	71.851	105.6261
2.180000	71.937	105.0988
2.200000	71.980	104.8385
2.240000	72.067	104.3327
2.270000	72.133	103.9680
2.300000	72.199	103.6145
2.330000	72.265	103.2712
2.360000	72.332	102.9370
2.400000	72.421	102.5035
2.430000	72.489	102.1862
2.470000	72.579	101.7711
2.500000	72.646	101.4646
2.540000	72.737	101.0599
2.580000	72.827	100.6587
2.620000	72.919	100.2683
2.650000	72.987	99.9830
2.690000	73.079	99.6113
2.720000	73.149	99.3384
2.760000	73.241	98.9808
2.800000	73.333	98.6292
2.850000	73.449	98.1955
2.900000	73.564	97.7657
2.950000	73.678	97.3374
3.000000	73.793	96.9163
3.040000	73.885	96.5849
3.070000	73.954	96.3392
3.110000	74.045	96.0148
3.150000	74.137	95.6936
3.200000	74.250	95.2955
3.250000	74.363	94.9000
3.300000	74.474	94.5060
3.350000	74.585	94.1146
3.400000	74.695	93.7268
3.450000	74.804	93.3425
3.500000	74.912	92.9613
3.550000	75.020	92.5829
3.600000	75.126	92.2071
3.650000	75.231	91.8334
3.700000	75.334	91.4619
3.750000	75.437	91.0930
3.820000	75.579	90.5809
3.870000	75.679	90.2181
3.950000	75.836	89.6429
4.000000	75.933	89.2866
4.060000	76.047	88.8623
4.120000	76.160	88.4415
4.180000	76.271	88.0243
4.250000	76.398	87.5421
4.310000	76.505	87.1326
4.370000	76.611	86.7267
4.440000	76.731	86.2575
4.500000	76.832	85.8590
4.550000	76.915	85.5296
4.620000	77.029	85.0727
4.680000	77.125	84.6851
4.750000	77.234	84.2375
4.820000	77.341	83.7949
4.870000	77.416	83.4816
4.940000	77.519	83.0472
5.000000	77.605	82.6791
5.080000	77.718	82.1949
5.150000	77.813	81.7777
5.220000	77.906	81.3658
5.300000	78.010	80.9019
5.380000	78.110	80.4459
5.450000	78.195	80.0540
5.520000	78.279	79.6692
5.600000	78.371	79.2373
5.700000	78.482	78.7094
5.800000	78.590	78.1956
5.900000	78.694	77.6964
6.000000	78.794	77.2122
6.080000	78.871	76.8350
6.150000	78.937	76.5120
6.220000	79.001	76.1953
6.300000	79.073	75.8416
6.400000	79.159	75.4122
6.500000	79.243	74.9947
6.600000	79.325	74.5871
6.700000	79.404	74.1904
6.800000	79.480	73.8045
6.900000	79.555	73.4268
7.000000	79.627	73.0552
7.100000	79.697	72.6916
7.200000	79.765	72.3348
7.300000	79.830	71.9830
7.400000	79.894	71.6352
7.500000	79.956	71.2925
7.620000	80.027	70.8870
7.750000	80.100	70.4529
7.880000	80.171	70.0250
8.000000	80.233	69.6350
8.120000	80.292	69.2493
8.250000	80.354	68.8367
8.380000	80.412	68.4288
8.500000	80.464	68.0560
8.620000	80.514	67.6874
