* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\Fix\ n.Gray f.Red Foam L.txt
* Format: Comma/Tab/Space delimited data
* Dated: Jul 26, 2023 5:56:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\Fix\ n.Gray f.Red Foam L.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement:  n.Gray f.Red Foam L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	65.891	-151.4085
1.015000	65.948	-152.9153
1.030000	66.003	-154.4176
1.044000	66.053	-155.8167
1.060000	66.107	-157.4135
1.075000	66.156	-158.9096
1.090000	66.202	-160.4061
1.106000	66.250	-162.0027
1.120000	66.289	-163.3922
1.138000	66.337	-165.1660
1.150000	66.367	-166.3411
1.172000	66.420	-168.4801
1.180000	66.437	-169.2533
1.206000	66.491	-171.7495
1.220000	66.517	-173.0835
1.241000	66.553	-175.0721
1.250000	66.567	-175.9199
1.265000	66.589	-177.3273
1.280000	66.609	-178.7279
1.315000	66.646	178.0285
1.320000	66.651	177.5678
1.340000	66.666	175.7310
1.360000	66.677	173.9034
1.380000	66.685	172.0844
1.400000	66.688	170.2731
1.430000	66.686	167.5692
1.450000	66.680	165.7740
1.475000	66.667	163.5377
1.500000	66.649	161.3120
1.525000	66.627	159.0983
1.550000	66.600	156.8973
1.575000	66.567	154.7096
1.600000	66.528	152.5358
1.625000	66.484	150.3767
1.650000	66.432	148.2329
1.675000	66.373	146.1051
1.700000	66.307	143.9939
1.725000	66.234	141.9000
1.750000	66.152	139.8240
1.775000	66.061	137.7667
1.800000	65.961	135.7286
1.825000	65.852	133.7105
1.850000	65.736	131.7026
1.875000	65.618	129.6844
1.900000	65.496	127.6617
1.925000	65.371	125.6415
1.950000	65.239	123.6309
1.975000	65.099	121.6370
2.000000	64.950	119.6667
2.030000	64.757	117.3437
2.060000	64.545	115.0771
2.090000	64.312	112.8791
2.120000	64.054	110.7619
2.140000	63.868	109.4012
2.180000	63.456	106.8185
2.200000	63.229	105.6011
2.240000	62.717	102.8031
2.270000	62.285	100.3640
2.300000	61.820	97.7809
2.330000	61.327	95.1868
2.360000	60.814	92.7148
2.400000	60.110	89.8386
2.430000	59.576	88.1689
2.470000	58.867	86.8456
