* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\Fix\ n.Green f.Red Foam R.txt
* Format: Comma/Tab/Space delimited data
* Dated: Jul 25, 2023 10:07:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\Fix\ n.Green f.Red Foam R.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement:  n.Green f.Red Foam R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	82.850	-59.4098
1.015000	82.677	-60.3024
1.030000	82.498	-61.1955
1.044000	82.325	-62.0297
1.060000	82.120	-62.9837
1.075000	81.920	-63.8788
1.090000	81.713	-64.7746
1.106000	81.488	-65.7744
1.120000	81.311	-66.9193
1.138000	81.114	-68.7750
1.150000	80.998	-70.2164
1.172000	80.809	-73.1970
1.180000	80.746	-74.3668
1.206000	80.550	-78.3746
1.220000	80.444	-80.6033
1.241000	80.275	-83.9390
1.250000	80.197	-85.3394
1.265000	80.054	-87.5983
1.280000	79.894	-89.7242
1.315000	79.422	-93.9140
1.320000	79.342	-94.3999
1.340000	78.979	-95.9950
1.360000	78.544	-96.9523
1.380000	78.028	-97.1647
1.400000	77.419	-96.5250
1.430000	76.310	-93.7339
1.450000	75.425	-90.4959
1.475000	74.113	-84.6207
1.500000	72.384	-75.9378
1.525000	70.262	-64.6670
1.550000	67.829	-51.2594
1.575000	65.163	-36.1658
1.600000	62.344	-19.8375
1.625000	59.453	-2.7255
1.650000	56.570	14.7194
1.675000	53.775	32.0459
1.700000	51.147	48.8032
1.725000	48.767	64.5402
1.750000	46.714	78.8057
1.775000	45.069	91.1489
1.800000	43.912	101.1187
1.825000	43.322	108.2640
1.850000	43.369	112.4314
1.875000	44.026	114.2529
1.900000	45.213	114.0281
1.925000	46.848	112.0335
1.950000	48.851	108.5455
1.975000	51.140	103.8406
2.000000	53.635	98.1950
2.030000	56.786	90.5681
2.060000	59.976	82.4624
2.090000	63.065	74.3558
2.120000	65.914	66.7257
2.140000	67.610	62.1396
2.180000	70.328	54.8060
2.200000	71.158	52.3344
2.240000	71.245	48.5306
2.270000	71.394	46.1421
