* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\Fix\ n.Purple f.Purple Foam R.txt
* Format: Comma/Tab/Space delimited data
* Dated: Jul 15, 2023 11:04:32 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\Fix\ n.Purple f.Purple Foam R.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement:  n.Purple f.Purple Foam R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	61.700	-63.4479
1.015000	61.521	-64.4826
1.030000	61.335	-65.5298
1.044000	61.156	-66.5191
1.060000	60.944	-67.6650
1.075000	60.738	-68.7551
1.090000	60.524	-69.8613
1.106000	60.287	-71.1158
1.120000	60.076	-72.5745
1.138000	59.798	-74.9609
1.150000	59.610	-76.8251
1.172000	59.256	-80.6978
1.180000	59.124	-82.2228
1.206000	58.687	-87.4657
1.220000	58.445	-90.3923
1.241000	58.074	-94.7879
1.250000	57.911	-96.6395
1.265000	57.635	-99.6353
1.280000	57.352	-102.4677
1.315000	56.670	-108.1107
1.320000	56.569	-108.7745
1.340000	56.160	-110.9873
1.360000	55.739	-112.3872
1.380000	55.305	-112.8352
1.400000	54.859	-112.1920
1.430000	54.163	-108.8766
1.450000	53.682	-104.8962
1.475000	53.052	-97.5721
1.500000	52.323	-86.6645
1.525000	51.497	-72.4580
1.550000	50.597	-55.5277
1.575000	49.644	-36.4482
1.600000	48.662	-15.7947
1.625000	47.673	5.8579
1.650000	46.698	27.9348
1.675000	45.760	49.8611
1.700000	44.882	71.0619
1.725000	44.085	90.9621
1.750000	43.393	108.9868
1.775000	42.826	124.5613
1.800000	42.409	137.1105
1.825000	42.162	146.0596
1.850000	42.109	151.2071
1.875000	42.250	153.3473
1.900000	42.561	152.8658
1.925000	43.015	150.1193
1.950000	43.588	145.4644
1.975000	44.254	139.2579
2.000000	44.987	131.8563
2.030000	45.920	121.8991
2.060000	46.870	111.3510
2.090000	47.791	100.8282
2.120000	48.641	90.9471
2.140000	49.145	85.0205
2.180000	49.948	75.5750
2.200000	50.221	72.4118
2.240000	50.637	67.5351
2.270000	50.886	64.4574
2.300000	51.081	61.8123
2.330000	51.225	59.5421
2.360000	51.320	57.5888
2.400000	51.373	55.3774
2.430000	51.359	53.9386
2.470000	51.272	52.2033
2.500000	51.158	50.9641
2.540000	50.945	49.2848
2.580000	50.653	47.3841
2.620000	50.197	44.7434
2.650000	49.758	42.4179
