* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\Fix\ n.Red f.Blue Foam L.txt
* Format: Comma/Tab/Space delimited data
* Dated: Jul 25, 2023 10:23:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\Fix\ n.Red f.Blue Foam L.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement:  n.Red f.Blue Foam L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	66.901	-146.0079
1.015000	66.948	-147.6083
1.030000	66.992	-149.2033
1.044000	67.032	-150.6879
1.060000	67.075	-152.3808
1.075000	67.114	-153.9653
1.090000	67.150	-155.5482
1.106000	67.186	-157.2347
1.120000	67.217	-158.7019
1.138000	67.253	-160.5751
1.150000	67.277	-161.8159
1.172000	67.316	-164.0748
1.180000	67.330	-164.8913
1.206000	67.371	-167.5277
1.220000	67.390	-168.9369
1.241000	67.417	-171.0378
1.250000	67.427	-171.9336
1.265000	67.443	-173.4211
1.280000	67.456	-174.9016
1.315000	67.481	-178.3317
1.320000	67.484	-178.8191
1.340000	67.492	179.2372
1.360000	67.497	177.3024
1.380000	67.498	175.3757
1.400000	67.495	173.4561
1.430000	67.484	170.5882
1.450000	67.472	168.6827
1.475000	67.452	166.3073
1.500000	67.428	163.9448
1.525000	67.399	161.5963
1.550000	67.366	159.2620
1.575000	67.328	156.9415
1.600000	67.284	154.6348
1.625000	67.235	152.3419
1.650000	67.179	150.0623
1.675000	67.117	147.7962
1.700000	67.048	145.5433
1.725000	66.971	143.3035
1.750000	66.886	141.0767
1.775000	66.793	138.8627
1.800000	66.691	136.6614
1.825000	66.579	134.4726
1.850000	66.461	132.2924
1.875000	66.342	130.1129
1.900000	66.221	127.9368
1.925000	66.096	125.7671
1.950000	65.964	123.6071
1.975000	65.826	121.4597
2.000000	65.678	119.3280
2.030000	65.486	116.7952
2.060000	65.275	114.2949
2.090000	65.043	111.8323
2.120000	64.787	109.4130
2.140000	64.601	107.8267
2.180000	64.189	104.7251
2.200000	63.961	103.2096
2.240000	63.477	99.5487
2.270000	63.093	96.2325
2.300000	62.688	92.6408
2.330000	62.261	88.9659
2.360000	61.811	85.3997
2.400000	61.171	81.1462
2.430000	60.659	78.5812
2.470000	59.931	76.3600
2.500000	59.348	75.8423
2.540000	58.520	77.0483
2.580000	57.601	80.9218
2.620000	56.396	88.2110
2.650000	55.331	95.5773
2.690000	53.787	107.2644
2.720000	52.596	116.9739
2.760000	51.053	130.5116
2.800000	49.665	143.9631
2.850000	48.316	159.3889
2.900000	47.600	171.7558
2.950000	47.736	179.6946
3.000000	48.801	-175.4310
3.040000	50.176	-173.1165
3.070000	51.428	-172.1467
3.110000	53.287	-171.6817
