* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\Fix\ n.Silver f.Black Foam R.txt
* Format: Comma/Tab/Space delimited data
* Dated: Jul 26, 2023 6:09:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\Fix\ n.Silver f.Black Foam R.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement:  n.Silver f.Black Foam R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	58.160	-59.5548
1.015000	57.990	-60.4530
1.030000	57.814	-61.3524
1.044000	57.643	-62.1928
1.060000	57.442	-63.1546
1.075000	57.245	-64.0577
1.090000	57.042	-64.9623
1.106000	56.820	-65.9159
1.120000	56.641	-66.6714
1.138000	56.433	-67.5304
1.150000	56.306	-68.0434
1.172000	56.090	-68.8855
1.180000	56.016	-69.1667
1.206000	55.778	-70.0218
1.220000	55.649	-70.4626
1.241000	55.446	-71.1274
1.250000	55.353	-71.4216
1.265000	55.189	-71.9349
1.280000	55.009	-72.4885
1.315000	54.511	-74.0121
1.320000	54.428	-74.2635
1.340000	54.067	-75.3735
1.360000	53.647	-76.6740
1.380000	53.161	-78.1966
1.400000	52.601	-79.9732
1.430000	51.602	-83.1835
1.450000	50.819	-85.7335
1.475000	49.675	-89.5549
1.500000	48.190	-95.0376
1.525000	46.383	-102.0922
1.550000	44.321	-110.3543
1.575000	42.069	-119.4594
1.600000	39.692	-129.0427
1.625000	37.257	-138.7397
1.650000	34.830	-148.1860
1.675000	32.476	-157.0168
1.700000	30.261	-164.8676
1.725000	28.252	-171.3738
1.750000	26.512	-176.1709
1.775000	25.110	-178.8943
1.800000	24.109	-179.1794
1.825000	23.577	-176.6616
1.850000	23.569	-170.7951
1.875000	24.062	-161.2498
1.900000	24.989	-148.5391
1.925000	26.284	-133.2037
1.950000	27.882	-115.7844
1.975000	29.717	-96.8219
2.000000	31.723	-76.8571
2.030000	34.263	-52.3373
2.060000	36.840	-28.0871
2.090000	39.341	-5.0408
2.120000	41.651	15.8672
2.140000	43.029	28.1566
2.180000	45.243	47.5309
2.200000	46.015	54.0710
2.240000	47.140	62.2253
2.270000	47.745	65.0525
2.300000	48.174	65.5212
2.330000	48.452	64.0456
2.360000	48.605	61.0402
2.400000	48.659	55.3689
2.430000	48.618	50.4046
2.470000	48.507	43.6252
2.500000	48.412	38.9575
2.540000	48.320	34.0772
2.580000	48.308	31.3611
2.620000	48.290	29.1102
2.650000	48.251	27.4140
2.690000	48.157	25.1544
2.720000	48.051	23.4699
2.760000	47.855	21.2500
2.800000	47.587	19.0746
2.850000	47.139	16.4419
2.900000	46.548	13.9342
2.950000	45.776	11.3496
3.000000	44.667	7.0082
3.040000	43.586	2.6624
3.070000	42.706	-0.7062
3.110000	41.491	-4.8548
3.150000	40.290	-8.0532
3.200000	38.908	-9.7870
3.250000	37.780	-7.8946
3.300000	37.031	-1.1762
3.350000	36.613	12.5532
3.400000	36.415	32.6086
3.450000	36.410	56.5458
3.500000	36.576	81.9207
3.550000	36.886	106.2893
3.600000	37.317	127.2077
3.650000	37.844	142.2319
3.700000	38.520	150.0476
3.750000	39.473	152.7825
3.820000	41.105	150.5140
3.870000	42.355	146.1844
3.950000	44.239	137.9176
4.000000	45.195	133.8018
4.060000	46.000	131.2857
4.120000	46.564	129.0809
4.180000	46.954	126.8180
4.250000	47.246	124.2250
4.310000	47.406	122.1458
4.370000	47.525	120.2940
4.440000	47.635	118.4337
4.500000	47.638	116.9149
4.550000	47.585	115.7560
4.620000	47.449	114.4066
4.680000	47.296	113.6061
4.750000	47.102	113.2205
4.820000	46.868	113.4870
4.870000	46.643	114.0138
4.940000	46.293	115.1792
5.000000	46.000	116.5393
5.080000	45.687	118.8111
5.150000	45.544	121.2166
5.220000	45.487	124.4411
5.300000	45.504	128.8200
5.380000	45.607	133.2987
5.450000	45.768	136.7745
5.520000	45.999	139.4312
5.600000	46.401	141.8696
5.700000	47.034	144.2263
5.800000	47.680	145.7816
5.900000	48.216	146.4625
6.000000	48.701	146.0630
6.080000	49.058	145.1960
6.150000	49.335	144.2391
6.220000	49.568	143.2621
6.300000	49.775	142.0618
6.400000	49.960	140.2319
6.500000	50.078	138.2928
6.600000	50.146	136.5199
6.700000	50.149	134.8738
6.800000	50.093	133.2938
6.900000	50.011	131.9092
7.000000	49.928	130.8401
7.100000	49.815	130.0730
7.200000	49.694	129.5344
7.300000	49.604	129.1574
7.400000	49.561	128.9623
7.500000	49.545	129.0150
7.620000	49.573	129.1213
7.750000	49.679	128.9593
7.880000	49.871	128.6484
8.000000	50.088	128.1199
8.120000	50.318	127.1988
8.250000	50.599	125.7829
8.380000	50.884	124.0840
8.500000	51.123	122.3359
8.620000	51.351	120.3471
8.750000	51.581	118.1214
8.850000	51.742	116.4660
9.000000	51.957	113.9585
9.120000	52.118	112.0504
9.250000	52.287	110.1831
9.380000	52.447	108.4719
9.500000	52.599	107.0375
9.620000	52.764	105.7645
9.750000	52.952	104.5560
9.880000	53.145	103.4465
10.000000	53.329	102.4948
10.150000	53.564	101.4116
10.300000	53.801	100.3483
10.440000	54.027	99.3701
10.600000	54.283	98.2750
10.750000	54.514	97.2536
10.900000	54.738	96.2512
11.060000	54.964	95.2419
11.200000	55.149	94.4045
11.380000	55.373	93.4116
11.500000	55.514	92.8122
11.720000	55.758	91.8128
11.800000	55.844	91.4772
12.060000	56.110	90.4775
12.200000	56.243	89.9632
12.410000	56.435	89.2238
12.500000	56.519	88.9108
12.650000	56.663	88.3943
12.800000	56.802	87.8919
13.150000	57.090	86.7887
13.200000	57.128	86.6404
13.400000	57.272	86.0763
13.600000	57.409	85.5330
13.800000	57.541	85.0072
14.000000	57.668	84.4554
14.300000	57.850	83.5578
14.500000	57.962	82.8853
14.750000	58.088	81.9834
15.000000	58.197	81.0288
15.250000	58.291	80.0734
15.500000	58.376	79.1412
15.750000	58.459	78.2388
16.000000	58.550	77.3545
16.250000	58.652	76.4522
16.500000	58.764	75.5173
16.750000	58.880	74.5325
17.000000	58.994	73.5199
17.250000	59.105	72.5002
17.500000	59.213	71.5024
17.750000	59.322	70.5511
18.000000	59.432	69.6469
18.250000	59.544	68.7890
18.500000	59.661	67.9611
18.750000	59.778	67.1590
19.000000	59.894	66.3792
19.250000	60.006	65.6308
19.500000	60.114	64.9227
19.750000	60.217	64.2609
20.000000	60.316	63.6476
20.299999	60.434	62.9640
20.600000	60.548	62.3242
20.900000	60.656	61.7140
21.200001	60.756	61.1263
21.400000	60.818	60.7472
21.799999	60.933	60.0177
22.000000	60.985	59.6643
22.400000	61.082	58.9684
22.700001	61.149	58.4453
23.000000	61.209	57.9162
23.299999	61.265	57.3839
23.600000	61.318	56.8509
24.000000	61.384	56.1385
24.299999	61.433	55.5966
24.700001	61.498	54.8553
25.000000	61.547	54.2863
25.400000	61.611	53.5223
25.799999	61.674	52.7712
26.200001	61.740	52.0435
26.500000	61.790	51.5131
26.900000	61.859	50.8264
27.200001	61.911	50.3301
27.600000	61.980	49.6999
28.000000	62.049	49.1067
28.500000	62.134	48.4055
29.000000	62.213	47.7411
29.500000	62.283	47.1284
30.000000	62.346	46.5803
30.400000	62.397	46.1713
30.700001	62.433	45.8657
31.100000	62.478	45.4455
31.500000	62.519	45.0119
32.000000	62.561	44.4715
32.500000	62.597	43.9515
33.000000	62.633	43.4495
33.500000	62.670	42.9518
34.000000	62.710	42.4468
34.500000	62.751	41.9282
35.000000	62.791	41.4001
35.500000	62.827	40.8830
36.000000	62.863	40.4006
36.500000	62.897	39.9600
37.000000	62.932	39.5498
37.500000	62.968	39.1581
38.200001	63.017	38.6318
38.700001	63.049	38.2674
39.500000	63.094	37.6956
40.000000	63.120	37.3487
40.599998	63.150	36.9473
41.200001	63.178	36.5568
41.799999	63.208	36.1694
42.500000	63.241	35.7174
43.099998	63.269	35.3357
43.700001	63.295	34.9692
44.400002	63.327	34.5627
45.000000	63.353	34.2276
45.500000	63.374	33.9598
46.200001	63.402	33.6044
46.799999	63.426	33.3073
47.500000	63.452	32.9617
48.200001	63.475	32.6286
48.700001	63.493	32.3975
49.400002	63.517	32.0693
50.000000	63.535	31.7863
50.799999	63.558	31.4364
51.500000	63.580	31.1572
52.200001	63.605	30.8770
53.000000	63.628	30.5633
53.799999	63.651	30.2875
54.500000	63.671	30.0470
55.200001	63.688	29.7930
56.000000	63.702	29.5374
57.000000	63.725	29.2343
58.000000	63.743	28.9094
59.000000	63.764	28.6589
60.000000	63.796	28.3488
60.799999	63.811	28.0767
61.500000	63.823	27.8849
62.200001	63.837	27.7172
63.000000	63.853	27.5206
64.000000	63.871	27.2686
65.000000	63.885	27.0371
66.000000	63.901	26.8154
67.000000	63.916	26.5794
68.000000	63.927	26.3798
69.000000	63.943	26.1992
70.000000	63.960	26.0040
71.000000	63.971	25.8220
72.000000	63.983	25.6646
73.000000	63.997	25.5186
74.000000	64.010	25.3659
75.000000	64.023	25.1987
76.199997	64.034	25.0160
77.500000	64.049	24.8268
78.800003	64.061	24.6485
80.000000	64.074	24.5096
81.199997	64.091	24.3728
82.500000	64.108	24.2277
83.800003	64.125	24.1052
85.000000	64.139	23.9806
86.199997	64.150	23.8687
87.500000	64.161	23.7555
88.500000	64.170	23.6623
90.000000	64.183	23.5143
91.199997	64.194	23.4195
92.500000	64.209	23.3200
93.800003	64.222	23.2342
95.000000	64.234	23.1751
96.199997	64.247	23.1206
97.500000	64.261	23.0502
98.800003	64.273	22.9711
100.000000	64.284	22.9102
101.500000	64.302	22.8410
103.000000	64.315	22.7650
104.400002	64.327	22.7180
106.000000	64.341	22.6556
107.500000	64.355	22.6050
109.000000	64.368	22.5555
110.599998	64.383	22.5265
112.000000	64.399	22.4867
113.800003	64.415	22.4360
115.000000	64.426	22.4134
117.199997	64.447	22.3806
118.000000	64.455	22.3682
120.599998	64.482	22.3291
122.000000	64.497	22.3046
124.099998	64.517	22.2889
125.000000	64.525	22.2883
126.500000	64.544	22.2922
128.000000	64.565	22.2743
131.500000	64.611	22.2541
132.000000	64.618	22.2542
134.000000	64.646	22.2586
136.000000	64.672	22.2605
138.000000	64.696	22.2530
140.000000	64.722	22.2661
143.000000	64.766	22.2818
145.000000	64.794	22.2822
147.500000	64.825	22.2982
150.000000	64.858	22.3095
152.500000	64.892	22.3374
155.000000	64.926	22.3645
157.500000	64.959	22.3829
160.000000	64.992	22.4043
162.500000	65.016	22.4201
165.000000	65.037	22.4493
167.500000	65.055	22.4761
170.000000	65.075	22.5068
172.500000	65.095	22.5381
175.000000	65.115	22.5585
177.500000	65.132	22.5803
180.000000	65.152	22.6102
182.500000	65.172	22.6383
185.000000	65.191	22.6602
187.500000	65.209	22.6948
190.000000	65.228	22.7258
192.500000	65.248	22.7556
195.000000	65.267	22.7776
197.500000	65.288	22.7973
200.000000	65.308	22.8063
203.000000	65.334	22.8403
206.000000	65.361	22.8803
209.000000	65.392	22.9084
212.000000	65.423	22.9317
214.000000	65.442	22.9482
218.000000	65.478	22.9692
220.000000	65.496	22.9838
224.000000	65.534	23.0118
227.000000	65.561	23.0369
230.000000	65.588	23.0546
233.000000	65.616	23.0702
236.000000	65.642	23.0929
240.000000	65.676	23.1198
243.000000	65.702	23.1362
247.000000	65.737	23.1545
250.000000	65.763	23.1708
254.000000	65.796	23.1874
258.000000	65.830	23.2050
262.000000	65.863	23.2193
